"Input number 44207638 with intial rewrite term cababaaababaaabbbaaaababbad
Generated final number 1 with final rewrite term cd
Number of steps: 693  Number of array doubles: 0"
Term	Number
cababaaababaaabbbaaaababbd	22103819
cababaaababaaabbbaaaababgd	33155729
cababaaababaaabbbaaaabagbd	33155729
cababaaababaaabbbaaaabfabd	33155729
cababaaababaaabbbaaaagaabd	33155729
cababaaababaaabbbaaafaaabd	33155729
cababaaababaaabbbaaebaaabd	33155729
cababaaababaaabbbaeabaaabd	33155729
cababaaababaaabbbeaabaaabd	33155729
cababaaababaaabbfbaabaaabd	33155729
cababaaababaaabgabaabaaabd	33155729
cababaaababaaagbabaabaaabd	33155729
cababaaababaafababaabaaabd	33155729
cababaaababaebababaabaaabd	33155729
cababaaababeabababaabaaabd	33155729
cababaaabafbabababaabaaabd	33155729
cababaaabebbabababaabaaabd	33155729
cababaaafbbbabababaabaaabd	33155729
cababaaebbbbabababaabaaabd	33155729
cababaeabbbbabababaabaaabd	33155729
cababeaabbbbabababaabaaabd	33155729
cabafbaabbbbabababaabaaabd	33155729
cabebbaabbbbabababaabaaabd	33155729
cafbbbaabbbbabababaabaaabd	33155729
cebbbbaabbbbabababaabaaabd	33155729
cbbbbbaabbbbabababaabaaabd	33155729
cbbbbbaabbbbabababaabaaagd	49733594
cbbbbbaabbbbabababaabaafad	49733594
cbbbbbaabbbbabababaabaebad	49733594
cbbbbbaabbbbabababaabeabad	49733594
cbbbbbaabbbbabababaafbabad	49733594
cbbbbbaabbbbabababaebbabad	49733594
cbbbbbaabbbbabababeabbabad	49733594
cbbbbbaabbbbababafbabbabad	49733594
cbbbbbaabbbbababebbabbabad	49733594
cbbbbbaabbbbabafbbbabbabad	49733594
cbbbbbaabbbbabebbbbabbabad	49733594
cbbbbbaabbbbafbbbbbabbabad	49733594
cbbbbbaabbbbebbbbbbabbabad	49733594
cbbbbbaabbbfbbbbbbbabbabad	49733594
cbbbbbaabbgabbbbbbbabbabad	49733594
cbbbbbaabgbabbbbbbbabbabad	49733594
cbbbbbaagbbabbbbbbbabbabad	49733594
cbbbbbafabbabbbbbbbabbabad	49733594
cbbbbbebabbabbbbbbbabbabad	49733594
cbbbbfbbabbabbbbbbbabbabad	49733594
cbbbgabbabbabbbbbbbabbabad	49733594
cbbgbabbabbabbbbbbbabbabad	49733594
cbgbbabbabbabbbbbbbabbabad	49733594
cgbbbabbabbabbbbbbbabbabad	49733594
cabbbbabbabbabbbbbbbabbabad	49733594
cabbbbabbabbabbbbbbbabbabd	24866797
cabbbbabbabbabbbbbbbabbagd	37300196
cabbbbabbabbabbbbbbbabbfad	37300196
cabbbbabbabbabbbbbbbabgaad	37300196
cabbbbabbabbabbbbbbbagbaad	37300196
cabbbbabbabbabbbbbbbfabaad	37300196
cabbbbabbabbabbbbbbgaabaad	37300196
cabbbbabbabbabbbbbgbaabaad	37300196
cabbbbabbabbabbbbgbbaabaad	37300196
cabbbbabbabbabbbgbbbaabaad	37300196
cabbbbabbabbabbgbbbbaabaad	37300196
cabbbbabbabbabgbbbbbaabaad	37300196
cabbbbabbabbagbbbbbbaabaad	37300196
cabbbbabbabbfabbbbbbaabaad	37300196
cabbbbabbabgaabbbbbbaabaad	37300196
cabbbbabbagbaabbbbbbaabaad	37300196
cabbbbabbfabaabbbbbbaabaad	37300196
cabbbbabgaabaabbbbbbaabaad	37300196
cabbbbagbaabaabbbbbbaabaad	37300196
cabbbbfabaabaabbbbbbaabaad	37300196
cabbbgaabaabaabbbbbbaabaad	37300196
cabbgbaabaabaabbbbbbaabaad	37300196
cabgbbaabaabaabbbbbbaabaad	37300196
cagbbbaabaabaabbbbbbaabaad	37300196
cfabbbaabaabaabbbbbbaabaad	37300196
caaabbbaabaabaabbbbbbaabaad	37300196
caaabbbaabaabaabbbbbbaabad	18650098
caaabbbaabaabaabbbbbbaabd	9325049
caaabbbaabaabaabbbbbbaagd	13987574
caaabbbaabaabaabbbbbbafad	13987574
caaabbbaabaabaabbbbbbebad	13987574
