"Input number 564584100838 with intial rewrite term caaaaabbabbbaabbbbabababbabbaabbbbbaabbad
Generated final number 1 with final rewrite term cd
Number of steps: 1386  Number of array doubles: 0"
Term	Number
caaaaabbabbbaabbbbabababbabbaabbbbbaabbd	282292050419
caaaaabbabbbaabbbbabababbabbaabbbbbaabgd	423438075629
caaaaabbabbbaabbbbabababbabbaabbbbbaagbd	423438075629
caaaaabbabbbaabbbbabababbabbaabbbbbafabd	423438075629
caaaaabbabbbaabbbbabababbabbaabbbbbebabd	423438075629
caaaaabbabbbaabbbbabababbabbaabbbbfbbabd	423438075629
caaaaabbabbbaabbbbabababbabbaabbbgabbabd	423438075629
caaaaabbabbbaabbbbabababbabbaabbgbabbabd	423438075629
caaaaabbabbbaabbbbabababbabbaabgbbabbabd	423438075629
caaaaabbabbbaabbbbabababbabbaagbbbabbabd	423438075629
caaaaabbabbbaabbbbabababbabbafabbbabbabd	423438075629
caaaaabbabbbaabbbbabababbabbebabbbabbabd	423438075629
caaaaabbabbbaabbbbabababbabfbbabbbabbabd	423438075629
caaaaabbabbbaabbbbabababbagabbabbbabbabd	423438075629
caaaaabbabbbaabbbbabababbfaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbabababgaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbababagbaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbababfabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbabagaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbabfaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbagaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbbfaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbbgaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabbgbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaabgbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbaagbbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbafabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbbebabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabbfbbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbabgabbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbagbabbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabbfababbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaabgaababbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaaagbaababbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaafabaababbabbbaaaaaabaaabbabbbabbabd	423438075629
caaaebabaababbabbbaaaaaabaaabbabbbabbabd	423438075629
caaeababaababbabbbaaaaaabaaabbabbbabbabd	423438075629
caeaababaababbabbbaaaaaabaaabbabbbabbabd	423438075629
ceaaababaababbabbbaaaaaabaaabbabbbabbabd	423438075629
cbaaababaababbabbbaaaaaabaaabbabbbabbabd	423438075629
cbaaababaababbabbbaaaaaabaaabbabbbabbagd	635157113444
cbaaababaababbabbbaaaaaabaaabbabbbabbfad	635157113444
cbaaababaababbabbbaaaaaabaaabbabbbabgaad	635157113444
cbaaababaababbabbbaaaaaabaaabbabbbagbaad	635157113444
cbaaababaababbabbbaaaaaabaaabbabbbfabaad	635157113444
cbaaababaababbabbbaaaaaabaaabbabbgaabaad	635157113444
cbaaababaababbabbbaaaaaabaaabbabgbaabaad	635157113444
cbaaababaababbabbbaaaaaabaaabbagbbaabaad	635157113444
cbaaababaababbabbbaaaaaabaaabbfabbaabaad	635157113444
cbaaababaababbabbbaaaaaabaaabgaabbaabaad	635157113444
cbaaababaababbabbbaaaaaabaaagbaabbaabaad	635157113444
cbaaababaababbabbbaaaaaabaafabaabbaabaad	635157113444
cbaaababaababbabbbaaaaaabaebabaabbaabaad	635157113444
cbaaababaababbabbbaaaaaabeababaabbaabaad	635157113444
cbaaababaababbabbbaaaaaafbababaabbaabaad	635157113444
cbaaababaababbabbbaaaaaebbababaabbaabaad	635157113444
cbaaababaababbabbbaaaaeabbababaabbaabaad	635157113444
cbaaababaababbabbbaaaeaabbababaabbaabaad	635157113444
cbaaababaababbabbbaaeaaabbababaabbaabaad	635157113444
cbaaababaababbabbbaeaaaabbababaabbaabaad	635157113444
cbaaababaababbabbbeaaaaabbababaabbaabaad	635157113444
cbaaababaababbabbfbaaaaabbababaabbaabaad	635157113444
cbaaababaababbabgabaaaaabbababaabbaabaad	635157113444
cbaaababaababbagbabaaaaabbababaabbaabaad	635157113444
cbaaababaababbfababaaaaabbababaabbaabaad	635157113444
cbaaababaababgaababaaaaabbababaabbaabaad	635157113444
cbaaababaabagbaababaaaaabbababaabbaabaad	635157113444
cbaaababaabfabaababaaaaabbababaabbaabaad	635157113444
cbaaababaagaabaababaaaaabbababaabbaabaad	635157113444
cbaaababafaaabaababaaaaabbababaabbaabaad	635157113444
cbaaababebaaabaababaaaaabbababaabbaabaad	635157113444
cbaaabafbbaaabaababaaaaabbababaabbaabaad	635157113444
cbaaabebbbaaabaababaaaaabbababaabbaabaad	635157113444
cbaaafbbbbaaabaababaaaaabbababaabbaabaad	635157113444
cbaaebbbbbaaabaababaaaaabbababaabbaabaad	635157113444
cbaeabbbbbaaabaababaaaaabbababaabbaabaad	635157113444
cbeaabbbbbaaabaababaaaaabbababaabbaabaad	635157113444
cfbaabbbbbaaabaababaaaaabbababaabbaabaad	635157113444
caabaabbbbbaaabaababaaaaabbababaabbaabaad	635157113444
caabaabbbbbaaabaababaaaaabbababaabbaabad	317578556722
caabaabbbbbaaabaababaaaaabbababaabbaabd	158789278361
caabaabbbbbaaabaababaaaaabbababaabbaagd	238183917542
caabaabbbbbaaabaababaaaaabbababaabbafad	238183917542
caabaabbbbbaaabaababaaaaabbababaabbebad	238183917542
caabaabbbbbaaabaababaaaaabbababaabfbbad	238183917542
caabaabbbbbaaabaababaaaaabbababaagabbad	238183917542
caabaabbbbbaaabaababaaaaabbababafaabbad	238183917542
caabaabbbbbaaabaababaaaaabbababebaabbad	238183917542
caabaabbbbbaaabaababaaaaabbabafbbaabbad	238183917542
caabaabbbbbaaabaababaaaaabbabebbbaabbad	238183917542
caabaabbbbbaaabaababaaaaabbafbbbbaabbad	238183917542
caabaabbbbbaaabaababaaaaabbebbbbbaabbad	238183917542
caabaabbbbbaaabaababaaaaabfbbbbbbaabbad	238183917542
caabaabbbbbaaabaababaaaaagabbbbbbaabbad	238183917542
caabaabbbbbaaabaababaaaafaabbbbbbaabbad	238183917542
caabaabbbbbaaabaababaaaebaabbbbbbaabbad	238183917542
caabaabbbbbaaabaababaaeabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaababaeaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaababeaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaabafbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaabebbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaafbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabaebbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaabeabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaafbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaaebbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbaeabbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbbeaabbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbbfbaabbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbbgabaabbabbbbaaabaabbbbbbaabbad	238183917542
caabaabbgbabaabbabbbbaaabaabbbbbbaabbad	238183917542
caabaabgbbabaabbabbbbaaabaabbbbbbaabbad	238183917542
caabaagbbbabaabbabbbbaaabaabbbbbbaabbad	238183917542
caabafabbbabaabbabbbbaaabaabbbbbbaabbad	238183917542
