"Input number 83158 with intial rewrite term cabaaabaabbababbad
Generated final number 1 with final rewrite term cd
Number of steps: 313  Number of array doubles: 0"
Term	Number
cabaaabaabbababbd	41579
cabaaabaabbababgd	62369
cabaaabaabbabagbd	62369
cabaaabaabbabfabd	62369
cabaaabaabbagaabd	62369
cabaaabaabbfaaabd	62369
cabaaabaabgaaaabd	62369
cabaaabaagbaaaabd	62369
cabaaabafabaaaabd	62369
cabaaabebabaaaabd	62369
cabaaafbbabaaaabd	62369
cabaaebbbabaaaabd	62369
cabaeabbbabaaaabd	62369
cabeaabbbabaaaabd	62369
cafbaabbbabaaaabd	62369
cebbaabbbabaaaabd	62369
cbbbaabbbabaaaabd	62369
cbbbaabbbabaaaagd	93554
cbbbaabbbabaaafad	93554
cbbbaabbbabaaebad	93554
cbbbaabbbabaeabad	93554
cbbbaabbbabeaabad	93554
cbbbaabbbafbaabad	93554
cbbbaabbbebbaabad	93554
cbbbaabbfbbbaabad	93554
cbbbaabgabbbaabad	93554
cbbbaagbabbbaabad	93554
cbbbafababbbaabad	93554
cbbbebababbbaabad	93554
cbbfbbababbbaabad	93554
cbgabbababbbaabad	93554
cgbabbababbbaabad	93554
cabbabbababbbaabad	93554
cabbabbababbbaabd	46777
cabbabbababbbaagd	70166
cabbabbababbbafad	70166
cabbabbababbbebad	70166
cabbabbababbfbbad	70166
cabbabbababgabbad	70166
cabbabbabagbabbad	70166
cabbabbabfababbad	70166
cabbabbagaababbad	70166
cabbabbfaaababbad	70166
cabbabgaaaababbad	70166
cabbagbaaaababbad	70166
cabbfabaaaababbad	70166
cabgaabaaaababbad	70166
cagbaabaaaababbad	70166
cfabaabaaaababbad	70166
caaabaabaaaababbad	70166
caaabaabaaaababbd	35083
caaabaabaaaababgd	52625
caaabaabaaaabagbd	52625
caaabaabaaaabfabd	52625
caaabaabaaaagaabd	52625
caaabaabaaafaaabd	52625
caaabaabaaebaaabd	52625
caaabaabaeabaaabd	52625
caaabaabeaabaaabd	52625
caaabaafbaabaaabd	52625
caaabaebbaabaaabd	52625
caaabeabbaabaaabd	52625
caaafbabbaabaaabd	52625
caaebbabbaabaaabd	52625
caeabbabbaabaaabd	52625
ceaabbabbaabaaabd	52625
cbaabbabbaabaaabd	52625
