Input Number	Final Number	Number of rewrite steps	Number of array doubles
3	3	0	0
7	7	0	0
9	7	2	0
15	3	11	0
19	7	4	0
25	7	7	0
27	3	248	1
33	7	11	0
39	7	26	0
109	3	249	1
123	7	50	0
187	7	50	0
219	7	66	0
255	7	76	0
291	3	257	0
439	7	69	0
703	7	626	1
907	7	94	0
1095	7	144	0
1249	7	643	1
1665	7	652	1
1815	7	97	0
3259	3	101	0
4381	7	145	0
4591	3	755	0
5841	7	156	0
6121	3	766	0
6171	3	912	1
6823	7	400	0
8161	3	777	0
10881	3	789	0
12319	7	244	0
12351	3	460	0
23131	3	558	0
24615	7	226	0
25243	7	715	0
31591	7	241	0
31911	7	735	0
62079	7	1141	0
63183	7	245	0
77055	7	388	0
113383	3	1636	1
127143	3	965	1
290751	5	1971	1
325791	3	928	0
557127	3	1528	1
651583	3	934	0
687871	7	2981	1
868777	3	952	0
917161	7	2999	1
1222881	7	3018	1
1379295	7	511	0
1627119	3	1095	0
2068923	7	489	0
2911471	7	661	0
2911515	7	656	0
3041391	7	2982	1
3047407	3	1249	0
6094815	3	1254	0
6549279	7	593	0
7209223	7	3048	1
9826215	7	583	0
12901615	7	875	0
13805679	7	742	0
14418447	7	3052	1
24379261	3	1255	0
26155275	7	581	0
32505681	3	1278	0
34873707	7	611	0
35651835	7	1732	0
41331823	7	705	0
43543207	7	836	0
50078847	7	1896	0
60340335	7	1339	0
100157695	7	1904	0
116115219	7	862	0
133543593	7	1929	0
194649045	7	2985	0
267087187	7	1931	0
275234751	7	974	0
319804831	7	7747	1
326589567	7	1256	0
339554031	7	1622	0
356116249	7	1958	0
379027947	7	7829	1
598957743	7	7944	1
712232497	7	1958	0
794080495	7	2371	0
949643331	7	1987	0
