"Input number 12901615 with intial rewrite term cbaaabaabbabbbaabbbabbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 875  Number of array doubles: 0"
Term	Number
cbaaabaabbabbbaabbbabgbbd	19352423
cbaaabaabbabbbaabbbagbbbd	19352423
cbaaabaabbabbbaabbbfabbbd	19352423
cbaaabaabbabbbaabbgaabbbd	19352423
cbaaabaabbabbbaabgbaabbbd	19352423
cbaaabaabbabbbaagbbaabbbd	19352423
cbaaabaabbabbbafabbaabbbd	19352423
cbaaabaabbabbbebabbaabbbd	19352423
cbaaabaabbabbfbbabbaabbbd	19352423
cbaaabaabbabgabbabbaabbbd	19352423
cbaaabaabbagbabbabbaabbbd	19352423
cbaaabaabbfababbabbaabbbd	19352423
cbaaabaabgaababbabbaabbbd	19352423
cbaaabaagbaababbabbaabbbd	19352423
cbaaabafabaababbabbaabbbd	19352423
cbaaabebabaababbabbaabbbd	19352423
cbaaafbbabaababbabbaabbbd	19352423
cbaaebbbabaababbabbaabbbd	19352423
cbaeabbbabaababbabbaabbbd	19352423
cbeaabbbabaababbabbaabbbd	19352423
cfbaabbbabaababbabbaabbbd	19352423
caabaabbbabaababbabbaabbbd	19352423
caabaabbbabaababbabbaagbbd	29028635
caabaabbbabaababbabbafabbd	29028635
caabaabbbabaababbabbebabbd	29028635
caabaabbbabaababbabfbbabbd	29028635
caabaabbbabaababbagabbabbd	29028635
caabaabbbabaababbfaabbabbd	29028635
caabaabbbabaababgaaabbabbd	29028635
caabaabbbabaabagbaaabbabbd	29028635
caabaabbbabaabfabaaabbabbd	29028635
caabaabbbabaagaabaaabbabbd	29028635
caabaabbbabafaaabaaabbabbd	29028635
caabaabbbabebaaabaaabbabbd	29028635
caabaabbbafbbaaabaaabbabbd	29028635
caabaabbbebbbaaabaaabbabbd	29028635
caabaabbfbbbbaaabaaabbabbd	29028635
caabaabgabbbbaaabaaabbabbd	29028635
caabaagbabbbbaaabaaabbabbd	29028635
caabafababbbbaaabaaabbabbd	29028635
caabebababbbbaaabaaabbabbd	29028635
caafbbababbbbaaabaaabbabbd	29028635
caebbbababbbbaaabaaabbabbd	29028635
ceabbbababbbbaaabaaabbabbd	29028635
cbabbbababbbbaaabaaabbabbd	29028635
cbabbbababbbbaaabaaabbfabd	43542953
cbabbbababbbbaaabaaabgaabd	43542953
