"Input number 14418447 with intial rewrite term cbabbbaaaaaaaabaaaaabbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 3052  Number of array doubles: 1"
Term	Number
cbabbbaaaaaaaabaaaaabgbbd	21627671
cbabbbaaaaaaaabaaaaagbbbd	21627671
cbabbbaaaaaaaabaaaafabbbd	21627671
cbabbbaaaaaaaabaaaebabbbd	21627671
cbabbbaaaaaaaabaaeababbbd	21627671
cbabbbaaaaaaaabaeaababbbd	21627671
cbabbbaaaaaaaabeaaababbbd	21627671
cbabbbaaaaaaaafbaaababbbd	21627671
cbabbbaaaaaaaebbaaababbbd	21627671
cbabbbaaaaaaeabbaaababbbd	21627671
cbabbbaaaaaeaabbaaababbbd	21627671
cbabbbaaaaeaaabbaaababbbd	21627671
cbabbbaaaeaaaabbaaababbbd	21627671
cbabbbaaeaaaaabbaaababbbd	21627671
cbabbbaeaaaaaabbaaababbbd	21627671
cbabbbeaaaaaaabbaaababbbd	21627671
cbabbfbaaaaaaabbaaababbbd	21627671
cbabgabaaaaaaabbaaababbbd	21627671
cbagbabaaaaaaabbaaababbbd	21627671
cbfababaaaaaaabbaaababbbd	21627671
cgaababaaaaaaabbaaababbbd	21627671
cabaababaaaaaaabbaaababbbd	21627671
cabaababaaaaaaabbaaabagbbd	32441507
cabaababaaaaaaabbaaabfabbd	32441507
cabaababaaaaaaabbaaagaabbd	32441507
cabaababaaaaaaabbaafaaabbd	32441507
cabaababaaaaaaabbaebaaabbd	32441507
cabaababaaaaaaabbeabaaabbd	32441507
cabaababaaaaaaabfbabaaabbd	32441507
cabaababaaaaaaagababaaabbd	32441507
cabaababaaaaaafaababaaabbd	32441507
cabaababaaaaaebaababaaabbd	32441507
cabaababaaaaeabaababaaabbd	32441507
cabaababaaaeaabaababaaabbd	32441507
cabaababaaeaaabaababaaabbd	32441507
cabaababaeaaaabaababaaabbd	32441507
cabaababeaaaaabaababaaabbd	32441507
cabaabafbaaaaabaababaaabbd	32441507
cabaabebbaaaaabaababaaabbd	32441507
cabaafbbbaaaaabaababaaabbd	32441507
cabaebbbbaaaaabaababaaabbd	32441507
cabeabbbbaaaaabaababaaabbd	32441507
cafbabbbbaaaaabaababaaabbd	32441507
cebbabbbbaaaaabaababaaabbd	32441507
cbbbabbbbaaaaabaababaaabbd	32441507
cbbbabbbbaaaaabaababaafabd	48662261
