"Input number 187 with intial rewrite term cabbbabbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 50  Number of array doubles: 0"
Term	Number
cabbbfabd	281
cabbgaabd	281
cabgbaabd	281
cagbbaabd	281
cfabbaabd	281
caaabbaabd	281
caaabbebd	211
caaabfbbd	211
caaagabbd	211
caafaabbd	211
caebaabbd	211
ceabaabbd	211
cbabaabbd	211
cbabafabd	317
cbabebabd	317
cbafbbabd	317
cbebbbabd	317
cfbbbbabd	317
caabbbbabd	317
caabbbbd	79
caabgbbd	119
caagbbbd	119
cafabbbd	119
cebabbbd	119
cbbabbbd	119
cbbagbbd	179
cbbfabbd	179
cbgaabbd	179
cgbaabbd	179
cabbaabbd	179
cabbafabd	269
cabbebabd	269
cabfbbabd	269
cagabbabd	269
cfaabbabd	269
caaaabbabd	269
caaaabbd	67
caaafabd	101
caaebabd	101
caeababd	101
ceaababd	101
cbaababd	101
cbaabd	25
cbebd	19
cfbbd	19
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbbd	7
