"Input number 3047407 with intial rewrite term cabbbaabbbbbbbbbbabbbbd
Generated final number 3 with final rewrite term cbd
Number of steps: 1249  Number of array doubles: 0"
Term	Number
cabbbaabbbbbbbbbbabgbbd	4571111
cabbbaabbbbbbbbbbagbbbd	4571111
cabbbaabbbbbbbbbbfabbbd	4571111
cabbbaabbbbbbbbbgaabbbd	4571111
cabbbaabbbbbbbbgbaabbbd	4571111
cabbbaabbbbbbbgbbaabbbd	4571111
cabbbaabbbbbbgbbbaabbbd	4571111
cabbbaabbbbbgbbbbaabbbd	4571111
cabbbaabbbbgbbbbbaabbbd	4571111
cabbbaabbbgbbbbbbaabbbd	4571111
cabbbaabbgbbbbbbbaabbbd	4571111
cabbbaabgbbbbbbbbaabbbd	4571111
cabbbaagbbbbbbbbbaabbbd	4571111
cabbbafabbbbbbbbbaabbbd	4571111
cabbbebabbbbbbbbbaabbbd	4571111
cabbfbbabbbbbbbbbaabbbd	4571111
cabgabbabbbbbbbbbaabbbd	4571111
cagbabbabbbbbbbbbaabbbd	4571111
cfababbabbbbbbbbbaabbbd	4571111
caaababbabbbbbbbbbaabbbd	4571111
caaababbabbbbbbbbbaagbbd	6856667
caaababbabbbbbbbbbafabbd	6856667
caaababbabbbbbbbbbebabbd	6856667
caaababbabbbbbbbbfbbabbd	6856667
caaababbabbbbbbbgabbabbd	6856667
caaababbabbbbbbgbabbabbd	6856667
caaababbabbbbbgbbabbabbd	6856667
caaababbabbbbgbbbabbabbd	6856667
caaababbabbbgbbbbabbabbd	6856667
caaababbabbgbbbbbabbabbd	6856667
caaababbabgbbbbbbabbabbd	6856667
caaababbagbbbbbbbabbabbd	6856667
caaababbfabbbbbbbabbabbd	6856667
caaababgaabbbbbbbabbabbd	6856667
caaabagbaabbbbbbbabbabbd	6856667
caaabfabaabbbbbbbabbabbd	6856667
caaagaabaabbbbbbbabbabbd	6856667
caafaaabaabbbbbbbabbabbd	6856667
caebaaabaabbbbbbbabbabbd	6856667
ceabaaabaabbbbbbbabbabbd	6856667
cbabaaabaabbbbbbbabbabbd	6856667
cbabaaabaabbbbbbbabbfabd	10285001
cbabaaabaabbbbbbbabgaabd	10285001
cbabaaabaabbbbbbbagbaabd	10285001
cbabaaabaabbbbbbbfabaabd	10285001
cbabaaabaabbbbbbgaabaabd	10285001
cbabaaabaabbbbbgbaabaabd	10285001
cbabaaabaabbbbgbbaabaabd	10285001
cbabaaabaabbbgbbbaabaabd	10285001
cbabaaabaabbgbbbbaabaabd	10285001
cbabaaabaabgbbbbbaabaabd	10285001
cbabaaabaagbbbbbbaabaabd	10285001
cbabaaabafabbbbbbaabaabd	10285001
cbabaaabebabbbbbbaabaabd	10285001
cbabaaafbbabbbbbbaabaabd	10285001
cbabaaebbbabbbbbbaabaabd	10285001
cbabaeabbbabbbbbbaabaabd	10285001
cbabeaabbbabbbbbbaabaabd	10285001
cbafbaabbbabbbbbbaabaabd	10285001
cbebbaabbbabbbbbbaabaabd	10285001
cfbbbaabbbabbbbbbaabaabd	10285001
caabbbaabbbabbbbbbaabaabd	10285001
caabbbaabbbabbbbbbaabebd	7713751
caabbbaabbbabbbbbbaafbbd	7713751
caabbbaabbbabbbbbbaebbbd	7713751
caabbbaabbbabbbbbbeabbbd	7713751
caabbbaabbbabbbbbfbabbbd	7713751
caabbbaabbbabbbbgababbbd	7713751
caabbbaabbbabbbgbababbbd	7713751
caabbbaabbbabbgbbababbbd	7713751
caabbbaabbbabgbbbababbbd	7713751
caabbbaabbbagbbbbababbbd	7713751
caabbbaabbbfabbbbababbbd	7713751
caabbbaabbgaabbbbababbbd	7713751
caabbbaabgbaabbbbababbbd	7713751
caabbbaagbbaabbbbababbbd	7713751
caabbbafabbaabbbbababbbd	7713751
caabbbebabbaabbbbababbbd	7713751
caabbfbbabbaabbbbababbbd	7713751
caabgabbabbaabbbbababbbd	7713751
caagbabbabbaabbbbababbbd	7713751
cafababbabbaabbbbababbbd	7713751
cebababbabbaabbbbababbbd	7713751
cbbababbabbaabbbbababbbd	7713751
cbbababbabbaabbbbabagbbd	11570627
cbbababbabbaabbbbabfabbd	11570627
cbbababbabbaabbbbagaabbd	11570627
cbbababbabbaabbbbfaaabbd	11570627
cbbababbabbaabbbgaaaabbd	11570627
cbbababbabbaabbgbaaaabbd	11570627
cbbababbabbaabgbbaaaabbd	11570627
cbbababbabbaagbbbaaaabbd	11570627
cbbababbabbafabbbaaaabbd	11570627
cbbababbabbebabbbaaaabbd	11570627
cbbababbabfbbabbbaaaabbd	11570627
cbbababbagabbabbbaaaabbd	11570627
cbbababbfaabbabbbaaaabbd	11570627
cbbababgaaabbabbbaaaabbd	11570627
cbbabagbaaabbabbbaaaabbd	11570627
cbbabfabaaabbabbbaaaabbd	11570627
cbbagaabaaabbabbbaaaabbd	11570627
cbbfaaabaaabbabbbaaaabbd	11570627
cbgaaaabaaabbabbbaaaabbd	11570627
cgbaaaabaaabbabbbaaaabbd	11570627
cabbaaaabaaabbabbbaaaabbd	11570627
cabbaaaabaaabbabbbaaafabd	17355941
cabbaaaabaaabbabbbaaebabd	17355941
cabbaaaabaaabbabbbaeababd	17355941
cabbaaaabaaabbabbbeaababd	17355941
cabbaaaabaaabbabbfbaababd	17355941
cabbaaaabaaabbabgabaababd	17355941
cabbaaaabaaabbagbabaababd	17355941
cabbaaaabaaabbfababaababd	17355941
cabbaaaabaaabgaababaababd	17355941
cabbaaaabaaagbaababaababd	17355941
cabbaaaabaafabaababaababd	17355941
cabbaaaabaebabaababaababd	17355941
cabbaaaabeababaababaababd	17355941
cabbaaaafbababaababaababd	17355941
cabbaaaebbababaababaababd	17355941
cabbaaeabbababaababaababd	17355941
cabbaeaabbababaababaababd	17355941
cabbeaaabbababaababaababd	17355941
cabfbaaabbababaababaababd	17355941
cagabaaabbababaababaababd	17355941
cfaabaaabbababaababaababd	17355941
caaaabaaabbababaababaababd	17355941
caaaabaaabbababaababaabd	4338985
caaaabaaabbababaababebd	3254239
