"Input number 31911 with intial rewrite term cbbbbaababaabbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 735  Number of array doubles: 0"
Term	Number
cbbbbaababaagbbd	47867
cbbbbaababafabbd	47867
cbbbbaababebabbd	47867
cbbbbaabafbbabbd	47867
cbbbbaabebbbabbd	47867
cbbbbaafbbbbabbd	47867
cbbbbaebbbbbabbd	47867
cbbbbeabbbbbabbd	47867
cbbbfbabbbbbabbd	47867
cbbgababbbbbabbd	47867
cbgbababbbbbabbd	47867
cgbbababbbbbabbd	47867
cabbbababbbbbabbd	47867
cabbbababbbbbfabd	71801
cabbbababbbbgaabd	71801
cabbbababbbgbaabd	71801
cabbbababbgbbaabd	71801
cabbbababgbbbaabd	71801
cabbbabagbbbbaabd	71801
cabbbabfabbbbaabd	71801
cabbbagaabbbbaabd	71801
cabbbfaaabbbbaabd	71801
cabbgaaaabbbbaabd	71801
cabgbaaaabbbbaabd	71801
cagbbaaaabbbbaabd	71801
cfabbaaaabbbbaabd	71801
caaabbaaaabbbbaabd	71801
caaabbaaaabbbbebd	53851
caaabbaaaabbbfbbd	53851
caaabbaaaabbgabbd	53851
caaabbaaaabgbabbd	53851
caaabbaaaagbbabbd	53851
caaabbaaafabbabbd	53851
caaabbaaebabbabbd	53851
caaabbaeababbabbd	53851
caaabbeaababbabbd	53851
caaabfbaababbabbd	53851
caaagabaababbabbd	53851
caafaabaababbabbd	53851
caebaabaababbabbd	53851
ceabaabaababbabbd	53851
cbabaabaababbabbd	53851
cbabaabaababbfabd	80777
cbabaabaababgaabd	80777
cbabaabaabagbaabd	80777
cbabaabaabfabaabd	80777
cbabaabaagaabaabd	80777
cbabaabafaaabaabd	80777
cbabaabebaaabaabd	80777
cbabaafbbaaabaabd	80777
cbabaebbbaaabaabd	80777
cbabeabbbaaabaabd	80777
cbafbabbbaaabaabd	80777
cbebbabbbaaabaabd	80777
cfbbbabbbaaabaabd	80777
caabbbabbbaaabaabd	80777
caabbbabbbaaabebd	60583
caabbbabbbaaafbbd	60583
caabbbabbbaaebbbd	60583
caabbbabbbaeabbbd	60583
caabbbabbbeaabbbd	60583
caabbbabbfbaabbbd	60583
caabbbabgabaabbbd	60583
caabbbagbabaabbbd	60583
caabbbfababaabbbd	60583
caabbgaababaabbbd	60583
caabgbaababaabbbd	60583
caagbbaababaabbbd	60583
cafabbaababaabbbd	60583
cebabbaababaabbbd	60583
cbbabbaababaabbbd	60583
cbbabbaababaagbbd	90875
cbbabbaababafabbd	90875
cbbabbaababebabbd	90875
cbbabbaabafbbabbd	90875
cbbabbaabebbbabbd	90875
cbbabbaafbbbbabbd	90875
cbbabbaebbbbbabbd	90875
cbbabbeabbbbbabbd	90875
cbbabfbabbbbbabbd	90875
cbbagababbbbbabbd	90875
cbbfaababbbbbabbd	90875
cbgaaababbbbbabbd	90875
cgbaaababbbbbabbd	90875
cabbaaababbbbbabbd	90875
cabbaaababbbbbfabd	136313
cabbaaababbbbgaabd	136313
cabbaaababbbgbaabd	136313
cabbaaababbgbbaabd	136313
cabbaaababgbbbaabd	136313
cabbaaabagbbbbaabd	136313
cabbaaabfabbbbaabd	136313
cabbaaagaabbbbaabd	136313
cabbaafaaabbbbaabd	136313
cabbaebaaabbbbaabd	136313
cabbeabaaabbbbaabd	136313
cabfbabaaabbbbaabd	136313
cagababaaabbbbaabd	136313
cfaababaaabbbbaabd	136313
caaaababaaabbbbaabd	136313
caaaababaaabbbbebd	102235
caaaababaaabbbfbbd	102235
caaaababaaabbgabbd	102235
caaaababaaabgbabbd	102235
caaaababaaagbbabbd	102235
caaaababaafabbabbd	102235
caaaababaebabbabbd	102235
caaaababeababbabbd	102235
caaaabafbababbabbd	102235
caaaabebbababbabbd	102235
caaaafbbbababbabbd	102235
caaaebbbbababbabbd	102235
caaeabbbbababbabbd	102235
caeaabbbbababbabbd	102235
ceaaabbbbababbabbd	102235
cbaaabbbbababbabbd	102235
cbaaabbbbababbfabd	153353
cbaaabbbbababgaabd	153353
cbaaabbbbabagbaabd	153353
cbaaabbbbabfabaabd	153353
cbaaabbbbagaabaabd	153353
cbaaabbbbfaaabaabd	153353
cbaaabbbgaaaabaabd	153353
cbaaabbgbaaaabaabd	153353
cbaaabgbbaaaabaabd	153353
cbaaagbbbaaaabaabd	153353
cbaafabbbaaaabaabd	153353
cbaebabbbaaaabaabd	153353
cbeababbbaaaabaabd	153353
cfbababbbaaaabaabd	153353
caabababbbaaaabaabd	153353
caabababbbaaaabebd	115015
caabababbbaaaafbbd	115015
caabababbbaaaebbbd	115015
caabababbbaaeabbbd	115015
caabababbbaeaabbbd	115015
caabababbbeaaabbbd	115015
caabababbfbaaabbbd	115015
caabababgabaaabbbd	115015
caababagbabaaabbbd	115015
caababfababaaabbbd	115015
caabagaababaaabbbd	115015
caabfaaababaaabbbd	115015
caagaaaababaaabbbd	115015
cafaaaaababaaabbbd	115015
cebaaaaababaaabbbd	115015
cbbaaaaababaaabbbd	115015
cbbaaaaababaaagbbd	172523
cbbaaaaababaafabbd	172523
cbbaaaaababaebabbd	172523
cbbaaaaababeababbd	172523
cbbaaaaabafbababbd	172523
cbbaaaaabebbababbd	172523
cbbaaaaafbbbababbd	172523
cbbaaaaebbbbababbd	172523
cbbaaaeabbbbababbd	172523
cbbaaeaabbbbababbd	172523
cbbaeaaabbbbababbd	172523
cbbeaaaabbbbababbd	172523
cbfbaaaabbbbababbd	172523
cgabaaaabbbbababbd	172523
cababaaaabbbbababbd	172523
cababaaaabbbbabfabd	258785
cababaaaabbbbagaabd	258785
cababaaaabbbbfaaabd	258785
cababaaaabbbgaaaabd	258785
cababaaaabbgbaaaabd	258785
cababaaaabgbbaaaabd	258785
cababaaaagbbbaaaabd	258785
cababaaafabbbaaaabd	258785
cababaaebabbbaaaabd	258785
cababaeababbbaaaabd	258785
cababeaababbbaaaabd	258785
cabafbaababbbaaaabd	258785
cabebbaababbbaaaabd	258785
cafbbbaababbbaaaabd	258785
cebbbbaababbbaaaabd	258785
cbbbbbaababbbaaaabd	258785
cbbbbbaababbbaaebd	194089
cbbbbbaababbbaeabd	194089
cbbbbbaababbbeaabd	194089
cbbbbbaababbfbaabd	194089
cbbbbbaababgabaabd	194089
cbbbbbaabagbabaabd	194089
cbbbbbaabfababaabd	194089
cbbbbbaagaababaabd	194089
cbbbbbafaaababaabd	194089
cbbbbbebaaababaabd	194089
cbbbbfbbaaababaabd	194089
cbbbgabbaaababaabd	194089
cbbgbabbaaababaabd	194089
cbgbbabbaaababaabd	194089
cgbbbabbaaababaabd	194089
cabbbbabbaaababaabd	194089
cabbbbabbaaababebd	145567
cabbbbabbaaabafbbd	145567
cabbbbabbaaabebbbd	145567
cabbbbabbaaafbbbbd	145567
cabbbbabbaaebbbbbd	145567
cabbbbabbaeabbbbbd	145567
cabbbbabbeaabbbbbd	145567
cabbbbabfbaabbbbbd	145567
cabbbbagabaabbbbbd	145567
cabbbbfaabaabbbbbd	145567
cabbbgaaabaabbbbbd	145567
cabbgbaaabaabbbbbd	145567
cabgbbaaabaabbbbbd	145567
cagbbbaaabaabbbbbd	145567
cfabbbaaabaabbbbbd	145567
caaabbbaaabaabbbbbd	145567
caaabbbaaabaabbgbbd	218351
caaabbbaaabaabgbbbd	218351
caaabbbaaabaagbbbbd	218351
caaabbbaaabafabbbbd	218351
caaabbbaaabebabbbbd	218351
caaabbbaaafbbabbbbd	218351
caaabbbaaebbbabbbbd	218351
caaabbbaeabbbabbbbd	218351
caaabbbeaabbbabbbbd	218351
caaabbfbaabbbabbbbd	218351
caaabgabaabbbabbbbd	218351
caaagbabaabbbabbbbd	218351
caafababaabbbabbbbd	218351
caebababaabbbabbbbd	218351
ceabababaabbbabbbbd	218351
cbabababaabbbabbbbd	218351
cbabababaabbbabgbbd	327527
cbabababaabbbagbbbd	327527
cbabababaabbbfabbbd	327527
cbabababaabbgaabbbd	327527
cbabababaabgbaabbbd	327527
cbabababaagbbaabbbd	327527
cbabababafabbaabbbd	327527
cbabababebabbaabbbd	327527
cbababafbbabbaabbbd	327527
cbababebbbabbaabbbd	327527
