"Input number 3259 with intial rewrite term cbaababbbabbd
Generated final number 3 with final rewrite term cbd
Number of steps: 101  Number of array doubles: 0"
Term	Number
cbaababbbfabd	4889
cbaababbgaabd	4889
cbaababgbaabd	4889
cbaabagbbaabd	4889
cbaabfabbaabd	4889
cbaagaabbaabd	4889
cbafaaabbaabd	4889
cbebaaabbaabd	4889
cfbbaaabbaabd	4889
caabbaaabbaabd	4889
caabbaaabbebd	3667
caabbaaabfbbd	3667
caabbaaagabbd	3667
caabbaafaabbd	3667
caabbaebaabbd	3667
caabbeabaabbd	3667
caabfbabaabbd	3667
caagababaabbd	3667
cafaababaabbd	3667
cebaababaabbd	3667
cbbaababaabbd	3667
cbbaababafabd	5501
cbbaababebabd	5501
cbbaabafbbabd	5501
cbbaabebbbabd	5501
cbbaafbbbbabd	5501
cbbaebbbbbabd	5501
cbbeabbbbbabd	5501
cbfbabbbbbabd	5501
cgababbbbbabd	5501
cabababbbbbabd	5501
cabababbbbbd	1375
cabababbgbbd	2063
cabababgbbbd	2063
cababagbbbbd	2063
cababfabbbbd	2063
cabagaabbbbd	2063
cabfaaabbbbd	2063
cagaaaabbbbd	2063
cfaaaaabbbbd	2063
caaaaaaabbbbd	2063
caaaaaaabgbbd	3095
caaaaaaagbbbd	3095
caaaaaafabbbd	3095
caaaaaebabbbd	3095
caaaaeababbbd	3095
caaaeaababbbd	3095
caaeaaababbbd	3095
caeaaaababbbd	3095
ceaaaaababbbd	3095
cbaaaaababbbd	3095
cbaaaaabagbbd	4643
cbaaaaabfabbd	4643
cbaaaaagaabbd	4643
cbaaaafaaabbd	4643
cbaaaebaaabbd	4643
cbaaeabaaabbd	4643
cbaeaabaaabbd	4643
cbeaaabaaabbd	4643
cfbaaabaaabbd	4643
caabaaabaaabbd	4643
caabaaabaafabd	6965
caabaaabaebabd	6965
caabaaabeababd	6965
caabaaafbababd	6965
caabaaebbababd	6965
caabaeabbababd	6965
caabeaabbababd	6965
caafbaabbababd	6965
caebbaabbababd	6965
ceabbaabbababd	6965
cbabbaabbababd	6965
cbabbaabbabd	1741
cbabbaabbd	435
cbabbafabd	653
cbabbebabd	653
cbabfbbabd	653
cbagabbabd	653
cbfaabbabd	653
cgaaabbabd	653
cabaaabbabd	653
cabaaabbd	163
cabaafabd	245
cabaebabd	245
cabeababd	245
cafbababd	245
cebbababd	245
cbbbababd	245
cbbbabd	61
cbbbd	15
cgbbd	23
cabbbd	23
cagbbd	35
cfabbd	35
caaabbd	35
caafabd	53
caebabd	53
ceababd	53
cbababd	53
cbabd	13
cbd	3
