"Input number 326589567 with intial rewrite term caabbabbbabbbababbbaaabbbbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 1256  Number of array doubles: 0"
Term	Number
caabbabbbabbbababbbaaabbbbgbbd	489884351
caabbabbbabbbababbbaaabbbgbbbd	489884351
caabbabbbabbbababbbaaabbgbbbbd	489884351
caabbabbbabbbababbbaaabgbbbbbd	489884351
caabbabbbabbbababbbaaagbbbbbbd	489884351
caabbabbbabbbababbbaafabbbbbbd	489884351
caabbabbbabbbababbbaebabbbbbbd	489884351
caabbabbbabbbababbbeababbbbbbd	489884351
caabbabbbabbbababbfbababbbbbbd	489884351
caabbabbbabbbababgabababbbbbbd	489884351
caabbabbbabbbabagbabababbbbbbd	489884351
caabbabbbabbbabfababababbbbbbd	489884351
caabbabbbabbbagaababababbbbbbd	489884351
caabbabbbabbbfaaababababbbbbbd	489884351
caabbabbbabbgaaaababababbbbbbd	489884351
caabbabbbabgbaaaababababbbbbbd	489884351
caabbabbbagbbaaaababababbbbbbd	489884351
caabbabbbfabbaaaababababbbbbbd	489884351
caabbabbgaabbaaaababababbbbbbd	489884351
caabbabgbaabbaaaababababbbbbbd	489884351
caabbagbbaabbaaaababababbbbbbd	489884351
caabbfabbaabbaaaababababbbbbbd	489884351
caabgaabbaabbaaaababababbbbbbd	489884351
caagbaabbaabbaaaababababbbbbbd	489884351
cafabaabbaabbaaaababababbbbbbd	489884351
cebabaabbaabbaaaababababbbbbbd	489884351
cbbabaabbaabbaaaababababbbbbbd	489884351
cbbabaabbaabbaaaababababbbgbbd	734826527
cbbabaabbaabbaaaababababbgbbbd	734826527
cbbabaabbaabbaaaababababgbbbbd	734826527
cbbabaabbaabbaaaabababagbbbbbd	734826527
cbbabaabbaabbaaaabababfabbbbbd	734826527
cbbabaabbaabbaaaababagaabbbbbd	734826527
cbbabaabbaabbaaaababfaaabbbbbd	734826527
cbbabaabbaabbaaaabagaaaabbbbbd	734826527
cbbabaabbaabbaaaabfaaaaabbbbbd	734826527
cbbabaabbaabbaaaagaaaaaabbbbbd	734826527
cbbabaabbaabbaaafaaaaaaabbbbbd	734826527
cbbabaabbaabbaaebaaaaaaabbbbbd	734826527
cbbabaabbaabbaeabaaaaaaabbbbbd	734826527
cbbabaabbaabbeaabaaaaaaabbbbbd	734826527
cbbabaabbaabfbaabaaaaaaabbbbbd	734826527
cbbabaabbaagabaabaaaaaaabbbbbd	734826527
cbbabaabbafaabaabaaaaaaabbbbbd	734826527
cbbabaabbebaabaabaaaaaaabbbbbd	734826527
cbbabaabfbbaabaabaaaaaaabbbbbd	734826527
cbbabaagabbaabaabaaaaaaabbbbbd	734826527
cbbabafaabbaabaabaaaaaaabbbbbd	734826527
cbbabebaabbaabaabaaaaaaabbbbbd	734826527
cbbafbbaabbaabaabaaaaaaabbbbbd	734826527
cbbebbbaabbaabaabaaaaaaabbbbbd	734826527
cbfbbbbaabbaabaabaaaaaaabbbbbd	734826527
cgabbbbaabbaabaabaaaaaaabbbbbd	734826527
cababbbbaabbaabaabaaaaaaabbbbbd	734826527
