"Input number 339554031 with intial rewrite term cabaaaabbbbabaababbbabbbabbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 1622  Number of array doubles: 0"
Term	Number
cabaaaabbbbabaababbbabbbabgbbd	509331047
cabaaaabbbbabaababbbabbbagbbbd	509331047
cabaaaabbbbabaababbbabbbfabbbd	509331047
cabaaaabbbbabaababbbabbgaabbbd	509331047
cabaaaabbbbabaababbbabgbaabbbd	509331047
cabaaaabbbbabaababbbagbbaabbbd	509331047
cabaaaabbbbabaababbbfabbaabbbd	509331047
cabaaaabbbbabaababbgaabbaabbbd	509331047
cabaaaabbbbabaababgbaabbaabbbd	509331047
cabaaaabbbbabaabagbbaabbaabbbd	509331047
cabaaaabbbbabaabfabbaabbaabbbd	509331047
cabaaaabbbbabaagaabbaabbaabbbd	509331047
cabaaaabbbbabafaaabbaabbaabbbd	509331047
cabaaaabbbbabebaaabbaabbaabbbd	509331047
cabaaaabbbbafbbaaabbaabbaabbbd	509331047
cabaaaabbbbebbbaaabbaabbaabbbd	509331047
cabaaaabbbfbbbbaaabbaabbaabbbd	509331047
cabaaaabbgabbbbaaabbaabbaabbbd	509331047
cabaaaabgbabbbbaaabbaabbaabbbd	509331047
cabaaaagbbabbbbaaabbaabbaabbbd	509331047
cabaaafabbabbbbaaabbaabbaabbbd	509331047
cabaaebabbabbbbaaabbaabbaabbbd	509331047
cabaeababbabbbbaaabbaabbaabbbd	509331047
cabeaababbabbbbaaabbaabbaabbbd	509331047
cafbaababbabbbbaaabbaabbaabbbd	509331047
cebbaababbabbbbaaabbaabbaabbbd	509331047
cbbbaababbabbbbaaabbaabbaabbbd	509331047
cbbbaababbabbbbaaabbaabbaagbbd	763996571
cbbbaababbabbbbaaabbaabbafabbd	763996571
cbbbaababbabbbbaaabbaabbebabbd	763996571
cbbbaababbabbbbaaabbaabfbbabbd	763996571
cbbbaababbabbbbaaabbaagabbabbd	763996571
cbbbaababbabbbbaaabbafaabbabbd	763996571
cbbbaababbabbbbaaabbebaabbabbd	763996571
cbbbaababbabbbbaaabfbbaabbabbd	763996571
cbbbaababbabbbbaaagabbaabbabbd	763996571
cbbbaababbabbbbaafaabbaabbabbd	763996571
cbbbaababbabbbbaebaabbaabbabbd	763996571
cbbbaababbabbbbeabaabbaabbabbd	763996571
cbbbaababbabbbfbabaabbaabbabbd	763996571
cbbbaababbabbgababaabbaabbabbd	763996571
cbbbaababbabgbababaabbaabbabbd	763996571
cbbbaababbagbbababaabbaabbabbd	763996571
cbbbaababbfabbababaabbaabbabbd	763996571
cbbbaababgaabbababaabbaabbabbd	763996571
cbbbaabagbaabbababaabbaabbabbd	763996571
cbbbaabfabaabbababaabbaabbabbd	763996571
cbbbaagaabaabbababaabbaabbabbd	763996571
cbbbafaaabaabbababaabbaabbabbd	763996571
cbbbebaaabaabbababaabbaabbabbd	763996571
cbbfbbaaabaabbababaabbaabbabbd	763996571
cbgabbaaabaabbababaabbaabbabbd	763996571
cgbabbaaabaabbababaabbaabbabbd	763996571
cabbabbaaabaabbababaabbaabbabbd	763996571
cabbabbaaabaabbababaabbaabbfabd	1145994857
cabbabbaaabaabbababaabbaabgaabd	1145994857
cabbabbaaabaabbababaabbaagbaabd	1145994857
cabbabbaaabaabbababaabbafabaabd	1145994857
cabbabbaaabaabbababaabbebabaabd	1145994857
