"Input number 34873707 with intial rewrite term caaaababaaaabaaaababbababbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 611  Number of array doubles: 0"
Term	Number
caaaababaaaabaaaababbabfabd	52310561
caaaababaaaabaaaababbagaabd	52310561
caaaababaaaabaaaababbfaaabd	52310561
caaaababaaaabaaaababgaaaabd	52310561
caaaababaaaabaaaabagbaaaabd	52310561
caaaababaaaabaaaabfabaaaabd	52310561
caaaababaaaabaaaagaabaaaabd	52310561
caaaababaaaabaaafaaabaaaabd	52310561
caaaababaaaabaaebaaabaaaabd	52310561
caaaababaaaabaeabaaabaaaabd	52310561
caaaababaaaabeaabaaabaaaabd	52310561
caaaababaaaafbaabaaabaaaabd	52310561
caaaababaaaebbaabaaabaaaabd	52310561
caaaababaaeabbaabaaabaaaabd	52310561
caaaababaeaabbaabaaabaaaabd	52310561
caaaababeaaabbaabaaabaaaabd	52310561
caaaabafbaaabbaabaaabaaaabd	52310561
caaaabebbaaabbaabaaabaaaabd	52310561
caaaafbbbaaabbaabaaabaaaabd	52310561
caaaebbbbaaabbaabaaabaaaabd	52310561
caaeabbbbaaabbaabaaabaaaabd	52310561
caeaabbbbaaabbaabaaabaaaabd	52310561
ceaaabbbbaaabbaabaaabaaaabd	52310561
cbaaabbbbaaabbaabaaabaaaabd	52310561
cbaaabbbbaaabbaabaaabaaebd	39232921
cbaaabbbbaaabbaabaaabaeabd	39232921
cbaaabbbbaaabbaabaaabeaabd	39232921
cbaaabbbbaaabbaabaaafbaabd	39232921
cbaaabbbbaaabbaabaaebbaabd	39232921
cbaaabbbbaaabbaabaeabbaabd	39232921
cbaaabbbbaaabbaabeaabbaabd	39232921
cbaaabbbbaaabbaafbaabbaabd	39232921
cbaaabbbbaaabbaebbaabbaabd	39232921
cbaaabbbbaaabbeabbaabbaabd	39232921
cbaaabbbbaaabfbabbaabbaabd	39232921
cbaaabbbbaaagababbaabbaabd	39232921
cbaaabbbbaafaababbaabbaabd	39232921
cbaaabbbbaebaababbaabbaabd	39232921
cbaaabbbbeabaababbaabbaabd	39232921
cbaaabbbfbabaababbaabbaabd	39232921
cbaaabbgababaababbaabbaabd	39232921
cbaaabgbababaababbaabbaabd	39232921
cbaaagbbababaababbaabbaabd	39232921
cbaafabbababaababbaabbaabd	39232921
cbaebabbababaababbaabbaabd	39232921
cbeababbababaababbaabbaabd	39232921
cfbababbababaababbaabbaabd	39232921
caabababbababaababbaabbaabd	39232921
caabababbababaababbaabbebd	29424691
caabababbababaababbaabfbbd	29424691
caabababbababaababbaagabbd	29424691
caabababbababaababbafaabbd	29424691
caabababbababaababbebaabbd	29424691
caabababbababaababfbbaabbd	29424691
caabababbababaabagabbaabbd	29424691
caabababbababaabfaabbaabbd	29424691
caabababbababaagaaabbaabbd	29424691
caabababbababafaaaabbaabbd	29424691
caabababbababebaaaabbaabbd	29424691
caabababbabafbbaaaabbaabbd	29424691
caabababbabebbbaaaabbaabbd	29424691
caabababbafbbbbaaaabbaabbd	29424691
caabababbebbbbbaaaabbaabbd	29424691
caabababfbbbbbbaaaabbaabbd	29424691
caababagabbbbbbaaaabbaabbd	29424691
caababfaabbbbbbaaaabbaabbd	29424691
caabagaaabbbbbbaaaabbaabbd	29424691
caabfaaaabbbbbbaaaabbaabbd	29424691
caagaaaaabbbbbbaaaabbaabbd	29424691
cafaaaaaabbbbbbaaaabbaabbd	29424691
cebaaaaaabbbbbbaaaabbaabbd	29424691
cbbaaaaaabbbbbbaaaabbaabbd	29424691
cbbaaaaaabbbbbbaaaabbafabd	44137037
cbbaaaaaabbbbbbaaaabbebabd	44137037
cbbaaaaaabbbbbbaaaabfbbabd	44137037
cbbaaaaaabbbbbbaaaagabbabd	44137037
cbbaaaaaabbbbbbaaafaabbabd	44137037
cbbaaaaaabbbbbbaaebaabbabd	44137037
cbbaaaaaabbbbbbaeabaabbabd	44137037
cbbaaaaaabbbbbbeaabaabbabd	44137037
cbbaaaaaabbbbbfbaabaabbabd	44137037
cbbaaaaaabbbbgabaabaabbabd	44137037
cbbaaaaaabbbgbabaabaabbabd	44137037
cbbaaaaaabbgbbabaabaabbabd	44137037
cbbaaaaaabgbbbabaabaabbabd	44137037
cbbaaaaaagbbbbabaabaabbabd	44137037
cbbaaaaafabbbbabaabaabbabd	44137037
cbbaaaaebabbbbabaabaabbabd	44137037
cbbaaaeababbbbabaabaabbabd	44137037
cbbaaeaababbbbabaabaabbabd	44137037
cbbaeaaababbbbabaabaabbabd	44137037
