"Input number 41331823 with intial rewrite term caabbbabbabababbaaabbabbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 705  Number of array doubles: 0"
Term	Number
caabbbabbabababbaaabbabgbbd	61997735
caabbbabbabababbaaabbagbbbd	61997735
caabbbabbabababbaaabbfabbbd	61997735
caabbbabbabababbaaabgaabbbd	61997735
caabbbabbabababbaaagbaabbbd	61997735
caabbbabbabababbaafabaabbbd	61997735
caabbbabbabababbaebabaabbbd	61997735
caabbbabbabababbeababaabbbd	61997735
caabbbabbabababfbababaabbbd	61997735
caabbbabbababagabababaabbbd	61997735
caabbbabbababfaabababaabbbd	61997735
caabbbabbabagaaabababaabbbd	61997735
caabbbabbabfaaaabababaabbbd	61997735
caabbbabbagaaaaabababaabbbd	61997735
caabbbabbfaaaaaabababaabbbd	61997735
caabbbabgaaaaaaabababaabbbd	61997735
caabbbagbaaaaaaabababaabbbd	61997735
caabbbfabaaaaaaabababaabbbd	61997735
caabbgaabaaaaaaabababaabbbd	61997735
caabgbaabaaaaaaabababaabbbd	61997735
caagbbaabaaaaaaabababaabbbd	61997735
cafabbaabaaaaaaabababaabbbd	61997735
cebabbaabaaaaaaabababaabbbd	61997735
cbbabbaabaaaaaaabababaabbbd	61997735
cbbabbaabaaaaaaabababaagbbd	92996603
cbbabbaabaaaaaaabababafabbd	92996603
cbbabbaabaaaaaaabababebabbd	92996603
cbbabbaabaaaaaaababafbbabbd	92996603
cbbabbaabaaaaaaababebbbabbd	92996603
cbbabbaabaaaaaaabafbbbbabbd	92996603
cbbabbaabaaaaaaabebbbbbabbd	92996603
cbbabbaabaaaaaaafbbbbbbabbd	92996603
cbbabbaabaaaaaaebbbbbbbabbd	92996603
cbbabbaabaaaaaeabbbbbbbabbd	92996603
cbbabbaabaaaaeaabbbbbbbabbd	92996603
cbbabbaabaaaeaaabbbbbbbabbd	92996603
cbbabbaabaaeaaaabbbbbbbabbd	92996603
cbbabbaabaeaaaaabbbbbbbabbd	92996603
cbbabbaabeaaaaaabbbbbbbabbd	92996603
cbbabbaafbaaaaaabbbbbbbabbd	92996603
cbbabbaebbaaaaaabbbbbbbabbd	92996603
cbbabbeabbaaaaaabbbbbbbabbd	92996603
cbbabfbabbaaaaaabbbbbbbabbd	92996603
cbbagababbaaaaaabbbbbbbabbd	92996603
cbbfaababbaaaaaabbbbbbbabbd	92996603
cbgaaababbaaaaaabbbbbbbabbd	92996603
cgbaaababbaaaaaabbbbbbbabbd	92996603
cabbaaababbaaaaaabbbbbbbabbd	92996603
cabbaaababbaaaaaabbbbbbbfabd	139494905
cabbaaababbaaaaaabbbbbbgaabd	139494905
cabbaaababbaaaaaabbbbbgbaabd	139494905
cabbaaababbaaaaaabbbbgbbaabd	139494905
cabbaaababbaaaaaabbbgbbbaabd	139494905
cabbaaababbaaaaaabbgbbbbaabd	139494905
cabbaaababbaaaaaabgbbbbbaabd	139494905
cabbaaababbaaaaaagbbbbbbaabd	139494905
cabbaaababbaaaaafabbbbbbaabd	139494905
cabbaaababbaaaaebabbbbbbaabd	139494905
cabbaaababbaaaeababbbbbbaabd	139494905
cabbaaababbaaeaababbbbbbaabd	139494905
cabbaaababbaeaaababbbbbbaabd	139494905
cabbaaababbeaaaababbbbbbaabd	139494905
cabbaaababfbaaaababbbbbbaabd	139494905
cabbaaabagabaaaababbbbbbaabd	139494905
cabbaaabfaabaaaababbbbbbaabd	139494905
cabbaaagaaabaaaababbbbbbaabd	139494905
cabbaafaaaabaaaababbbbbbaabd	139494905
cabbaebaaaabaaaababbbbbbaabd	139494905
cabbeabaaaabaaaababbbbbbaabd	139494905
cabfbabaaaabaaaababbbbbbaabd	139494905
cagababaaaabaaaababbbbbbaabd	139494905
cfaababaaaabaaaababbbbbbaabd	139494905
caaaababaaaabaaaababbbbbbaabd	139494905
caaaababaaaabaaaababbbbbbebd	104621179
caaaababaaaabaaaababbbbbfbbd	104621179
caaaababaaaabaaaababbbbgabbd	104621179
caaaababaaaabaaaababbbgbabbd	104621179
caaaababaaaabaaaababbgbbabbd	104621179
caaaababaaaabaaaababgbbbabbd	104621179
caaaababaaaabaaaabagbbbbabbd	104621179
caaaababaaaabaaaabfabbbbabbd	104621179
caaaababaaaabaaaagaabbbbabbd	104621179
caaaababaaaabaaafaaabbbbabbd	104621179
