"Input number 6121 with intial rewrite term cabbbbbbabaabd
Generated final number 3 with final rewrite term cbd
Number of steps: 766  Number of array doubles: 0"
Term	Number
cabbbbbbabebd	4591
cabbbbbbafbbd	4591
cabbbbbbebbbd	4591
cabbbbbfbbbbd	4591
cabbbbgabbbbd	4591
cabbbgbabbbbd	4591
cabbgbbabbbbd	4591
cabgbbbabbbbd	4591
cagbbbbabbbbd	4591
cfabbbbabbbbd	4591
caaabbbbabbbbd	4591
caaabbbbabgbbd	6887
caaabbbbagbbbd	6887
caaabbbbfabbbd	6887
caaabbbgaabbbd	6887
caaabbgbaabbbd	6887
caaabgbbaabbbd	6887
caaagbbbaabbbd	6887
caafabbbaabbbd	6887
caebabbbaabbbd	6887
ceababbbaabbbd	6887
cbababbbaabbbd	6887
cbababbbaagbbd	10331
cbababbbafabbd	10331
cbababbbebabbd	10331
cbababbfbbabbd	10331
cbababgabbabbd	10331
cbabagbabbabbd	10331
cbabfababbabbd	10331
cbagaababbabbd	10331
cbfaaababbabbd	10331
cgaaaababbabbd	10331
cabaaaababbabbd	10331
cabaaaababbfabd	15497
cabaaaababgaabd	15497
cabaaaabagbaabd	15497
cabaaaabfabaabd	15497
cabaaaagaabaabd	15497
cabaaafaaabaabd	15497
cabaaebaaabaabd	15497
cabaeabaaabaabd	15497
cabeaabaaabaabd	15497
cafbaabaaabaabd	15497
cebbaabaaabaabd	15497
cbbbaabaaabaabd	15497
cbbbaabaaabebd	11623
cbbbaabaaafbbd	11623
cbbbaabaaebbbd	11623
cbbbaabaeabbbd	11623
cbbbaabeaabbbd	11623
cbbbaafbaabbbd	11623
cbbbaebbaabbbd	11623
cbbbeabbaabbbd	11623
cbbfbabbaabbbd	11623
cbgababbaabbbd	11623
cgbababbaabbbd	11623
cabbababbaabbbd	11623
cabbababbaagbbd	17435
cabbababbafabbd	17435
cabbababbebabbd	17435
cabbababfbbabbd	17435
cabbabagabbabbd	17435
cabbabfaabbabbd	17435
cabbagaaabbabbd	17435
cabbfaaaabbabbd	17435
cabgaaaaabbabbd	17435
cagbaaaaabbabbd	17435
cfabaaaaabbabbd	17435
caaabaaaaabbabbd	17435
caaabaaaaabbfabd	26153
caaabaaaaabgaabd	26153
caaabaaaaagbaabd	26153
caaabaaaafabaabd	26153
caaabaaaebabaabd	26153
caaabaaeababaabd	26153
caaabaeaababaabd	26153
caaabeaaababaabd	26153
caaafbaaababaabd	26153
caaebbaaababaabd	26153
caeabbaaababaabd	26153
ceaabbaaababaabd	26153
cbaabbaaababaabd	26153
cbaabbaaababebd	19615
cbaabbaaabafbbd	19615
cbaabbaaabebbbd	19615
cbaabbaaafbbbbd	19615
cbaabbaaebbbbbd	19615
cbaabbaeabbbbbd	19615
cbaabbeaabbbbbd	19615
cbaabfbaabbbbbd	19615
cbaagabaabbbbbd	19615
cbafaabaabbbbbd	19615
cbebaabaabbbbbd	19615
cfbbaabaabbbbbd	19615
caabbaabaabbbbbd	19615
caabbaabaabbgbbd	29423
caabbaabaabgbbbd	29423
caabbaabaagbbbbd	29423
caabbaabafabbbbd	29423
caabbaabebabbbbd	29423
caabbaafbbabbbbd	29423
caabbaebbbabbbbd	29423
caabbeabbbabbbbd	29423
caabfbabbbabbbbd	29423
caagababbbabbbbd	29423
cafaababbbabbbbd	29423
cebaababbbabbbbd	29423
cbbaababbbabbbbd	29423
cbbaababbbabgbbd	44135
cbbaababbbagbbbd	44135
cbbaababbbfabbbd	44135
cbbaababbgaabbbd	44135
cbbaababgbaabbbd	44135
cbbaabagbbaabbbd	44135
cbbaabfabbaabbbd	44135
cbbaagaabbaabbbd	44135
cbbafaaabbaabbbd	44135
cbbebaaabbaabbbd	44135
cbfbbaaabbaabbbd	44135
cgabbaaabbaabbbd	44135
cababbaaabbaabbbd	44135
cababbaaabbaagbbd	66203
cababbaaabbafabbd	66203
cababbaaabbebabbd	66203
cababbaaabfbbabbd	66203
cababbaaagabbabbd	66203
cababbaafaabbabbd	66203
cababbaebaabbabbd	66203
cababbeabaabbabbd	66203
cababfbabaabbabbd	66203
cabagababaabbabbd	66203
cabfaababaabbabbd	66203
cagaaababaabbabbd	66203
cfaaaababaabbabbd	66203
caaaaaababaabbabbd	66203
caaaaaababaabbfabd	99305
caaaaaababaabgaabd	99305
caaaaaababaagbaabd	99305
caaaaaababafabaabd	99305
caaaaaababebabaabd	99305
caaaaaabafbbabaabd	99305
caaaaaabebbbabaabd	99305
caaaaaafbbbbabaabd	99305
caaaaaebbbbbabaabd	99305
caaaaeabbbbbabaabd	99305
caaaeaabbbbbabaabd	99305
caaeaaabbbbbabaabd	99305
caeaaaabbbbbabaabd	99305
ceaaaaabbbbbabaabd	99305
cbaaaaabbbbbabaabd	99305
cbaaaaabbbbbabebd	74479
cbaaaaabbbbbafbbd	74479
cbaaaaabbbbbebbbd	74479
cbaaaaabbbbfbbbbd	74479
cbaaaaabbbgabbbbd	74479
cbaaaaabbgbabbbbd	74479
cbaaaaabgbbabbbbd	74479
cbaaaaagbbbabbbbd	74479
cbaaaafabbbabbbbd	74479
cbaaaebabbbabbbbd	74479
cbaaeababbbabbbbd	74479
cbaeaababbbabbbbd	74479
cbeaaababbbabbbbd	74479
cfbaaababbbabbbbd	74479
caabaaababbbabbbbd	74479
caabaaababbbabgbbd	111719
caabaaababbbagbbbd	111719
caabaaababbbfabbbd	111719
caabaaababbgaabbbd	111719
caabaaababgbaabbbd	111719
caabaaabagbbaabbbd	111719
caabaaabfabbaabbbd	111719
caabaaagaabbaabbbd	111719
caabaafaaabbaabbbd	111719
caabaebaaabbaabbbd	111719
caabeabaaabbaabbbd	111719
caafbabaaabbaabbbd	111719
caebbabaaabbaabbbd	111719
ceabbabaaabbaabbbd	111719
cbabbabaaabbaabbbd	111719
cbabbabaaabbaagbbd	167579
cbabbabaaabbafabbd	167579
cbabbabaaabbebabbd	167579
cbabbabaaabfbbabbd	167579
cbabbabaaagabbabbd	167579
cbabbabaafaabbabbd	167579
cbabbabaebaabbabbd	167579
cbabbabeabaabbabbd	167579
cbabbafbabaabbabbd	167579
cbabbebbabaabbabbd	167579
cbabfbbbabaabbabbd	167579
cbagabbbabaabbabbd	167579
cbfaabbbabaabbabbd	167579
cgaaabbbabaabbabbd	167579
cabaaabbbabaabbabbd	167579
cabaaabbbabaabbfabd	251369
cabaaabbbabaabgaabd	251369
cabaaabbbabaagbaabd	251369
cabaaabbbabafabaabd	251369
cabaaabbbabebabaabd	251369
cabaaabbbafbbabaabd	251369
cabaaabbbebbbabaabd	251369
cabaaabbfbbbbabaabd	251369
cabaaabgabbbbabaabd	251369
cabaaagbabbbbabaabd	251369
cabaafababbbbabaabd	251369
cabaebababbbbabaabd	251369
cabeabababbbbabaabd	251369
cafbabababbbbabaabd	251369
cebbabababbbbabaabd	251369
cbbbabababbbbabaabd	251369
cbbbabababbbbabebd	188527
cbbbabababbbbafbbd	188527
cbbbabababbbbebbbd	188527
cbbbabababbbfbbbbd	188527
cbbbabababbgabbbbd	188527
cbbbabababgbabbbbd	188527
cbbbababagbbabbbbd	188527
cbbbababfabbabbbbd	188527
cbbbabagaabbabbbbd	188527
cbbbabfaaabbabbbbd	188527
cbbbagaaaabbabbbbd	188527
cbbbfaaaaabbabbbbd	188527
cbbgaaaaaabbabbbbd	188527
cbgbaaaaaabbabbbbd	188527
cgbbaaaaaabbabbbbd	188527
cabbbaaaaaabbabbbbd	188527
cabbbaaaaaabbabgbbd	282791
cabbbaaaaaabbagbbbd	282791
cabbbaaaaaabbfabbbd	282791
cabbbaaaaaabgaabbbd	282791
cabbbaaaaaagbaabbbd	282791
cabbbaaaaafabaabbbd	282791
cabbbaaaaebabaabbbd	282791
cabbbaaaeababaabbbd	282791
cabbbaaeaababaabbbd	282791
cabbbaeaaababaabbbd	282791
cabbbeaaaababaabbbd	282791
cabbfbaaaababaabbbd	282791
cabgabaaaababaabbbd	282791
cagbabaaaababaabbbd	282791
cfababaaaababaabbbd	282791
caaababaaaababaabbbd	282791
caaababaaaababaagbbd	424187
caaababaaaababafabbd	424187
caaababaaaababebabbd	424187
caaababaaaabafbbabbd	424187
caaababaaaabebbbabbd	424187
caaababaaaafbbbbabbd	424187
caaababaaaebbbbbabbd	424187
caaababaaeabbbbbabbd	424187
caaababaeaabbbbbabbd	424187
caaababeaaabbbbbabbd	424187
caaabafbaaabbbbbabbd	424187
caaabebbaaabbbbbabbd	424187
caaafbbbaaabbbbbabbd	424187
caaebbbbaaabbbbbabbd	424187
caeabbbbaaabbbbbabbd	424187
ceaabbbbaaabbbbbabbd	424187
cbaabbbbaaabbbbbabbd	424187
cbaabbbbaaabbbbbfabd	636281
cbaabbbbaaabbbbgaabd	636281
cbaabbbbaaabbbgbaabd	636281
cbaabbbbaaabbgbbaabd	636281
cbaabbbbaaabgbbbaabd	636281
cbaabbbbaaagbbbbaabd	636281
cbaabbbbaafabbbbaabd	636281
cbaabbbbaebabbbbaabd	636281
cbaabbbbeababbbbaabd	636281
cbaabbbfbababbbbaabd	636281
cbaabbgabababbbbaabd	636281
cbaabgbabababbbbaabd	636281
cbaagbbabababbbbaabd	636281
cbafabbabababbbbaabd	636281
cbebabbabababbbbaabd	636281
cfbbabbabababbbbaabd	636281
caabbabbabababbbbaabd	636281
caabbabbabababbbbebd	477211
caabbabbabababbbfbbd	477211
caabbabbabababbgabbd	477211
caabbabbabababgbabbd	477211
caabbabbababagbbabbd	477211
caabbabbababfabbabbd	477211
caabbabbabagaabbabbd	477211
caabbabbabfaaabbabbd	477211
caabbabbagaaaabbabbd	477211
caabbabbfaaaaabbabbd	477211
caabbabgaaaaaabbabbd	477211
caabbagbaaaaaabbabbd	477211
caabbfabaaaaaabbabbd	477211
caabgaabaaaaaabbabbd	477211
caagbaabaaaaaabbabbd	477211
cafabaabaaaaaabbabbd	477211
cebabaabaaaaaabbabbd	477211
cbbabaabaaaaaabbabbd	477211
cbbabaabaaaaaabbfabd	715817
cbbabaabaaaaaabgaabd	715817
cbbabaabaaaaaagbaabd	715817
cbbabaabaaaaafabaabd	715817
cbbabaabaaaaebabaabd	715817
cbbabaabaaaeababaabd	715817
cbbabaabaaeaababaabd	715817
cbbabaabaeaaababaabd	715817
cbbabaabeaaaababaabd	715817
cbbabaafbaaaababaabd	715817
cbbabaebbaaaababaabd	715817
cbbabeabbaaaababaabd	715817
cbbafbabbaaaababaabd	715817
cbbebbabbaaaababaabd	715817
cbfbbbabbaaaababaabd	715817
cgabbbabbaaaababaabd	715817
cababbbabbaaaababaabd	715817
cababbbabbaaaababebd	536863
cababbbabbaaaabafbbd	536863
cababbbabbaaaabebbbd	536863
cababbbabbaaaafbbbbd	536863
cababbbabbaaaebbbbbd	536863
cababbbabbaaeabbbbbd	536863
cababbbabbaeaabbbbbd	536863
cababbbabbeaaabbbbbd	536863
cababbbabfbaaabbbbbd	536863
cababbbagabaaabbbbbd	536863
cababbbfaabaaabbbbbd	536863
cababbgaaabaaabbbbbd	536863
cababgbaaabaaabbbbbd	536863
cabagbbaaabaaabbbbbd	536863
cabfabbaaabaaabbbbbd	536863
cagaabbaaabaaabbbbbd	536863
cfaaabbaaabaaabbbbbd	536863
caaaaabbaaabaaabbbbbd	536863
caaaaabbaaabaaabbgbbd	805295
caaaaabbaaabaaabgbbbd	805295
caaaaabbaaabaaagbbbbd	805295
caaaaabbaaabaafabbbbd	805295
caaaaabbaaabaebabbbbd	805295
caaaaabbaaabeababbbbd	805295
caaaaabbaaafbababbbbd	805295
caaaaabbaaebbababbbbd	805295
caaaaabbaeabbababbbbd	805295
caaaaabbeaabbababbbbd	805295
caaaaabfbaabbababbbbd	805295
caaaaagabaabbababbbbd	805295
caaaafaabaabbababbbbd	805295
caaaebaabaabbababbbbd	805295
caaeabaabaabbababbbbd	805295
caeaabaabaabbababbbbd	805295
ceaaabaabaabbababbbbd	805295
cbaaabaabaabbababbbbd	805295
cbaaabaabaabbababgbbd	1207943
cbaaabaabaabbabagbbbd	1207943
cbaaabaabaabbabfabbbd	1207943
cbaaabaabaabbagaabbbd	1207943
cbaaabaabaabbfaaabbbd	1207943
cbaaabaabaabgaaaabbbd	1207943
cbaaabaabaagbaaaabbbd	1207943
cbaaabaabafabaaaabbbd	1207943
cbaaabaabebabaaaabbbd	1207943
cbaaabaafbbabaaaabbbd	1207943
cbaaabaebbbabaaaabbbd	1207943
cbaaabeabbbabaaaabbbd	1207943
cbaaafbabbbabaaaabbbd	1207943
cbaaebbabbbabaaaabbbd	1207943
cbaeabbabbbabaaaabbbd	1207943
cbeaabbabbbabaaaabbbd	1207943
cfbaabbabbbabaaaabbbd	1207943
caabaabbabbbabaaaabbbd	1207943
caabaabbabbbabaaaagbbd	1811915
caabaabbabbbabaaafabbd	1811915
caabaabbabbbabaaebabbd	1811915
caabaabbabbbabaeababbd	1811915
caabaabbabbbabeaababbd	1811915
caabaabbabbbafbaababbd	1811915
caabaabbabbbebbaababbd	1811915
caabaabbabbfbbbaababbd	1811915
caabaabbabgabbbaababbd	1811915
caabaabbagbabbbaababbd	1811915
caabaabbfababbbaababbd	1811915
caabaabgaababbbaababbd	1811915
caabaagbaababbbaababbd	1811915
caabafabaababbbaababbd	1811915
caabebabaababbbaababbd	1811915
caafbbabaababbbaababbd	1811915
caebbbabaababbbaababbd	1811915
ceabbbabaababbbaababbd	1811915
cbabbbabaababbbaababbd	1811915
cbabbbabaababbbaabfabd	2717873
cbabbbabaababbbaagaabd	2717873
cbabbbabaababbbafaaabd	2717873
cbabbbabaababbbebaaabd	2717873
cbabbbabaababbfbbaaabd	2717873
cbabbbabaababgabbaaabd	2717873
cbabbbabaabagbabbaaabd	2717873
cbabbbabaabfababbaaabd	2717873
cbabbbabaagaababbaaabd	2717873
cbabbbabafaaababbaaabd	2717873
cbabbbabebaaababbaaabd	2717873
cbabbbafbbaaababbaaabd	2717873
cbabbbebbbaaababbaaabd	2717873
cbabbfbbbbaaababbaaabd	2717873
cbabgabbbbaaababbaaabd	2717873
cbagbabbbbaaababbaaabd	2717873
cbfababbbbaaababbaaabd	2717873
cgaababbbbaaababbaaabd	2717873
cabaababbbbaaababbaaabd	2717873
cabaababbbbaaababbaebd	2038405
cabaababbbbaaababbeabd	2038405
cabaababbbbaaababfbabd	2038405
cabaababbbbaaabagababd	2038405
cabaababbbbaaabfaababd	2038405
cabaababbbbaaagaaababd	2038405
cabaababbbbaafaaaababd	2038405
cabaababbbbaebaaaababd	2038405
cabaababbbbeabaaaababd	2038405
cabaababbbfbabaaaababd	2038405
cabaababbgababaaaababd	2038405
cabaababgbababaaaababd	2038405
cabaabagbbababaaaababd	2038405
cabaabfabbababaaaababd	2038405
cabaagaabbababaaaababd	2038405
cabafaaabbababaaaababd	2038405
cabebaaabbababaaaababd	2038405
cafbbaaabbababaaaababd	2038405
cebbbaaabbababaaaababd	2038405
cbbbbaaabbababaaaababd	2038405
cbbbbaaabbababaaaabd	509601
cbbbbaaabbababaaebd	382201
cbbbbaaabbababaeabd	382201
cbbbbaaabbababeaabd	382201
cbbbbaaabbabafbaabd	382201
cbbbbaaabbabebbaabd	382201
cbbbbaaabbafbbbaabd	382201
cbbbbaaabbebbbbaabd	382201
cbbbbaaabfbbbbbaabd	382201
cbbbbaaagabbbbbaabd	382201
cbbbbaafaabbbbbaabd	382201
cbbbbaebaabbbbbaabd	382201
cbbbbeabaabbbbbaabd	382201
cbbbfbabaabbbbbaabd	382201
cbbgababaabbbbbaabd	382201
cbgbababaabbbbbaabd	382201
cgbbababaabbbbbaabd	382201
cabbbababaabbbbbaabd	382201
cabbbababaabbbbbebd	286651
cabbbababaabbbbfbbd	286651
cabbbababaabbbgabbd	286651
cabbbababaabbgbabbd	286651
cabbbababaabgbbabbd	286651
cabbbababaagbbbabbd	286651
cabbbababafabbbabbd	286651
cabbbababebabbbabbd	286651
cabbbabafbbabbbabbd	286651
cabbbabebbbabbbabbd	286651
cabbbafbbbbabbbabbd	286651
cabbbebbbbbabbbabbd	286651
