"Input number 62079 with intial rewrite term cbbbaabaabbbbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 1141  Number of array doubles: 0"
Term	Number
cbbbaabaabbbbgbbd	93119
cbbbaabaabbbgbbbd	93119
cbbbaabaabbgbbbbd	93119
cbbbaabaabgbbbbbd	93119
cbbbaabaagbbbbbbd	93119
cbbbaabafabbbbbbd	93119
cbbbaabebabbbbbbd	93119
cbbbaafbbabbbbbbd	93119
cbbbaebbbabbbbbbd	93119
cbbbeabbbabbbbbbd	93119
cbbfbabbbabbbbbbd	93119
cbgababbbabbbbbbd	93119
cgbababbbabbbbbbd	93119
cabbababbbabbbbbbd	93119
cabbababbbabbbgbbd	139679
cabbababbbabbgbbbd	139679
cabbababbbabgbbbbd	139679
cabbababbbagbbbbbd	139679
cabbababbbfabbbbbd	139679
cabbababbgaabbbbbd	139679
cabbababgbaabbbbbd	139679
cabbabagbbaabbbbbd	139679
cabbabfabbaabbbbbd	139679
cabbagaabbaabbbbbd	139679
cabbfaaabbaabbbbbd	139679
cabgaaaabbaabbbbbd	139679
cagbaaaabbaabbbbbd	139679
cfabaaaabbaabbbbbd	139679
caaabaaaabbaabbbbbd	139679
caaabaaaabbaabbgbbd	209519
caaabaaaabbaabgbbbd	209519
caaabaaaabbaagbbbbd	209519
caaabaaaabbafabbbbd	209519
caaabaaaabbebabbbbd	209519
caaabaaaabfbbabbbbd	209519
caaabaaaagabbabbbbd	209519
caaabaaafaabbabbbbd	209519
caaabaaebaabbabbbbd	209519
caaabaeabaabbabbbbd	209519
caaabeaabaabbabbbbd	209519
caaafbaabaabbabbbbd	209519
caaebbaabaabbabbbbd	209519
caeabbaabaabbabbbbd	209519
ceaabbaabaabbabbbbd	209519
cbaabbaabaabbabbbbd	209519
cbaabbaabaabbabgbbd	314279
cbaabbaabaabbagbbbd	314279
cbaabbaabaabbfabbbd	314279
cbaabbaabaabgaabbbd	314279
cbaabbaabaagbaabbbd	314279
cbaabbaabafabaabbbd	314279
cbaabbaabebabaabbbd	314279
cbaabbaafbbabaabbbd	314279
cbaabbaebbbabaabbbd	314279
cbaabbeabbbabaabbbd	314279
cbaabfbabbbabaabbbd	314279
cbaagababbbabaabbbd	314279
cbafaababbbabaabbbd	314279
cbebaababbbabaabbbd	314279
cfbbaababbbabaabbbd	314279
caabbaababbbabaabbbd	314279
caabbaababbbabaagbbd	471419
caabbaababbbabafabbd	471419
caabbaababbbabebabbd	471419
caabbaababbbafbbabbd	471419
caabbaababbbebbbabbd	471419
caabbaababbfbbbbabbd	471419
caabbaababgabbbbabbd	471419
caabbaabagbabbbbabbd	471419
caabbaabfababbbbabbd	471419
caabbaagaababbbbabbd	471419
caabbafaaababbbbabbd	471419
caabbebaaababbbbabbd	471419
caabfbbaaababbbbabbd	471419
caagabbaaababbbbabbd	471419
cafaabbaaababbbbabbd	471419
cebaabbaaababbbbabbd	471419
cbbaabbaaababbbbabbd	471419
cbbaabbaaababbbbfabd	707129
cbbaabbaaababbbgaabd	707129
cbbaabbaaababbgbaabd	707129
cbbaabbaaababgbbaabd	707129
cbbaabbaaabagbbbaabd	707129
cbbaabbaaabfabbbaabd	707129
cbbaabbaaagaabbbaabd	707129
cbbaabbaafaaabbbaabd	707129
cbbaabbaebaaabbbaabd	707129
cbbaabbeabaaabbbaabd	707129
cbbaabfbabaaabbbaabd	707129
cbbaagababaaabbbaabd	707129
cbbafaababaaabbbaabd	707129
cbbebaababaaabbbaabd	707129
cbfbbaababaaabbbaabd	707129
cgabbaababaaabbbaabd	707129
cababbaababaaabbbaabd	707129
cababbaababaaabbbebd	530347
cababbaababaaabbfbbd	530347
cababbaababaaabgabbd	530347
cababbaababaaagbabbd	530347
cababbaababaafababbd	530347
cababbaababaebababbd	530347
cababbaababeabababbd	530347
cababbaabafbabababbd	530347
cababbaabebbabababbd	530347
cababbaafbbbabababbd	530347
cababbaebbbbabababbd	530347
cababbeabbbbabababbd	530347
cababfbabbbbabababbd	530347
cabagababbbbabababbd	530347
cabfaababbbbabababbd	530347
cagaaababbbbabababbd	530347
cfaaaababbbbabababbd	530347
caaaaaababbbbabababbd	530347
caaaaaababbbbababfabd	795521
caaaaaababbbbabagaabd	795521
caaaaaababbbbabfaaabd	795521
caaaaaababbbbagaaaabd	795521
caaaaaababbbbfaaaaabd	795521
caaaaaababbbgaaaaaabd	795521
caaaaaababbgbaaaaaabd	795521
caaaaaababgbbaaaaaabd	795521
caaaaaabagbbbaaaaaabd	795521
caaaaaabfabbbaaaaaabd	795521
caaaaaagaabbbaaaaaabd	795521
caaaaafaaabbbaaaaaabd	795521
caaaaebaaabbbaaaaaabd	795521
caaaeabaaabbbaaaaaabd	795521
caaeaabaaabbbaaaaaabd	795521
caeaaabaaabbbaaaaaabd	795521
ceaaaabaaabbbaaaaaabd	795521
cbaaaabaaabbbaaaaaabd	795521
cbaaaabaaabbbaaaaebd	596641
cbaaaabaaabbbaaaeabd	596641
cbaaaabaaabbbaaeaabd	596641
cbaaaabaaabbbaeaaabd	596641
cbaaaabaaabbbeaaaabd	596641
cbaaaabaaabbfbaaaabd	596641
cbaaaabaaabgabaaaabd	596641
cbaaaabaaagbabaaaabd	596641
cbaaaabaafababaaaabd	596641
cbaaaabaebababaaaabd	596641
cbaaaabeabababaaaabd	596641
cbaaaafbabababaaaabd	596641
cbaaaebbabababaaaabd	596641
cbaaeabbabababaaaabd	596641
cbaeaabbabababaaaabd	596641
cbeaaabbabababaaaabd	596641
cfbaaabbabababaaaabd	596641
caabaaabbabababaaaabd	596641
caabaaabbabababaaebd	447481
