"Input number 77055 with intial rewrite term caababbaabbbbbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 388  Number of array doubles: 0"
Term	Number
caababbaabbbbbgbbd	115583
caababbaabbbbgbbbd	115583
caababbaabbbgbbbbd	115583
caababbaabbgbbbbbd	115583
caababbaabgbbbbbbd	115583
caababbaagbbbbbbbd	115583
caababbafabbbbbbbd	115583
caababbebabbbbbbbd	115583
caababfbbabbbbbbbd	115583
caabagabbabbbbbbbd	115583
caabfaabbabbbbbbbd	115583
caagaaabbabbbbbbbd	115583
cafaaaabbabbbbbbbd	115583
cebaaaabbabbbbbbbd	115583
cbbaaaabbabbbbbbbd	115583
cbbaaaabbabbbbgbbd	173375
cbbaaaabbabbbgbbbd	173375
cbbaaaabbabbgbbbbd	173375
cbbaaaabbabgbbbbbd	173375
cbbaaaabbagbbbbbbd	173375
cbbaaaabbfabbbbbbd	173375
cbbaaaabgaabbbbbbd	173375
cbbaaaagbaabbbbbbd	173375
cbbaaafabaabbbbbbd	173375
cbbaaebabaabbbbbbd	173375
cbbaeababaabbbbbbd	173375
cbbeaababaabbbbbbd	173375
cbfbaababaabbbbbbd	173375
cgabaababaabbbbbbd	173375
cababaababaabbbbbbd	173375
cababaababaabbbgbbd	260063
cababaababaabbgbbbd	260063
cababaababaabgbbbbd	260063
cababaababaagbbbbbd	260063
cababaababafabbbbbd	260063
cababaababebabbbbbd	260063
cababaabafbbabbbbbd	260063
cababaabebbbabbbbbd	260063
cababaafbbbbabbbbbd	260063
cababaebbbbbabbbbbd	260063
cababeabbbbbabbbbbd	260063
cabafbabbbbbabbbbbd	260063
cabebbabbbbbabbbbbd	260063
cafbbbabbbbbabbbbbd	260063
cebbbbabbbbbabbbbbd	260063
cbbbbbabbbbbabbbbbd	260063
cbbbbbabbbbbabbgbbd	390095
cbbbbbabbbbbabgbbbd	390095
cbbbbbabbbbbagbbbbd	390095
cbbbbbabbbbbfabbbbd	390095
cbbbbbabbbbgaabbbbd	390095
cbbbbbabbbgbaabbbbd	390095
cbbbbbabbgbbaabbbbd	390095
cbbbbbabgbbbaabbbbd	390095
cbbbbbagbbbbaabbbbd	390095
cbbbbbfabbbbaabbbbd	390095
cbbbbgaabbbbaabbbbd	390095
cbbbgbaabbbbaabbbbd	390095
cbbgbbaabbbbaabbbbd	390095
cbgbbbaabbbbaabbbbd	390095
cgbbbbaabbbbaabbbbd	390095
cabbbbbaabbbbaabbbbd	390095
cabbbbbaabbbbaabgbbd	585143
cabbbbbaabbbbaagbbbd	585143
cabbbbbaabbbbafabbbd	585143
cabbbbbaabbbbebabbbd	585143
cabbbbbaabbbfbbabbbd	585143
cabbbbbaabbgabbabbbd	585143
cabbbbbaabgbabbabbbd	585143
cabbbbbaagbbabbabbbd	585143
cabbbbbafabbabbabbbd	585143
cabbbbbebabbabbabbbd	585143
cabbbbfbbabbabbabbbd	585143
cabbbgabbabbabbabbbd	585143
cabbgbabbabbabbabbbd	585143
cabgbbabbabbabbabbbd	585143
cagbbbabbabbabbabbbd	585143
cfabbbabbabbabbabbbd	585143
caaabbbabbabbabbabbbd	585143
caaabbbabbabbabbagbbd	877715
caaabbbabbabbabbfabbd	877715
caaabbbabbabbabgaabbd	877715
caaabbbabbabbagbaabbd	877715
caaabbbabbabbfabaabbd	877715
caaabbbabbabgaabaabbd	877715
caaabbbabbagbaabaabbd	877715
caaabbbabbfabaabaabbd	877715
caaabbbabgaabaabaabbd	877715
caaabbbagbaabaabaabbd	877715
caaabbbfabaabaabaabbd	877715
caaabbgaabaabaabaabbd	877715
caaabgbaabaabaabaabbd	877715
caaagbbaabaabaabaabbd	877715
caafabbaabaabaabaabbd	877715
caebabbaabaabaabaabbd	877715
ceababbaabaabaabaabbd	877715
cbababbaabaabaabaabbd	877715
cbababbaabaabaabafabd	1316573
cbababbaabaabaabebabd	1316573
cbababbaabaabaafbbabd	1316573
cbababbaabaabaebbbabd	1316573
cbababbaabaabeabbbabd	1316573
cbababbaabaafbabbbabd	1316573
cbababbaabaebbabbbabd	1316573
cbababbaabeabbabbbabd	1316573
cbababbaafbabbabbbabd	1316573
cbababbaebbabbabbbabd	1316573
cbababbeabbabbabbbabd	1316573
cbababfbabbabbabbbabd	1316573
cbabagababbabbabbbabd	1316573
cbabfaababbabbabbbabd	1316573
cbagaaababbabbabbbabd	1316573
cbfaaaababbabbabbbabd	1316573
cgaaaaababbabbabbbabd	1316573
cabaaaaababbabbabbbabd	1316573
cabaaaaababbabbabbbd	329143
cabaaaaababbabbagbbd	493715
cabaaaaababbabbfabbd	493715
cabaaaaababbabgaabbd	493715
cabaaaaababbagbaabbd	493715
cabaaaaababbfabaabbd	493715
cabaaaaababgaabaabbd	493715
cabaaaaabagbaabaabbd	493715
cabaaaaabfabaabaabbd	493715
cabaaaaagaabaabaabbd	493715
cabaaaafaaabaabaabbd	493715
cabaaaebaaabaabaabbd	493715
cabaaeabaaabaabaabbd	493715
cabaeaabaaabaabaabbd	493715
cabeaaabaaabaabaabbd	493715
cafbaaabaaabaabaabbd	493715
cebbaaabaaabaabaabbd	493715
cbbbaaabaaabaabaabbd	493715
cbbbaaabaaabaabafabd	740573
cbbbaaabaaabaabebabd	740573
cbbbaaabaaabaafbbabd	740573
cbbbaaabaaabaebbbabd	740573
cbbbaaabaaabeabbbabd	740573
cbbbaaabaaafbabbbabd	740573
cbbbaaabaaebbabbbabd	740573
cbbbaaabaeabbabbbabd	740573
cbbbaaabeaabbabbbabd	740573
cbbbaaafbaabbabbbabd	740573
cbbbaaebbaabbabbbabd	740573
cbbbaeabbaabbabbbabd	740573
cbbbeaabbaabbabbbabd	740573
cbbfbaabbaabbabbbabd	740573
cbgabaabbaabbabbbabd	740573
cgbabaabbaabbabbbabd	740573
cabbabaabbaabbabbbabd	740573
cabbabaabbaabbabbbd	185143
cabbabaabbaabbagbbd	277715
cabbabaabbaabbfabbd	277715
cabbabaabbaabgaabbd	277715
cabbabaabbaagbaabbd	277715
cabbabaabbafabaabbd	277715
cabbabaabbebabaabbd	277715
cabbabaabfbbabaabbd	277715
cabbabaagabbabaabbd	277715
cabbabafaabbabaabbd	277715
cabbabebaabbabaabbd	277715
cabbafbbaabbabaabbd	277715
cabbebbbaabbabaabbd	277715
cabfbbbbaabbabaabbd	277715
cagabbbbaabbabaabbd	277715
cfaabbbbaabbabaabbd	277715
caaaabbbbaabbabaabbd	277715
caaaabbbbaabbabafabd	416573
caaaabbbbaabbabebabd	416573
caaaabbbbaabbafbbabd	416573
caaaabbbbaabbebbbabd	416573
caaaabbbbaabfbbbbabd	416573
caaaabbbbaagabbbbabd	416573
caaaabbbbafaabbbbabd	416573
caaaabbbbebaabbbbabd	416573
caaaabbbfbbaabbbbabd	416573
caaaabbgabbaabbbbabd	416573
caaaabgbabbaabbbbabd	416573
caaaagbbabbaabbbbabd	416573
caaafabbabbaabbbbabd	416573
caaebabbabbaabbbbabd	416573
caeababbabbaabbbbabd	416573
ceaababbabbaabbbbabd	416573
cbaababbabbaabbbbabd	416573
cbaababbabbaabbbbd	104143
cbaababbabbaabgbbd	156215
cbaababbabbaagbbbd	156215
cbaababbabbafabbbd	156215
cbaababbabbebabbbd	156215
cbaababbabfbbabbbd	156215
cbaababbagabbabbbd	156215
cbaababbfaabbabbbd	156215
cbaababgaaabbabbbd	156215
cbaabagbaaabbabbbd	156215
cbaabfabaaabbabbbd	156215
cbaagaabaaabbabbbd	156215
cbafaaabaaabbabbbd	156215
cbebaaabaaabbabbbd	156215
cfbbaaabaaabbabbbd	156215
caabbaaabaaabbabbbd	156215
caabbaaabaaabbagbbd	234323
caabbaaabaaabbfabbd	234323
caabbaaabaaabgaabbd	234323
caabbaaabaaagbaabbd	234323
caabbaaabaafabaabbd	234323
caabbaaabaebabaabbd	234323
caabbaaabeababaabbd	234323
caabbaaafbababaabbd	234323
