"Input number 794080495 with intial rewrite term cabbbbabababaababbabaabbbabbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 2371  Number of array doubles: 0"
Term	Number
cabbbbabababaababbabaabbbabgbbd	1191120743
cabbbbabababaababbabaabbbagbbbd	1191120743
cabbbbabababaababbabaabbbfabbbd	1191120743
cabbbbabababaababbabaabbgaabbbd	1191120743
cabbbbabababaababbabaabgbaabbbd	1191120743
cabbbbabababaababbabaagbbaabbbd	1191120743
cabbbbabababaababbabafabbaabbbd	1191120743
cabbbbabababaababbabebabbaabbbd	1191120743
cabbbbabababaababbafbbabbaabbbd	1191120743
cabbbbabababaababbebbbabbaabbbd	1191120743
cabbbbabababaababfbbbbabbaabbbd	1191120743
cabbbbabababaabagabbbbabbaabbbd	1191120743
cabbbbabababaabfaabbbbabbaabbbd	1191120743
cabbbbabababaagaaabbbbabbaabbbd	1191120743
cabbbbabababafaaaabbbbabbaabbbd	1191120743
cabbbbabababebaaaabbbbabbaabbbd	1191120743
cabbbbababafbbaaaabbbbabbaabbbd	1191120743
cabbbbababebbbaaaabbbbabbaabbbd	1191120743
cabbbbabafbbbbaaaabbbbabbaabbbd	1191120743
cabbbbabebbbbbaaaabbbbabbaabbbd	1191120743
cabbbbafbbbbbbaaaabbbbabbaabbbd	1191120743
cabbbbebbbbbbbaaaabbbbabbaabbbd	1191120743
cabbbfbbbbbbbbaaaabbbbabbaabbbd	1191120743
cabbgabbbbbbbbaaaabbbbabbaabbbd	1191120743
cabgbabbbbbbbbaaaabbbbabbaabbbd	1191120743
cagbbabbbbbbbbaaaabbbbabbaabbbd	1191120743
cfabbabbbbbbbbaaaabbbbabbaabbbd	1191120743
caaabbabbbbbbbbaaaabbbbabbaabbbd	1191120743
caaabbabbbbbbbbaaaabbbbabbaagbbd	1786681115
caaabbabbbbbbbbaaaabbbbabbafabbd	1786681115
caaabbabbbbbbbbaaaabbbbabbebabbd	1786681115
caaabbabbbbbbbbaaaabbbbabfbbabbd	1786681115
caaabbabbbbbbbbaaaabbbbagabbabbd	1786681115
caaabbabbbbbbbbaaaabbbbfaabbabbd	1786681115
caaabbabbbbbbbbaaaabbbgaaabbabbd	1786681115
caaabbabbbbbbbbaaaabbgbaaabbabbd	1786681115
caaabbabbbbbbbbaaaabgbbaaabbabbd	1786681115
caaabbabbbbbbbbaaaagbbbaaabbabbd	1786681115
caaabbabbbbbbbbaaafabbbaaabbabbd	1786681115
caaabbabbbbbbbbaaebabbbaaabbabbd	1786681115
caaabbabbbbbbbbaeababbbaaabbabbd	1786681115
caaabbabbbbbbbbeaababbbaaabbabbd	1786681115
caaabbabbbbbbbfbaababbbaaabbabbd	1786681115
caaabbabbbbbbgabaababbbaaabbabbd	1786681115
caaabbabbbbbgbabaababbbaaabbabbd	1786681115
caaabbabbbbgbbabaababbbaaabbabbd	1786681115
caaabbabbbgbbbabaababbbaaabbabbd	1786681115
caaabbabbgbbbbabaababbbaaabbabbd	1786681115
caaabbabgbbbbbabaababbbaaabbabbd	1786681115
caaabbagbbbbbbabaababbbaaabbabbd	1786681115
