"Input number 907 with intial rewrite term cbbaaababbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 94  Number of array doubles: 0"
Term	Number
cbbaaabfabd	1361
cbbaaagaabd	1361
cbbaafaaabd	1361
cbbaebaaabd	1361
cbbeabaaabd	1361
cbfbabaaabd	1361
cgababaaabd	1361
cabababaaabd	1361
cabababaebd	1021
cabababeabd	1021
cababafbabd	1021
cababebbabd	1021
cabafbbbabd	1021
cabebbbbabd	1021
cafbbbbbabd	1021
cebbbbbbabd	1021
cbbbbbbbabd	1021
cbbbbbbbd	255
cbbbbgbbd	383
cbbbgbbbd	383
cbbgbbbbd	383
cbgbbbbbd	383
cgbbbbbbd	383
cabbbbbbbd	383
cabbbbgbbd	575
cabbbgbbbd	575
cabbgbbbbd	575
cabgbbbbbd	575
cagbbbbbbd	575
cfabbbbbbd	575
caaabbbbbbd	575
caaabbbgbbd	863
caaabbgbbbd	863
caaabgbbbbd	863
caaagbbbbbd	863
caafabbbbbd	863
caebabbbbbd	863
ceababbbbbd	863
cbababbbbbd	863
cbababbgbbd	1295
cbababgbbbd	1295
cbabagbbbbd	1295
cbabfabbbbd	1295
cbagaabbbbd	1295
cbfaaabbbbd	1295
cgaaaabbbbd	1295
cabaaaabbbbd	1295
cabaaaabgbbd	1943
cabaaaagbbbd	1943
cabaaafabbbd	1943
cabaaebabbbd	1943
cabaeababbbd	1943
cabeaababbbd	1943
cafbaababbbd	1943
cebbaababbbd	1943
cbbbaababbbd	1943
cbbbaabagbbd	2915
cbbbaabfabbd	2915
cbbbaagaabbd	2915
cbbbafaaabbd	2915
cbbbebaaabbd	2915
cbbfbbaaabbd	2915
cbgabbaaabbd	2915
cgbabbaaabbd	2915
cabbabbaaabbd	2915
cabbabbaafabd	4373
cabbabbaebabd	4373
cabbabbeababd	4373
cabbabfbababd	4373
cabbagabababd	4373
cabbfaabababd	4373
cabgaaabababd	4373
cagbaaabababd	4373
cfabaaabababd	4373
caaabaaabababd	4373
caaabaaababd	1093
caaabaaabd	273
caaabaebd	205
caaabeabd	205
caaafbabd	205
caaebbabd	205
caeabbabd	205
ceaabbabd	205
cbaabbabd	205
cbaabbd	51
cbafabd	77
cbebabd	77
cfbbabd	77
caabbabd	77
caabbd	19
cafabd	29
cebabd	29
cbbabd	29
cbbd	7
