"Input number 949643331 with intial rewrite term cbbaaabaabbabaabbabaaaabaaaabbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 1987  Number of array doubles: 0"
Term	Number
cbbaaabaabbabaabbabaaaabaaafabd	1424464997
cbbaaabaabbabaabbabaaaabaaebabd	1424464997
cbbaaabaabbabaabbabaaaabaeababd	1424464997
cbbaaabaabbabaabbabaaaabeaababd	1424464997
cbbaaabaabbabaabbabaaaafbaababd	1424464997
cbbaaabaabbabaabbabaaaebbaababd	1424464997
cbbaaabaabbabaabbabaaeabbaababd	1424464997
cbbaaabaabbabaabbabaeaabbaababd	1424464997
cbbaaabaabbabaabbabeaaabbaababd	1424464997
cbbaaabaabbabaabbafbaaabbaababd	1424464997
cbbaaabaabbabaabbebbaaabbaababd	1424464997
cbbaaabaabbabaabfbbbaaabbaababd	1424464997
cbbaaabaabbabaagabbbaaabbaababd	1424464997
cbbaaabaabbabafaabbbaaabbaababd	1424464997
cbbaaabaabbabebaabbbaaabbaababd	1424464997
cbbaaabaabbafbbaabbbaaabbaababd	1424464997
cbbaaabaabbebbbaabbbaaabbaababd	1424464997
cbbaaabaabfbbbbaabbbaaabbaababd	1424464997
cbbaaabaagabbbbaabbbaaabbaababd	1424464997
cbbaaabafaabbbbaabbbaaabbaababd	1424464997
cbbaaabebaabbbbaabbbaaabbaababd	1424464997
cbbaaafbbaabbbbaabbbaaabbaababd	1424464997
cbbaaebbbaabbbbaabbbaaabbaababd	1424464997
cbbaeabbbaabbbbaabbbaaabbaababd	1424464997
cbbeaabbbaabbbbaabbbaaabbaababd	1424464997
cbfbaabbbaabbbbaabbbaaabbaababd	1424464997
cgabaabbbaabbbbaabbbaaabbaababd	1424464997
cababaabbbaabbbbaabbbaaabbaababd	1424464997
cababaabbbaabbbbaabbbaaabbaabd	356116249
cababaabbbaabbbbaabbbaaabbebd	267087187
cababaabbbaabbbbaabbbaaabfbbd	267087187
cababaabbbaabbbbaabbbaaagabbd	267087187
cababaabbbaabbbbaabbbaafaabbd	267087187
cababaabbbaabbbbaabbbaebaabbd	267087187
cababaabbbaabbbbaabbbeabaabbd	267087187
cababaabbbaabbbbaabbfbabaabbd	267087187
cababaabbbaabbbbaabgababaabbd	267087187
cababaabbbaabbbbaagbababaabbd	267087187
cababaabbbaabbbbafabababaabbd	267087187
cababaabbbaabbbbebabababaabbd	267087187
cababaabbbaabbbfbbabababaabbd	267087187
cababaabbbaabbgabbabababaabbd	267087187
cababaabbbaabgbabbabababaabbd	267087187
cababaabbbaagbbabbabababaabbd	267087187
cababaabbbafabbabbabababaabbd	267087187
cababaabbbebabbabbabababaabbd	267087187
cababaabbfbbabbabbabababaabbd	267087187
cababaabgabbabbabbabababaabbd	267087187
cababaagbabbabbabbabababaabbd	267087187
cababafababbabbabbabababaabbd	267087187
cababebababbabbabbabababaabbd	267087187
cabafbbababbabbabbabababaabbd	267087187
cabebbbababbabbabbabababaabbd	267087187
cafbbbbababbabbabbabababaabbd	267087187
cebbbbbababbabbabbabababaabbd	267087187
cbbbbbbababbabbabbabababaabbd	267087187
cbbbbbbababbabbabbabababafabd	400630781
cbbbbbbababbabbabbabababebabd	400630781
cbbbbbbababbabbabbababafbbabd	400630781
cbbbbbbababbabbabbababebbbabd	400630781
cbbbbbbababbabbabbabafbbbbabd	400630781
cbbbbbbababbabbabbabebbbbbabd	400630781
cbbbbbbababbabbabbafbbbbbbabd	400630781
cbbbbbbababbabbabbebbbbbbbabd	400630781
cbbbbbbababbabbabfbbbbbbbbabd	400630781
cbbbbbbababbabbagabbbbbbbbabd	400630781
cbbbbbbababbabbfaabbbbbbbbabd	400630781
cbbbbbbababbabgaaabbbbbbbbabd	400630781
cbbbbbbababbagbaaabbbbbbbbabd	400630781
cbbbbbbababbfabaaabbbbbbbbabd	400630781
cbbbbbbababgaabaaabbbbbbbbabd	400630781
cbbbbbbabagbaabaaabbbbbbbbabd	400630781
cbbbbbbabfabaabaaabbbbbbbbabd	400630781
cbbbbbbagaabaabaaabbbbbbbbabd	400630781
cbbbbbbfaaabaabaaabbbbbbbbabd	400630781
cbbbbbgaaaabaabaaabbbbbbbbabd	400630781
cbbbbgbaaaabaabaaabbbbbbbbabd	400630781
cbbbgbbaaaabaabaaabbbbbbbbabd	400630781
cbbgbbbaaaabaabaaabbbbbbbbabd	400630781
cbgbbbbaaaabaabaaabbbbbbbbabd	400630781
cgbbbbbaaaabaabaaabbbbbbbbabd	400630781
cabbbbbbaaaabaabaaabbbbbbbbabd	400630781
cabbbbbbaaaabaabaaabbbbbbbbd	100157695
cabbbbbbaaaabaabaaabbbbbgbbd	150236543
cabbbbbbaaaabaabaaabbbbgbbbd	150236543
cabbbbbbaaaabaabaaabbbgbbbbd	150236543
cabbbbbbaaaabaabaaabbgbbbbbd	150236543
cabbbbbbaaaabaabaaabgbbbbbbd	150236543
cabbbbbbaaaabaabaaagbbbbbbbd	150236543
cabbbbbbaaaabaabaafabbbbbbbd	150236543
cabbbbbbaaaabaabaebabbbbbbbd	150236543
cabbbbbbaaaabaabeababbbbbbbd	150236543
cabbbbbbaaaabaafbababbbbbbbd	150236543
cabbbbbbaaaabaebbababbbbbbbd	150236543
cabbbbbbaaaabeabbababbbbbbbd	150236543
cabbbbbbaaaafbabbababbbbbbbd	150236543
cabbbbbbaaaebbabbababbbbbbbd	150236543
cabbbbbbaaeabbabbababbbbbbbd	150236543
cabbbbbbaeaabbabbababbbbbbbd	150236543
cabbbbbbeaaabbabbababbbbbbbd	150236543
cabbbbbfbaaabbabbababbbbbbbd	150236543
cabbbbgabaaabbabbababbbbbbbd	150236543
cabbbgbabaaabbabbababbbbbbbd	150236543
cabbgbbabaaabbabbababbbbbbbd	150236543
cabgbbbabaaabbabbababbbbbbbd	150236543
cagbbbbabaaabbabbababbbbbbbd	150236543
cfabbbbabaaabbabbababbbbbbbd	150236543
caaabbbbabaaabbabbababbbbbbbd	150236543
caaabbbbabaaabbabbababbbbgbbd	225354815
caaabbbbabaaabbabbababbbgbbbd	225354815
caaabbbbabaaabbabbababbgbbbbd	225354815
caaabbbbabaaabbabbababgbbbbbd	225354815
caaabbbbabaaabbabbabagbbbbbbd	225354815
caaabbbbabaaabbabbabfabbbbbbd	225354815
