Input Number	Final Number	Number of rewrite steps	Number of array doubles
3	1	8	0
7	1	25	0
9	1	30	0
15	1	31	0
19	1	34	0
25	1	40	0
27	1	367	1
33	1	47	0
39	1	71	0
109	1	371	1
123	1	108	0
187	1	107	0
219	1	131	0
255	1	137	0
291	1	384	0
439	1	136	0
703	1	817	1
907	1	163	0
1095	1	234	0
1249	1	840	1
1665	1	852	1
1815	1	168	0
3259	1	158	0
4381	1	238	0
4591	1	939	0
5841	1	252	0
6121	1	953	0
6171	1	1192	1
6823	1	536	0
8161	1	967	0
10881	1	982	0
12319	1	356	0
12351	1	617	0
23131	1	735	0
24615	1	339	0
25243	1	908	0
31591	1	345	0
31911	1	917	0
62079	1	1387	1
63183	1	351	0
77055	1	505	0
113383	1	1903	1
127143	1	1245	1
290751	1	2278	1
325791	1	1168	0
557127	1	1863	1
651583	1	1176	0
687871	1	3391	1
868777	1	1197	0
917161	1	3412	1
1222881	1	3434	1
1379295	1	667	0
1627119	1	1361	0
2068923	1	641	0
2911471	1	835	0
2911515	1	830	0
3041391	1	3392	1
3047407	1	1536	0
6094815	1	1543	0
6549279	1	763	0
7209223	1	3468	1
9826215	1	751	0
12901615	1	1074	0
13805679	1	927	0
14418447	1	3474	1
24379261	1	1547	0
26155275	1	749	0
32505681	1	1573	0
34873707	1	783	0
35651835	1	2075	0
41331823	1	885	0
43543207	1	1028	0
50078847	1	2257	0
60340335	1	1583	0
100157695	1	2267	0
116115219	1	1059	0
133543593	1	2295	0
194649045	1	3404	0
267087187	1	2299	0
275234751	1	1183	0
319804831	1	8400	1
326589567	1	1476	0
339554031	1	1889	0
356116249	1	2329	0
379027947	1	8490	1
598957743	1	8617	1
712232497	1	2330	0
794080495	1	2685	0
949643331	1	2363	0
