"Input number 100157695 with intial rewrite term cabbbbbbaaaabaabaaabbbbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2267  Number of array doubles: 0"
Term	Number
cabbbbbbaaaabaabaaabbbbbbbgd	150236543
cabbbbbbaaaabaabaaabbbbbbgbd	150236543
cabbbbbbaaaabaabaaabbbbbgbbd	150236543
cabbbbbbaaaabaabaaabbbbgbbbd	150236543
cabbbbbbaaaabaabaaabbbgbbbbd	150236543
cabbbbbbaaaabaabaaabbgbbbbbd	150236543
cabbbbbbaaaabaabaaabgbbbbbbd	150236543
cabbbbbbaaaabaabaaagbbbbbbbd	150236543
cabbbbbbaaaabaabaafabbbbbbbd	150236543
cabbbbbbaaaabaabaebabbbbbbbd	150236543
cabbbbbbaaaabaabeababbbbbbbd	150236543
cabbbbbbaaaabaafbababbbbbbbd	150236543
cabbbbbbaaaabaebbababbbbbbbd	150236543
cabbbbbbaaaabeabbababbbbbbbd	150236543
cabbbbbbaaaafbabbababbbbbbbd	150236543
cabbbbbbaaaebbabbababbbbbbbd	150236543
cabbbbbbaaeabbabbababbbbbbbd	150236543
cabbbbbbaeaabbabbababbbbbbbd	150236543
cabbbbbbeaaabbabbababbbbbbbd	150236543
cabbbbbfbaaabbabbababbbbbbbd	150236543
cabbbbgabaaabbabbababbbbbbbd	150236543
cabbbgbabaaabbabbababbbbbbbd	150236543
cabbgbbabaaabbabbababbbbbbbd	150236543
cabgbbbabaaabbabbababbbbbbbd	150236543
cagbbbbabaaabbabbababbbbbbbd	150236543
cfabbbbabaaabbabbababbbbbbbd	150236543
caaabbbbabaaabbabbababbbbbbbd	150236543
caaabbbbabaaabbabbababbbbbbgd	225354815
caaabbbbabaaabbabbababbbbbgbd	225354815
caaabbbbabaaabbabbababbbbgbbd	225354815
caaabbbbabaaabbabbababbbgbbbd	225354815
caaabbbbabaaabbabbababbgbbbbd	225354815
caaabbbbabaaabbabbababgbbbbbd	225354815
caaabbbbabaaabbabbabagbbbbbbd	225354815
caaabbbbabaaabbabbabfabbbbbbd	225354815
caaabbbbabaaabbabbagaabbbbbbd	225354815
caaabbbbabaaabbabbfaaabbbbbbd	225354815
caaabbbbabaaabbabgaaaabbbbbbd	225354815
caaabbbbabaaabbagbaaaabbbbbbd	225354815
caaabbbbabaaabbfabaaaabbbbbbd	225354815
caaabbbbabaaabgaabaaaabbbbbbd	225354815
caaabbbbabaaagbaabaaaabbbbbbd	225354815
caaabbbbabaafabaabaaaabbbbbbd	225354815
caaabbbbabaebabaabaaaabbbbbbd	225354815
caaabbbbabeababaabaaaabbbbbbd	225354815
caaabbbbafbababaabaaaabbbbbbd	225354815
caaabbbbebbababaabaaaabbbbbbd	225354815
caaabbbfbbbababaabaaaabbbbbbd	225354815
caaabbgabbbababaabaaaabbbbbbd	225354815
caaabgbabbbababaabaaaabbbbbbd	225354815
caaagbbabbbababaabaaaabbbbbbd	225354815
caafabbabbbababaabaaaabbbbbbd	225354815
caebabbabbbababaabaaaabbbbbbd	225354815
ceababbabbbababaabaaaabbbbbbd	225354815
cbababbabbbababaabaaaabbbbbbd	225354815
cbababbabbbababaabaaaabbbbbgd	338032223
cbababbabbbababaabaaaabbbbgbd	338032223
cbababbabbbababaabaaaabbbgbbd	338032223
cbababbabbbababaabaaaabbgbbbd	338032223
cbababbabbbababaabaaaabgbbbbd	338032223
cbababbabbbababaabaaaagbbbbbd	338032223
cbababbabbbababaabaaafabbbbbd	338032223
cbababbabbbababaabaaebabbbbbd	338032223
cbababbabbbababaabaeababbbbbd	338032223
cbababbabbbababaabeaababbbbbd	338032223
cbababbabbbababaafbaababbbbbd	338032223
cbababbabbbababaebbaababbbbbd	338032223
cbababbabbbababeabbaababbbbbd	338032223
cbababbabbbabafbabbaababbbbbd	338032223
cbababbabbbabebbabbaababbbbbd	338032223
cbababbabbbafbbbabbaababbbbbd	338032223
cbababbabbbebbbbabbaababbbbbd	338032223
cbababbabbfbbbbbabbaababbbbbd	338032223
cbababbabgabbbbbabbaababbbbbd	338032223
cbababbagbabbbbbabbaababbbbbd	338032223
cbababbfababbbbbabbaababbbbbd	338032223
cbababgaababbbbbabbaababbbbbd	338032223
cbabagbaababbbbbabbaababbbbbd	338032223
cbabfabaababbbbbabbaababbbbbd	338032223
cbagaabaababbbbbabbaababbbbbd	338032223
cbfaaabaababbbbbabbaababbbbbd	338032223
cgaaaabaababbbbbabbaababbbbbd	338032223
cabaaaabaababbbbbabbaababbbbbd	338032223
cabaaaabaababbbbbabbaababbbbgd	507048335
cabaaaabaababbbbbabbaababbbgbd	507048335
cabaaaabaababbbbbabbaababbgbbd	507048335
cabaaaabaababbbbbabbaababgbbbd	507048335
cabaaaabaababbbbbabbaabagbbbbd	507048335
cabaaaabaababbbbbabbaabfabbbbd	507048335
cabaaaabaababbbbbabbaagaabbbbd	507048335
cabaaaabaababbbbbabbafaaabbbbd	507048335
cabaaaabaababbbbbabbebaaabbbbd	507048335
cabaaaabaababbbbbabfbbaaabbbbd	507048335
cabaaaabaababbbbbagabbaaabbbbd	507048335
cabaaaabaababbbbbfaabbaaabbbbd	507048335
cabaaaabaababbbbgaaabbaaabbbbd	507048335
cabaaaabaababbbgbaaabbaaabbbbd	507048335
cabaaaabaababbgbbaaabbaaabbbbd	507048335
