"Input number 10881 with intial rewrite term cabababaaaaaabd
Generated final number 1 with final rewrite term cd
Number of steps: 982  Number of array doubles: 0"
Term	Number
cabababaaaaaagd	16322
cabababaaaaafad	16322
cabababaaaaebad	16322
cabababaaaeabad	16322
cabababaaeaabad	16322
cabababaeaaabad	16322
cabababeaaaabad	16322
cababafbaaaabad	16322
cababebbaaaabad	16322
cabafbbbaaaabad	16322
cabebbbbaaaabad	16322
cafbbbbbaaaabad	16322
cebbbbbbaaaabad	16322
cbbbbbbbaaaabad	16322
cbbbbbbbaaaabd	8161
cbbbbbbbaaaagd	12242
cbbbbbbbaaafad	12242
cbbbbbbbaaebad	12242
cbbbbbbbaeabad	12242
cbbbbbbbeaabad	12242
cbbbbbbfbaabad	12242
cbbbbbgabaabad	12242
cbbbbgbabaabad	12242
cbbbgbbabaabad	12242
cbbgbbbabaabad	12242
cbgbbbbabaabad	12242
cgbbbbbabaabad	12242
cabbbbbbabaabad	12242
cabbbbbbabaabd	6121
cabbbbbbabaagd	9182
cabbbbbbabafad	9182
cabbbbbbabebad	9182
cabbbbbbafbbad	9182
cabbbbbbebbbad	9182
cabbbbbfbbbbad	9182
cabbbbgabbbbad	9182
cabbbgbabbbbad	9182
cabbgbbabbbbad	9182
cabgbbbabbbbad	9182
cagbbbbabbbbad	9182
cfabbbbabbbbad	9182
caaabbbbabbbbad	9182
caaabbbbabbbbd	4591
caaabbbbabbbgd	6887
caaabbbbabbgbd	6887
caaabbbbabgbbd	6887
caaabbbbagbbbd	6887
caaabbbbfabbbd	6887
caaabbbgaabbbd	6887
caaabbgbaabbbd	6887
caaabgbbaabbbd	6887
caaagbbbaabbbd	6887
caafabbbaabbbd	6887
caebabbbaabbbd	6887
ceababbbaabbbd	6887
cbababbbaabbbd	6887
cbababbbaabbgd	10331
cbababbbaabgbd	10331
cbababbbaagbbd	10331
cbababbbafabbd	10331
cbababbbebabbd	10331
cbababbfbbabbd	10331
cbababgabbabbd	10331
cbabagbabbabbd	10331
cbabfababbabbd	10331
cbagaababbabbd	10331
cbfaaababbabbd	10331
cgaaaababbabbd	10331
cabaaaababbabbd	10331
cabaaaababbabgd	15497
cabaaaababbagbd	15497
cabaaaababbfabd	15497
cabaaaababgaabd	15497
cabaaaabagbaabd	15497
cabaaaabfabaabd	15497
cabaaaagaabaabd	15497
cabaaafaaabaabd	15497
cabaaebaaabaabd	15497
cabaeabaaabaabd	15497
cabeaabaaabaabd	15497
cafbaabaaabaabd	15497
cebbaabaaabaabd	15497
cbbbaabaaabaabd	15497
cbbbaabaaabaagd	23246
cbbbaabaaabafad	23246
cbbbaabaaabebad	23246
cbbbaabaaafbbad	23246
cbbbaabaaebbbad	23246
cbbbaabaeabbbad	23246
cbbbaabeaabbbad	23246
cbbbaafbaabbbad	23246
cbbbaebbaabbbad	23246
cbbbeabbaabbbad	23246
cbbfbabbaabbbad	23246
cbgababbaabbbad	23246
cgbababbaabbbad	23246
cabbababbaabbbad	23246
cabbababbaabbbd	11623
cabbababbaabbgd	17435
