"Input number 113383 with intial rewrite term cbabbbababbbaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1903  Number of array doubles: 1"
Term	Number
cbabbbababbbaabbgd	170075
cbabbbababbbaabgbd	170075
cbabbbababbbaagbbd	170075
cbabbbababbbafabbd	170075
cbabbbababbbebabbd	170075
cbabbbababbfbbabbd	170075
cbabbbababgabbabbd	170075
cbabbbabagbabbabbd	170075
cbabbbabfababbabbd	170075
cbabbbagaababbabbd	170075
cbabbbfaaababbabbd	170075
cbabbgaaaababbabbd	170075
cbabgbaaaababbabbd	170075
cbagbbaaaababbabbd	170075
cbfabbaaaababbabbd	170075
cgaabbaaaababbabbd	170075
cabaabbaaaababbabbd	170075
cabaabbaaaababbabgd	255113
cabaabbaaaababbagbd	255113
cabaabbaaaababbfabd	255113
cabaabbaaaababgaabd	255113
cabaabbaaaabagbaabd	255113
cabaabbaaaabfabaabd	255113
cabaabbaaaagaabaabd	255113
cabaabbaaafaaabaabd	255113
cabaabbaaebaaabaabd	255113
cabaabbaeabaaabaabd	255113
cabaabbeaabaaabaabd	255113
cabaabfbaabaaabaabd	255113
cabaagabaabaaabaabd	255113
cabafaabaabaaabaabd	255113
cabebaabaabaaabaabd	255113
cafbbaabaabaaabaabd	255113
cebbbaabaabaaabaabd	255113
cbbbbaabaabaaabaabd	255113
cbbbbaabaabaaabaagd	382670
cbbbbaabaabaaabafad	382670
cbbbbaabaabaaabebad	382670
cbbbbaabaabaaafbbad	382670
cbbbbaabaabaaebbbad	382670
cbbbbaabaabaeabbbad	382670
cbbbbaabaabeaabbbad	382670
cbbbbaabaafbaabbbad	382670
cbbbbaabaebbaabbbad	382670
cbbbbaabeabbaabbbad	382670
cbbbbaafbabbaabbbad	382670
cbbbbaebbabbaabbbad	382670
cbbbbeabbabbaabbbad	382670
cbbbfbabbabbaabbbad	382670
cbbgababbabbaabbbad	382670
cbgbababbabbaabbbad	382670
cgbbababbabbaabbbad	382670
cabbbababbabbaabbbad	382670
cabbbababbabbaabbbd	191335
cabbbababbabbaabbgd	287003
cabbbababbabbaabgbd	287003
cabbbababbabbaagbbd	287003
cabbbababbabbafabbd	287003
cabbbababbabbebabbd	287003
cabbbababbabfbbabbd	287003
cabbbababbagabbabbd	287003
cabbbababbfaabbabbd	287003
cabbbababgaaabbabbd	287003
cabbbabagbaaabbabbd	287003
cabbbabfabaaabbabbd	287003
cabbbagaabaaabbabbd	287003
cabbbfaaabaaabbabbd	287003
cabbgaaaabaaabbabbd	287003
cabgbaaaabaaabbabbd	287003
cagbbaaaabaaabbabbd	287003
cfabbaaaabaaabbabbd	287003
caaabbaaaabaaabbabbd	287003
caaabbaaaabaaabbabgd	430505
caaabbaaaabaaabbagbd	430505
caaabbaaaabaaabbfabd	430505
caaabbaaaabaaabgaabd	430505
caaabbaaaabaaagbaabd	430505
caaabbaaaabaafabaabd	430505
caaabbaaaabaebabaabd	430505
caaabbaaaabeababaabd	430505
caaabbaaaafbababaabd	430505
caaabbaaaebbababaabd	430505
caaabbaaeabbababaabd	430505
