"Input number 1222881 with intial rewrite term caababababaaabbbaaaabd
Generated final number 1 with final rewrite term cd
Number of steps: 3434  Number of array doubles: 1"
Term	Number
caababababaaabbbaaaagd	1834322
caababababaaabbbaaafad	1834322
caababababaaabbbaaebad	1834322
caababababaaabbbaeabad	1834322
caababababaaabbbeaabad	1834322
caababababaaabbfbaabad	1834322
caababababaaabgabaabad	1834322
caababababaaagbabaabad	1834322
caababababaafababaabad	1834322
caababababaebababaabad	1834322
caababababeabababaabad	1834322
caabababafbabababaabad	1834322
caabababebbabababaabad	1834322
caababafbbbabababaabad	1834322
caababebbbbabababaabad	1834322
caabafbbbbbabababaabad	1834322
caabebbbbbbabababaabad	1834322
caafbbbbbbbabababaabad	1834322
caebbbbbbbbabababaabad	1834322
ceabbbbbbbbabababaabad	1834322
cbabbbbbbbbabababaabad	1834322
cbabbbbbbbbabababaabd	917161
cbabbbbbbbbabababaagd	1375742
cbabbbbbbbbabababafad	1375742
cbabbbbbbbbabababebad	1375742
cbabbbbbbbbababafbbad	1375742
cbabbbbbbbbababebbbad	1375742
cbabbbbbbbbabafbbbbad	1375742
cbabbbbbbbbabebbbbbad	1375742
cbabbbbbbbbafbbbbbbad	1375742
cbabbbbbbbbebbbbbbbad	1375742
cbabbbbbbbfbbbbbbbbad	1375742
cbabbbbbbgabbbbbbbbad	1375742
cbabbbbbgbabbbbbbbbad	1375742
cbabbbbgbbabbbbbbbbad	1375742
cbabbbgbbbabbbbbbbbad	1375742
cbabbgbbbbabbbbbbbbad	1375742
cbabgbbbbbabbbbbbbbad	1375742
cbagbbbbbbabbbbbbbbad	1375742
cbfabbbbbbabbbbbbbbad	1375742
cgaabbbbbbabbbbbbbbad	1375742
cabaabbbbbbabbbbbbbbad	1375742
cabaabbbbbbabbbbbbbbd	687871
cabaabbbbbbabbbbbbbgd	1031807
cabaabbbbbbabbbbbbgbd	1031807
cabaabbbbbbabbbbbgbbd	1031807
cabaabbbbbbabbbbgbbbd	1031807
cabaabbbbbbabbbgbbbbd	1031807
cabaabbbbbbabbgbbbbbd	1031807
cabaabbbbbbabgbbbbbbd	1031807
cabaabbbbbbagbbbbbbbd	1031807
cabaabbbbbbfabbbbbbbd	1031807
cabaabbbbbgaabbbbbbbd	1031807
cabaabbbbgbaabbbbbbbd	1031807
cabaabbbgbbaabbbbbbbd	1031807
cabaabbgbbbaabbbbbbbd	1031807
cabaabgbbbbaabbbbbbbd	1031807
cabaagbbbbbaabbbbbbbd	1031807
cabafabbbbbaabbbbbbbd	1031807
cabebabbbbbaabbbbbbbd	1031807
cafbbabbbbbaabbbbbbbd	1031807
cebbbabbbbbaabbbbbbbd	1031807
cbbbbabbbbbaabbbbbbbd	1031807
cbbbbabbbbbaabbbbbbgd	1547711
cbbbbabbbbbaabbbbbgbd	1547711
cbbbbabbbbbaabbbbgbbd	1547711
cbbbbabbbbbaabbbgbbbd	1547711
cbbbbabbbbbaabbgbbbbd	1547711
cbbbbabbbbbaabgbbbbbd	1547711
cbbbbabbbbbaagbbbbbbd	1547711
cbbbbabbbbbafabbbbbbd	1547711
cbbbbabbbbbebabbbbbbd	1547711
cbbbbabbbbfbbabbbbbbd	1547711
cbbbbabbbgabbabbbbbbd	1547711
cbbbbabbgbabbabbbbbbd	1547711
cbbbbabgbbabbabbbbbbd	1547711
cbbbbagbbbabbabbbbbbd	1547711
cbbbbfabbbabbabbbbbbd	1547711
cbbbgaabbbabbabbbbbbd	1547711
cbbgbaabbbabbabbbbbbd	1547711
cbgbbaabbbabbabbbbbbd	1547711
cgbbbaabbbabbabbbbbbd	1547711
cabbbbaabbbabbabbbbbbd	1547711
cabbbbaabbbabbabbbbbgd	2321567
cabbbbaabbbabbabbbbgbd	2321567
cabbbbaabbbabbabbbgbbd	2321567
cabbbbaabbbabbabbgbbbd	2321567
cabbbbaabbbabbabgbbbbd	2321567
cabbbbaabbbabbagbbbbbd	2321567
cabbbbaabbbabbfabbbbbd	2321567
cabbbbaabbbabgaabbbbbd	2321567
cabbbbaabbbagbaabbbbbd	2321567
cabbbbaabbbfabaabbbbbd	2321567
cabbbbaabbgaabaabbbbbd	2321567
cabbbbaabgbaabaabbbbbd	2321567
cabbbbaagbbaabaabbbbbd	2321567
cabbbbafabbaabaabbbbbd	2321567
cabbbbebabbaabaabbbbbd	2321567
cabbbfbbabbaabaabbbbbd	2321567
cabbgabbabbaabaabbbbbd	2321567
cabgbabbabbaabaabbbbbd	2321567
cagbbabbabbaabaabbbbbd	2321567
cfabbabbabbaabaabbbbbd	2321567
caaabbabbabbaabaabbbbbd	2321567
caaabbabbabbaabaabbbbgd	3482351
caaabbabbabbaabaabbbgbd	3482351
caaabbabbabbaabaabbgbbd	3482351
caaabbabbabbaabaabgbbbd	3482351
caaabbabbabbaabaagbbbbd	3482351
caaabbabbabbaabafabbbbd	3482351
caaabbabbabbaabebabbbbd	3482351
caaabbabbabbaafbbabbbbd	3482351
caaabbabbabbaebbbabbbbd	3482351
caaabbabbabbeabbbabbbbd	3482351
caaabbabbabfbabbbabbbbd	3482351
caaabbabbagababbbabbbbd	3482351
caaabbabbfaababbbabbbbd	3482351
caaabbabgaaababbbabbbbd	3482351
caaabbagbaaababbbabbbbd	3482351
caaabbfabaaababbbabbbbd	3482351
caaabgaabaaababbbabbbbd	3482351
caaagbaabaaababbbabbbbd	3482351
caafabaabaaababbbabbbbd	3482351
caebabaabaaababbbabbbbd	3482351
ceababaabaaababbbabbbbd	3482351
cbababaabaaababbbabbbbd	3482351
cbababaabaaababbbabbbgd	5223527
cbababaabaaababbbabbgbd	5223527
cbababaabaaababbbabgbbd	5223527
cbababaabaaababbbagbbbd	5223527
cbababaabaaababbbfabbbd	5223527
cbababaabaaababbgaabbbd	5223527
cbababaabaaababgbaabbbd	5223527
cbababaabaaabagbbaabbbd	5223527
cbababaabaaabfabbaabbbd	5223527
cbababaabaaagaabbaabbbd	5223527
cbababaabaafaaabbaabbbd	5223527
cbababaabaebaaabbaabbbd	5223527
cbababaabeabaaabbaabbbd	5223527
cbababaafbabaaabbaabbbd	5223527
cbababaebbabaaabbaabbbd	5223527
cbababeabbabaaabbaabbbd	5223527
cbabafbabbabaaabbaabbbd	5223527
cbabebbabbabaaabbaabbbd	5223527
cbafbbbabbabaaabbaabbbd	5223527
cbebbbbabbabaaabbaabbbd	5223527
cfbbbbbabbabaaabbaabbbd	5223527
caabbbbbabbabaaabbaabbbd	5223527
caabbbbbabbabaaabbaabbgd	7835291
caabbbbbabbabaaabbaabgbd	7835291
caabbbbbabbabaaabbaagbbd	7835291
caabbbbbabbabaaabbafabbd	7835291
caabbbbbabbabaaabbebabbd	7835291
caabbbbbabbabaaabfbbabbd	7835291
caabbbbbabbabaaagabbabbd	7835291
caabbbbbabbabaafaabbabbd	7835291
caabbbbbabbabaebaabbabbd	7835291
caabbbbbabbabeabaabbabbd	7835291
caabbbbbabbafbabaabbabbd	7835291
caabbbbbabbebbabaabbabbd	7835291
caabbbbbabfbbbabaabbabbd	7835291
caabbbbbagabbbabaabbabbd	7835291
caabbbbbfaabbbabaabbabbd	7835291
caabbbbgaaabbbabaabbabbd	7835291
caabbbgbaaabbbabaabbabbd	7835291
caabbgbbaaabbbabaabbabbd	7835291
caabgbbbaaabbbabaabbabbd	7835291
caagbbbbaaabbbabaabbabbd	7835291
cafabbbbaaabbbabaabbabbd	7835291
cebabbbbaaabbbabaabbabbd	7835291
cbbabbbbaaabbbabaabbabbd	7835291
cbbabbbbaaabbbabaabbabgd	11752937
cbbabbbbaaabbbabaabbagbd	11752937
cbbabbbbaaabbbabaabbfabd	11752937
cbbabbbbaaabbbabaabgaabd	11752937
cbbabbbbaaabbbabaagbaabd	11752937
cbbabbbbaaabbbabafabaabd	11752937
cbbabbbbaaabbbabebabaabd	11752937
cbbabbbbaaabbbafbbabaabd	11752937
cbbabbbbaaabbbebbbabaabd	11752937
cbbabbbbaaabbfbbbbabaabd	11752937
cbbabbbbaaabgabbbbabaabd	11752937
cbbabbbbaaagbabbbbabaabd	11752937
cbbabbbbaafababbbbabaabd	11752937
cbbabbbbaebababbbbabaabd	11752937
cbbabbbbeabababbbbabaabd	11752937
cbbabbbfbabababbbbabaabd	11752937
cbbabbgababababbbbabaabd	11752937
cbbabgbababababbbbabaabd	11752937
cbbagbbababababbbbabaabd	11752937
cbbfabbababababbbbabaabd	11752937
cbgaabbababababbbbabaabd	11752937
cgbaabbababababbbbabaabd	11752937
cabbaabbababababbbbabaabd	11752937
cabbaabbababababbbbabaagd	17629406
cabbaabbababababbbbabafad	17629406
cabbaabbababababbbbabebad	17629406
cabbaabbababababbbbafbbad	17629406
cabbaabbababababbbbebbbad	17629406
cabbaabbababababbbfbbbbad	17629406
cabbaabbababababbgabbbbad	17629406
cabbaabbababababgbabbbbad	17629406
cabbaabbabababagbbabbbbad	17629406
cabbaabbabababfabbabbbbad	17629406
cabbaabbababagaabbabbbbad	17629406
cabbaabbababfaaabbabbbbad	17629406
cabbaabbabagaaaabbabbbbad	17629406
cabbaabbabfaaaaabbabbbbad	17629406
cabbaabbagaaaaaabbabbbbad	17629406
cabbaabbfaaaaaaabbabbbbad	17629406
cabbaabgaaaaaaaabbabbbbad	17629406
cabbaagbaaaaaaaabbabbbbad	17629406
cabbafabaaaaaaaabbabbbbad	17629406
cabbebabaaaaaaaabbabbbbad	17629406
cabfbbabaaaaaaaabbabbbbad	17629406
cagabbabaaaaaaaabbabbbbad	17629406
cfaabbabaaaaaaaabbabbbbad	17629406
caaaabbabaaaaaaaabbabbbbad	17629406
caaaabbabaaaaaaaabbabbbbd	8814703
caaaabbabaaaaaaaabbabbbgd	13222055
caaaabbabaaaaaaaabbabbgbd	13222055
caaaabbabaaaaaaaabbabgbbd	13222055
caaaabbabaaaaaaaabbagbbbd	13222055
caaaabbabaaaaaaaabbfabbbd	13222055
caaaabbabaaaaaaaabgaabbbd	13222055
caaaabbabaaaaaaaagbaabbbd	13222055
caaaabbabaaaaaaafabaabbbd	13222055
caaaabbabaaaaaaebabaabbbd	13222055
caaaabbabaaaaaeababaabbbd	13222055
caaaabbabaaaaeaababaabbbd	13222055
caaaabbabaaaeaaababaabbbd	13222055
caaaabbabaaeaaaababaabbbd	13222055
caaaabbabaeaaaaababaabbbd	13222055
caaaabbabeaaaaaababaabbbd	13222055
caaaabbafbaaaaaababaabbbd	13222055
caaaabbebbaaaaaababaabbbd	13222055
caaaabfbbbaaaaaababaabbbd	13222055
caaaagabbbaaaaaababaabbbd	13222055
caaafaabbbaaaaaababaabbbd	13222055
caaebaabbbaaaaaababaabbbd	13222055
caeabaabbbaaaaaababaabbbd	13222055
ceaabaabbbaaaaaababaabbbd	13222055
cbaabaabbbaaaaaababaabbbd	13222055
cbaabaabbbaaaaaababaabbgd	19833083
cbaabaabbbaaaaaababaabgbd	19833083
cbaabaabbbaaaaaababaagbbd	19833083
cbaabaabbbaaaaaababafabbd	19833083
cbaabaabbbaaaaaababebabbd	19833083
cbaabaabbbaaaaaabafbbabbd	19833083
cbaabaabbbaaaaaabebbbabbd	19833083
cbaabaabbbaaaaaafbbbbabbd	19833083
cbaabaabbbaaaaaebbbbbabbd	19833083
cbaabaabbbaaaaeabbbbbabbd	19833083
cbaabaabbbaaaeaabbbbbabbd	19833083
cbaabaabbbaaeaaabbbbbabbd	19833083
cbaabaabbbaeaaaabbbbbabbd	19833083
cbaabaabbbeaaaaabbbbbabbd	19833083
cbaabaabbfbaaaaabbbbbabbd	19833083
cbaabaabgabaaaaabbbbbabbd	19833083
cbaabaagbabaaaaabbbbbabbd	19833083
cbaabafababaaaaabbbbbabbd	19833083
cbaabebababaaaaabbbbbabbd	19833083
cbaafbbababaaaaabbbbbabbd	19833083
cbaebbbababaaaaabbbbbabbd	19833083
cbeabbbababaaaaabbbbbabbd	19833083
cfbabbbababaaaaabbbbbabbd	19833083
caababbbababaaaaabbbbbabbd	19833083
caababbbababaaaaabbbbbabgd	29749625
caababbbababaaaaabbbbbagbd	29749625
caababbbababaaaaabbbbbfabd	29749625
caababbbababaaaaabbbbgaabd	29749625
caababbbababaaaaabbbgbaabd	29749625
caababbbababaaaaabbgbbaabd	29749625
caababbbababaaaaabgbbbaabd	29749625
caababbbababaaaaagbbbbaabd	29749625
caababbbababaaaafabbbbaabd	29749625
caababbbababaaaebabbbbaabd	29749625
caababbbababaaeababbbbaabd	29749625
caababbbababaeaababbbbaabd	29749625
caababbbababeaaababbbbaabd	29749625
caababbbabafbaaababbbbaabd	29749625
caababbbabebbaaababbbbaabd	29749625
caababbbafbbbaaababbbbaabd	29749625
caababbbebbbbaaababbbbaabd	29749625
caababbfbbbbbaaababbbbaabd	29749625
caababgabbbbbaaababbbbaabd	29749625
