"Input number 12351 with intial rewrite term cbaaaaaabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 617  Number of array doubles: 0"
Term	Number
cbaaaaaabbbbbgd	18527
cbaaaaaabbbbgbd	18527
cbaaaaaabbbgbbd	18527
cbaaaaaabbgbbbd	18527
cbaaaaaabgbbbbd	18527
cbaaaaaagbbbbbd	18527
cbaaaaafabbbbbd	18527
cbaaaaebabbbbbd	18527
cbaaaeababbbbbd	18527
cbaaeaababbbbbd	18527
cbaeaaababbbbbd	18527
cbeaaaababbbbbd	18527
cfbaaaababbbbbd	18527
caabaaaababbbbbd	18527
caabaaaababbbbgd	27791
caabaaaababbbgbd	27791
caabaaaababbgbbd	27791
caabaaaababgbbbd	27791
caabaaaabagbbbbd	27791
caabaaaabfabbbbd	27791
caabaaaagaabbbbd	27791
caabaaafaaabbbbd	27791
caabaaebaaabbbbd	27791
caabaeabaaabbbbd	27791
caabeaabaaabbbbd	27791
caafbaabaaabbbbd	27791
caebbaabaaabbbbd	27791
ceabbaabaaabbbbd	27791
cbabbaabaaabbbbd	27791
cbabbaabaaabbbgd	41687
cbabbaabaaabbgbd	41687
cbabbaabaaabgbbd	41687
cbabbaabaaagbbbd	41687
cbabbaabaafabbbd	41687
cbabbaabaebabbbd	41687
cbabbaabeababbbd	41687
cbabbaafbababbbd	41687
cbabbaebbababbbd	41687
cbabbeabbababbbd	41687
cbabfbabbababbbd	41687
cbagababbababbbd	41687
cbfaababbababbbd	41687
cgaaababbababbbd	41687
cabaaababbababbbd	41687
cabaaababbababbgd	62531
cabaaababbababgbd	62531
cabaaababbabagbbd	62531
cabaaababbabfabbd	62531
cabaaababbagaabbd	62531
cabaaababbfaaabbd	62531
cabaaababgaaaabbd	62531
cabaaabagbaaaabbd	62531
cabaaabfabaaaabbd	62531
cabaaagaabaaaabbd	62531
cabaafaaabaaaabbd	62531
cabaebaaabaaaabbd	62531
cabeabaaabaaaabbd	62531
cafbabaaabaaaabbd	62531
cebbabaaabaaaabbd	62531
cbbbabaaabaaaabbd	62531
cbbbabaaabaaaabgd	93797
cbbbabaaabaaaagbd	93797
cbbbabaaabaaafabd	93797
cbbbabaaabaaebabd	93797
cbbbabaaabaeababd	93797
cbbbabaaabeaababd	93797
cbbbabaaafbaababd	93797
cbbbabaaebbaababd	93797
cbbbabaeabbaababd	93797
cbbbabeaabbaababd	93797
cbbbafbaabbaababd	93797
cbbbebbaabbaababd	93797
cbbfbbbaabbaababd	93797
cbgabbbaabbaababd	93797
cgbabbbaabbaababd	93797
cabbabbbaabbaababd	93797
cabbabbbaabbaabagd	140696
cabbabbbaabbaabfad	140696
cabbabbbaabbaagaad	140696
cabbabbbaabbafaaad	140696
cabbabbbaabbebaaad	140696
cabbabbbaabfbbaaad	140696
cabbabbbaagabbaaad	140696
cabbabbbafaabbaaad	140696
cabbabbbebaabbaaad	140696
cabbabbfbbaabbaaad	140696
cabbabgabbaabbaaad	140696
cabbagbabbaabbaaad	140696
cabbfababbaabbaaad	140696
cabgaababbaabbaaad	140696
cagbaababbaabbaaad	140696
cfabaababbaabbaaad	140696
caaabaababbaabbaaad	140696
caaabaababbaabbaad	70348
caaabaababbaabbad	35174
caaabaababbaabbd	17587
caaabaababbaabgd	26381
caaabaababbaagbd	26381
caaabaababbafabd	26381
caaabaababbebabd	26381
caaabaababfbbabd	26381
caaabaabagabbabd	26381
caaabaabfaabbabd	26381
caaabaagaaabbabd	26381
caaabafaaaabbabd	26381
caaabebaaaabbabd	26381
caaafbbaaaabbabd	26381
caaebbbaaaabbabd	26381
caeabbbaaaabbabd	26381
ceaabbbaaaabbabd	26381
cbaabbbaaaabbabd	26381
cbaabbbaaaabbagd	39572
cbaabbbaaaabbfad	39572
cbaabbbaaaabgaad	39572
cbaabbbaaaagbaad	39572
cbaabbbaaafabaad	39572
cbaabbbaaebabaad	39572
cbaabbbaeababaad	39572
cbaabbbeaababaad	39572
cbaabbfbaababaad	39572
cbaabgabaababaad	39572
cbaagbabaababaad	39572
cbafababaababaad	39572
cbebababaababaad	39572
cfbbababaababaad	39572
caabbababaababaad	39572
caabbababaababad	19786
caabbababaababd	9893
caabbababaabagd	14840
caabbababaabfad	14840
caabbababaagaad	14840
caabbababafaaad	14840
caabbababebaaad	14840
caabbabafbbaaad	14840
caabbabebbbaaad	14840
caabbafbbbbaaad	14840
caabbebbbbbaaad	14840
caabfbbbbbbaaad	14840
caagabbbbbbaaad	14840
cafaabbbbbbaaad	14840
cebaabbbbbbaaad	14840
cbbaabbbbbbaaad	14840
cbbaabbbbbbaad	7420
cbbaabbbbbbad	3710
cbbaabbbbbbd	1855
cbbaabbbbbgd	2783
cbbaabbbbgbd	2783
cbbaabbbgbbd	2783
cbbaabbgbbbd	2783
cbbaabgbbbbd	2783
cbbaagbbbbbd	2783
cbbafabbbbbd	2783
cbbebabbbbbd	2783
cbfbbabbbbbd	2783
cgabbabbbbbd	2783
cababbabbbbbd	2783
cababbabbbbgd	4175
cababbabbbgbd	4175
cababbabbgbbd	4175
cababbabgbbbd	4175
cababbagbbbbd	4175
cababbfabbbbd	4175
cababgaabbbbd	4175
cabagbaabbbbd	4175
cabfabaabbbbd	4175
cagaabaabbbbd	4175
cfaaabaabbbbd	4175
caaaaabaabbbbd	4175
caaaaabaabbbgd	6263
caaaaabaabbgbd	6263
caaaaabaabgbbd	6263
caaaaabaagbbbd	6263
caaaaabafabbbd	6263
caaaaabebabbbd	6263
caaaaafbbabbbd	6263
caaaaebbbabbbd	6263
caaaeabbbabbbd	6263
caaeaabbbabbbd	6263
caeaaabbbabbbd	6263
ceaaaabbbabbbd	6263
cbaaaabbbabbbd	6263
cbaaaabbbabbgd	9395
cbaaaabbbabgbd	9395
cbaaaabbbagbbd	9395
cbaaaabbbfabbd	9395
cbaaaabbgaabbd	9395
cbaaaabgbaabbd	9395
cbaaaagbbaabbd	9395
cbaaafabbaabbd	9395
cbaaebabbaabbd	9395
cbaeababbaabbd	9395
cbeaababbaabbd	9395
cfbaababbaabbd	9395
caabaababbaabbd	9395
caabaababbaabgd	14093
caabaababbaagbd	14093
caabaababbafabd	14093
caabaababbebabd	14093
caabaababfbbabd	14093
caabaabagabbabd	14093
caabaabfaabbabd	14093
caabaagaaabbabd	14093
caabafaaaabbabd	14093
caabebaaaabbabd	14093
caafbbaaaabbabd	14093
caebbbaaaabbabd	14093
ceabbbaaaabbabd	14093
cbabbbaaaabbabd	14093
cbabbbaaaabbagd	21140
cbabbbaaaabbfad	21140
cbabbbaaaabgaad	21140
cbabbbaaaagbaad	21140
cbabbbaaafabaad	21140
cbabbbaaebabaad	21140
cbabbbaeababaad	21140
cbabbbeaababaad	21140
cbabbfbaababaad	21140
cbabgabaababaad	21140
cbagbabaababaad	21140
cbfababaababaad	21140
cgaababaababaad	21140
cabaababaababaad	21140
cabaababaababad	10570
cabaababaababd	5285
cabaababaabagd	7928
cabaababaabfad	7928
cabaababaagaad	7928
cabaababafaaad	7928
cabaababebaaad	7928
cabaabafbbaaad	7928
cabaabebbbaaad	7928
cabaafbbbbaaad	7928
cabaebbbbbaaad	7928
cabeabbbbbaaad	7928
cafbabbbbbaaad	7928
cebbabbbbbaaad	7928
cbbbabbbbbaaad	7928
cbbbabbbbbaad	3964
cbbbabbbbbad	1982
cbbbabbbbbd	991
cbbbabbbbgd	1487
cbbbabbbgbd	1487
cbbbabbgbbd	1487
cbbbabgbbbd	1487
cbbbagbbbbd	1487
cbbbfabbbbd	1487
cbbgaabbbbd	1487
cbgbaabbbbd	1487
cgbbaabbbbd	1487
cabbbaabbbbd	1487
cabbbaabbbgd	2231
cabbbaabbgbd	2231
cabbbaabgbbd	2231
cabbbaagbbbd	2231
cabbbafabbbd	2231
cabbbebabbbd	2231
cabbfbbabbbd	2231
cabgabbabbbd	2231
