"Input number 1249 with intial rewrite term caabbbaaaabd
Generated final number 1 with final rewrite term cd
Number of steps: 840  Number of array doubles: 1"
Term	Number
caabbbaaaagd	1874
caabbbaaafad	1874
caabbbaaebad	1874
caabbbaeabad	1874
caabbbeaabad	1874
caabbfbaabad	1874
caabgabaabad	1874
caagbabaabad	1874
cafababaabad	1874
cebababaabad	1874
cbbababaabad	1874
cbbababaabd	937
cbbababaagd	1406
cbbababafad	1406
cbbababebad	1406
cbbabafbbad	1406
cbbabebbbad	1406
cbbafbbbbad	1406
cbbebbbbbad	1406
cbfbbbbbbad	1406
cgabbbbbbad	1406
cababbbbbbad	1406
cababbbbbbd	703
cababbbbbgd	1055
cababbbbgbd	1055
cababbbgbbd	1055
cababbgbbbd	1055
cababgbbbbd	1055
cabagbbbbbd	1055
cabfabbbbbd	1055
cagaabbbbbd	1055
cfaaabbbbbd	1055
caaaaabbbbbd	1055
caaaaabbbbgd	1583
caaaaabbbgbd	1583
caaaaabbgbbd	1583
caaaaabgbbbd	1583
caaaaagbbbbd	1583
caaaafabbbbd	1583
caaaebabbbbd	1583
caaeababbbbd	1583
caeaababbbbd	1583
ceaaababbbbd	1583
cbaaababbbbd	1583
cbaaababbbgd	2375
cbaaababbgbd	2375
cbaaababgbbd	2375
cbaaabagbbbd	2375
cbaaabfabbbd	2375
cbaaagaabbbd	2375
cbaafaaabbbd	2375
cbaebaaabbbd	2375
cbeabaaabbbd	2375
cfbabaaabbbd	2375
caababaaabbbd	2375
caababaaabbgd	3563
caababaaabgbd	3563
caababaaagbbd	3563
caababaafabbd	3563
caababaebabbd	3563
caababeababbd	3563
caabafbababbd	3563
caabebbababbd	3563
caafbbbababbd	3563
caebbbbababbd	3563
ceabbbbababbd	3563
cbabbbbababbd	3563
cbabbbbababgd	5345
cbabbbbabagbd	5345
cbabbbbabfabd	5345
cbabbbbagaabd	5345
cbabbbbfaaabd	5345
cbabbbgaaaabd	5345
cbabbgbaaaabd	5345
cbabgbbaaaabd	5345
cbagbbbaaaabd	5345
cbfabbbaaaabd	5345
cgaabbbaaaabd	5345
cabaabbbaaaabd	5345
cabaabbbaaaagd	8018
cabaabbbaaafad	8018
cabaabbbaaebad	8018
cabaabbbaeabad	8018
cabaabbbeaabad	8018
cabaabbfbaabad	8018
cabaabgabaabad	8018
cabaagbabaabad	8018
cabafababaabad	8018
cabebababaabad	8018
cafbbababaabad	8018
cebbbababaabad	8018
cbbbbababaabad	8018
cbbbbababaabd	4009
cbbbbababaagd	6014
cbbbbababafad	6014
cbbbbababebad	6014
cbbbbabafbbad	6014
cbbbbabebbbad	6014
cbbbbafbbbbad	6014
cbbbbebbbbbad	6014
cbbbfbbbbbbad	6014
cbbgabbbbbbad	6014
cbgbabbbbbbad	6014
cgbbabbbbbbad	6014
cabbbabbbbbbad	6014
cabbbabbbbbbd	3007
cabbbabbbbbgd	4511
cabbbabbbbgbd	4511
cabbbabbbgbbd	4511
cabbbabbgbbbd	4511
cabbbabgbbbbd	4511
cabbbagbbbbbd	4511
cabbbfabbbbbd	4511
cabbgaabbbbbd	4511
cabgbaabbbbbd	4511
cagbbaabbbbbd	4511
cfabbaabbbbbd	4511
caaabbaabbbbbd	4511
caaabbaabbbbgd	6767
caaabbaabbbgbd	6767
caaabbaabbgbbd	6767
caaabbaabgbbbd	6767
caaabbaagbbbbd	6767
caaabbafabbbbd	6767
caaabbebabbbbd	6767
caaabfbbabbbbd	6767
caaagabbabbbbd	6767
caafaabbabbbbd	6767
caebaabbabbbbd	6767
ceabaabbabbbbd	6767
cbabaabbabbbbd	6767
cbabaabbabbbgd	10151
cbabaabbabbgbd	10151
cbabaabbabgbbd	10151
cbabaabbagbbbd	10151
cbabaabbfabbbd	10151
cbabaabgaabbbd	10151
cbabaagbaabbbd	10151
cbabafabaabbbd	10151
cbabebabaabbbd	10151
cbafbbabaabbbd	10151
cbebbbabaabbbd	10151
cfbbbbabaabbbd	10151
caabbbbabaabbbd	10151
caabbbbabaabbgd	15227
caabbbbabaabgbd	15227
caabbbbabaagbbd	15227
caabbbbabafabbd	15227
caabbbbabebabbd	15227
caabbbbafbbabbd	15227
caabbbbebbbabbd	15227
caabbbfbbbbabbd	15227
caabbgabbbbabbd	15227
caabgbabbbbabbd	15227
caagbbabbbbabbd	15227
cafabbabbbbabbd	15227
cebabbabbbbabbd	15227
cbbabbabbbbabbd	15227
cbbabbabbbbabgd	22841
cbbabbabbbbagbd	22841
cbbabbabbbbfabd	22841
cbbabbabbbgaabd	22841
cbbabbabbgbaabd	22841
cbbabbabgbbaabd	22841
cbbabbagbbbaabd	22841
cbbabbfabbbaabd	22841
cbbabgaabbbaabd	22841
cbbagbaabbbaabd	22841
cbbfabaabbbaabd	22841
cbgaabaabbbaabd	22841
cgbaabaabbbaabd	22841
cabbaabaabbbaabd	22841
cabbaabaabbbaagd	34262
cabbaabaabbbafad	34262
cabbaabaabbbebad	34262
cabbaabaabbfbbad	34262
cabbaabaabgabbad	34262
cabbaabaagbabbad	34262
cabbaabafababbad	34262
cabbaabebababbad	34262
cabbaafbbababbad	34262
cabbaebbbababbad	34262
cabbeabbbababbad	34262
cabfbabbbababbad	34262
cagababbbababbad	34262
cfaababbbababbad	34262
caaaababbbababbad	34262
caaaababbbababbd	17131
caaaababbbababgd	25697
caaaababbbabagbd	25697
caaaababbbabfabd	25697
caaaababbbagaabd	25697
caaaababbbfaaabd	25697
