"Input number 12901615 with intial rewrite term cbaaabaabbabbbaabbbabbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1074  Number of array doubles: 0"
Term	Number
cbaaabaabbabbbaabbbabbbgd	19352423
cbaaabaabbabbbaabbbabbgbd	19352423
cbaaabaabbabbbaabbbabgbbd	19352423
cbaaabaabbabbbaabbbagbbbd	19352423
cbaaabaabbabbbaabbbfabbbd	19352423
cbaaabaabbabbbaabbgaabbbd	19352423
cbaaabaabbabbbaabgbaabbbd	19352423
cbaaabaabbabbbaagbbaabbbd	19352423
cbaaabaabbabbbafabbaabbbd	19352423
cbaaabaabbabbbebabbaabbbd	19352423
cbaaabaabbabbfbbabbaabbbd	19352423
cbaaabaabbabgabbabbaabbbd	19352423
cbaaabaabbagbabbabbaabbbd	19352423
cbaaabaabbfababbabbaabbbd	19352423
cbaaabaabgaababbabbaabbbd	19352423
cbaaabaagbaababbabbaabbbd	19352423
cbaaabafabaababbabbaabbbd	19352423
cbaaabebabaababbabbaabbbd	19352423
cbaaafbbabaababbabbaabbbd	19352423
cbaaebbbabaababbabbaabbbd	19352423
cbaeabbbabaababbabbaabbbd	19352423
cbeaabbbabaababbabbaabbbd	19352423
cfbaabbbabaababbabbaabbbd	19352423
caabaabbbabaababbabbaabbbd	19352423
caabaabbbabaababbabbaabbgd	29028635
caabaabbbabaababbabbaabgbd	29028635
caabaabbbabaababbabbaagbbd	29028635
caabaabbbabaababbabbafabbd	29028635
caabaabbbabaababbabbebabbd	29028635
caabaabbbabaababbabfbbabbd	29028635
caabaabbbabaababbagabbabbd	29028635
caabaabbbabaababbfaabbabbd	29028635
caabaabbbabaababgaaabbabbd	29028635
caabaabbbabaabagbaaabbabbd	29028635
caabaabbbabaabfabaaabbabbd	29028635
caabaabbbabaagaabaaabbabbd	29028635
caabaabbbabafaaabaaabbabbd	29028635
caabaabbbabebaaabaaabbabbd	29028635
caabaabbbafbbaaabaaabbabbd	29028635
caabaabbbebbbaaabaaabbabbd	29028635
caabaabbfbbbbaaabaaabbabbd	29028635
caabaabgabbbbaaabaaabbabbd	29028635
caabaagbabbbbaaabaaabbabbd	29028635
caabafababbbbaaabaaabbabbd	29028635
caabebababbbbaaabaaabbabbd	29028635
caafbbababbbbaaabaaabbabbd	29028635
caebbbababbbbaaabaaabbabbd	29028635
ceabbbababbbbaaabaaabbabbd	29028635
cbabbbababbbbaaabaaabbabbd	29028635
cbabbbababbbbaaabaaabbabgd	43542953
cbabbbababbbbaaabaaabbagbd	43542953
cbabbbababbbbaaabaaabbfabd	43542953
cbabbbababbbbaaabaaabgaabd	43542953
cbabbbababbbbaaabaaagbaabd	43542953
cbabbbababbbbaaabaafabaabd	43542953
cbabbbababbbbaaabaebabaabd	43542953
cbabbbababbbbaaabeababaabd	43542953
cbabbbababbbbaaafbababaabd	43542953
cbabbbababbbbaaebbababaabd	43542953
cbabbbababbbbaeabbababaabd	43542953
cbabbbababbbbeaabbababaabd	43542953
cbabbbababbbfbaabbababaabd	43542953
cbabbbababbgabaabbababaabd	43542953
cbabbbababgbabaabbababaabd	43542953
cbabbbabagbbabaabbababaabd	43542953
cbabbbabfabbabaabbababaabd	43542953
cbabbbagaabbabaabbababaabd	43542953
cbabbbfaaabbabaabbababaabd	43542953
cbabbgaaaabbabaabbababaabd	43542953
cbabgbaaaabbabaabbababaabd	43542953
cbagbbaaaabbabaabbababaabd	43542953
cbfabbaaaabbabaabbababaabd	43542953
cgaabbaaaabbabaabbababaabd	43542953
cabaabbaaaabbabaabbababaabd	43542953
cabaabbaaaabbabaabbababaagd	65314430
cabaabbaaaabbabaabbababafad	65314430
cabaabbaaaabbabaabbababebad	65314430
cabaabbaaaabbabaabbabafbbad	65314430
cabaabbaaaabbabaabbabebbbad	65314430
cabaabbaaaabbabaabbafbbbbad	65314430
cabaabbaaaabbabaabbebbbbbad	65314430
cabaabbaaaabbabaabfbbbbbbad	65314430
cabaabbaaaabbabaagabbbbbbad	65314430
cabaabbaaaabbabafaabbbbbbad	65314430
cabaabbaaaabbabebaabbbbbbad	65314430
cabaabbaaaabbafbbaabbbbbbad	65314430
cabaabbaaaabbebbbaabbbbbbad	65314430
cabaabbaaaabfbbbbaabbbbbbad	65314430
cabaabbaaaagabbbbaabbbbbbad	65314430
cabaabbaaafaabbbbaabbbbbbad	65314430
cabaabbaaebaabbbbaabbbbbbad	65314430
cabaabbaeabaabbbbaabbbbbbad	65314430
cabaabbeaabaabbbbaabbbbbbad	65314430
cabaabfbaabaabbbbaabbbbbbad	65314430
cabaagabaabaabbbbaabbbbbbad	65314430
cabafaabaabaabbbbaabbbbbbad	65314430
cabebaabaabaabbbbaabbbbbbad	65314430
cafbbaabaabaabbbbaabbbbbbad	65314430
cebbbaabaabaabbbbaabbbbbbad	65314430
cbbbbaabaabaabbbbaabbbbbbad	65314430
cbbbbaabaabaabbbbaabbbbbbd	32657215
cbbbbaabaabaabbbbaabbbbbgd	48985823
cbbbbaabaabaabbbbaabbbbgbd	48985823
cbbbbaabaabaabbbbaabbbgbbd	48985823
cbbbbaabaabaabbbbaabbgbbbd	48985823
cbbbbaabaabaabbbbaabgbbbbd	48985823
cbbbbaabaabaabbbbaagbbbbbd	48985823
cbbbbaabaabaabbbbafabbbbbd	48985823
cbbbbaabaabaabbbbebabbbbbd	48985823
cbbbbaabaabaabbbfbbabbbbbd	48985823
cbbbbaabaabaabbgabbabbbbbd	48985823
cbbbbaabaabaabgbabbabbbbbd	48985823
cbbbbaabaabaagbbabbabbbbbd	48985823
cbbbbaabaabafabbabbabbbbbd	48985823
cbbbbaabaabebabbabbabbbbbd	48985823
cbbbbaabaafbbabbabbabbbbbd	48985823
cbbbbaabaebbbabbabbabbbbbd	48985823
cbbbbaabeabbbabbabbabbbbbd	48985823
cbbbbaafbabbbabbabbabbbbbd	48985823
cbbbbaebbabbbabbabbabbbbbd	48985823
cbbbbeabbabbbabbabbabbbbbd	48985823
cbbbfbabbabbbabbabbabbbbbd	48985823
cbbgababbabbbabbabbabbbbbd	48985823
cbgbababbabbbabbabbabbbbbd	48985823
cgbbababbabbbabbabbabbbbbd	48985823
cabbbababbabbbabbabbabbbbbd	48985823
cabbbababbabbbabbabbabbbbgd	73478735
cabbbababbabbbabbabbabbbgbd	73478735
cabbbababbabbbabbabbabbgbbd	73478735
cabbbababbabbbabbabbabgbbbd	73478735
cabbbababbabbbabbabbagbbbbd	73478735
cabbbababbabbbabbabbfabbbbd	73478735
cabbbababbabbbabbabgaabbbbd	73478735
cabbbababbabbbabbagbaabbbbd	73478735
cabbbababbabbbabbfabaabbbbd	73478735
cabbbababbabbbabgaabaabbbbd	73478735
cabbbababbabbbagbaabaabbbbd	73478735
cabbbababbabbbfabaabaabbbbd	73478735
cabbbababbabbgaabaabaabbbbd	73478735
cabbbababbabgbaabaabaabbbbd	73478735
cabbbababbagbbaabaabaabbbbd	73478735
cabbbababbfabbaabaabaabbbbd	73478735
cabbbababgaabbaabaabaabbbbd	73478735
cabbbabagbaabbaabaabaabbbbd	73478735
cabbbabfabaabbaabaabaabbbbd	73478735
cabbbagaabaabbaabaabaabbbbd	73478735
cabbbfaaabaabbaabaabaabbbbd	73478735
cabbgaaaabaabbaabaabaabbbbd	73478735
cabgbaaaabaabbaabaabaabbbbd	73478735
cagbbaaaabaabbaabaabaabbbbd	73478735
cfabbaaaabaabbaabaabaabbbbd	73478735
caaabbaaaabaabbaabaabaabbbbd	73478735
caaabbaaaabaabbaabaabaabbbgd	110218103
caaabbaaaabaabbaabaabaabbgbd	110218103
caaabbaaaabaabbaabaabaabgbbd	110218103
caaabbaaaabaabbaabaabaagbbbd	110218103
caaabbaaaabaabbaabaabafabbbd	110218103
caaabbaaaabaabbaabaabebabbbd	110218103
caaabbaaaabaabbaabaafbbabbbd	110218103
caaabbaaaabaabbaabaebbbabbbd	110218103
caaabbaaaabaabbaabeabbbabbbd	110218103
caaabbaaaabaabbaafbabbbabbbd	110218103
caaabbaaaabaabbaebbabbbabbbd	110218103
caaabbaaaabaabbeabbabbbabbbd	110218103
caaabbaaaabaabfbabbabbbabbbd	110218103
caaabbaaaabaagababbabbbabbbd	110218103
caaabbaaaabafaababbabbbabbbd	110218103
caaabbaaaabebaababbabbbabbbd	110218103
caaabbaaaafbbaababbabbbabbbd	110218103
caaabbaaaebbbaababbabbbabbbd	110218103
caaabbaaeabbbaababbabbbabbbd	110218103
caaabbaeaabbbaababbabbbabbbd	110218103
caaabbeaaabbbaababbabbbabbbd	110218103
caaabfbaaabbbaababbabbbabbbd	110218103
caaagabaaabbbaababbabbbabbbd	110218103
caafaabaaabbbaababbabbbabbbd	110218103
caebaabaaabbbaababbabbbabbbd	110218103
ceabaabaaabbbaababbabbbabbbd	110218103
cbabaabaaabbbaababbabbbabbbd	110218103
cbabaabaaabbbaababbabbbabbgd	165327155
cbabaabaaabbbaababbabbbabgbd	165327155
cbabaabaaabbbaababbabbbagbbd	165327155
cbabaabaaabbbaababbabbbfabbd	165327155
cbabaabaaabbbaababbabbgaabbd	165327155
cbabaabaaabbbaababbabgbaabbd	165327155
cbabaabaaabbbaababbagbbaabbd	165327155
cbabaabaaabbbaababbfabbaabbd	165327155
cbabaabaaabbbaababgaabbaabbd	165327155
cbabaabaaabbbaabagbaabbaabbd	165327155
cbabaabaaabbbaabfabaabbaabbd	165327155
cbabaabaaabbbaagaabaabbaabbd	165327155
cbabaabaaabbbafaaabaabbaabbd	165327155
cbabaabaaabbbebaaabaabbaabbd	165327155
cbabaabaaabbfbbaaabaabbaabbd	165327155
cbabaabaaabgabbaaabaabbaabbd	165327155
cbabaabaaagbabbaaabaabbaabbd	165327155
cbabaabaafababbaaabaabbaabbd	165327155
cbabaabaebababbaaabaabbaabbd	165327155
cbabaabeabababbaaabaabbaabbd	165327155
cbabaafbabababbaaabaabbaabbd	165327155
cbabaebbabababbaaabaabbaabbd	165327155
cbabeabbabababbaaabaabbaabbd	165327155
cbafbabbabababbaaabaabbaabbd	165327155
cbebbabbabababbaaabaabbaabbd	165327155
cfbbbabbabababbaaabaabbaabbd	165327155
caabbbabbabababbaaabaabbaabbd	165327155
caabbbabbabababbaaabaabbaabgd	247990733
caabbbabbabababbaaabaabbaagbd	247990733
caabbbabbabababbaaabaabbafabd	247990733
caabbbabbabababbaaabaabbebabd	247990733
caabbbabbabababbaaabaabfbbabd	247990733
caabbbabbabababbaaabaagabbabd	247990733
caabbbabbabababbaaabafaabbabd	247990733
caabbbabbabababbaaabebaabbabd	247990733
caabbbabbabababbaaafbbaabbabd	247990733
caabbbabbabababbaaebbbaabbabd	247990733
caabbbabbabababbaeabbbaabbabd	247990733
caabbbabbabababbeaabbbaabbabd	247990733
caabbbabbabababfbaabbbaabbabd	247990733
caabbbabbababagabaabbbaabbabd	247990733
caabbbabbababfaabaabbbaabbabd	247990733
caabbbabbabagaaabaabbbaabbabd	247990733
caabbbabbabfaaaabaabbbaabbabd	247990733
caabbbabbagaaaaabaabbbaabbabd	247990733
caabbbabbfaaaaaabaabbbaabbabd	247990733
caabbbabgaaaaaaabaabbbaabbabd	247990733
caabbbagbaaaaaaabaabbbaabbabd	247990733
caabbbfabaaaaaaabaabbbaabbabd	247990733
caabbgaabaaaaaaabaabbbaabbabd	247990733
caabgbaabaaaaaaabaabbbaabbabd	247990733
caagbbaabaaaaaaabaabbbaabbabd	247990733
cafabbaabaaaaaaabaabbbaabbabd	247990733
cebabbaabaaaaaaabaabbbaabbabd	247990733
cbbabbaabaaaaaaabaabbbaabbabd	247990733
cbbabbaabaaaaaaabaabbbaabbagd	371986100
cbbabbaabaaaaaaabaabbbaabbfad	371986100
cbbabbaabaaaaaaabaabbbaabgaad	371986100
cbbabbaabaaaaaaabaabbbaagbaad	371986100
cbbabbaabaaaaaaabaabbbafabaad	371986100
cbbabbaabaaaaaaabaabbbebabaad	371986100
cbbabbaabaaaaaaabaabbfbbabaad	371986100
cbbabbaabaaaaaaabaabgabbabaad	371986100
cbbabbaabaaaaaaabaagbabbabaad	371986100
cbbabbaabaaaaaaabafababbabaad	371986100
cbbabbaabaaaaaaabebababbabaad	371986100
cbbabbaabaaaaaaafbbababbabaad	371986100
cbbabbaabaaaaaaebbbababbabaad	371986100
cbbabbaabaaaaaeabbbababbabaad	371986100
cbbabbaabaaaaeaabbbababbabaad	371986100
cbbabbaabaaaeaaabbbababbabaad	371986100
cbbabbaabaaeaaaabbbababbabaad	371986100
cbbabbaabaeaaaaabbbababbabaad	371986100
cbbabbaabeaaaaaabbbababbabaad	371986100
cbbabbaafbaaaaaabbbababbabaad	371986100
cbbabbaebbaaaaaabbbababbabaad	371986100
cbbabbeabbaaaaaabbbababbabaad	371986100
cbbabfbabbaaaaaabbbababbabaad	371986100
cbbagababbaaaaaabbbababbabaad	371986100
cbbfaababbaaaaaabbbababbabaad	371986100
cbgaaababbaaaaaabbbababbabaad	371986100
cgbaaababbaaaaaabbbababbabaad	371986100
cabbaaababbaaaaaabbbababbabaad	371986100
cabbaaababbaaaaaabbbababbabad	185993050
cabbaaababbaaaaaabbbababbabd	92996525
cabbaaababbaaaaaabbbababbagd	139494788
cabbaaababbaaaaaabbbababbfad	139494788
cabbaaababbaaaaaabbbababgaad	139494788
cabbaaababbaaaaaabbbabagbaad	139494788
cabbaaababbaaaaaabbbabfabaad	139494788
cabbaaababbaaaaaabbbagaabaad	139494788
cabbaaababbaaaaaabbbfaaabaad	139494788
cabbaaababbaaaaaabbgaaaabaad	139494788
cabbaaababbaaaaaabgbaaaabaad	139494788
cabbaaababbaaaaaagbbaaaabaad	139494788
cabbaaababbaaaaafabbaaaabaad	139494788
cabbaaababbaaaaebabbaaaabaad	139494788
cabbaaababbaaaeababbaaaabaad	139494788
cabbaaababbaaeaababbaaaabaad	139494788
cabbaaababbaeaaababbaaaabaad	139494788
cabbaaababbeaaaababbaaaabaad	139494788
cabbaaababfbaaaababbaaaabaad	139494788
cabbaaabagabaaaababbaaaabaad	139494788
cabbaaabfaabaaaababbaaaabaad	139494788
cabbaaagaaabaaaababbaaaabaad	139494788
cabbaafaaaabaaaababbaaaabaad	139494788
cabbaebaaaabaaaababbaaaabaad	139494788
cabbeabaaaabaaaababbaaaabaad	139494788
cabfbabaaaabaaaababbaaaabaad	139494788
cagababaaaabaaaababbaaaabaad	139494788
cfaababaaaabaaaababbaaaabaad	139494788
caaaababaaaabaaaababbaaaabaad	139494788
caaaababaaaabaaaababbaaaabad	69747394
caaaababaaaabaaaababbaaaabd	34873697
caaaababaaaabaaaababbaaaagd	52310546
caaaababaaaabaaaababbaaafad	52310546
caaaababaaaabaaaababbaaebad	52310546
caaaababaaaabaaaababbaeabad	52310546
caaaababaaaabaaaababbeaabad	52310546
caaaababaaaabaaaababfbaabad	52310546
caaaababaaaabaaaabagabaabad	52310546
caaaababaaaabaaaabfaabaabad	52310546
caaaababaaaabaaaagaaabaabad	52310546
caaaababaaaabaaafaaaabaabad	52310546
caaaababaaaabaaebaaaabaabad	52310546
caaaababaaaabaeabaaaabaabad	52310546
caaaababaaaabeaabaaaabaabad	52310546
caaaababaaaafbaabaaaabaabad	52310546
caaaababaaaebbaabaaaabaabad	52310546
caaaababaaeabbaabaaaabaabad	52310546
caaaababaeaabbaabaaaabaabad	52310546
caaaababeaaabbaabaaaabaabad	52310546
caaaabafbaaabbaabaaaabaabad	52310546
caaaabebbaaabbaabaaaabaabad	52310546
caaaafbbbaaabbaabaaaabaabad	52310546
caaaebbbbaaabbaabaaaabaabad	52310546
caaeabbbbaaabbaabaaaabaabad	52310546
caeaabbbbaaabbaabaaaabaabad	52310546
ceaaabbbbaaabbaabaaaabaabad	52310546
cbaaabbbbaaabbaabaaaabaabad	52310546
cbaaabbbbaaabbaabaaaabaabd	26155273
cbaaabbbbaaabbaabaaaabaagd	39232910
cbaaabbbbaaabbaabaaaabafad	39232910
cbaaabbbbaaabbaabaaaabebad	39232910
cbaaabbbbaaabbaabaaaafbbad	39232910
cbaaabbbbaaabbaabaaaebbbad	39232910
cbaaabbbbaaabbaabaaeabbbad	39232910
cbaaabbbbaaabbaabaeaabbbad	39232910
cbaaabbbbaaabbaabeaaabbbad	39232910
cbaaabbbbaaabbaafbaaabbbad	39232910
cbaaabbbbaaabbaebbaaabbbad	39232910
cbaaabbbbaaabbeabbaaabbbad	39232910
cbaaabbbbaaabfbabbaaabbbad	39232910
cbaaabbbbaaagababbaaabbbad	39232910
cbaaabbbbaafaababbaaabbbad	39232910
cbaaabbbbaebaababbaaabbbad	39232910
cbaaabbbbeabaababbaaabbbad	39232910
cbaaabbbfbabaababbaaabbbad	39232910
cbaaabbgababaababbaaabbbad	39232910
cbaaabgbababaababbaaabbbad	39232910
cbaaagbbababaababbaaabbbad	39232910
cbaafabbababaababbaaabbbad	39232910
cbaebabbababaababbaaabbbad	39232910
cbeababbababaababbaaabbbad	39232910
cfbababbababaababbaaabbbad	39232910
caabababbababaababbaaabbbad	39232910
caabababbababaababbaaabbbd	19616455
caabababbababaababbaaabbgd	29424683
caabababbababaababbaaabgbd	29424683
caabababbababaababbaaagbbd	29424683
caabababbababaababbaafabbd	29424683
caabababbababaababbaebabbd	29424683
caabababbababaababbeababbd	29424683
caabababbababaababfbababbd	29424683
caabababbababaabagabababbd	29424683
caabababbababaabfaabababbd	29424683
caabababbababaagaaabababbd	29424683
caabababbababafaaaabababbd	29424683
caabababbababebaaaabababbd	29424683
caabababbabafbbaaaabababbd	29424683
caabababbabebbbaaaabababbd	29424683
caabababbafbbbbaaaabababbd	29424683
caabababbebbbbbaaaabababbd	29424683
caabababfbbbbbbaaaabababbd	29424683
caababagabbbbbbaaaabababbd	29424683
caababfaabbbbbbaaaabababbd	29424683
caabagaaabbbbbbaaaabababbd	29424683
caabfaaaabbbbbbaaaabababbd	29424683
caagaaaaabbbbbbaaaabababbd	29424683
cafaaaaaabbbbbbaaaabababbd	29424683
cebaaaaaabbbbbbaaaabababbd	29424683
cbbaaaaaabbbbbbaaaabababbd	29424683
cbbaaaaaabbbbbbaaaabababgd	44137025
cbbaaaaaabbbbbbaaaababagbd	44137025
cbbaaaaaabbbbbbaaaababfabd	44137025
cbbaaaaaabbbbbbaaaabagaabd	44137025
cbbaaaaaabbbbbbaaaabfaaabd	44137025
cbbaaaaaabbbbbbaaaagaaaabd	44137025
cbbaaaaaabbbbbbaaafaaaaabd	44137025
cbbaaaaaabbbbbbaaebaaaaabd	44137025
cbbaaaaaabbbbbbaeabaaaaabd	44137025
cbbaaaaaabbbbbbeaabaaaaabd	44137025
cbbaaaaaabbbbbfbaabaaaaabd	44137025
cbbaaaaaabbbbgabaabaaaaabd	44137025
cbbaaaaaabbbgbabaabaaaaabd	44137025
cbbaaaaaabbgbbabaabaaaaabd	44137025
cbbaaaaaabgbbbabaabaaaaabd	44137025
cbbaaaaaagbbbbabaabaaaaabd	44137025
cbbaaaaafabbbbabaabaaaaabd	44137025
cbbaaaaebabbbbabaabaaaaabd	44137025
cbbaaaeababbbbabaabaaaaabd	44137025
cbbaaeaababbbbabaabaaaaabd	44137025
cbbaeaaababbbbabaabaaaaabd	44137025
cbbeaaaababbbbabaabaaaaabd	44137025
cbfbaaaababbbbabaabaaaaabd	44137025
cgabaaaababbbbabaabaaaaabd	44137025
cababaaaababbbbabaabaaaaabd	44137025
cababaaaababbbbabaabaaaaagd	66205538
cababaaaababbbbabaabaaaafad	66205538
cababaaaababbbbabaabaaaebad	66205538
cababaaaababbbbabaabaaeabad	66205538
cababaaaababbbbabaabaeaabad	66205538
cababaaaababbbbabaabeaaabad	66205538
cababaaaababbbbabaafbaaabad	66205538
cababaaaababbbbabaebbaaabad	66205538
cababaaaababbbbabeabbaaabad	66205538
cababaaaababbbbafbabbaaabad	66205538
cababaaaababbbbebbabbaaabad	66205538
cababaaaababbbfbbbabbaaabad	66205538
cababaaaababbgabbbabbaaabad	66205538
cababaaaababgbabbbabbaaabad	66205538
cababaaaabagbbabbbabbaaabad	66205538
cababaaaabfabbabbbabbaaabad	66205538
cababaaaagaabbabbbabbaaabad	66205538
cababaaafaaabbabbbabbaaabad	66205538
cababaaebaaabbabbbabbaaabad	66205538
cababaeabaaabbabbbabbaaabad	66205538
cababeaabaaabbabbbabbaaabad	66205538
cabafbaabaaabbabbbabbaaabad	66205538
cabebbaabaaabbabbbabbaaabad	66205538
cafbbbaabaaabbabbbabbaaabad	66205538
cebbbbaabaaabbabbbabbaaabad	66205538
cbbbbbaabaaabbabbbabbaaabad	66205538
cbbbbbaabaaabbabbbabbaaabd	33102769
cbbbbbaabaaabbabbbabbaaagd	49654154
cbbbbbaabaaabbabbbabbaafad	49654154
cbbbbbaabaaabbabbbabbaebad	49654154
cbbbbbaabaaabbabbbabbeabad	49654154
cbbbbbaabaaabbabbbabfbabad	49654154
cbbbbbaabaaabbabbbagababad	49654154
cbbbbbaabaaabbabbbfaababad	49654154
cbbbbbaabaaabbabbgaaababad	49654154
cbbbbbaabaaabbabgbaaababad	49654154
cbbbbbaabaaabbagbbaaababad	49654154
cbbbbbaabaaabbfabbaaababad	49654154
cbbbbbaabaaabgaabbaaababad	49654154
cbbbbbaabaaagbaabbaaababad	49654154
cbbbbbaabaafabaabbaaababad	49654154
cbbbbbaabaebabaabbaaababad	49654154
cbbbbbaabeababaabbaaababad	49654154
cbbbbbaafbababaabbaaababad	49654154
cbbbbbaebbababaabbaaababad	49654154
cbbbbbeabbababaabbaaababad	49654154
cbbbbfbabbababaabbaaababad	49654154
cbbbgababbababaabbaaababad	49654154
cbbgbababbababaabbaaababad	49654154
cbgbbababbababaabbaaababad	49654154
cgbbbababbababaabbaaababad	49654154
cabbbbababbababaabbaaababad	49654154
cabbbbababbababaabbaaababd	24827077
cabbbbababbababaabbaaabagd	37240616
cabbbbababbababaabbaaabfad	37240616
cabbbbababbababaabbaaagaad	37240616
cabbbbababbababaabbaafaaad	37240616
cabbbbababbababaabbaebaaad	37240616
cabbbbababbababaabbeabaaad	37240616
cabbbbababbababaabfbabaaad	37240616
cabbbbababbababaagababaaad	37240616
cabbbbababbababafaababaaad	37240616
cabbbbababbababebaababaaad	37240616
cabbbbababbabafbbaababaaad	37240616
cabbbbababbabebbbaababaaad	37240616
cabbbbababbafbbbbaababaaad	37240616
cabbbbababbebbbbbaababaaad	37240616
cabbbbababfbbbbbbaababaaad	37240616
