"Input number 1379295 with intial rewrite term cababaaaababbbbabbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 667  Number of array doubles: 0"
Term	Number
cababaaaababbbbabbbbgd	2068943
cababaaaababbbbabbbgbd	2068943
cababaaaababbbbabbgbbd	2068943
cababaaaababbbbabgbbbd	2068943
cababaaaababbbbagbbbbd	2068943
cababaaaababbbbfabbbbd	2068943
cababaaaababbbgaabbbbd	2068943
cababaaaababbgbaabbbbd	2068943
cababaaaababgbbaabbbbd	2068943
cababaaaabagbbbaabbbbd	2068943
cababaaaabfabbbaabbbbd	2068943
cababaaaagaabbbaabbbbd	2068943
cababaaafaaabbbaabbbbd	2068943
cababaaebaaabbbaabbbbd	2068943
cababaeabaaabbbaabbbbd	2068943
cababeaabaaabbbaabbbbd	2068943
cabafbaabaaabbbaabbbbd	2068943
cabebbaabaaabbbaabbbbd	2068943
cafbbbaabaaabbbaabbbbd	2068943
cebbbbaabaaabbbaabbbbd	2068943
cbbbbbaabaaabbbaabbbbd	2068943
cbbbbbaabaaabbbaabbbgd	3103415
cbbbbbaabaaabbbaabbgbd	3103415
cbbbbbaabaaabbbaabgbbd	3103415
cbbbbbaabaaabbbaagbbbd	3103415
cbbbbbaabaaabbbafabbbd	3103415
cbbbbbaabaaabbbebabbbd	3103415
cbbbbbaabaaabbfbbabbbd	3103415
cbbbbbaabaaabgabbabbbd	3103415
cbbbbbaabaaagbabbabbbd	3103415
cbbbbbaabaafababbabbbd	3103415
cbbbbbaabaebababbabbbd	3103415
cbbbbbaabeabababbabbbd	3103415
cbbbbbaafbabababbabbbd	3103415
cbbbbbaebbabababbabbbd	3103415
cbbbbbeabbabababbabbbd	3103415
cbbbbfbabbabababbabbbd	3103415
cbbbgababbabababbabbbd	3103415
cbbgbababbabababbabbbd	3103415
cbgbbababbabababbabbbd	3103415
cgbbbababbabababbabbbd	3103415
cabbbbababbabababbabbbd	3103415
cabbbbababbabababbabbgd	4655123
cabbbbababbabababbabgbd	4655123
cabbbbababbabababbagbbd	4655123
cabbbbababbabababbfabbd	4655123
cabbbbababbabababgaabbd	4655123
cabbbbababbababagbaabbd	4655123
cabbbbababbababfabaabbd	4655123
cabbbbababbabagaabaabbd	4655123
cabbbbababbabfaaabaabbd	4655123
cabbbbababbagaaaabaabbd	4655123
cabbbbababbfaaaaabaabbd	4655123
cabbbbababgaaaaaabaabbd	4655123
cabbbbabagbaaaaaabaabbd	4655123
cabbbbabfabaaaaaabaabbd	4655123
cabbbbagaabaaaaaabaabbd	4655123
cabbbbfaaabaaaaaabaabbd	4655123
cabbbgaaaabaaaaaabaabbd	4655123
cabbgbaaaabaaaaaabaabbd	4655123
cabgbbaaaabaaaaaabaabbd	4655123
cagbbbaaaabaaaaaabaabbd	4655123
cfabbbaaaabaaaaaabaabbd	4655123
caaabbbaaaabaaaaaabaabbd	4655123
caaabbbaaaabaaaaaabaabgd	6982685
caaabbbaaaabaaaaaabaagbd	6982685
caaabbbaaaabaaaaaabafabd	6982685
caaabbbaaaabaaaaaabebabd	6982685
caaabbbaaaabaaaaaafbbabd	6982685
caaabbbaaaabaaaaaebbbabd	6982685
caaabbbaaaabaaaaeabbbabd	6982685
