"Input number 187 with intial rewrite term cabbbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 107  Number of array doubles: 0"
Term	Number
cabbbabgd	281
cabbbagbd	281
cabbbfabd	281
cabbgaabd	281
cabgbaabd	281
cagbbaabd	281
cfabbaabd	281
caaabbaabd	281
caaabbaagd	422
caaabbafad	422
caaabbebad	422
caaabfbbad	422
caaagabbad	422
caafaabbad	422
caebaabbad	422
ceabaabbad	422
cbabaabbad	422
cbabaabbd	211
cbabaabgd	317
cbabaagbd	317
cbabafabd	317
cbabebabd	317
cbafbbabd	317
cbebbbabd	317
cfbbbbabd	317
caabbbbabd	317
caabbbbagd	476
caabbbbfad	476
caabbbgaad	476
caabbgbaad	476
caabgbbaad	476
caagbbbaad	476
cafabbbaad	476
cebabbbaad	476
cbbabbbaad	476
cbbabbbad	238
cbbabbbd	119
cbbabbgd	179
cbbabgbd	179
cbbagbbd	179
cbbfabbd	179
cbgaabbd	179
cgbaabbd	179
cabbaabbd	179
cabbaabgd	269
cabbaagbd	269
cabbafabd	269
cabbebabd	269
cabfbbabd	269
cagabbabd	269
cfaabbabd	269
caaaabbabd	269
caaaabbagd	404
caaaabbfad	404
caaaabgaad	404
caaaagbaad	404
caaafabaad	404
caaebabaad	404
caeababaad	404
ceaababaad	404
cbaababaad	404
cbaababad	202
cbaababd	101
cbaabagd	152
cbaabfad	152
cbaagaad	152
cbafaaad	152
cbebaaad	152
cfbbaaad	152
caabbaaad	152
caabbaad	76
caabbad	38
caabbd	19
caabgd	29
caagbd	29
cafabd	29
cebabd	29
cbbabd	29
cbbagd	44
cbbfad	44
cbgaad	44
cgbaad	44
cabbaad	44
cabbad	22
cabbd	11
cabgd	17
cagbd	17
cfabd	17
caaabd	17
caaagd	26
caafad	26
caebad	26
ceabad	26
cbabad	26
cbabd	13
cbagd	20
cbfad	20
cgaad	20
cabaad	20
cabad	10
cabd	5
cagd	8
cfad	8
caaad	8
caad	4
cad	2
cd	1
