"Input number 24379261 with intial rewrite term cabbbaabbbbbbbbbbabbbbbabd
Generated final number 1 with final rewrite term cd
Number of steps: 1547  Number of array doubles: 0"
Term	Number
cabbbaabbbbbbbbbbabbbbbagd	36568892
cabbbaabbbbbbbbbbabbbbbfad	36568892
cabbbaabbbbbbbbbbabbbbgaad	36568892
cabbbaabbbbbbbbbbabbbgbaad	36568892
cabbbaabbbbbbbbbbabbgbbaad	36568892
cabbbaabbbbbbbbbbabgbbbaad	36568892
cabbbaabbbbbbbbbbagbbbbaad	36568892
cabbbaabbbbbbbbbbfabbbbaad	36568892
cabbbaabbbbbbbbbgaabbbbaad	36568892
cabbbaabbbbbbbbgbaabbbbaad	36568892
cabbbaabbbbbbbgbbaabbbbaad	36568892
cabbbaabbbbbbgbbbaabbbbaad	36568892
cabbbaabbbbbgbbbbaabbbbaad	36568892
cabbbaabbbbgbbbbbaabbbbaad	36568892
cabbbaabbbgbbbbbbaabbbbaad	36568892
cabbbaabbgbbbbbbbaabbbbaad	36568892
cabbbaabgbbbbbbbbaabbbbaad	36568892
cabbbaagbbbbbbbbbaabbbbaad	36568892
cabbbafabbbbbbbbbaabbbbaad	36568892
cabbbebabbbbbbbbbaabbbbaad	36568892
cabbfbbabbbbbbbbbaabbbbaad	36568892
cabgabbabbbbbbbbbaabbbbaad	36568892
cagbabbabbbbbbbbbaabbbbaad	36568892
cfababbabbbbbbbbbaabbbbaad	36568892
caaababbabbbbbbbbbaabbbbaad	36568892
caaababbabbbbbbbbbaabbbbad	18284446
caaababbabbbbbbbbbaabbbbd	9142223
caaababbabbbbbbbbbaabbbgd	13713335
caaababbabbbbbbbbbaabbgbd	13713335
caaababbabbbbbbbbbaabgbbd	13713335
caaababbabbbbbbbbbaagbbbd	13713335
caaababbabbbbbbbbbafabbbd	13713335
caaababbabbbbbbbbbebabbbd	13713335
caaababbabbbbbbbbfbbabbbd	13713335
caaababbabbbbbbbgabbabbbd	13713335
caaababbabbbbbbgbabbabbbd	13713335
caaababbabbbbbgbbabbabbbd	13713335
caaababbabbbbgbbbabbabbbd	13713335
caaababbabbbgbbbbabbabbbd	13713335
caaababbabbgbbbbbabbabbbd	13713335
caaababbabgbbbbbbabbabbbd	13713335
caaababbagbbbbbbbabbabbbd	13713335
caaababbfabbbbbbbabbabbbd	13713335
caaababgaabbbbbbbabbabbbd	13713335
caaabagbaabbbbbbbabbabbbd	13713335
caaabfabaabbbbbbbabbabbbd	13713335
caaagaabaabbbbbbbabbabbbd	13713335
caafaaabaabbbbbbbabbabbbd	13713335
caebaaabaabbbbbbbabbabbbd	13713335
ceabaaabaabbbbbbbabbabbbd	13713335
cbabaaabaabbbbbbbabbabbbd	13713335
cbabaaabaabbbbbbbabbabbgd	20570003
cbabaaabaabbbbbbbabbabgbd	20570003
cbabaaabaabbbbbbbabbagbbd	20570003
cbabaaabaabbbbbbbabbfabbd	20570003
cbabaaabaabbbbbbbabgaabbd	20570003
cbabaaabaabbbbbbbagbaabbd	20570003
cbabaaabaabbbbbbbfabaabbd	20570003
cbabaaabaabbbbbbgaabaabbd	20570003
cbabaaabaabbbbbgbaabaabbd	20570003
cbabaaabaabbbbgbbaabaabbd	20570003
cbabaaabaabbbgbbbaabaabbd	20570003
cbabaaabaabbgbbbbaabaabbd	20570003
cbabaaabaabgbbbbbaabaabbd	20570003
cbabaaabaagbbbbbbaabaabbd	20570003
cbabaaabafabbbbbbaabaabbd	20570003
cbabaaabebabbbbbbaabaabbd	20570003
cbabaaafbbabbbbbbaabaabbd	20570003
cbabaaebbbabbbbbbaabaabbd	20570003
cbabaeabbbabbbbbbaabaabbd	20570003
cbabeaabbbabbbbbbaabaabbd	20570003
cbafbaabbbabbbbbbaabaabbd	20570003
cbebbaabbbabbbbbbaabaabbd	20570003
cfbbbaabbbabbbbbbaabaabbd	20570003
caabbbaabbbabbbbbbaabaabbd	20570003
caabbbaabbbabbbbbbaabaabgd	30855005
caabbbaabbbabbbbbbaabaagbd	30855005
caabbbaabbbabbbbbbaabafabd	30855005
caabbbaabbbabbbbbbaabebabd	30855005
caabbbaabbbabbbbbbaafbbabd	30855005
caabbbaabbbabbbbbbaebbbabd	30855005
caabbbaabbbabbbbbbeabbbabd	30855005
caabbbaabbbabbbbbfbabbbabd	30855005
caabbbaabbbabbbbgababbbabd	30855005
caabbbaabbbabbbgbababbbabd	30855005
caabbbaabbbabbgbbababbbabd	30855005
caabbbaabbbabgbbbababbbabd	30855005
caabbbaabbbagbbbbababbbabd	30855005
caabbbaabbbfabbbbababbbabd	30855005
caabbbaabbgaabbbbababbbabd	30855005
caabbbaabgbaabbbbababbbabd	30855005
caabbbaagbbaabbbbababbbabd	30855005
caabbbafabbaabbbbababbbabd	30855005
caabbbebabbaabbbbababbbabd	30855005
caabbfbbabbaabbbbababbbabd	30855005
caabgabbabbaabbbbababbbabd	30855005
caagbabbabbaabbbbababbbabd	30855005
cafababbabbaabbbbababbbabd	30855005
cebababbabbaabbbbababbbabd	30855005
cbbababbabbaabbbbababbbabd	30855005
cbbababbabbaabbbbababbbagd	46282508
cbbababbabbaabbbbababbbfad	46282508
cbbababbabbaabbbbababbgaad	46282508
cbbababbabbaabbbbababgbaad	46282508
cbbababbabbaabbbbabagbbaad	46282508
cbbababbabbaabbbbabfabbaad	46282508
cbbababbabbaabbbbagaabbaad	46282508
cbbababbabbaabbbbfaaabbaad	46282508
cbbababbabbaabbbgaaaabbaad	46282508
cbbababbabbaabbgbaaaabbaad	46282508
cbbababbabbaabgbbaaaabbaad	46282508
cbbababbabbaagbbbaaaabbaad	46282508
cbbababbabbafabbbaaaabbaad	46282508
cbbababbabbebabbbaaaabbaad	46282508
cbbababbabfbbabbbaaaabbaad	46282508
cbbababbagabbabbbaaaabbaad	46282508
cbbababbfaabbabbbaaaabbaad	46282508
cbbababgaaabbabbbaaaabbaad	46282508
cbbabagbaaabbabbbaaaabbaad	46282508
cbbabfabaaabbabbbaaaabbaad	46282508
cbbagaabaaabbabbbaaaabbaad	46282508
cbbfaaabaaabbabbbaaaabbaad	46282508
cbgaaaabaaabbabbbaaaabbaad	46282508
cgbaaaabaaabbabbbaaaabbaad	46282508
cabbaaaabaaabbabbbaaaabbaad	46282508
cabbaaaabaaabbabbbaaaabbad	23141254
cabbaaaabaaabbabbbaaaabbd	11570627
cabbaaaabaaabbabbbaaaabgd	17355941
cabbaaaabaaabbabbbaaaagbd	17355941
cabbaaaabaaabbabbbaaafabd	17355941
cabbaaaabaaabbabbbaaebabd	17355941
cabbaaaabaaabbabbbaeababd	17355941
cabbaaaabaaabbabbbeaababd	17355941
cabbaaaabaaabbabbfbaababd	17355941
cabbaaaabaaabbabgabaababd	17355941
cabbaaaabaaabbagbabaababd	17355941
cabbaaaabaaabbfababaababd	17355941
cabbaaaabaaabgaababaababd	17355941
cabbaaaabaaagbaababaababd	17355941
cabbaaaabaafabaababaababd	17355941
cabbaaaabaebabaababaababd	17355941
cabbaaaabeababaababaababd	17355941
cabbaaaafbababaababaababd	17355941
cabbaaaebbababaababaababd	17355941
cabbaaeabbababaababaababd	17355941
cabbaeaabbababaababaababd	17355941
cabbeaaabbababaababaababd	17355941
cabfbaaabbababaababaababd	17355941
cagabaaabbababaababaababd	17355941
cfaabaaabbababaababaababd	17355941
caaaabaaabbababaababaababd	17355941
caaaabaaabbababaababaabagd	26033912
caaaabaaabbababaababaabfad	26033912
caaaabaaabbababaababaagaad	26033912
caaaabaaabbababaababafaaad	26033912
caaaabaaabbababaababebaaad	26033912
caaaabaaabbababaabafbbaaad	26033912
caaaabaaabbababaabebbbaaad	26033912
caaaabaaabbababaafbbbbaaad	26033912
caaaabaaabbababaebbbbbaaad	26033912
caaaabaaabbababeabbbbbaaad	26033912
caaaabaaabbabafbabbbbbaaad	26033912
caaaabaaabbabebbabbbbbaaad	26033912
caaaabaaabbafbbbabbbbbaaad	26033912
caaaabaaabbebbbbabbbbbaaad	26033912
caaaabaaabfbbbbbabbbbbaaad	26033912
caaaabaaagabbbbbabbbbbaaad	26033912
