"Input number 25243 with intial rewrite term cbaaababaabbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 908  Number of array doubles: 0"
Term	Number
cbaaababaabbabgd	37865
cbaaababaabbagbd	37865
cbaaababaabbfabd	37865
cbaaababaabgaabd	37865
cbaaababaagbaabd	37865
cbaaababafabaabd	37865
cbaaababebabaabd	37865
cbaaabafbbabaabd	37865
cbaaabebbbabaabd	37865
cbaaafbbbbabaabd	37865
cbaaebbbbbabaabd	37865
cbaeabbbbbabaabd	37865
cbeaabbbbbabaabd	37865
cfbaabbbbbabaabd	37865
caabaabbbbbabaabd	37865
caabaabbbbbabaagd	56798
caabaabbbbbabafad	56798
caabaabbbbbabebad	56798
caabaabbbbbafbbad	56798
caabaabbbbbebbbad	56798
caabaabbbbfbbbbad	56798
caabaabbbgabbbbad	56798
caabaabbgbabbbbad	56798
caabaabgbbabbbbad	56798
caabaagbbbabbbbad	56798
caabafabbbabbbbad	56798
caabebabbbabbbbad	56798
caafbbabbbabbbbad	56798
caebbbabbbabbbbad	56798
ceabbbabbbabbbbad	56798
cbabbbabbbabbbbad	56798
cbabbbabbbabbbbd	28399
cbabbbabbbabbbgd	42599
cbabbbabbbabbgbd	42599
cbabbbabbbabgbbd	42599
cbabbbabbbagbbbd	42599
cbabbbabbbfabbbd	42599
cbabbbabbgaabbbd	42599
cbabbbabgbaabbbd	42599
cbabbbagbbaabbbd	42599
cbabbbfabbaabbbd	42599
cbabbgaabbaabbbd	42599
cbabgbaabbaabbbd	42599
cbagbbaabbaabbbd	42599
cbfabbaabbaabbbd	42599
cgaabbaabbaabbbd	42599
cabaabbaabbaabbbd	42599
cabaabbaabbaabbgd	63899
cabaabbaabbaabgbd	63899
cabaabbaabbaagbbd	63899
cabaabbaabbafabbd	63899
cabaabbaabbebabbd	63899
cabaabbaabfbbabbd	63899
cabaabbaagabbabbd	63899
cabaabbafaabbabbd	63899
cabaabbebaabbabbd	63899
cabaabfbbaabbabbd	63899
cabaagabbaabbabbd	63899
cabafaabbaabbabbd	63899
cabebaabbaabbabbd	63899
cafbbaabbaabbabbd	63899
cebbbaabbaabbabbd	63899
cbbbbaabbaabbabbd	63899
cbbbbaabbaabbabgd	95849
cbbbbaabbaabbagbd	95849
cbbbbaabbaabbfabd	95849
cbbbbaabbaabgaabd	95849
cbbbbaabbaagbaabd	95849
cbbbbaabbafabaabd	95849
cbbbbaabbebabaabd	95849
cbbbbaabfbbabaabd	95849
cbbbbaagabbabaabd	95849
cbbbbafaabbabaabd	95849
cbbbbebaabbabaabd	95849
cbbbfbbaabbabaabd	95849
cbbgabbaabbabaabd	95849
cbgbabbaabbabaabd	95849
cgbbabbaabbabaabd	95849
cabbbabbaabbabaabd	95849
cabbbabbaabbabaagd	143774
cabbbabbaabbabafad	143774
cabbbabbaabbabebad	143774
cabbbabbaabbafbbad	143774
cabbbabbaabbebbbad	143774
cabbbabbaabfbbbbad	143774
cabbbabbaagabbbbad	143774
cabbbabbafaabbbbad	143774
cabbbabbebaabbbbad	143774
cabbbabfbbaabbbbad	143774
cabbbagabbaabbbbad	143774
cabbbfaabbaabbbbad	143774
cabbgaaabbaabbbbad	143774
cabgbaaabbaabbbbad	143774
cagbbaaabbaabbbbad	143774
cfabbaaabbaabbbbad	143774
caaabbaaabbaabbbbad	143774
caaabbaaabbaabbbbd	71887
caaabbaaabbaabbbgd	107831
caaabbaaabbaabbgbd	107831
caaabbaaabbaabgbbd	107831
caaabbaaabbaagbbbd	107831
caaabbaaabbafabbbd	107831
caaabbaaabbebabbbd	107831
caaabbaaabfbbabbbd	107831
caaabbaaagabbabbbd	107831
caaabbaafaabbabbbd	107831
caaabbaebaabbabbbd	107831
caaabbeabaabbabbbd	107831
caaabfbabaabbabbbd	107831
caaagababaabbabbbd	107831
caafaababaabbabbbd	107831
caebaababaabbabbbd	107831
ceabaababaabbabbbd	107831
cbabaababaabbabbbd	107831
cbabaababaabbabbgd	161747
cbabaababaabbabgbd	161747
cbabaababaabbagbbd	161747
cbabaababaabbfabbd	161747
cbabaababaabgaabbd	161747
cbabaababaagbaabbd	161747
cbabaababafabaabbd	161747
cbabaababebabaabbd	161747
cbabaabafbbabaabbd	161747
cbabaabebbbabaabbd	161747
cbabaafbbbbabaabbd	161747
cbabaebbbbbabaabbd	161747
cbabeabbbbbabaabbd	161747
cbafbabbbbbabaabbd	161747
cbebbabbbbbabaabbd	161747
cfbbbabbbbbabaabbd	161747
caabbbabbbbbabaabbd	161747
caabbbabbbbbabaabgd	242621
caabbbabbbbbabaagbd	242621
caabbbabbbbbabafabd	242621
caabbbabbbbbabebabd	242621
caabbbabbbbbafbbabd	242621
caabbbabbbbbebbbabd	242621
caabbbabbbbfbbbbabd	242621
caabbbabbbgabbbbabd	242621
caabbbabbgbabbbbabd	242621
caabbbabgbbabbbbabd	242621
caabbbagbbbabbbbabd	242621
caabbbfabbbabbbbabd	242621
caabbgaabbbabbbbabd	242621
caabgbaabbbabbbbabd	242621
caagbbaabbbabbbbabd	242621
cafabbaabbbabbbbabd	242621
cebabbaabbbabbbbabd	242621
