"Input number 26155275 with intial rewrite term cbaaabbbbaaabbaabaaaababbd
Generated final number 1 with final rewrite term cd
Number of steps: 749  Number of array doubles: 0"
Term	Number
cbaaabbbbaaabbaabaaaababgd	39232913
cbaaabbbbaaabbaabaaaabagbd	39232913
cbaaabbbbaaabbaabaaaabfabd	39232913
cbaaabbbbaaabbaabaaaagaabd	39232913
cbaaabbbbaaabbaabaaafaaabd	39232913
cbaaabbbbaaabbaabaaebaaabd	39232913
cbaaabbbbaaabbaabaeabaaabd	39232913
cbaaabbbbaaabbaabeaabaaabd	39232913
cbaaabbbbaaabbaafbaabaaabd	39232913
cbaaabbbbaaabbaebbaabaaabd	39232913
cbaaabbbbaaabbeabbaabaaabd	39232913
cbaaabbbbaaabfbabbaabaaabd	39232913
cbaaabbbbaaagababbaabaaabd	39232913
cbaaabbbbaafaababbaabaaabd	39232913
cbaaabbbbaebaababbaabaaabd	39232913
cbaaabbbbeabaababbaabaaabd	39232913
cbaaabbbfbabaababbaabaaabd	39232913
cbaaabbgababaababbaabaaabd	39232913
cbaaabgbababaababbaabaaabd	39232913
cbaaagbbababaababbaabaaabd	39232913
cbaafabbababaababbaabaaabd	39232913
cbaebabbababaababbaabaaabd	39232913
cbeababbababaababbaabaaabd	39232913
cfbababbababaababbaabaaabd	39232913
caabababbababaababbaabaaabd	39232913
caabababbababaababbaabaaagd	58849370
caabababbababaababbaabaafad	58849370
caabababbababaababbaabaebad	58849370
caabababbababaababbaabeabad	58849370
caabababbababaababbaafbabad	58849370
caabababbababaababbaebbabad	58849370
caabababbababaababbeabbabad	58849370
caabababbababaababfbabbabad	58849370
caabababbababaabagababbabad	58849370
caabababbababaabfaababbabad	58849370
caabababbababaagaaababbabad	58849370
caabababbababafaaaababbabad	58849370
caabababbababebaaaababbabad	58849370
caabababbabafbbaaaababbabad	58849370
caabababbabebbbaaaababbabad	58849370
caabababbafbbbbaaaababbabad	58849370
caabababbebbbbbaaaababbabad	58849370
caabababfbbbbbbaaaababbabad	58849370
caababagabbbbbbaaaababbabad	58849370
