"Input number 290751 with intial rewrite term caaabbabbbbbabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2278  Number of array doubles: 1"
Term	Number
caaabbabbbbbabbbbbgd	436127
caaabbabbbbbabbbbgbd	436127
caaabbabbbbbabbbgbbd	436127
caaabbabbbbbabbgbbbd	436127
caaabbabbbbbabgbbbbd	436127
caaabbabbbbbagbbbbbd	436127
caaabbabbbbbfabbbbbd	436127
caaabbabbbbgaabbbbbd	436127
caaabbabbbgbaabbbbbd	436127
caaabbabbgbbaabbbbbd	436127
caaabbabgbbbaabbbbbd	436127
caaabbagbbbbaabbbbbd	436127
caaabbfabbbbaabbbbbd	436127
caaabgaabbbbaabbbbbd	436127
caaagbaabbbbaabbbbbd	436127
caafabaabbbbaabbbbbd	436127
caebabaabbbbaabbbbbd	436127
ceababaabbbbaabbbbbd	436127
cbababaabbbbaabbbbbd	436127
cbababaabbbbaabbbbgd	654191
cbababaabbbbaabbbgbd	654191
cbababaabbbbaabbgbbd	654191
cbababaabbbbaabgbbbd	654191
cbababaabbbbaagbbbbd	654191
cbababaabbbbafabbbbd	654191
cbababaabbbbebabbbbd	654191
cbababaabbbfbbabbbbd	654191
cbababaabbgabbabbbbd	654191
cbababaabgbabbabbbbd	654191
cbababaagbbabbabbbbd	654191
cbababafabbabbabbbbd	654191
cbababebabbabbabbbbd	654191
cbabafbbabbabbabbbbd	654191
cbabebbbabbabbabbbbd	654191
cbafbbbbabbabbabbbbd	654191
cbebbbbbabbabbabbbbd	654191
cfbbbbbbabbabbabbbbd	654191
caabbbbbbabbabbabbbbd	654191
caabbbbbbabbabbabbbgd	981287
caabbbbbbabbabbabbgbd	981287
caabbbbbbabbabbabgbbd	981287
caabbbbbbabbabbagbbbd	981287
caabbbbbbabbabbfabbbd	981287
caabbbbbbabbabgaabbbd	981287
caabbbbbbabbagbaabbbd	981287
caabbbbbbabbfabaabbbd	981287
caabbbbbbabgaabaabbbd	981287
caabbbbbbagbaabaabbbd	981287
caabbbbbbfabaabaabbbd	981287
caabbbbbgaabaabaabbbd	981287
caabbbbgbaabaabaabbbd	981287
caabbbgbbaabaabaabbbd	981287
caabbgbbbaabaabaabbbd	981287
caabgbbbbaabaabaabbbd	981287
caagbbbbbaabaabaabbbd	981287
cafabbbbbaabaabaabbbd	981287
cebabbbbbaabaabaabbbd	981287
cbbabbbbbaabaabaabbbd	981287
cbbabbbbbaabaabaabbgd	1471931
cbbabbbbbaabaabaabgbd	1471931
cbbabbbbbaabaabaagbbd	1471931
cbbabbbbbaabaabafabbd	1471931
cbbabbbbbaabaabebabbd	1471931
cbbabbbbbaabaafbbabbd	1471931
cbbabbbbbaabaebbbabbd	1471931
cbbabbbbbaabeabbbabbd	1471931
cbbabbbbbaafbabbbabbd	1471931
cbbabbbbbaebbabbbabbd	1471931
cbbabbbbbeabbabbbabbd	1471931
cbbabbbbfbabbabbbabbd	1471931
cbbabbbgababbabbbabbd	1471931
cbbabbgbababbabbbabbd	1471931
cbbabgbbababbabbbabbd	1471931
cbbagbbbababbabbbabbd	1471931
cbbfabbbababbabbbabbd	1471931
cbgaabbbababbabbbabbd	1471931
cgbaabbbababbabbbabbd	1471931
cabbaabbbababbabbbabbd	1471931
cabbaabbbababbabbbabgd	2207897
cabbaabbbababbabbbagbd	2207897
cabbaabbbababbabbbfabd	2207897
cabbaabbbababbabbgaabd	2207897
cabbaabbbababbabgbaabd	2207897
cabbaabbbababbagbbaabd	2207897
cabbaabbbababbfabbaabd	2207897
cabbaabbbababgaabbaabd	2207897
cabbaabbbabagbaabbaabd	2207897
cabbaabbbabfabaabbaabd	2207897
cabbaabbbagaabaabbaabd	2207897
cabbaabbbfaaabaabbaabd	2207897
cabbaabbgaaaabaabbaabd	2207897
cabbaabgbaaaabaabbaabd	2207897
cabbaagbbaaaabaabbaabd	2207897
cabbafabbaaaabaabbaabd	2207897
cabbebabbaaaabaabbaabd	2207897
cabfbbabbaaaabaabbaabd	2207897
cagabbabbaaaabaabbaabd	2207897
cfaabbabbaaaabaabbaabd	2207897
caaaabbabbaaaabaabbaabd	2207897
caaaabbabbaaaabaabbaagd	3311846
caaaabbabbaaaabaabbafad	3311846
caaaabbabbaaaabaabbebad	3311846
caaaabbabbaaaabaabfbbad	3311846
caaaabbabbaaaabaagabbad	3311846
caaaabbabbaaaabafaabbad	3311846
caaaabbabbaaaabebaabbad	3311846
caaaabbabbaaaafbbaabbad	3311846
caaaabbabbaaaebbbaabbad	3311846
caaaabbabbaaeabbbaabbad	3311846
caaaabbabbaeaabbbaabbad	3311846
caaaabbabbeaaabbbaabbad	3311846
caaaabbabfbaaabbbaabbad	3311846
caaaabbagabaaabbbaabbad	3311846
caaaabbfaabaaabbbaabbad	3311846
caaaabgaaabaaabbbaabbad	3311846
caaaagbaaabaaabbbaabbad	3311846
caaafabaaabaaabbbaabbad	3311846
caaebabaaabaaabbbaabbad	3311846
caeababaaabaaabbbaabbad	3311846
ceaababaaabaaabbbaabbad	3311846
cbaababaaabaaabbbaabbad	3311846
cbaababaaabaaabbbaabbd	1655923
cbaababaaabaaabbbaabgd	2483885
cbaababaaabaaabbbaagbd	2483885
cbaababaaabaaabbbafabd	2483885
cbaababaaabaaabbbebabd	2483885
cbaababaaabaaabbfbbabd	2483885
cbaababaaabaaabgabbabd	2483885
cbaababaaabaaagbabbabd	2483885
cbaababaaabaafababbabd	2483885
cbaababaaabaebababbabd	2483885
cbaababaaabeabababbabd	2483885
cbaababaaafbabababbabd	2483885
cbaababaaebbabababbabd	2483885
cbaababaeabbabababbabd	2483885
cbaababeaabbabababbabd	2483885
cbaabafbaabbabababbabd	2483885
cbaabebbaabbabababbabd	2483885
cbaafbbbaabbabababbabd	2483885
cbaebbbbaabbabababbabd	2483885
cbeabbbbaabbabababbabd	2483885
cfbabbbbaabbabababbabd	2483885
caababbbbaabbabababbabd	2483885
caababbbbaabbabababbagd	3725828
caababbbbaabbabababbfad	3725828
caababbbbaabbabababgaad	3725828
