"Input number 2911471 with intial rewrite term cabbaaabbabbaabbbabbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 835  Number of array doubles: 0"
Term	Number
cabbaaabbabbaabbbabbbgd	4367207
cabbaaabbabbaabbbabbgbd	4367207
cabbaaabbabbaabbbabgbbd	4367207
cabbaaabbabbaabbbagbbbd	4367207
cabbaaabbabbaabbbfabbbd	4367207
cabbaaabbabbaabbgaabbbd	4367207
cabbaaabbabbaabgbaabbbd	4367207
cabbaaabbabbaagbbaabbbd	4367207
cabbaaabbabbafabbaabbbd	4367207
cabbaaabbabbebabbaabbbd	4367207
cabbaaabbabfbbabbaabbbd	4367207
cabbaaabbagabbabbaabbbd	4367207
cabbaaabbfaabbabbaabbbd	4367207
cabbaaabgaaabbabbaabbbd	4367207
cabbaaagbaaabbabbaabbbd	4367207
cabbaafabaaabbabbaabbbd	4367207
cabbaebabaaabbabbaabbbd	4367207
cabbeababaaabbabbaabbbd	4367207
cabfbababaaabbabbaabbbd	4367207
cagabababaaabbabbaabbbd	4367207
cfaabababaaabbabbaabbbd	4367207
caaaabababaaabbabbaabbbd	4367207
caaaabababaaabbabbaabbgd	6550811
caaaabababaaabbabbaabgbd	6550811
caaaabababaaabbabbaagbbd	6550811
caaaabababaaabbabbafabbd	6550811
caaaabababaaabbabbebabbd	6550811
caaaabababaaabbabfbbabbd	6550811
caaaabababaaabbagabbabbd	6550811
caaaabababaaabbfaabbabbd	6550811
caaaabababaaabgaaabbabbd	6550811
caaaabababaaagbaaabbabbd	6550811
caaaabababaafabaaabbabbd	6550811
caaaabababaebabaaabbabbd	6550811
caaaabababeababaaabbabbd	6550811
caaaababafbababaaabbabbd	6550811
caaaababebbababaaabbabbd	6550811
caaaabafbbbababaaabbabbd	6550811
caaaabebbbbababaaabbabbd	6550811
caaaafbbbbbababaaabbabbd	6550811
caaaebbbbbbababaaabbabbd	6550811
caaeabbbbbbababaaabbabbd	6550811
caeaabbbbbbababaaabbabbd	6550811
ceaaabbbbbbababaaabbabbd	6550811
cbaaabbbbbbababaaabbabbd	6550811
cbaaabbbbbbababaaabbabgd	9826217
cbaaabbbbbbababaaabbagbd	9826217
cbaaabbbbbbababaaabbfabd	9826217
cbaaabbbbbbababaaabgaabd	9826217
cbaaabbbbbbababaaagbaabd	9826217
cbaaabbbbbbababaafabaabd	9826217
cbaaabbbbbbababaebabaabd	9826217
cbaaabbbbbbababeababaabd	9826217
cbaaabbbbbbabafbababaabd	9826217
cbaaabbbbbbabebbababaabd	9826217
cbaaabbbbbbafbbbababaabd	9826217
cbaaabbbbbbebbbbababaabd	9826217
cbaaabbbbbfbbbbbababaabd	9826217
cbaaabbbbgabbbbbababaabd	9826217
cbaaabbbgbabbbbbababaabd	9826217
cbaaabbgbbabbbbbababaabd	9826217
cbaaabgbbbabbbbbababaabd	9826217
cbaaagbbbbabbbbbababaabd	9826217
cbaafabbbbabbbbbababaabd	9826217
cbaebabbbbabbbbbababaabd	9826217
cbeababbbbabbbbbababaabd	9826217
cfbababbbbabbbbbababaabd	9826217
caabababbbbabbbbbababaabd	9826217
caabababbbbabbbbbababaagd	14739326
caabababbbbabbbbbababafad	14739326
caabababbbbabbbbbababebad	14739326
caabababbbbabbbbbabafbbad	14739326
caabababbbbabbbbbabebbbad	14739326
caabababbbbabbbbbafbbbbad	14739326
caabababbbbabbbbbebbbbbad	14739326
caabababbbbabbbbfbbbbbbad	14739326
caabababbbbabbbgabbbbbbad	14739326
caabababbbbabbgbabbbbbbad	14739326
caabababbbbabgbbabbbbbbad	14739326
caabababbbbagbbbabbbbbbad	14739326
caabababbbbfabbbabbbbbbad	14739326
caabababbbgaabbbabbbbbbad	14739326
caabababbgbaabbbabbbbbbad	14739326
caabababgbbaabbbabbbbbbad	14739326
caababagbbbaabbbabbbbbbad	14739326
caababfabbbaabbbabbbbbbad	14739326
caabagaabbbaabbbabbbbbbad	14739326
caabfaaabbbaabbbabbbbbbad	14739326
caagaaaabbbaabbbabbbbbbad	14739326
cafaaaaabbbaabbbabbbbbbad	14739326
cebaaaaabbbaabbbabbbbbbad	14739326
cbbaaaaabbbaabbbabbbbbbad	14739326
cbbaaaaabbbaabbbabbbbbbd	7369663
cbbaaaaabbbaabbbabbbbbgd	11054495
cbbaaaaabbbaabbbabbbbgbd	11054495
cbbaaaaabbbaabbbabbbgbbd	11054495
cbbaaaaabbbaabbbabbgbbbd	11054495
cbbaaaaabbbaabbbabgbbbbd	11054495
