"Input number 3041391 with intial rewrite term cabbbaabbabaaaabbabbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 3392  Number of array doubles: 1"
Term	Number
cabbbaabbabaaaabbabbbgd	4562087
cabbbaabbabaaaabbabbgbd	4562087
cabbbaabbabaaaabbabgbbd	4562087
cabbbaabbabaaaabbagbbbd	4562087
cabbbaabbabaaaabbfabbbd	4562087
cabbbaabbabaaaabgaabbbd	4562087
cabbbaabbabaaaagbaabbbd	4562087
cabbbaabbabaaafabaabbbd	4562087
cabbbaabbabaaebabaabbbd	4562087
cabbbaabbabaeababaabbbd	4562087
cabbbaabbabeaababaabbbd	4562087
cabbbaabbafbaababaabbbd	4562087
cabbbaabbebbaababaabbbd	4562087
cabbbaabfbbbaababaabbbd	4562087
cabbbaagabbbaababaabbbd	4562087
cabbbafaabbbaababaabbbd	4562087
cabbbebaabbbaababaabbbd	4562087
cabbfbbaabbbaababaabbbd	4562087
cabgabbaabbbaababaabbbd	4562087
cagbabbaabbbaababaabbbd	4562087
cfababbaabbbaababaabbbd	4562087
caaababbaabbbaababaabbbd	4562087
caaababbaabbbaababaabbgd	6843131
caaababbaabbbaababaabgbd	6843131
caaababbaabbbaababaagbbd	6843131
caaababbaabbbaababafabbd	6843131
caaababbaabbbaababebabbd	6843131
caaababbaabbbaabafbbabbd	6843131
caaababbaabbbaabebbbabbd	6843131
caaababbaabbbaafbbbbabbd	6843131
caaababbaabbbaebbbbbabbd	6843131
caaababbaabbbeabbbbbabbd	6843131
caaababbaabbfbabbbbbabbd	6843131
caaababbaabgababbbbbabbd	6843131
caaababbaagbababbbbbabbd	6843131
caaababbafabababbbbbabbd	6843131
caaababbebabababbbbbabbd	6843131
caaababfbbabababbbbbabbd	6843131
caaabagabbabababbbbbabbd	6843131
caaabfaabbabababbbbbabbd	6843131
caaagaaabbabababbbbbabbd	6843131
caafaaaabbabababbbbbabbd	6843131
caebaaaabbabababbbbbabbd	6843131
ceabaaaabbabababbbbbabbd	6843131
cbabaaaabbabababbbbbabbd	6843131
cbabaaaabbabababbbbbabgd	10264697
cbabaaaabbabababbbbbagbd	10264697
cbabaaaabbabababbbbbfabd	10264697
cbabaaaabbabababbbbgaabd	10264697
cbabaaaabbabababbbgbaabd	10264697
cbabaaaabbabababbgbbaabd	10264697
cbabaaaabbabababgbbbaabd	10264697
cbabaaaabbababagbbbbaabd	10264697
cbabaaaabbababfabbbbaabd	10264697
cbabaaaabbabagaabbbbaabd	10264697
cbabaaaabbabfaaabbbbaabd	10264697
cbabaaaabbagaaaabbbbaabd	10264697
cbabaaaabbfaaaaabbbbaabd	10264697
cbabaaaabgaaaaaabbbbaabd	10264697
cbabaaaagbaaaaaabbbbaabd	10264697
cbabaaafabaaaaaabbbbaabd	10264697
cbabaaebabaaaaaabbbbaabd	10264697
cbabaeababaaaaaabbbbaabd	10264697
cbabeaababaaaaaabbbbaabd	10264697
cbafbaababaaaaaabbbbaabd	10264697
cbebbaababaaaaaabbbbaabd	10264697
cfbbbaababaaaaaabbbbaabd	10264697
caabbbaababaaaaaabbbbaabd	10264697
caabbbaababaaaaaabbbbaagd	15397046
caabbbaababaaaaaabbbbafad	15397046
caabbbaababaaaaaabbbbebad	15397046
caabbbaababaaaaaabbbfbbad	15397046
caabbbaababaaaaaabbgabbad	15397046
caabbbaababaaaaaabgbabbad	15397046
caabbbaababaaaaaagbbabbad	15397046
caabbbaababaaaaafabbabbad	15397046
caabbbaababaaaaebabbabbad	15397046
caabbbaababaaaeababbabbad	15397046
caabbbaababaaeaababbabbad	15397046
caabbbaababaeaaababbabbad	15397046
caabbbaababeaaaababbabbad	15397046
caabbbaabafbaaaababbabbad	15397046
caabbbaabebbaaaababbabbad	15397046
caabbbaafbbbaaaababbabbad	15397046
caabbbaebbbbaaaababbabbad	15397046
caabbbeabbbbaaaababbabbad	15397046
caabbfbabbbbaaaababbabbad	15397046
caabgababbbbaaaababbabbad	15397046
caagbababbbbaaaababbabbad	15397046
cafabababbbbaaaababbabbad	15397046
cebabababbbbaaaababbabbad	15397046
cbbabababbbbaaaababbabbad	15397046
cbbabababbbbaaaababbabbd	7698523
cbbabababbbbaaaababbabgd	11547785
cbbabababbbbaaaababbagbd	11547785
cbbabababbbbaaaababbfabd	11547785
cbbabababbbbaaaababgaabd	11547785
cbbabababbbbaaaabagbaabd	11547785
cbbabababbbbaaaabfabaabd	11547785
cbbabababbbbaaaagaabaabd	11547785
cbbabababbbbaaafaaabaabd	11547785
cbbabababbbbaaebaaabaabd	11547785
cbbabababbbbaeabaaabaabd	11547785
cbbabababbbbeaabaaabaabd	11547785
cbbabababbbfbaabaaabaabd	11547785
cbbabababbgabaabaaabaabd	11547785
cbbabababgbabaabaaabaabd	11547785
cbbababagbbabaabaaabaabd	11547785
cbbababfabbabaabaaabaabd	11547785
cbbabagaabbabaabaaabaabd	11547785
cbbabfaaabbabaabaaabaabd	11547785
cbbagaaaabbabaabaaabaabd	11547785
cbbfaaaaabbabaabaaabaabd	11547785
cbgaaaaaabbabaabaaabaabd	11547785
cgbaaaaaabbabaabaaabaabd	11547785
cabbaaaaaabbabaabaaabaabd	11547785
cabbaaaaaabbabaabaaabaagd	17321678
cabbaaaaaabbabaabaaabafad	17321678
cabbaaaaaabbabaabaaabebad	17321678
cabbaaaaaabbabaabaaafbbad	17321678
cabbaaaaaabbabaabaaebbbad	17321678
cabbaaaaaabbabaabaeabbbad	17321678
cabbaaaaaabbabaabeaabbbad	17321678
cabbaaaaaabbabaafbaabbbad	17321678
cabbaaaaaabbabaebbaabbbad	17321678
cabbaaaaaabbabeabbaabbbad	17321678
cabbaaaaaabbafbabbaabbbad	17321678
cabbaaaaaabbebbabbaabbbad	17321678
cabbaaaaaabfbbbabbaabbbad	17321678
cabbaaaaaagabbbabbaabbbad	17321678
cabbaaaaafaabbbabbaabbbad	17321678
cabbaaaaebaabbbabbaabbbad	17321678
cabbaaaeabaabbbabbaabbbad	17321678
cabbaaeaabaabbbabbaabbbad	17321678
cabbaeaaabaabbbabbaabbbad	17321678
cabbeaaaabaabbbabbaabbbad	17321678
cabfbaaaabaabbbabbaabbbad	17321678
cagabaaaabaabbbabbaabbbad	17321678
cfaabaaaabaabbbabbaabbbad	17321678
caaaabaaaabaabbbabbaabbbad	17321678
caaaabaaaabaabbbabbaabbbd	8660839
caaaabaaaabaabbbabbaabbgd	12991259
caaaabaaaabaabbbabbaabgbd	12991259
caaaabaaaabaabbbabbaagbbd	12991259
caaaabaaaabaabbbabbafabbd	12991259
caaaabaaaabaabbbabbebabbd	12991259
caaaabaaaabaabbbabfbbabbd	12991259
caaaabaaaabaabbbagabbabbd	12991259
caaaabaaaabaabbbfaabbabbd	12991259
caaaabaaaabaabbgaaabbabbd	12991259
caaaabaaaabaabgbaaabbabbd	12991259
caaaabaaaabaagbbaaabbabbd	12991259
caaaabaaaabafabbaaabbabbd	12991259
caaaabaaaabebabbaaabbabbd	12991259
caaaabaaaafbbabbaaabbabbd	12991259
caaaabaaaebbbabbaaabbabbd	12991259
caaaabaaeabbbabbaaabbabbd	12991259
caaaabaeaabbbabbaaabbabbd	12991259
caaaabeaaabbbabbaaabbabbd	12991259
caaaafbaaabbbabbaaabbabbd	12991259
caaaebbaaabbbabbaaabbabbd	12991259
caaeabbaaabbbabbaaabbabbd	12991259
caeaabbaaabbbabbaaabbabbd	12991259
ceaaabbaaabbbabbaaabbabbd	12991259
cbaaabbaaabbbabbaaabbabbd	12991259
cbaaabbaaabbbabbaaabbabgd	19486889
cbaaabbaaabbbabbaaabbagbd	19486889
cbaaabbaaabbbabbaaabbfabd	19486889
cbaaabbaaabbbabbaaabgaabd	19486889
cbaaabbaaabbbabbaaagbaabd	19486889
cbaaabbaaabbbabbaafabaabd	19486889
cbaaabbaaabbbabbaebabaabd	19486889
cbaaabbaaabbbabbeababaabd	19486889
cbaaabbaaabbbabfbababaabd	19486889
cbaaabbaaabbbagabababaabd	19486889
cbaaabbaaabbbfaabababaabd	19486889
cbaaabbaaabbgaaabababaabd	19486889
cbaaabbaaabgbaaabababaabd	19486889
cbaaabbaaagbbaaabababaabd	19486889
cbaaabbaafabbaaabababaabd	19486889
cbaaabbaebabbaaabababaabd	19486889
cbaaabbeababbaaabababaabd	19486889
cbaaabfbababbaaabababaabd	19486889
cbaaagabababbaaabababaabd	19486889
cbaafaabababbaaabababaabd	19486889
cbaebaabababbaaabababaabd	19486889
cbeabaabababbaaabababaabd	19486889
cfbabaabababbaaabababaabd	19486889
caababaabababbaaabababaabd	19486889
caababaabababbaaabababaagd	29230334
caababaabababbaaabababafad	29230334
caababaabababbaaabababebad	29230334
caababaabababbaaababafbbad	29230334
caababaabababbaaababebbbad	29230334
caababaabababbaaabafbbbbad	29230334
caababaabababbaaabebbbbbad	29230334
caababaabababbaaafbbbbbbad	29230334
caababaabababbaaebbbbbbbad	29230334
caababaabababbaeabbbbbbbad	29230334
caababaabababbeaabbbbbbbad	29230334
caababaabababfbaabbbbbbbad	29230334
caababaababagabaabbbbbbbad	29230334
caababaababfaabaabbbbbbbad	29230334
caababaabagaaabaabbbbbbbad	29230334
caababaabfaaaabaabbbbbbbad	29230334
caababaagaaaaabaabbbbbbbad	29230334
caababafaaaaaabaabbbbbbbad	29230334
caababebaaaaaabaabbbbbbbad	29230334
caabafbbaaaaaabaabbbbbbbad	29230334
