"Input number 3259 with intial rewrite term cbaababbbabbd
Generated final number 1 with final rewrite term cd
Number of steps: 158  Number of array doubles: 0"
Term	Number
cbaababbbabgd	4889
cbaababbbagbd	4889
cbaababbbfabd	4889
cbaababbgaabd	4889
cbaababgbaabd	4889
cbaabagbbaabd	4889
cbaabfabbaabd	4889
cbaagaabbaabd	4889
cbafaaabbaabd	4889
cbebaaabbaabd	4889
cfbbaaabbaabd	4889
caabbaaabbaabd	4889
caabbaaabbaagd	7334
caabbaaabbafad	7334
caabbaaabbebad	7334
caabbaaabfbbad	7334
caabbaaagabbad	7334
caabbaafaabbad	7334
caabbaebaabbad	7334
caabbeabaabbad	7334
caabfbabaabbad	7334
caagababaabbad	7334
cafaababaabbad	7334
cebaababaabbad	7334
cbbaababaabbad	7334
cbbaababaabbd	3667
cbbaababaabgd	5501
cbbaababaagbd	5501
cbbaababafabd	5501
cbbaababebabd	5501
cbbaabafbbabd	5501
cbbaabebbbabd	5501
cbbaafbbbbabd	5501
cbbaebbbbbabd	5501
cbbeabbbbbabd	5501
cbfbabbbbbabd	5501
cgababbbbbabd	5501
cabababbbbbabd	5501
cabababbbbbagd	8252
cabababbbbbfad	8252
cabababbbbgaad	8252
cabababbbgbaad	8252
cabababbgbbaad	8252
cabababgbbbaad	8252
cababagbbbbaad	8252
cababfabbbbaad	8252
cabagaabbbbaad	8252
cabfaaabbbbaad	8252
cagaaaabbbbaad	8252
cfaaaaabbbbaad	8252
caaaaaaabbbbaad	8252
caaaaaaabbbbad	4126
caaaaaaabbbbd	2063
caaaaaaabbbgd	3095
caaaaaaabbgbd	3095
caaaaaaabgbbd	3095
caaaaaaagbbbd	3095
caaaaaafabbbd	3095
caaaaaebabbbd	3095
caaaaeababbbd	3095
caaaeaababbbd	3095
caaeaaababbbd	3095
caeaaaababbbd	3095
ceaaaaababbbd	3095
cbaaaaababbbd	3095
cbaaaaababbgd	4643
cbaaaaababgbd	4643
cbaaaaabagbbd	4643
cbaaaaabfabbd	4643
cbaaaaagaabbd	4643
cbaaaafaaabbd	4643
cbaaaebaaabbd	4643
cbaaeabaaabbd	4643
cbaeaabaaabbd	4643
cbeaaabaaabbd	4643
cfbaaabaaabbd	4643
caabaaabaaabbd	4643
caabaaabaaabgd	6965
caabaaabaaagbd	6965
caabaaabaafabd	6965
caabaaabaebabd	6965
caabaaabeababd	6965
caabaaafbababd	6965
caabaaebbababd	6965
caabaeabbababd	6965
caabeaabbababd	6965
caafbaabbababd	6965
caebbaabbababd	6965
ceabbaabbababd	6965
cbabbaabbababd	6965
cbabbaabbabagd	10448
cbabbaabbabfad	10448
cbabbaabbagaad	10448
cbabbaabbfaaad	10448
cbabbaabgaaaad	10448
cbabbaagbaaaad	10448
cbabbafabaaaad	10448
cbabbebabaaaad	10448
cbabfbbabaaaad	10448
cbagabbabaaaad	10448
cbfaabbabaaaad	10448
cgaaabbabaaaad	10448
cabaaabbabaaaad	10448
cabaaabbabaaad	5224
cabaaabbabaad	2612
cabaaabbabad	1306
cabaaabbabd	653
cabaaabbagd	980
cabaaabbfad	980
cabaaabgaad	980
cabaaagbaad	980
cabaafabaad	980
cabaebabaad	980
cabeababaad	980
cafbababaad	980
cebbababaad	980
cbbbababaad	980
cbbbababad	490
cbbbababd	245
cbbbabagd	368
cbbbabfad	368
cbbbagaad	368
cbbbfaaad	368
cbbgaaaad	368
cbgbaaaad	368
cgbbaaaad	368
cabbbaaaad	368
cabbbaaad	184
cabbbaad	92
cabbbad	46
cabbbd	23
cabbgd	35
cabgbd	35
cagbbd	35
cfabbd	35
caaabbd	35
caaabgd	53
caaagbd	53
caafabd	53
caebabd	53
ceababd	53
cbababd	53
cbabagd	80
cbabfad	80
cbagaad	80
cbfaaad	80
cgaaaad	80
cabaaaad	80
cabaaad	40
cabaad	20
cabad	10
cabd	5
cagd	8
cfad	8
caaad	8
caad	4
cad	2
cd	1
