"Input number 557127 with intial rewrite term caaabaaaaaaaabaaabbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1863  Number of array doubles: 1"
Term	Number
caaabaaaaaaaabaaabbgd	835691
caaabaaaaaaaabaaabgbd	835691
caaabaaaaaaaabaaagbbd	835691
caaabaaaaaaaabaafabbd	835691
caaabaaaaaaaabaebabbd	835691
caaabaaaaaaaabeababbd	835691
caaabaaaaaaaafbababbd	835691
caaabaaaaaaaebbababbd	835691
caaabaaaaaaeabbababbd	835691
caaabaaaaaeaabbababbd	835691
caaabaaaaeaaabbababbd	835691
caaabaaaeaaaabbababbd	835691
caaabaaeaaaaabbababbd	835691
caaabaeaaaaaabbababbd	835691
caaabeaaaaaaabbababbd	835691
caaafbaaaaaaabbababbd	835691
caaebbaaaaaaabbababbd	835691
caeabbaaaaaaabbababbd	835691
ceaabbaaaaaaabbababbd	835691
cbaabbaaaaaaabbababbd	835691
cbaabbaaaaaaabbababgd	1253537
cbaabbaaaaaaabbabagbd	1253537
cbaabbaaaaaaabbabfabd	1253537
cbaabbaaaaaaabbagaabd	1253537
cbaabbaaaaaaabbfaaabd	1253537
cbaabbaaaaaaabgaaaabd	1253537
cbaabbaaaaaaagbaaaabd	1253537
cbaabbaaaaaafabaaaabd	1253537
cbaabbaaaaaebabaaaabd	1253537
cbaabbaaaaeababaaaabd	1253537
cbaabbaaaeaababaaaabd	1253537
cbaabbaaeaaababaaaabd	1253537
cbaabbaeaaaababaaaabd	1253537
cbaabbeaaaaababaaaabd	1253537
cbaabfbaaaaababaaaabd	1253537
cbaagabaaaaababaaaabd	1253537
cbafaabaaaaababaaaabd	1253537
cbebaabaaaaababaaaabd	1253537
cfbbaabaaaaababaaaabd	1253537
caabbaabaaaaababaaaabd	1253537
caabbaabaaaaababaaaagd	1880306
caabbaabaaaaababaaafad	1880306
caabbaabaaaaababaaebad	1880306
caabbaabaaaaababaeabad	1880306
caabbaabaaaaababeaabad	1880306
caabbaabaaaaabafbaabad	1880306
caabbaabaaaaabebbaabad	1880306
caabbaabaaaaafbbbaabad	1880306
caabbaabaaaaebbbbaabad	1880306
caabbaabaaaeabbbbaabad	1880306
caabbaabaaeaabbbbaabad	1880306
caabbaabaeaaabbbbaabad	1880306
caabbaabeaaaabbbbaabad	1880306
caabbaafbaaaabbbbaabad	1880306
caabbaebbaaaabbbbaabad	1880306
caabbeabbaaaabbbbaabad	1880306
caabfbabbaaaabbbbaabad	1880306
