"Input number 598957743 with intial rewrite term caaabbbabbaabbababbbbabababbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 8617  Number of array doubles: 1"
Term	Number
caaabbbabbaabbababbbbabababbbgd	898436615
caaabbbabbaabbababbbbabababbgbd	898436615
caaabbbabbaabbababbbbabababgbbd	898436615
caaabbbabbaabbababbbbababagbbbd	898436615
caaabbbabbaabbababbbbababfabbbd	898436615
caaabbbabbaabbababbbbabagaabbbd	898436615
caaabbbabbaabbababbbbabfaaabbbd	898436615
caaabbbabbaabbababbbbagaaaabbbd	898436615
caaabbbabbaabbababbbbfaaaaabbbd	898436615
caaabbbabbaabbababbbgaaaaaabbbd	898436615
caaabbbabbaabbababbgbaaaaaabbbd	898436615
caaabbbabbaabbababgbbaaaaaabbbd	898436615
caaabbbabbaabbabagbbbaaaaaabbbd	898436615
caaabbbabbaabbabfabbbaaaaaabbbd	898436615
caaabbbabbaabbagaabbbaaaaaabbbd	898436615
caaabbbabbaabbfaaabbbaaaaaabbbd	898436615
caaabbbabbaabgaaaabbbaaaaaabbbd	898436615
caaabbbabbaagbaaaabbbaaaaaabbbd	898436615
caaabbbabbafabaaaabbbaaaaaabbbd	898436615
caaabbbabbebabaaaabbbaaaaaabbbd	898436615
caaabbbabfbbabaaaabbbaaaaaabbbd	898436615
caaabbbagabbabaaaabbbaaaaaabbbd	898436615
caaabbbfaabbabaaaabbbaaaaaabbbd	898436615
caaabbgaaabbabaaaabbbaaaaaabbbd	898436615
caaabgbaaabbabaaaabbbaaaaaabbbd	898436615
caaagbbaaabbabaaaabbbaaaaaabbbd	898436615
caafabbaaabbabaaaabbbaaaaaabbbd	898436615
caebabbaaabbabaaaabbbaaaaaabbbd	898436615
ceababbaaabbabaaaabbbaaaaaabbbd	898436615
cbababbaaabbabaaaabbbaaaaaabbbd	898436615
cbababbaaabbabaaaabbbaaaaaabbgd	1347654923
cbababbaaabbabaaaabbbaaaaaabgbd	1347654923
cbababbaaabbabaaaabbbaaaaaagbbd	1347654923
cbababbaaabbabaaaabbbaaaaafabbd	1347654923
cbababbaaabbabaaaabbbaaaaebabbd	1347654923
cbababbaaabbabaaaabbbaaaeababbd	1347654923
cbababbaaabbabaaaabbbaaeaababbd	1347654923
cbababbaaabbabaaaabbbaeaaababbd	1347654923
cbababbaaabbabaaaabbbeaaaababbd	1347654923
cbababbaaabbabaaaabbfbaaaababbd	1347654923
