"Input number 62079 with intial rewrite term cbbbaabaabbbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 1387  Number of array doubles: 1"
Term	Number
cbbbaabaabbbbbbgd	93119
cbbbaabaabbbbbgbd	93119
cbbbaabaabbbbgbbd	93119
cbbbaabaabbbgbbbd	93119
cbbbaabaabbgbbbbd	93119
cbbbaabaabgbbbbbd	93119
cbbbaabaagbbbbbbd	93119
cbbbaabafabbbbbbd	93119
cbbbaabebabbbbbbd	93119
cbbbaafbbabbbbbbd	93119
cbbbaebbbabbbbbbd	93119
cbbbeabbbabbbbbbd	93119
cbbfbabbbabbbbbbd	93119
cbgababbbabbbbbbd	93119
cgbababbbabbbbbbd	93119
cabbababbbabbbbbbd	93119
cabbababbbabbbbbgd	139679
cabbababbbabbbbgbd	139679
cabbababbbabbbgbbd	139679
cabbababbbabbgbbbd	139679
cabbababbbabgbbbbd	139679
cabbababbbagbbbbbd	139679
cabbababbbfabbbbbd	139679
cabbababbgaabbbbbd	139679
cabbababgbaabbbbbd	139679
cabbabagbbaabbbbbd	139679
cabbabfabbaabbbbbd	139679
cabbagaabbaabbbbbd	139679
cabbfaaabbaabbbbbd	139679
cabgaaaabbaabbbbbd	139679
cagbaaaabbaabbbbbd	139679
cfabaaaabbaabbbbbd	139679
caaabaaaabbaabbbbbd	139679
caaabaaaabbaabbbbgd	209519
caaabaaaabbaabbbgbd	209519
caaabaaaabbaabbgbbd	209519
caaabaaaabbaabgbbbd	209519
caaabaaaabbaagbbbbd	209519
caaabaaaabbafabbbbd	209519
caaabaaaabbebabbbbd	209519
caaabaaaabfbbabbbbd	209519
caaabaaaagabbabbbbd	209519
caaabaaafaabbabbbbd	209519
caaabaaebaabbabbbbd	209519
caaabaeabaabbabbbbd	209519
caaabeaabaabbabbbbd	209519
caaafbaabaabbabbbbd	209519
caaebbaabaabbabbbbd	209519
caeabbaabaabbabbbbd	209519
ceaabbaabaabbabbbbd	209519
cbaabbaabaabbabbbbd	209519
cbaabbaabaabbabbbgd	314279
cbaabbaabaabbabbgbd	314279
cbaabbaabaabbabgbbd	314279
cbaabbaabaabbagbbbd	314279
cbaabbaabaabbfabbbd	314279
cbaabbaabaabgaabbbd	314279
cbaabbaabaagbaabbbd	314279
cbaabbaabafabaabbbd	314279
cbaabbaabebabaabbbd	314279
cbaabbaafbbabaabbbd	314279
