Input Number	Final Number	Number of rewrite steps	Number of array doubles
3	3	0	0
7	7	0	0
9	7	2	0
15	5	15	0
19	5	13	0
25	5	16	0
27	5	259	1
33	5	20	0
39	5	37	0
109	5	261	1
123	5	62	0
187	5	63	0
219	5	79	0
255	5	92	0
291	5	272	0
439	5	83	0
703	5	654	1
907	5	111	0
1095	5	159	0
1249	5	671	1
1665	5	680	1
1815	5	117	0
3259	5	115	0
4381	5	161	0
4591	5	777	0
5841	5	172	0
6121	5	788	0
6171	5	939	1
6823	5	423	0
8161	5	799	0
10881	5	811	0
12319	5	263	0
12351	5	481	0
23131	5	580	0
24615	5	247	0
25243	5	742	0
31591	5	265	0
31911	5	768	0
62079	5	1167	0
63183	5	270	0
77055	5	420	0
113383	5	1668	1
127143	5	999	1
290751	1	2006	1
325791	5	970	0
557127	5	1560	1
651583	5	977	0
687871	7	3022	1
868777	5	995	0
917161	7	3040	1
1222881	7	3059	1
1379295	5	533	0
1627119	5	1141	0
2068923	5	509	0
2911471	5	691	0
2911515	5	684	0
3041391	7	3027	1
3047407	5	1298	0
6094815	5	1304	0
6549279	5	622	0
7209223	7	3094	1
9826215	5	610	0
12901615	5	900	0
13805679	5	771	0
14418447	7	3101	1
24379261	5	1306	0
26155275	5	603	0
32505681	5	1329	0
34873707	5	634	0
35651835	7	1789	0
41331823	5	729	0
43543207	5	859	0
50078847	7	1955	0
60340335	5	1368	0
100157695	7	1965	0
116115219	5	886	0
133543593	7	1990	0
194649045	7	3037	0
267087187	7	1993	0
275234751	5	1002	0
319804831	5	7842	1
326589567	5	1286	0
339554031	5	1661	0
356116249	7	2020	0
379027947	5	7924	1
598957743	5	8040	1
712232497	7	2021	0
794080495	5	2419	0
949643331	7	2051	0
