"Input number 113383 with intial rewrite term cbabbbababbbaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 1668  Number of array doubles: 1"
Term	Number
cbabbbababbbaagbbd	170075
cbabbbababbbafabbd	170075
cbabbbababbbebabbd	170075
cbabbbababbfbbabbd	170075
cbabbbababgabbabbd	170075
cbabbbabagbabbabbd	170075
cbabbbabfababbabbd	170075
cbabbbagaababbabbd	170075
cbabbbfaaababbabbd	170075
cbabbgaaaababbabbd	170075
cbabgbaaaababbabbd	170075
cbagbbaaaababbabbd	170075
cbfabbaaaababbabbd	170075
cgaabbaaaababbabbd	170075
cabaabbaaaababbabbd	170075
cabaabbaaaababbfabd	255113
cabaabbaaaababgaabd	255113
cabaabbaaaabagbaabd	255113
cabaabbaaaabfabaabd	255113
cabaabbaaaagaabaabd	255113
cabaabbaaafaaabaabd	255113
cabaabbaaebaaabaabd	255113
cabaabbaeabaaabaabd	255113
cabaabbeaabaaabaabd	255113
cabaabfbaabaaabaabd	255113
cabaagabaabaaabaabd	255113
cabafaabaabaaabaabd	255113
cabebaabaabaaabaabd	255113
cafbbaabaabaaabaabd	255113
cebbbaabaabaaabaabd	255113
cbbbbaabaabaaabaabd	255113
cbbbbaabaabaaabebd	191335
cbbbbaabaabaaafbbd	191335
cbbbbaabaabaaebbbd	191335
cbbbbaabaabaeabbbd	191335
cbbbbaabaabeaabbbd	191335
cbbbbaabaafbaabbbd	191335
cbbbbaabaebbaabbbd	191335
cbbbbaabeabbaabbbd	191335
cbbbbaafbabbaabbbd	191335
cbbbbaebbabbaabbbd	191335
cbbbbeabbabbaabbbd	191335
cbbbfbabbabbaabbbd	191335
cbbgababbabbaabbbd	191335
cbgbababbabbaabbbd	191335
cgbbababbabbaabbbd	191335
cabbbababbabbaabbbd	191335
cabbbababbabbaagbbd	287003
cabbbababbabbafabbd	287003
cabbbababbabbebabbd	287003
cabbbababbabfbbabbd	287003
cabbbababbagabbabbd	287003
cabbbababbfaabbabbd	287003
cabbbababgaaabbabbd	287003
cabbbabagbaaabbabbd	287003
cabbbabfabaaabbabbd	287003
cabbbagaabaaabbabbd	287003
cabbbfaaabaaabbabbd	287003
cabbgaaaabaaabbabbd	287003
cabgbaaaabaaabbabbd	287003
cagbbaaaabaaabbabbd	287003
cfabbaaaabaaabbabbd	287003
