"Input number 116115219 with intial rewrite term cbabbbababbbbaaabbbaaabaabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 886  Number of array doubles: 0"
Term	Number
cbabbbababbbbaaabbbaaabafabd	174172829
cbabbbababbbbaaabbbaaabebabd	174172829
cbabbbababbbbaaabbbaaafbbabd	174172829
cbabbbababbbbaaabbbaaebbbabd	174172829
cbabbbababbbbaaabbbaeabbbabd	174172829
cbabbbababbbbaaabbbeaabbbabd	174172829
cbabbbababbbbaaabbfbaabbbabd	174172829
cbabbbababbbbaaabgabaabbbabd	174172829
cbabbbababbbbaaagbabaabbbabd	174172829
cbabbbababbbbaafababaabbbabd	174172829
cbabbbababbbbaebababaabbbabd	174172829
cbabbbababbbbeabababaabbbabd	174172829
cbabbbababbbfbabababaabbbabd	174172829
cbabbbababbgababababaabbbabd	174172829
cbabbbababgbababababaabbbabd	174172829
cbabbbabagbbababababaabbbabd	174172829
cbabbbabfabbababababaabbbabd	174172829
cbabbbagaabbababababaabbbabd	174172829
cbabbbfaaabbababababaabbbabd	174172829
cbabbgaaaabbababababaabbbabd	174172829
cbabgbaaaabbababababaabbbabd	174172829
cbagbbaaaabbababababaabbbabd	174172829
cbfabbaaaabbababababaabbbabd	174172829
cgaabbaaaabbababababaabbbabd	174172829
cabaabbaaaabbababababaabbbabd	174172829
cabaabbaaaabbababababaabbgd	65314811
cabaabbaaaabbababababaabgbd	65314811
cabaabbaaaabbababababaagbbd	65314811
cabaabbaaaabbababababafabbd	65314811
cabaabbaaaabbababababebabbd	65314811
cabaabbaaaabbabababafbbabbd	65314811
cabaabbaaaabbabababebbbabbd	65314811
cabaabbaaaabbababafbbbbabbd	65314811
cabaabbaaaabbababebbbbbabbd	65314811
cabaabbaaaabbabafbbbbbbabbd	65314811
cabaabbaaaabbabebbbbbbbabbd	65314811
cabaabbaaaabbafbbbbbbbbabbd	65314811
cabaabbaaaabbebbbbbbbbbabbd	65314811
cabaabbaaaabfbbbbbbbbbbabbd	65314811
cabaabbaaaagabbbbbbbbbbabbd	65314811
cabaabbaaafaabbbbbbbbbbabbd	65314811
cabaabbaaebaabbbbbbbbbbabbd	65314811
cabaabbaeabaabbbbbbbbbbabbd	65314811
cabaabbeaabaabbbbbbbbbbabbd	65314811
cabaabfbaabaabbbbbbbbbbabbd	65314811
cabaagabaabaabbbbbbbbbbabbd	65314811
cabafaabaabaabbbbbbbbbbabbd	65314811
cabebaabaabaabbbbbbbbbbabbd	65314811
cafbbaabaabaabbbbbbbbbbabbd	65314811
cebbbaabaabaabbbbbbbbbbabbd	65314811
cbbbbaabaabaabbbbbbbbbbabbd	65314811
cbbbbaabaabaabbbbbbbbbbfabd	97972217
cbbbbaabaabaabbbbbbbbbgaabd	97972217
cbbbbaabaabaabbbbbbbbgbaabd	97972217
cbbbbaabaabaabbbbbbbgbbaabd	97972217
cbbbbaabaabaabbbbbbgbbbaabd	97972217
cbbbbaabaabaabbbbbgbbbbaabd	97972217
cbbbbaabaabaabbbbgbbbbbaabd	97972217
cbbbbaabaabaabbbgbbbbbbaabd	97972217
cbbbbaabaabaabbgbbbbbbbaabd	97972217
cbbbbaabaabaabgbbbbbbbbaabd	97972217
cbbbbaabaabaagbbbbbbbbbaabd	97972217
cbbbbaabaabafabbbbbbbbbaabd	97972217
cbbbbaabaabebabbbbbbbbbaabd	97972217
cbbbbaabaafbbabbbbbbbbbaabd	97972217
cbbbbaabaebbbabbbbbbbbbaabd	97972217
cbbbbaabeabbbabbbbbbbbbaabd	97972217
cbbbbaafbabbbabbbbbbbbbaabd	97972217
cbbbbaebbabbbabbbbbbbbbaabd	97972217
cbbbbeabbabbbabbbbbbbbbaabd	97972217
cbbbfbabbabbbabbbbbbbbbaabd	97972217
cbbgababbabbbabbbbbbbbbaabd	97972217
cbgbababbabbbabbbbbbbbbaabd	97972217
cgbbababbabbbabbbbbbbbbaabd	97972217
cabbbababbabbbabbbbbbbbbaabd	97972217
cabbbababbabbbabbbbbbbbbebd	73479163
cabbbababbabbbabbbbbbbbfbbd	73479163
cabbbababbabbbabbbbbbbgabbd	73479163
cabbbababbabbbabbbbbbgbabbd	73479163
cabbbababbabbbabbbbbgbbabbd	73479163
cabbbababbabbbabbbbgbbbabbd	73479163
cabbbababbabbbabbbgbbbbabbd	73479163
cabbbababbabbbabbgbbbbbabbd	73479163
cabbbababbabbbabgbbbbbbabbd	73479163
cabbbababbabbbagbbbbbbbabbd	73479163
cabbbababbabbbfabbbbbbbabbd	73479163
cabbbababbabbgaabbbbbbbabbd	73479163
cabbbababbabgbaabbbbbbbabbd	73479163
cabbbababbagbbaabbbbbbbabbd	73479163
cabbbababbfabbaabbbbbbbabbd	73479163
cabbbababgaabbaabbbbbbbabbd	73479163
cabbbabagbaabbaabbbbbbbabbd	73479163
cabbbabfabaabbaabbbbbbbabbd	73479163
cabbbagaabaabbaabbbbbbbabbd	73479163
cabbbfaaabaabbaabbbbbbbabbd	73479163
cabbgaaaabaabbaabbbbbbbabbd	73479163
cabgbaaaabaabbaabbbbbbbabbd	73479163
cagbbaaaabaabbaabbbbbbbabbd	73479163
cfabbaaaabaabbaabbbbbbbabbd	73479163
caaabbaaaabaabbaabbbbbbbabbd	73479163
caaabbaaaabaabbaabbbbbbbfabd	110218745
caaabbaaaabaabbaabbbbbbgaabd	110218745
caaabbaaaabaabbaabbbbbgbaabd	110218745
caaabbaaaabaabbaabbbbgbbaabd	110218745
caaabbaaaabaabbaabbbgbbbaabd	110218745
caaabbaaaabaabbaabbgbbbbaabd	110218745
caaabbaaaabaabbaabgbbbbbaabd	110218745
caaabbaaaabaabbaagbbbbbbaabd	110218745
caaabbaaaabaabbafabbbbbbaabd	110218745
caaabbaaaabaabbebabbbbbbaabd	110218745
caaabbaaaabaabfbbabbbbbbaabd	110218745
caaabbaaaabaagabbabbbbbbaabd	110218745
caaabbaaaabafaabbabbbbbbaabd	110218745
caaabbaaaabebaabbabbbbbbaabd	110218745
caaabbaaaafbbaabbabbbbbbaabd	110218745
caaabbaaaebbbaabbabbbbbbaabd	110218745
caaabbaaeabbbaabbabbbbbbaabd	110218745
caaabbaeaabbbaabbabbbbbbaabd	110218745
caaabbeaaabbbaabbabbbbbbaabd	110218745
caaabfbaaabbbaabbabbbbbbaabd	110218745
caaagabaaabbbaabbabbbbbbaabd	110218745
caafaabaaabbbaabbabbbbbbaabd	110218745
caebaabaaabbbaabbabbbbbbaabd	110218745
ceabaabaaabbbaabbabbbbbbaabd	110218745
cbabaabaaabbbaabbabbbbbbaabd	110218745
cbabaabaaabbbaabbabbbbbbebd	82664059
cbabaabaaabbbaabbabbbbbfbbd	82664059
cbabaabaaabbbaabbabbbbgabbd	82664059
cbabaabaaabbbaabbabbbgbabbd	82664059
cbabaabaaabbbaabbabbgbbabbd	82664059
cbabaabaaabbbaabbabgbbbabbd	82664059
cbabaabaaabbbaabbagbbbbabbd	82664059
cbabaabaaabbbaabbfabbbbabbd	82664059
cbabaabaaabbbaabgaabbbbabbd	82664059
cbabaabaaabbbaagbaabbbbabbd	82664059
cbabaabaaabbbafabaabbbbabbd	82664059
cbabaabaaabbbebabaabbbbabbd	82664059
cbabaabaaabbfbbabaabbbbabbd	82664059
cbabaabaaabgabbabaabbbbabbd	82664059
cbabaabaaagbabbabaabbbbabbd	82664059
cbabaabaafababbabaabbbbabbd	82664059
cbabaabaebababbabaabbbbabbd	82664059
cbabaabeabababbabaabbbbabbd	82664059
cbabaafbabababbabaabbbbabbd	82664059
cbabaebbabababbabaabbbbabbd	82664059
cbabeabbabababbabaabbbbabbd	82664059
cbafbabbabababbabaabbbbabbd	82664059
cbebbabbabababbabaabbbbabbd	82664059
cfbbbabbabababbabaabbbbabbd	82664059
caabbbabbabababbabaabbbbabbd	82664059
caabbbabbabababbabaabbbbfabd	123996089
caabbbabbabababbabaabbbgaabd	123996089
caabbbabbabababbabaabbgbaabd	123996089
caabbbabbabababbabaabgbbaabd	123996089
caabbbabbabababbabaagbbbaabd	123996089
caabbbabbabababbabafabbbaabd	123996089
caabbbabbabababbabebabbbaabd	123996089
caabbbabbabababbafbbabbbaabd	123996089
caabbbabbabababbebbbabbbaabd	123996089
caabbbabbabababfbbbbabbbaabd	123996089
caabbbabbababagabbbbabbbaabd	123996089
caabbbabbababfaabbbbabbbaabd	123996089
caabbbabbabagaaabbbbabbbaabd	123996089
caabbbabbabfaaaabbbbabbbaabd	123996089
caabbbabbagaaaaabbbbabbbaabd	123996089
caabbbabbfaaaaaabbbbabbbaabd	123996089
caabbbabgaaaaaaabbbbabbbaabd	123996089
caabbbagbaaaaaaabbbbabbbaabd	123996089
caabbbfabaaaaaaabbbbabbbaabd	123996089
caabbgaabaaaaaaabbbbabbbaabd	123996089
caabgbaabaaaaaaabbbbabbbaabd	123996089
caagbbaabaaaaaaabbbbabbbaabd	123996089
cafabbaabaaaaaaabbbbabbbaabd	123996089
cebabbaabaaaaaaabbbbabbbaabd	123996089
cbbabbaabaaaaaaabbbbabbbaabd	123996089
cbbabbaabaaaaaaabbbbabbbebd	92997067
cbbabbaabaaaaaaabbbbabbfbbd	92997067
cbbabbaabaaaaaaabbbbabgabbd	92997067
cbbabbaabaaaaaaabbbbagbabbd	92997067
cbbabbaabaaaaaaabbbbfababbd	92997067
cbbabbaabaaaaaaabbbgaababbd	92997067
cbbabbaabaaaaaaabbgbaababbd	92997067
cbbabbaabaaaaaaabgbbaababbd	92997067
cbbabbaabaaaaaaagbbbaababbd	92997067
cbbabbaabaaaaaafabbbaababbd	92997067
cbbabbaabaaaaaebabbbaababbd	92997067
cbbabbaabaaaaeababbbaababbd	92997067
cbbabbaabaaaeaababbbaababbd	92997067
cbbabbaabaaeaaababbbaababbd	92997067
cbbabbaabaeaaaababbbaababbd	92997067
cbbabbaabeaaaaababbbaababbd	92997067
cbbabbaafbaaaaababbbaababbd	92997067
cbbabbaebbaaaaababbbaababbd	92997067
cbbabbeabbaaaaababbbaababbd	92997067
cbbabfbabbaaaaababbbaababbd	92997067
cbbagababbaaaaababbbaababbd	92997067
cbbfaababbaaaaababbbaababbd	92997067
cbgaaababbaaaaababbbaababbd	92997067
cgbaaababbaaaaababbbaababbd	92997067
cabbaaababbaaaaababbbaababbd	92997067
cabbaaababbaaaaababbbaabfabd	139495601
cabbaaababbaaaaababbbaagaabd	139495601
cabbaaababbaaaaababbbafaaabd	139495601
cabbaaababbaaaaababbbebaaabd	139495601
cabbaaababbaaaaababbfbbaaabd	139495601
cabbaaababbaaaaababgabbaaabd	139495601
cabbaaababbaaaaabagbabbaaabd	139495601
cabbaaababbaaaaabfababbaaabd	139495601
cabbaaababbaaaaagaababbaaabd	139495601
cabbaaababbaaaafaaababbaaabd	139495601
cabbaaababbaaaebaaababbaaabd	139495601
cabbaaababbaaeabaaababbaaabd	139495601
cabbaaababbaeaabaaababbaaabd	139495601
cabbaaababbeaaabaaababbaaabd	139495601
cabbaaababfbaaabaaababbaaabd	139495601
cabbaaabagabaaabaaababbaaabd	139495601
cabbaaabfaabaaabaaababbaaabd	139495601
cabbaaagaaabaaabaaababbaaabd	139495601
cabbaafaaaabaaabaaababbaaabd	139495601
cabbaebaaaabaaabaaababbaaabd	139495601
cabbeabaaaabaaabaaababbaaabd	139495601
cabfbabaaaabaaabaaababbaaabd	139495601
cagababaaaabaaabaaababbaaabd	139495601
cfaababaaaabaaabaaababbaaabd	139495601
caaaababaaaabaaabaaababbaaabd	139495601
caaaababaaaabaaabaaababbaebd	104621701
caaaababaaaabaaabaaababbeabd	104621701
caaaababaaaabaaabaaababfbabd	104621701
caaaababaaaabaaabaaabagababd	104621701
caaaababaaaabaaabaaabfaababd	104621701
caaaababaaaabaaabaaagaaababd	104621701
caaaababaaaabaaabaafaaaababd	104621701
caaaababaaaabaaabaebaaaababd	104621701
caaaababaaaabaaabeabaaaababd	104621701
caaaababaaaabaaafbabaaaababd	104621701
caaaababaaaabaaebbabaaaababd	104621701
caaaababaaaabaeabbabaaaababd	104621701
caaaababaaaabeaabbabaaaababd	104621701
caaaababaaaafbaabbabaaaababd	104621701
caaaababaaaebbaabbabaaaababd	104621701
caaaababaaeabbaabbabaaaababd	104621701
caaaababaeaabbaabbabaaaababd	104621701
caaaababeaaabbaabbabaaaababd	104621701
caaaabafbaaabbaabbabaaaababd	104621701
caaaabebbaaabbaabbabaaaababd	104621701
caaaafbbbaaabbaabbabaaaababd	104621701
caaaebbbbaaabbaabbabaaaababd	104621701
caaeabbbbaaabbaabbabaaaababd	104621701
caeaabbbbaaabbaabbabaaaababd	104621701
ceaaabbbbaaabbaabbabaaaababd	104621701
cbaaabbbbaaabbaabbabaaaababd	104621701
cbaaabbbbaaabbaabbabaaaagd	39233138
cbaaabbbbaaabbaabbabaaafad	39233138
cbaaabbbbaaabbaabbabaaebad	39233138
cbaaabbbbaaabbaabbabaeabad	39233138
cbaaabbbbaaabbaabbabeaabad	39233138
cbaaabbbbaaabbaabbafbaabad	39233138
cbaaabbbbaaabbaabbebbaabad	39233138
cbaaabbbbaaabbaabfbbbaabad	39233138
cbaaabbbbaaabbaagabbbaabad	39233138
cbaaabbbbaaabbafaabbbaabad	39233138
cbaaabbbbaaabbebaabbbaabad	39233138
cbaaabbbbaaabfbbaabbbaabad	39233138
cbaaabbbbaaagabbaabbbaabad	39233138
cbaaabbbbaafaabbaabbbaabad	39233138
cbaaabbbbaebaabbaabbbaabad	39233138
cbaaabbbbeabaabbaabbbaabad	39233138
cbaaabbbfbabaabbaabbbaabad	39233138
cbaaabbgababaabbaabbbaabad	39233138
cbaaabgbababaabbaabbbaabad	39233138
cbaaagbbababaabbaabbbaabad	39233138
cbaafabbababaabbaabbbaabad	39233138
cbaebabbababaabbaabbbaabad	39233138
cbeababbababaabbaabbbaabad	39233138
cfbababbababaabbaabbbaabad	39233138
caabababbababaabbaabbbaabad	39233138
caabababbababaabbaabbbaabd	19616569
caabababbababaabbaabbbebd	14712427
caabababbababaabbaabbfbbd	14712427
caabababbababaabbaabgabbd	14712427
caabababbababaabbaagbabbd	14712427
caabababbababaabbafababbd	14712427
caabababbababaabbebababbd	14712427
caabababbababaabfbbababbd	14712427
caabababbababaagabbababbd	14712427
caabababbababafaabbababbd	14712427
caabababbababebaabbababbd	14712427
caabababbabafbbaabbababbd	14712427
caabababbabebbbaabbababbd	14712427
caabababbafbbbbaabbababbd	14712427
caabababbebbbbbaabbababbd	14712427
caabababfbbbbbbaabbababbd	14712427
caababagabbbbbbaabbababbd	14712427
caababfaabbbbbbaabbababbd	14712427
caabagaaabbbbbbaabbababbd	14712427
caabfaaaabbbbbbaabbababbd	14712427
caagaaaaabbbbbbaabbababbd	14712427
cafaaaaaabbbbbbaabbababbd	14712427
cebaaaaaabbbbbbaabbababbd	14712427
cbbaaaaaabbbbbbaabbababbd	14712427
cbbaaaaaabbbbbbaabbabfabd	22068641
cbbaaaaaabbbbbbaabbagaabd	22068641
cbbaaaaaabbbbbbaabbfaaabd	22068641
cbbaaaaaabbbbbbaabgaaaabd	22068641
cbbaaaaaabbbbbbaagbaaaabd	22068641
cbbaaaaaabbbbbbafabaaaabd	22068641
cbbaaaaaabbbbbbebabaaaabd	22068641
cbbaaaaaabbbbbfbbabaaaabd	22068641
cbbaaaaaabbbbgabbabaaaabd	22068641
cbbaaaaaabbbgbabbabaaaabd	22068641
cbbaaaaaabbgbbabbabaaaabd	22068641
cbbaaaaaabgbbbabbabaaaabd	22068641
cbbaaaaaagbbbbabbabaaaabd	22068641
cbbaaaaafabbbbabbabaaaabd	22068641
cbbaaaaebabbbbabbabaaaabd	22068641
cbbaaaeababbbbabbabaaaabd	22068641
cbbaaeaababbbbabbabaaaabd	22068641
cbbaeaaababbbbabbabaaaabd	22068641
cbbeaaaababbbbabbabaaaabd	22068641
cbfbaaaababbbbabbabaaaabd	22068641
cgabaaaababbbbabbabaaaabd	22068641
cababaaaababbbbabbabaaaabd	22068641
cababaaaababbbbabbabaaebd	16551481
cababaaaababbbbabbabaeabd	16551481
cababaaaababbbbabbabeaabd	16551481
cababaaaababbbbabbafbaabd	16551481
cababaaaababbbbabbebbaabd	16551481
cababaaaababbbbabfbbbaabd	16551481
cababaaaababbbbagabbbaabd	16551481
cababaaaababbbbfaabbbaabd	16551481
cababaaaababbbgaaabbbaabd	16551481
cababaaaababbgbaaabbbaabd	16551481
cababaaaababgbbaaabbbaabd	16551481
cababaaaabagbbbaaabbbaabd	16551481
cababaaaabfabbbaaabbbaabd	16551481
cababaaaagaabbbaaabbbaabd	16551481
cababaaafaaabbbaaabbbaabd	16551481
cababaaebaaabbbaaabbbaabd	16551481
cababaeabaaabbbaaabbbaabd	16551481
cababeaabaaabbbaaabbbaabd	16551481
cabafbaabaaabbbaaabbbaabd	16551481
cabebbaabaaabbbaaabbbaabd	16551481
cafbbbaabaaabbbaaabbbaabd	16551481
cebbbbaabaaabbbaaabbbaabd	16551481
cbbbbbaabaaabbbaaabbbaabd	16551481
cbbbbbaabaaabbbaaabbbebd	12413611
cbbbbbaabaaabbbaaabbfbbd	12413611
cbbbbbaabaaabbbaaabgabbd	12413611
cbbbbbaabaaabbbaaagbabbd	12413611
cbbbbbaabaaabbbaafababbd	12413611
cbbbbbaabaaabbbaebababbd	12413611
cbbbbbaabaaabbbeabababbd	12413611
cbbbbbaabaaabbfbabababbd	12413611
cbbbbbaabaaabgababababbd	12413611
cbbbbbaabaaagbababababbd	12413611
cbbbbbaabaafabababababbd	12413611
cbbbbbaabaebabababababbd	12413611
cbbbbbaabeababababababbd	12413611
cbbbbbaafbababababababbd	12413611
cbbbbbaebbababababababbd	12413611
cbbbbbeabbababababababbd	12413611
cbbbbfbabbababababababbd	12413611
cbbbgababbababababababbd	12413611
cbbgbababbababababababbd	12413611
cbgbbababbababababababbd	12413611
cgbbbababbababababababbd	12413611
cabbbbababbababababababbd	12413611
cabbbbababbabababababfabd	18620417
cabbbbababbababababagaabd	18620417
cabbbbababbababababfaaabd	18620417
cabbbbababbabababagaaaabd	18620417
cabbbbababbabababfaaaaabd	18620417
cabbbbababbababagaaaaaabd	18620417
cabbbbababbababfaaaaaaabd	18620417
cabbbbababbabagaaaaaaaabd	18620417
cabbbbababbabfaaaaaaaaabd	18620417
cabbbbababbagaaaaaaaaaabd	18620417
cabbbbababbfaaaaaaaaaaabd	18620417
cabbbbababgaaaaaaaaaaaabd	18620417
cabbbbabagbaaaaaaaaaaaabd	18620417
cabbbbabfabaaaaaaaaaaaabd	18620417
cabbbbagaabaaaaaaaaaaaabd	18620417
cabbbbfaaabaaaaaaaaaaaabd	18620417
cabbbgaaaabaaaaaaaaaaaabd	18620417
cabbgbaaaabaaaaaaaaaaaabd	18620417
cabgbbaaaabaaaaaaaaaaaabd	18620417
cagbbbaaaabaaaaaaaaaaaabd	18620417
cfabbbaaaabaaaaaaaaaaaabd	18620417
caaabbbaaaabaaaaaaaaaaaabd	18620417
caaabbbaaaabaaaaaaaaaaebd	13965313
caaabbbaaaabaaaaaaaaaeabd	13965313
caaabbbaaaabaaaaaaaaeaabd	13965313
caaabbbaaaabaaaaaaaeaaabd	13965313
caaabbbaaaabaaaaaaeaaaabd	13965313
caaabbbaaaabaaaaaeaaaaabd	13965313
caaabbbaaaabaaaaeaaaaaabd	13965313
caaabbbaaaabaaaeaaaaaaabd	13965313
caaabbbaaaabaaeaaaaaaaabd	13965313
caaabbbaaaabaeaaaaaaaaabd	13965313
caaabbbaaaabeaaaaaaaaaabd	13965313
caaabbbaaaafbaaaaaaaaaabd	13965313
caaabbbaaaebbaaaaaaaaaabd	13965313
caaabbbaaeabbaaaaaaaaaabd	13965313
caaabbbaeaabbaaaaaaaaaabd	13965313
caaabbbeaaabbaaaaaaaaaabd	13965313
caaabbfbaaabbaaaaaaaaaabd	13965313
caaabgabaaabbaaaaaaaaaabd	13965313
caaagbabaaabbaaaaaaaaaabd	13965313
caafababaaabbaaaaaaaaaabd	13965313
caebababaaabbaaaaaaaaaabd	13965313
ceabababaaabbaaaaaaaaaabd	13965313
cbabababaaabbaaaaaaaaaabd	13965313
cbabababaaabbaaaaaaaaebd	10473985
cbabababaaabbaaaaaaaeabd	10473985
cbabababaaabbaaaaaaeaabd	10473985
cbabababaaabbaaaaaeaaabd	10473985
cbabababaaabbaaaaeaaaabd	10473985
cbabababaaabbaaaeaaaaabd	10473985
cbabababaaabbaaeaaaaaabd	10473985
cbabababaaabbaeaaaaaaabd	10473985
cbabababaaabbeaaaaaaaabd	10473985
cbabababaaabfbaaaaaaaabd	10473985
cbabababaaagabaaaaaaaabd	10473985
cbabababaafaabaaaaaaaabd	10473985
cbabababaebaabaaaaaaaabd	10473985
cbabababeabaabaaaaaaaabd	10473985
cbababafbabaabaaaaaaaabd	10473985
cbababebbabaabaaaaaaaabd	10473985
cbabafbbbabaabaaaaaaaabd	10473985
