"Input number 12351 with intial rewrite term cbaaaaaabbbbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 481  Number of array doubles: 0"
Term	Number
cbaaaaaabbbgbbd	18527
cbaaaaaabbgbbbd	18527
cbaaaaaabgbbbbd	18527
cbaaaaaagbbbbbd	18527
cbaaaaafabbbbbd	18527
cbaaaaebabbbbbd	18527
cbaaaeababbbbbd	18527
cbaaeaababbbbbd	18527
cbaeaaababbbbbd	18527
cbeaaaababbbbbd	18527
cfbaaaababbbbbd	18527
caabaaaababbbbbd	18527
caabaaaababbgbbd	27791
caabaaaababgbbbd	27791
caabaaaabagbbbbd	27791
caabaaaabfabbbbd	27791
caabaaaagaabbbbd	27791
caabaaafaaabbbbd	27791
caabaaebaaabbbbd	27791
caabaeabaaabbbbd	27791
caabeaabaaabbbbd	27791
caafbaabaaabbbbd	27791
caebbaabaaabbbbd	27791
ceabbaabaaabbbbd	27791
cbabbaabaaabbbbd	27791
cbabbaabaaabgbbd	41687
cbabbaabaaagbbbd	41687
cbabbaabaafabbbd	41687
cbabbaabaebabbbd	41687
cbabbaabeababbbd	41687
cbabbaafbababbbd	41687
cbabbaebbababbbd	41687
cbabbeabbababbbd	41687
cbabfbabbababbbd	41687
cbagababbababbbd	41687
cbfaababbababbbd	41687
cgaaababbababbbd	41687
cabaaababbababbbd	41687
cabaaababbabagbbd	62531
cabaaababbabfabbd	62531
cabaaababbagaabbd	62531
cabaaababbfaaabbd	62531
cabaaababgaaaabbd	62531
cabaaabagbaaaabbd	62531
cabaaabfabaaaabbd	62531
cabaaagaabaaaabbd	62531
cabaafaaabaaaabbd	62531
cabaebaaabaaaabbd	62531
cabeabaaabaaaabbd	62531
cafbabaaabaaaabbd	62531
cebbabaaabaaaabbd	62531
cbbbabaaabaaaabbd	62531
cbbbabaaabaaafabd	93797
cbbbabaaabaaebabd	93797
cbbbabaaabaeababd	93797
cbbbabaaabeaababd	93797
cbbbabaaafbaababd	93797
cbbbabaaebbaababd	93797
cbbbabaeabbaababd	93797
cbbbabeaabbaababd	93797
cbbbafbaabbaababd	93797
cbbbebbaabbaababd	93797
cbbfbbbaabbaababd	93797
cbgabbbaabbaababd	93797
cgbabbbaabbaababd	93797
cabbabbbaabbaababd	93797
cabbabbbaabbaagd	35174
cabbabbbaabbafad	35174
cabbabbbaabbebad	35174
cabbabbbaabfbbad	35174
cabbabbbaagabbad	35174
cabbabbbafaabbad	35174
cabbabbbebaabbad	35174
cabbabbfbbaabbad	35174
cabbabgabbaabbad	35174
cabbagbabbaabbad	35174
cabbfababbaabbad	35174
cabgaababbaabbad	35174
cagbaababbaabbad	35174
cfabaababbaabbad	35174
caaabaababbaabbad	35174
caaabaababbaabbd	17587
caaabaababbafabd	26381
caaabaababbebabd	26381
caaabaababfbbabd	26381
caaabaabagabbabd	26381
caaabaabfaabbabd	26381
caaabaagaaabbabd	26381
caaabafaaaabbabd	26381
caaabebaaaabbabd	26381
caaafbbaaaabbabd	26381
caaebbbaaaabbabd	26381
caeabbbaaaabbabd	26381
ceaabbbaaaabbabd	26381
cbaabbbaaaabbabd	26381
cbaabbbaaaabgd	9893
cbaabbbaaaagbd	9893
cbaabbbaaafabd	9893
cbaabbbaaebabd	9893
cbaabbbaeababd	9893
cbaabbbeaababd	9893
cbaabbfbaababd	9893
cbaabgabaababd	9893
cbaagbabaababd	9893
cbafababaababd	9893
cbebababaababd	9893
cfbbababaababd	9893
caabbababaababd	9893
caabbababaagd	3710
caabbababafad	3710
caabbababebad	3710
caabbabafbbad	3710
caabbabebbbad	3710
caabbafbbbbad	3710
caabbebbbbbad	3710
caabfbbbbbbad	3710
caagabbbbbbad	3710
cafaabbbbbbad	3710
cebaabbbbbbad	3710
cbbaabbbbbbad	3710
cbbaabbbbbbd	1855
cbbaabbbgbbd	2783
cbbaabbgbbbd	2783
cbbaabgbbbbd	2783
cbbaagbbbbbd	2783
cbbafabbbbbd	2783
cbbebabbbbbd	2783
cbfbbabbbbbd	2783
cgabbabbbbbd	2783
cababbabbbbbd	2783
cababbabbgbbd	4175
cababbabgbbbd	4175
cababbagbbbbd	4175
cababbfabbbbd	4175
cababgaabbbbd	4175
cabagbaabbbbd	4175
cabfabaabbbbd	4175
cagaabaabbbbd	4175
cfaaabaabbbbd	4175
caaaaabaabbbbd	4175
caaaaabaabgbbd	6263
caaaaabaagbbbd	6263
caaaaabafabbbd	6263
caaaaabebabbbd	6263
caaaaafbbabbbd	6263
caaaaebbbabbbd	6263
caaaeabbbabbbd	6263
caaeaabbbabbbd	6263
caeaaabbbabbbd	6263
ceaaaabbbabbbd	6263
cbaaaabbbabbbd	6263
cbaaaabbbagbbd	9395
cbaaaabbbfabbd	9395
cbaaaabbgaabbd	9395
cbaaaabgbaabbd	9395
cbaaaagbbaabbd	9395
cbaaafabbaabbd	9395
cbaaebabbaabbd	9395
