"Input number 127143 with intial rewrite term cbbbbaaaababaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 999  Number of array doubles: 1"
Term	Number
cbbbbaaaababaagbbd	190715
cbbbbaaaababafabbd	190715
cbbbbaaaababebabbd	190715
cbbbbaaaabafbbabbd	190715
cbbbbaaaabebbbabbd	190715
cbbbbaaaafbbbbabbd	190715
cbbbbaaaebbbbbabbd	190715
cbbbbaaeabbbbbabbd	190715
cbbbbaeaabbbbbabbd	190715
cbbbbeaaabbbbbabbd	190715
cbbbfbaaabbbbbabbd	190715
cbbgabaaabbbbbabbd	190715
cbgbabaaabbbbbabbd	190715
cgbbabaaabbbbbabbd	190715
cabbbabaaabbbbbabbd	190715
cabbbabaaabbbbbfabd	286073
cabbbabaaabbbbgaabd	286073
cabbbabaaabbbgbaabd	286073
cabbbabaaabbgbbaabd	286073
cabbbabaaabgbbbaabd	286073
cabbbabaaagbbbbaabd	286073
cabbbabaafabbbbaabd	286073
cabbbabaebabbbbaabd	286073
cabbbabeababbbbaabd	286073
cabbbafbababbbbaabd	286073
cabbbebbababbbbaabd	286073
cabbfbbbababbbbaabd	286073
cabgabbbababbbbaabd	286073
cagbabbbababbbbaabd	286073
cfababbbababbbbaabd	286073
caaababbbababbbbaabd	286073
caaababbbababbbbebd	214555
caaababbbababbbfbbd	214555
caaababbbababbgabbd	214555
caaababbbababgbabbd	214555
caaababbbabagbbabbd	214555
caaababbbabfabbabbd	214555
caaababbbagaabbabbd	214555
caaababbbfaaabbabbd	214555
caaababbgaaaabbabbd	214555
caaababgbaaaabbabbd	214555
caaabagbbaaaabbabbd	214555
caaabfabbaaaabbabbd	214555
caaagaabbaaaabbabbd	214555
caafaaabbaaaabbabbd	214555
caebaaabbaaaabbabbd	214555
ceabaaabbaaaabbabbd	214555
cbabaaabbaaaabbabbd	214555
cbabaaabbaaaabbfabd	321833
cbabaaabbaaaabgaabd	321833
cbabaaabbaaaagbaabd	321833
cbabaaabbaaafabaabd	321833
cbabaaabbaaebabaabd	321833
cbabaaabbaeababaabd	321833
cbabaaabbeaababaabd	321833
cbabaaabfbaababaabd	321833
cbabaaagabaababaabd	321833
cbabaafaabaababaabd	321833
cbabaebaabaababaabd	321833
cbabeabaabaababaabd	321833
cbafbabaabaababaabd	321833
cbebbabaabaababaabd	321833
cfbbbabaabaababaabd	321833
caabbbabaabaababaabd	321833
caabbbabaabaababebd	241375
caabbbabaabaabafbbd	241375
caabbbabaabaabebbbd	241375
caabbbabaabaafbbbbd	241375
caabbbabaabaebbbbbd	241375
caabbbabaabeabbbbbd	241375
caabbbabaafbabbbbbd	241375
caabbbabaebbabbbbbd	241375
caabbbabeabbabbbbbd	241375
caabbbafbabbabbbbbd	241375
caabbbebbabbabbbbbd	241375
caabbfbbbabbabbbbbd	241375
caabgabbbabbabbbbbd	241375
caagbabbbabbabbbbbd	241375
cafababbbabbabbbbbd	241375
cebababbbabbabbbbbd	241375
cbbababbbabbabbbbbd	241375
cbbababbbabbabbgbbd	362063
cbbababbbabbabgbbbd	362063
cbbababbbabbagbbbbd	362063
cbbababbbabbfabbbbd	362063
cbbababbbabgaabbbbd	362063
cbbababbbagbaabbbbd	362063
cbbababbbfabaabbbbd	362063
cbbababbgaabaabbbbd	362063
cbbababgbaabaabbbbd	362063
cbbabagbbaabaabbbbd	362063
cbbabfabbaabaabbbbd	362063
cbbagaabbaabaabbbbd	362063
cbbfaaabbaabaabbbbd	362063
cbgaaaabbaabaabbbbd	362063
cgbaaaabbaabaabbbbd	362063
cabbaaaabbaabaabbbbd	362063
cabbaaaabbaabaabgbbd	543095
cabbaaaabbaabaagbbbd	543095
cabbaaaabbaabafabbbd	543095
cabbaaaabbaabebabbbd	543095
cabbaaaabbaafbbabbbd	543095
cabbaaaabbaebbbabbbd	543095
cabbaaaabbeabbbabbbd	543095
cabbaaaabfbabbbabbbd	543095
cabbaaaagababbbabbbd	543095
cabbaaafaababbbabbbd	543095
cabbaaebaababbbabbbd	543095
cabbaeabaababbbabbbd	543095
cabbeaabaababbbabbbd	543095
cabfbaabaababbbabbbd	543095
cagabaabaababbbabbbd	543095
cfaabaabaababbbabbbd	543095
caaaabaabaababbbabbbd	543095
caaaabaabaababbbagbbd	814643
caaaabaabaababbbfabbd	814643
caaaabaabaababbgaabbd	814643
caaaabaabaababgbaabbd	814643
caaaabaabaabagbbaabbd	814643
caaaabaabaabfabbaabbd	814643
caaaabaabaagaabbaabbd	814643
caaaabaabafaaabbaabbd	814643
caaaabaabebaaabbaabbd	814643
caaaabaafbbaaabbaabbd	814643
caaaabaebbbaaabbaabbd	814643
caaaabeabbbaaabbaabbd	814643
caaaafbabbbaaabbaabbd	814643
caaaebbabbbaaabbaabbd	814643
caaeabbabbbaaabbaabbd	814643
caeaabbabbbaaabbaabbd	814643
ceaaabbabbbaaabbaabbd	814643
cbaaabbabbbaaabbaabbd	814643
cbaaabbabbbaaabbafabd	1221965
cbaaabbabbbaaabbebabd	1221965
cbaaabbabbbaaabfbbabd	1221965
cbaaabbabbbaaagabbabd	1221965
cbaaabbabbbaafaabbabd	1221965
cbaaabbabbbaebaabbabd	1221965
cbaaabbabbbeabaabbabd	1221965
cbaaabbabbfbabaabbabd	1221965
cbaaabbabgababaabbabd	1221965
cbaaabbagbababaabbabd	1221965
cbaaabbfabababaabbabd	1221965
cbaaabgaabababaabbabd	1221965
cbaaagbaabababaabbabd	1221965
cbaafabaabababaabbabd	1221965
cbaebabaabababaabbabd	1221965
cbeababaabababaabbabd	1221965
cfbababaabababaabbabd	1221965
caabababaabababaabbabd	1221965
caabababaabababaabgd	458237
caabababaabababaagbd	458237
caabababaabababafabd	458237
caabababaabababebabd	458237
caabababaababafbbabd	458237
caabababaababebbbabd	458237
caabababaabafbbbbabd	458237
caabababaabebbbbbabd	458237
caabababaafbbbbbbabd	458237
caabababaebbbbbbbabd	458237
caabababeabbbbbbbabd	458237
caababafbabbbbbbbabd	458237
caababebbabbbbbbbabd	458237
caabafbbbabbbbbbbabd	458237
caabebbbbabbbbbbbabd	458237
caafbbbbbabbbbbbbabd	458237
caebbbbbbabbbbbbbabd	458237
ceabbbbbbabbbbbbbabd	458237
cbabbbbbbabbbbbbbabd	458237
cbabbbbbbabbbbbbgd	171839
cbabbbbbbabbbbbgbd	171839
cbabbbbbbabbbbgbbd	171839
cbabbbbbbabbbgbbbd	171839
cbabbbbbbabbgbbbbd	171839
cbabbbbbbabgbbbbbd	171839
cbabbbbbbagbbbbbbd	171839
cbabbbbbbfabbbbbbd	171839
cbabbbbbgaabbbbbbd	171839
cbabbbbgbaabbbbbbd	171839
cbabbbgbbaabbbbbbd	171839
cbabbgbbbaabbbbbbd	171839
cbabgbbbbaabbbbbbd	171839
cbagbbbbbaabbbbbbd	171839
cbfabbbbbaabbbbbbd	171839
cgaabbbbbaabbbbbbd	171839
cabaabbbbbaabbbbbbd	171839
cabaabbbbbaabbbgbbd	257759
cabaabbbbbaabbgbbbd	257759
cabaabbbbbaabgbbbbd	257759
cabaabbbbbaagbbbbbd	257759
cabaabbbbbafabbbbbd	257759
cabaabbbbbebabbbbbd	257759
cabaabbbbfbbabbbbbd	257759
cabaabbbgabbabbbbbd	257759
cabaabbgbabbabbbbbd	257759
cabaabgbbabbabbbbbd	257759
cabaagbbbabbabbbbbd	257759
cabafabbbabbabbbbbd	257759
cabebabbbabbabbbbbd	257759
cafbbabbbabbabbbbbd	257759
cebbbabbbabbabbbbbd	257759
cbbbbabbbabbabbbbbd	257759
cbbbbabbbabbabbgbbd	386639
cbbbbabbbabbabgbbbd	386639
cbbbbabbbabbagbbbbd	386639
cbbbbabbbabbfabbbbd	386639
cbbbbabbbabgaabbbbd	386639
cbbbbabbbagbaabbbbd	386639
cbbbbabbbfabaabbbbd	386639
cbbbbabbgaabaabbbbd	386639
cbbbbabgbaabaabbbbd	386639
cbbbbagbbaabaabbbbd	386639
cbbbbfabbaabaabbbbd	386639
cbbbgaabbaabaabbbbd	386639
cbbgbaabbaabaabbbbd	386639
cbgbbaabbaabaabbbbd	386639
cgbbbaabbaabaabbbbd	386639
cabbbbaabbaabaabbbbd	386639
cabbbbaabbaabaabgbbd	579959
cabbbbaabbaabaagbbbd	579959
cabbbbaabbaabafabbbd	579959
cabbbbaabbaabebabbbd	579959
cabbbbaabbaafbbabbbd	579959
cabbbbaabbaebbbabbbd	579959
cabbbbaabbeabbbabbbd	579959
cabbbbaabfbabbbabbbd	579959
cabbbbaagababbbabbbd	579959
cabbbbafaababbbabbbd	579959
cabbbbebaababbbabbbd	579959
cabbbfbbaababbbabbbd	579959
cabbgabbaababbbabbbd	579959
cabgbabbaababbbabbbd	579959
cagbbabbaababbbabbbd	579959
cfabbabbaababbbabbbd	579959
caaabbabbaababbbabbbd	579959
caaabbabbaababbbagbbd	869939
caaabbabbaababbbfabbd	869939
caaabbabbaababbgaabbd	869939
caaabbabbaababgbaabbd	869939
caaabbabbaabagbbaabbd	869939
caaabbabbaabfabbaabbd	869939
caaabbabbaagaabbaabbd	869939
caaabbabbafaaabbaabbd	869939
caaabbabbebaaabbaabbd	869939
caaabbabfbbaaabbaabbd	869939
caaabbagabbaaabbaabbd	869939
caaabbfaabbaaabbaabbd	869939
caaabgaaabbaaabbaabbd	869939
caaagbaaabbaaabbaabbd	869939
caafabaaabbaaabbaabbd	869939
caebabaaabbaaabbaabbd	869939
ceababaaabbaaabbaabbd	869939
cbababaaabbaaabbaabbd	869939
cbababaaabbaaabbafabd	1304909
cbababaaabbaaabbebabd	1304909
cbababaaabbaaabfbbabd	1304909
cbababaaabbaaagabbabd	1304909
cbababaaabbaafaabbabd	1304909
cbababaaabbaebaabbabd	1304909
cbababaaabbeabaabbabd	1304909
cbababaaabfbabaabbabd	1304909
cbababaaagababaabbabd	1304909
cbababaafaababaabbabd	1304909
cbababaebaababaabbabd	1304909
cbababeabaababaabbabd	1304909
cbabafbabaababaabbabd	1304909
cbabebbabaababaabbabd	1304909
cbafbbbabaababaabbabd	1304909
cbebbbbabaababaabbabd	1304909
cfbbbbbabaababaabbabd	1304909
caabbbbbabaababaabbabd	1304909
caabbbbbabaababaabgd	489341
caabbbbbabaababaagbd	489341
caabbbbbabaababafabd	489341
caabbbbbabaababebabd	489341
caabbbbbabaabafbbabd	489341
caabbbbbabaabebbbabd	489341
caabbbbbabaafbbbbabd	489341
caabbbbbabaebbbbbabd	489341
caabbbbbabeabbbbbabd	489341
caabbbbbafbabbbbbabd	489341
caabbbbbebbabbbbbabd	489341
caabbbbfbbbabbbbbabd	489341
caabbbgabbbabbbbbabd	489341
caabbgbabbbabbbbbabd	489341
caabgbbabbbabbbbbabd	489341
caagbbbabbbabbbbbabd	489341
cafabbbabbbabbbbbabd	489341
cebabbbabbbabbbbbabd	489341
cbbabbbabbbabbbbbabd	489341
cbbabbbabbbabbbbgd	183503
cbbabbbabbbabbbgbd	183503
