"Input number 1665 with intial rewrite term cbabaaaaaabd
Generated final number 5 with final rewrite term cabd
Number of steps: 680  Number of array doubles: 1"
Term	Number
cbabaaaaebd	1249
cbabaaaeabd	1249
cbabaaeaabd	1249
cbabaeaaabd	1249
cbabeaaaabd	1249
cbafbaaaabd	1249
cbebbaaaabd	1249
cfbbbaaaabd	1249
caabbbaaaabd	1249
caabbbaaebd	937
caabbbaeabd	937
caabbbeaabd	937
caabbfbaabd	937
caabgabaabd	937
caagbabaabd	937
cafababaabd	937
cebababaabd	937
cbbababaabd	937
cbbababebd	703
cbbabafbbd	703
cbbabebbbd	703
cbbafbbbbd	703
cbbebbbbbd	703
cbfbbbbbbd	703
cgabbbbbbd	703
cababbbbbbd	703
cababbbgbbd	1055
cababbgbbbd	1055
cababgbbbbd	1055
cabagbbbbbd	1055
cabfabbbbbd	1055
cagaabbbbbd	1055
cfaaabbbbbd	1055
caaaaabbbbbd	1055
caaaaabbgbbd	1583
caaaaabgbbbd	1583
caaaaagbbbbd	1583
caaaafabbbbd	1583
caaaebabbbbd	1583
caaeababbbbd	1583
caeaababbbbd	1583
ceaaababbbbd	1583
cbaaababbbbd	1583
cbaaababgbbd	2375
cbaaabagbbbd	2375
cbaaabfabbbd	2375
cbaaagaabbbd	2375
cbaafaaabbbd	2375
cbaebaaabbbd	2375
cbeabaaabbbd	2375
cfbabaaabbbd	2375
caababaaabbbd	2375
caababaaagbbd	3563
caababaafabbd	3563
caababaebabbd	3563
caababeababbd	3563
caabafbababbd	3563
caabebbababbd	3563
caafbbbababbd	3563
caebbbbababbd	3563
ceabbbbababbd	3563
cbabbbbababbd	3563
cbabbbbabfabd	5345
cbabbbbagaabd	5345
cbabbbbfaaabd	5345
cbabbbgaaaabd	5345
cbabbgbaaaabd	5345
cbabgbbaaaabd	5345
cbagbbbaaaabd	5345
cbfabbbaaaabd	5345
cgaabbbaaaabd	5345
cabaabbbaaaabd	5345
cabaabbbaaebd	4009
cabaabbbaeabd	4009
cabaabbbeaabd	4009
cabaabbfbaabd	4009
cabaabgabaabd	4009
cabaagbabaabd	4009
cabafababaabd	4009
cabebababaabd	4009
cafbbababaabd	4009
cebbbababaabd	4009
cbbbbababaabd	4009
cbbbbababebd	3007
cbbbbabafbbd	3007
cbbbbabebbbd	3007
cbbbbafbbbbd	3007
cbbbbebbbbbd	3007
cbbbfbbbbbbd	3007
cbbgabbbbbbd	3007
cbgbabbbbbbd	3007
cgbbabbbbbbd	3007
cabbbabbbbbbd	3007
cabbbabbbgbbd	4511
cabbbabbgbbbd	4511
cabbbabgbbbbd	4511
cabbbagbbbbbd	4511
cabbbfabbbbbd	4511
cabbgaabbbbbd	4511
cabgbaabbbbbd	4511
cagbbaabbbbbd	4511
cfabbaabbbbbd	4511
caaabbaabbbbbd	4511
caaabbaabbgbbd	6767
caaabbaabgbbbd	6767
caaabbaagbbbbd	6767
caaabbafabbbbd	6767
caaabbebabbbbd	6767
caaabfbbabbbbd	6767
caaagabbabbbbd	6767
caafaabbabbbbd	6767
caebaabbabbbbd	6767
ceabaabbabbbbd	6767
cbabaabbabbbbd	6767
cbabaabbabgbbd	10151
cbabaabbagbbbd	10151
cbabaabbfabbbd	10151
cbabaabgaabbbd	10151
cbabaagbaabbbd	10151
cbabafabaabbbd	10151
cbabebabaabbbd	10151
cbafbbabaabbbd	10151
cbebbbabaabbbd	10151
cfbbbbabaabbbd	10151
caabbbbabaabbbd	10151
caabbbbabaagbbd	15227
caabbbbabafabbd	15227
caabbbbabebabbd	15227
caabbbbafbbabbd	15227
caabbbbebbbabbd	15227
caabbbfbbbbabbd	15227
caabbgabbbbabbd	15227
caabgbabbbbabbd	15227
caagbbabbbbabbd	15227
cafabbabbbbabbd	15227
cebabbabbbbabbd	15227
cbbabbabbbbabbd	15227
cbbabbabbbbfabd	22841
cbbabbabbbgaabd	22841
cbbabbabbgbaabd	22841
cbbabbabgbbaabd	22841
cbbabbagbbbaabd	22841
cbbabbfabbbaabd	22841
cbbabgaabbbaabd	22841
cbbagbaabbbaabd	22841
cbbfabaabbbaabd	22841
cbgaabaabbbaabd	22841
cgbaabaabbbaabd	22841
cabbaabaabbbaabd	22841
cabbaabaabbbebd	17131
cabbaabaabbfbbd	17131
cabbaabaabgabbd	17131
cabbaabaagbabbd	17131
cabbaabafababbd	17131
cabbaabebababbd	17131
cabbaafbbababbd	17131
cabbaebbbababbd	17131
cabbeabbbababbd	17131
cabfbabbbababbd	17131
cagababbbababbd	17131
cfaababbbababbd	17131
caaaababbbababbd	17131
caaaababbbabfabd	25697
caaaababbbagaabd	25697
caaaababbbfaaabd	25697
caaaababbgaaaabd	25697
caaaababgbaaaabd	25697
caaaabagbbaaaabd	25697
caaaabfabbaaaabd	25697
caaaagaabbaaaabd	25697
caaafaaabbaaaabd	25697
caaebaaabbaaaabd	25697
caeabaaabbaaaabd	25697
ceaabaaabbaaaabd	25697
cbaabaaabbaaaabd	25697
cbaabaaabbaaebd	19273
cbaabaaabbaeabd	19273
cbaabaaabbeaabd	19273
cbaabaaabfbaabd	19273
cbaabaaagabaabd	19273
cbaabaafaabaabd	19273
cbaabaebaabaabd	19273
cbaabeabaabaabd	19273
cbaafbabaabaabd	19273
cbaebbabaabaabd	19273
cbeabbabaabaabd	19273
cfbabbabaabaabd	19273
caababbabaabaabd	19273
caababbabaabebd	14455
caababbabaafbbd	14455
caababbabaebbbd	14455
caababbabeabbbd	14455
caababbafbabbbd	14455
caababbebbabbbd	14455
caababfbbbabbbd	14455
caabagabbbabbbd	14455
caabfaabbbabbbd	14455
caagaaabbbabbbd	14455
cafaaaabbbabbbd	14455
cebaaaabbbabbbd	14455
cbbaaaabbbabbbd	14455
cbbaaaabbbagbbd	21683
cbbaaaabbbfabbd	21683
cbbaaaabbgaabbd	21683
cbbaaaabgbaabbd	21683
cbbaaaagbbaabbd	21683
cbbaaafabbaabbd	21683
cbbaaebabbaabbd	21683
cbbaeababbaabbd	21683
cbbeaababbaabbd	21683
cbfbaababbaabbd	21683
cgabaababbaabbd	21683
cababaababbaabbd	21683
cababaababbafabd	32525
cababaababbebabd	32525
cababaababfbbabd	32525
cababaabagabbabd	32525
cababaabfaabbabd	32525
cababaagaaabbabd	32525
cababafaaaabbabd	32525
cababebaaaabbabd	32525
cabafbbaaaabbabd	32525
cabebbbaaaabbabd	32525
cafbbbbaaaabbabd	32525
cebbbbbaaaabbabd	32525
cbbbbbbaaaabbabd	32525
cbbbbbbaaaabgd	12197
cbbbbbbaaaagbd	12197
cbbbbbbaaafabd	12197
cbbbbbbaaebabd	12197
cbbbbbbaeababd	12197
cbbbbbbeaababd	12197
cbbbbbfbaababd	12197
cbbbbgabaababd	12197
cbbbgbabaababd	12197
cbbgbbabaababd	12197
cbgbbbabaababd	12197
cgbbbbabaababd	12197
cabbbbbabaababd	12197
cabbbbbabaagd	4574
cabbbbbabafad	4574
cabbbbbabebad	4574
cabbbbbafbbad	4574
cabbbbbebbbad	4574
cabbbbfbbbbad	4574
cabbbgabbbbad	4574
cabbgbabbbbad	4574
cabgbbabbbbad	4574
cagbbbabbbbad	4574
cfabbbabbbbad	4574
caaabbbabbbbad	4574
caaabbbabbbbd	2287
caaabbbabgbbd	3431
caaabbbagbbbd	3431
caaabbbfabbbd	3431
caaabbgaabbbd	3431
caaabgbaabbbd	3431
caaagbbaabbbd	3431
caafabbaabbbd	3431
caebabbaabbbd	3431
ceababbaabbbd	3431
cbababbaabbbd	3431
cbababbaagbbd	5147
cbababbafabbd	5147
cbababbebabbd	5147
cbababfbbabbd	5147
cbabagabbabbd	5147
cbabfaabbabbd	5147
cbagaaabbabbd	5147
cbfaaaabbabbd	5147
cgaaaaabbabbd	5147
cabaaaaabbabbd	5147
cabaaaaabbfabd	7721
cabaaaaabgaabd	7721
cabaaaaagbaabd	7721
cabaaaafabaabd	7721
cabaaaebabaabd	7721
cabaaeababaabd	7721
cabaeaababaabd	7721
cabeaaababaabd	7721
cafbaaababaabd	7721
cebbaaababaabd	7721
cbbbaaababaabd	7721
cbbbaaababebd	5791
cbbbaaabafbbd	5791
cbbbaaabebbbd	5791
cbbbaaafbbbbd	5791
cbbbaaebbbbbd	5791
cbbbaeabbbbbd	5791
cbbbeaabbbbbd	5791
cbbfbaabbbbbd	5791
cbgabaabbbbbd	5791
cgbabaabbbbbd	5791
cabbabaabbbbbd	5791
cabbabaabbgbbd	8687
cabbabaabgbbbd	8687
cabbabaagbbbbd	8687
cabbabafabbbbd	8687
cabbabebabbbbd	8687
cabbafbbabbbbd	8687
cabbebbbabbbbd	8687
cabfbbbbabbbbd	8687
cagabbbbabbbbd	8687
cfaabbbbabbbbd	8687
caaaabbbbabbbbd	8687
caaaabbbbabgbbd	13031
caaaabbbbagbbbd	13031
caaaabbbbfabbbd	13031
caaaabbbgaabbbd	13031
caaaabbgbaabbbd	13031
caaaabgbbaabbbd	13031
caaaagbbbaabbbd	13031
caaafabbbaabbbd	13031
caaebabbbaabbbd	13031
caeababbbaabbbd	13031
ceaababbbaabbbd	13031
cbaababbbaabbbd	13031
cbaababbbaagbbd	19547
cbaababbbafabbd	19547
cbaababbbebabbd	19547
cbaababbfbbabbd	19547
cbaababgabbabbd	19547
cbaabagbabbabbd	19547
cbaabfababbabbd	19547
cbaagaababbabbd	19547
cbafaaababbabbd	19547
cbebaaababbabbd	19547
cfbbaaababbabbd	19547
caabbaaababbabbd	19547
caabbaaababbfabd	29321
caabbaaababgaabd	29321
caabbaaabagbaabd	29321
caabbaaabfabaabd	29321
caabbaaagaabaabd	29321
caabbaafaaabaabd	29321
caabbaebaaabaabd	29321
caabbeabaaabaabd	29321
caabfbabaaabaabd	29321
caagababaaabaabd	29321
cafaababaaabaabd	29321
cebaababaaabaabd	29321
cbbaababaaabaabd	29321
cbbaababaaabebd	21991
cbbaababaaafbbd	21991
cbbaababaaebbbd	21991
cbbaababaeabbbd	21991
cbbaababeaabbbd	21991
cbbaabafbaabbbd	21991
cbbaabebbaabbbd	21991
cbbaafbbbaabbbd	21991
cbbaebbbbaabbbd	21991
cbbeabbbbaabbbd	21991
cbfbabbbbaabbbd	21991
cgababbbbaabbbd	21991
cabababbbbaabbbd	21991
cabababbbbaagbbd	32987
cabababbbbafabbd	32987
cabababbbbebabbd	32987
cabababbbfbbabbd	32987
cabababbgabbabbd	32987
cabababgbabbabbd	32987
cababagbbabbabbd	32987
cababfabbabbabbd	32987
cabagaabbabbabbd	32987
cabfaaabbabbabbd	32987
cagaaaabbabbabbd	32987
cfaaaaabbabbabbd	32987
caaaaaaabbabbabbd	32987
caaaaaaabbabbfabd	49481
caaaaaaabbabgaabd	49481
caaaaaaabbagbaabd	49481
caaaaaaabbfabaabd	49481
caaaaaaabgaabaabd	49481
caaaaaaagbaabaabd	49481
caaaaaafabaabaabd	49481
caaaaaebabaabaabd	49481
caaaaeababaabaabd	49481
caaaeaababaabaabd	49481
caaeaaababaabaabd	49481
caeaaaababaabaabd	49481
ceaaaaababaabaabd	49481
cbaaaaababaabaabd	49481
cbaaaaababaabebd	37111
cbaaaaababaafbbd	37111
cbaaaaababaebbbd	37111
cbaaaaababeabbbd	37111
cbaaaaabafbabbbd	37111
cbaaaaabebbabbbd	37111
cbaaaaafbbbabbbd	37111
cbaaaaebbbbabbbd	37111
cbaaaeabbbbabbbd	37111
cbaaeaabbbbabbbd	37111
cbaeaaabbbbabbbd	37111
cbeaaaabbbbabbbd	37111
cfbaaaabbbbabbbd	37111
caabaaaabbbbabbbd	37111
caabaaaabbbbagbbd	55667
caabaaaabbbbfabbd	55667
caabaaaabbbgaabbd	55667
caabaaaabbgbaabbd	55667
caabaaaabgbbaabbd	55667
caabaaaagbbbaabbd	55667
caabaaafabbbaabbd	55667
caabaaebabbbaabbd	55667
caabaeababbbaabbd	55667
caabeaababbbaabbd	55667
caafbaababbbaabbd	55667
caebbaababbbaabbd	55667
ceabbaababbbaabbd	55667
cbabbaababbbaabbd	55667
cbabbaababbbafabd	83501
cbabbaababbbebabd	83501
cbabbaababbfbbabd	83501
cbabbaababgabbabd	83501
cbabbaabagbabbabd	83501
cbabbaabfababbabd	83501
cbabbaagaababbabd	83501
cbabbafaaababbabd	83501
cbabbebaaababbabd	83501
cbabfbbaaababbabd	83501
cbagabbaaababbabd	83501
cbfaabbaaababbabd	83501
cgaaabbaaababbabd	83501
cabaaabbaaababbabd	83501
cabaaabbaaababgd	31313
cabaaabbaaabagbd	31313
cabaaabbaaabfabd	31313
cabaaabbaaagaabd	31313
cabaaabbaafaaabd	31313
cabaaabbaebaaabd	31313
cabaaabbeabaaabd	31313
cabaaabfbabaaabd	31313
cabaaagababaaabd	31313
cabaafaababaaabd	31313
cabaebaababaaabd	31313
cabeabaababaaabd	31313
cafbabaababaaabd	31313
cebbabaababaaabd	31313
cbbbabaababaaabd	31313
cbbbabaababaebd	23485
cbbbabaababeabd	23485
cbbbabaabafbabd	23485
cbbbabaabebbabd	23485
cbbbabaafbbbabd	23485
cbbbabaebbbbabd	23485
cbbbabeabbbbabd	23485
cbbbafbabbbbabd	23485
cbbbebbabbbbabd	23485
cbbfbbbabbbbabd	23485
cbgabbbabbbbabd	23485
cgbabbbabbbbabd	23485
cabbabbbabbbbabd	23485
cabbabbbabbbgd	8807
cabbabbbabbgbd	8807
cabbabbbabgbbd	8807
cabbabbbagbbbd	8807
cabbabbbfabbbd	8807
cabbabbgaabbbd	8807
cabbabgbaabbbd	8807
cabbagbbaabbbd	8807
cabbfabbaabbbd	8807
cabgaabbaabbbd	8807
cagbaabbaabbbd	8807
cfabaabbaabbbd	8807
caaabaabbaabbbd	8807
caaabaabbaagbbd	13211
caaabaabbafabbd	13211
caaabaabbebabbd	13211
caaabaabfbbabbd	13211
caaabaagabbabbd	13211
caaabafaabbabbd	13211
caaabebaabbabbd	13211
caaafbbaabbabbd	13211
caaebbbaabbabbd	13211
caeabbbaabbabbd	13211
ceaabbbaabbabbd	13211
cbaabbbaabbabbd	13211
cbaabbbaabbfabd	19817
cbaabbbaabgaabd	19817
cbaabbbaagbaabd	19817
cbaabbbafabaabd	19817
cbaabbbebabaabd	19817
cbaabbfbbabaabd	19817
cbaabgabbabaabd	19817
cbaagbabbabaabd	19817
cbafababbabaabd	19817
cbebababbabaabd	19817
cfbbababbabaabd	19817
caabbababbabaabd	19817
caabbababbabebd	14863
caabbababbafbbd	14863
caabbababbebbbd	14863
caabbababfbbbbd	14863
caabbabagabbbbd	14863
caabbabfaabbbbd	14863
caabbagaaabbbbd	14863
caabbfaaaabbbbd	14863
caabgaaaaabbbbd	14863
caagbaaaaabbbbd	14863
cafabaaaaabbbbd	14863
cebabaaaaabbbbd	14863
cbbabaaaaabbbbd	14863
cbbabaaaaabgbbd	22295
cbbabaaaaagbbbd	22295
cbbabaaaafabbbd	22295
cbbabaaaebabbbd	22295
cbbabaaeababbbd	22295
cbbabaeaababbbd	22295
cbbabeaaababbbd	22295
cbbafbaaababbbd	22295
cbbebbaaababbbd	22295
cbfbbbaaababbbd	22295
cgabbbaaababbbd	22295
cababbbaaababbbd	22295
cababbbaaabagbbd	33443
cababbbaaabfabbd	33443
cababbbaaagaabbd	33443
cababbbaafaaabbd	33443
cababbbaebaaabbd	33443
cababbbeabaaabbd	33443
cababbfbabaaabbd	33443
cababgababaaabbd	33443
cabagbababaaabbd	33443
cabfabababaaabbd	33443
cagaabababaaabbd	33443
cfaaabababaaabbd	33443
caaaaabababaaabbd	33443
caaaaabababaafabd	50165
caaaaabababaebabd	50165
caaaaabababeababd	50165
caaaaababafbababd	50165
caaaaababebbababd	50165
caaaaabafbbbababd	50165
caaaaabebbbbababd	50165
caaaaafbbbbbababd	50165
caaaaebbbbbbababd	50165
caaaeabbbbbbababd	50165
caaeaabbbbbbababd	50165
caeaaabbbbbbababd	50165
ceaaaabbbbbbababd	50165
cbaaaabbbbbbababd	50165
cbaaaabbbbbbagd	18812
cbaaaabbbbbbfad	18812
cbaaaabbbbbgaad	18812
cbaaaabbbbgbaad	18812
cbaaaabbbgbbaad	18812
cbaaaabbgbbbaad	18812
cbaaaabgbbbbaad	18812
cbaaaagbbbbbaad	18812
cbaaafabbbbbaad	18812
cbaaebabbbbbaad	18812
cbaeababbbbbaad	18812
cbeaababbbbbaad	18812
cfbaababbbbbaad	18812
caabaababbbbbaad	18812
caabaababbbbbad	9406
caabaababbbbbd	4703
caabaababbgbbd	7055
