"Input number 25243 with intial rewrite term cbaaababaabbabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 742  Number of array doubles: 0"
Term	Number
cbaaababaabbfabd	37865
cbaaababaabgaabd	37865
cbaaababaagbaabd	37865
cbaaababafabaabd	37865
cbaaababebabaabd	37865
cbaaabafbbabaabd	37865
cbaaabebbbabaabd	37865
cbaaafbbbbabaabd	37865
cbaaebbbbbabaabd	37865
cbaeabbbbbabaabd	37865
cbeaabbbbbabaabd	37865
cfbaabbbbbabaabd	37865
caabaabbbbbabaabd	37865
caabaabbbbbabebd	28399
caabaabbbbbafbbd	28399
caabaabbbbbebbbd	28399
caabaabbbbfbbbbd	28399
caabaabbbgabbbbd	28399
caabaabbgbabbbbd	28399
caabaabgbbabbbbd	28399
caabaagbbbabbbbd	28399
caabafabbbabbbbd	28399
caabebabbbabbbbd	28399
caafbbabbbabbbbd	28399
caebbbabbbabbbbd	28399
ceabbbabbbabbbbd	28399
cbabbbabbbabbbbd	28399
cbabbbabbbabgbbd	42599
cbabbbabbbagbbbd	42599
cbabbbabbbfabbbd	42599
cbabbbabbgaabbbd	42599
cbabbbabgbaabbbd	42599
cbabbbagbbaabbbd	42599
cbabbbfabbaabbbd	42599
cbabbgaabbaabbbd	42599
cbabgbaabbaabbbd	42599
cbagbbaabbaabbbd	42599
cbfabbaabbaabbbd	42599
cgaabbaabbaabbbd	42599
cabaabbaabbaabbbd	42599
cabaabbaabbaagbbd	63899
cabaabbaabbafabbd	63899
cabaabbaabbebabbd	63899
cabaabbaabfbbabbd	63899
cabaabbaagabbabbd	63899
cabaabbafaabbabbd	63899
cabaabbebaabbabbd	63899
cabaabfbbaabbabbd	63899
cabaagabbaabbabbd	63899
cabafaabbaabbabbd	63899
cabebaabbaabbabbd	63899
cafbbaabbaabbabbd	63899
cebbbaabbaabbabbd	63899
cbbbbaabbaabbabbd	63899
cbbbbaabbaabbfabd	95849
cbbbbaabbaabgaabd	95849
cbbbbaabbaagbaabd	95849
cbbbbaabbafabaabd	95849
cbbbbaabbebabaabd	95849
cbbbbaabfbbabaabd	95849
cbbbbaagabbabaabd	95849
cbbbbafaabbabaabd	95849
cbbbbebaabbabaabd	95849
cbbbfbbaabbabaabd	95849
cbbgabbaabbabaabd	95849
cbgbabbaabbabaabd	95849
cgbbabbaabbabaabd	95849
cabbbabbaabbabaabd	95849
cabbbabbaabbabebd	71887
cabbbabbaabbafbbd	71887
cabbbabbaabbebbbd	71887
cabbbabbaabfbbbbd	71887
cabbbabbaagabbbbd	71887
cabbbabbafaabbbbd	71887
cabbbabbebaabbbbd	71887
cabbbabfbbaabbbbd	71887
cabbbagabbaabbbbd	71887
cabbbfaabbaabbbbd	71887
cabbgaaabbaabbbbd	71887
cabgbaaabbaabbbbd	71887
cagbbaaabbaabbbbd	71887
cfabbaaabbaabbbbd	71887
caaabbaaabbaabbbbd	71887
caaabbaaabbaabgbbd	107831
caaabbaaabbaagbbbd	107831
caaabbaaabbafabbbd	107831
caaabbaaabbebabbbd	107831
caaabbaaabfbbabbbd	107831
caaabbaaagabbabbbd	107831
caaabbaafaabbabbbd	107831
caaabbaebaabbabbbd	107831
caaabbeabaabbabbbd	107831
caaabfbabaabbabbbd	107831
caaagababaabbabbbd	107831
caafaababaabbabbbd	107831
caebaababaabbabbbd	107831
ceabaababaabbabbbd	107831
cbabaababaabbabbbd	107831
cbabaababaabbagbbd	161747
cbabaababaabbfabbd	161747
cbabaababaabgaabbd	161747
cbabaababaagbaabbd	161747
cbabaababafabaabbd	161747
cbabaababebabaabbd	161747
cbabaabafbbabaabbd	161747
cbabaabebbbabaabbd	161747
cbabaafbbbbabaabbd	161747
cbabaebbbbbabaabbd	161747
cbabeabbbbbabaabbd	161747
cbafbabbbbbabaabbd	161747
cbebbabbbbbabaabbd	161747
cfbbbabbbbbabaabbd	161747
caabbbabbbbbabaabbd	161747
caabbbabbbbbabafabd	242621
caabbbabbbbbabebabd	242621
caabbbabbbbbafbbabd	242621
caabbbabbbbbebbbabd	242621
caabbbabbbbfbbbbabd	242621
caabbbabbbgabbbbabd	242621
caabbbabbgbabbbbabd	242621
caabbbabgbbabbbbabd	242621
caabbbagbbbabbbbabd	242621
caabbbfabbbabbbbabd	242621
caabbgaabbbabbbbabd	242621
caabgbaabbbabbbbabd	242621
caagbbaabbbabbbbabd	242621
cafabbaabbbabbbbabd	242621
cebabbaabbbabbbbabd	242621
cbbabbaabbbabbbbabd	242621
cbbabbaabbbabbbgd	90983
cbbabbaabbbabbgbd	90983
cbbabbaabbbabgbbd	90983
cbbabbaabbbagbbbd	90983
cbbabbaabbbfabbbd	90983
cbbabbaabbgaabbbd	90983
cbbabbaabgbaabbbd	90983
cbbabbaagbbaabbbd	90983
cbbabbafabbaabbbd	90983
cbbabbebabbaabbbd	90983
cbbabfbbabbaabbbd	90983
cbbagabbabbaabbbd	90983
cbbfaabbabbaabbbd	90983
cbgaaabbabbaabbbd	90983
cgbaaabbabbaabbbd	90983
cabbaaabbabbaabbbd	90983
cabbaaabbabbaagbbd	136475
cabbaaabbabbafabbd	136475
cabbaaabbabbebabbd	136475
cabbaaabbabfbbabbd	136475
cabbaaabbagabbabbd	136475
cabbaaabbfaabbabbd	136475
cabbaaabgaaabbabbd	136475
cabbaaagbaaabbabbd	136475
cabbaafabaaabbabbd	136475
cabbaebabaaabbabbd	136475
cabbeababaaabbabbd	136475
cabfbababaaabbabbd	136475
cagabababaaabbabbd	136475
cfaabababaaabbabbd	136475
caaaabababaaabbabbd	136475
caaaabababaaabbfabd	204713
caaaabababaaabgaabd	204713
caaaabababaaagbaabd	204713
caaaabababaafabaabd	204713
caaaabababaebabaabd	204713
caaaabababeababaabd	204713
caaaababafbababaabd	204713
caaaababebbababaabd	204713
caaaabafbbbababaabd	204713
caaaabebbbbababaabd	204713
caaaafbbbbbababaabd	204713
caaaebbbbbbababaabd	204713
caaeabbbbbbababaabd	204713
caeaabbbbbbababaabd	204713
ceaaabbbbbbababaabd	204713
cbaaabbbbbbababaabd	204713
cbaaabbbbbbababebd	153535
cbaaabbbbbbabafbbd	153535
cbaaabbbbbbabebbbd	153535
cbaaabbbbbbafbbbbd	153535
cbaaabbbbbbebbbbbd	153535
cbaaabbbbbfbbbbbbd	153535
cbaaabbbbgabbbbbbd	153535
cbaaabbbgbabbbbbbd	153535
cbaaabbgbbabbbbbbd	153535
cbaaabgbbbabbbbbbd	153535
cbaaagbbbbabbbbbbd	153535
cbaafabbbbabbbbbbd	153535
cbaebabbbbabbbbbbd	153535
cbeababbbbabbbbbbd	153535
cfbababbbbabbbbbbd	153535
caabababbbbabbbbbbd	153535
caabababbbbabbbgbbd	230303
caabababbbbabbgbbbd	230303
caabababbbbabgbbbbd	230303
caabababbbbagbbbbbd	230303
caabababbbbfabbbbbd	230303
caabababbbgaabbbbbd	230303
caabababbgbaabbbbbd	230303
caabababgbbaabbbbbd	230303
caababagbbbaabbbbbd	230303
caababfabbbaabbbbbd	230303
caabagaabbbaabbbbbd	230303
caabfaaabbbaabbbbbd	230303
caagaaaabbbaabbbbbd	230303
