"Input number 275234751 with intial rewrite term caaaaabbaabbbbabbbbbbbabbbbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 1002  Number of array doubles: 0"
Term	Number
caaaaabbaabbbbabbbbbbbabbbgbbd	412852127
caaaaabbaabbbbabbbbbbbabbgbbbd	412852127
caaaaabbaabbbbabbbbbbbabgbbbbd	412852127
caaaaabbaabbbbabbbbbbbagbbbbbd	412852127
caaaaabbaabbbbabbbbbbbfabbbbbd	412852127
caaaaabbaabbbbabbbbbbgaabbbbbd	412852127
caaaaabbaabbbbabbbbbgbaabbbbbd	412852127
caaaaabbaabbbbabbbbgbbaabbbbbd	412852127
caaaaabbaabbbbabbbgbbbaabbbbbd	412852127
caaaaabbaabbbbabbgbbbbaabbbbbd	412852127
caaaaabbaabbbbabgbbbbbaabbbbbd	412852127
caaaaabbaabbbbagbbbbbbaabbbbbd	412852127
caaaaabbaabbbbfabbbbbbaabbbbbd	412852127
caaaaabbaabbbgaabbbbbbaabbbbbd	412852127
caaaaabbaabbgbaabbbbbbaabbbbbd	412852127
caaaaabbaabgbbaabbbbbbaabbbbbd	412852127
caaaaabbaagbbbaabbbbbbaabbbbbd	412852127
caaaaabbafabbbaabbbbbbaabbbbbd	412852127
caaaaabbebabbbaabbbbbbaabbbbbd	412852127
caaaaabfbbabbbaabbbbbbaabbbbbd	412852127
caaaaagabbabbbaabbbbbbaabbbbbd	412852127
caaaafaabbabbbaabbbbbbaabbbbbd	412852127
caaaebaabbabbbaabbbbbbaabbbbbd	412852127
caaeabaabbabbbaabbbbbbaabbbbbd	412852127
caeaabaabbabbbaabbbbbbaabbbbbd	412852127
ceaaabaabbabbbaabbbbbbaabbbbbd	412852127
cbaaabaabbabbbaabbbbbbaabbbbbd	412852127
cbaaabaabbabbbaabbbbbbaabbgbbd	619278191
cbaaabaabbabbbaabbbbbbaabgbbbd	619278191
cbaaabaabbabbbaabbbbbbaagbbbbd	619278191
cbaaabaabbabbbaabbbbbbafabbbbd	619278191
cbaaabaabbabbbaabbbbbbebabbbbd	619278191
cbaaabaabbabbbaabbbbbfbbabbbbd	619278191
cbaaabaabbabbbaabbbbgabbabbbbd	619278191
cbaaabaabbabbbaabbbgbabbabbbbd	619278191
cbaaabaabbabbbaabbgbbabbabbbbd	619278191
cbaaabaabbabbbaabgbbbabbabbbbd	619278191
cbaaabaabbabbbaagbbbbabbabbbbd	619278191
cbaaabaabbabbbafabbbbabbabbbbd	619278191
cbaaabaabbabbbebabbbbabbabbbbd	619278191
cbaaabaabbabbfbbabbbbabbabbbbd	619278191
cbaaabaabbabgabbabbbbabbabbbbd	619278191
cbaaabaabbagbabbabbbbabbabbbbd	619278191
cbaaabaabbfababbabbbbabbabbbbd	619278191
cbaaabaabgaababbabbbbabbabbbbd	619278191
cbaaabaagbaababbabbbbabbabbbbd	619278191
cbaaabafabaababbabbbbabbabbbbd	619278191
cbaaabebabaababbabbbbabbabbbbd	619278191
cbaaafbbabaababbabbbbabbabbbbd	619278191
cbaaebbbabaababbabbbbabbabbbbd	619278191
cbaeabbbabaababbabbbbabbabbbbd	619278191
cbeaabbbabaababbabbbbabbabbbbd	619278191
cfbaabbbabaababbabbbbabbabbbbd	619278191
caabaabbbabaababbabbbbabbabbbbd	619278191
caabaabbbabaababbabbbbabbabgbbd	928917287
caabaabbbabaababbabbbbabbagbbbd	928917287
caabaabbbabaababbabbbbabbfabbbd	928917287
caabaabbbabaababbabbbbabgaabbbd	928917287
caabaabbbabaababbabbbbagbaabbbd	928917287
caabaabbbabaababbabbbbfabaabbbd	928917287
caabaabbbabaababbabbbgaabaabbbd	928917287
caabaabbbabaababbabbgbaabaabbbd	928917287
caabaabbbabaababbabgbbaabaabbbd	928917287
caabaabbbabaababbagbbbaabaabbbd	928917287
caabaabbbabaababbfabbbaabaabbbd	928917287
caabaabbbabaababgaabbbaabaabbbd	928917287
caabaabbbabaabagbaabbbaabaabbbd	928917287
caabaabbbabaabfabaabbbaabaabbbd	928917287
caabaabbbabaagaabaabbbaabaabbbd	928917287
caabaabbbabafaaabaabbbaabaabbbd	928917287
caabaabbbabebaaabaabbbaabaabbbd	928917287
caabaabbbafbbaaabaabbbaabaabbbd	928917287
caabaabbbebbbaaabaabbbaabaabbbd	928917287
caabaabbfbbbbaaabaabbbaabaabbbd	928917287
