"Input number 290751 with intial rewrite term caaabbabbbbbabbbbbbd
Generated final number 1 with final rewrite term cd
Number of steps: 2006  Number of array doubles: 1"
Term	Number
caaabbabbbbbabbbgbbd	436127
caaabbabbbbbabbgbbbd	436127
caaabbabbbbbabgbbbbd	436127
caaabbabbbbbagbbbbbd	436127
caaabbabbbbbfabbbbbd	436127
caaabbabbbbgaabbbbbd	436127
caaabbabbbgbaabbbbbd	436127
caaabbabbgbbaabbbbbd	436127
caaabbabgbbbaabbbbbd	436127
caaabbagbbbbaabbbbbd	436127
caaabbfabbbbaabbbbbd	436127
caaabgaabbbbaabbbbbd	436127
caaagbaabbbbaabbbbbd	436127
caafabaabbbbaabbbbbd	436127
caebabaabbbbaabbbbbd	436127
ceababaabbbbaabbbbbd	436127
cbababaabbbbaabbbbbd	436127
cbababaabbbbaabbgbbd	654191
cbababaabbbbaabgbbbd	654191
cbababaabbbbaagbbbbd	654191
cbababaabbbbafabbbbd	654191
cbababaabbbbebabbbbd	654191
cbababaabbbfbbabbbbd	654191
cbababaabbgabbabbbbd	654191
cbababaabgbabbabbbbd	654191
cbababaagbbabbabbbbd	654191
cbababafabbabbabbbbd	654191
cbababebabbabbabbbbd	654191
cbabafbbabbabbabbbbd	654191
cbabebbbabbabbabbbbd	654191
cbafbbbbabbabbabbbbd	654191
cbebbbbbabbabbabbbbd	654191
cfbbbbbbabbabbabbbbd	654191
caabbbbbbabbabbabbbbd	654191
caabbbbbbabbabbabgbbd	981287
caabbbbbbabbabbagbbbd	981287
caabbbbbbabbabbfabbbd	981287
caabbbbbbabbabgaabbbd	981287
caabbbbbbabbagbaabbbd	981287
caabbbbbbabbfabaabbbd	981287
caabbbbbbabgaabaabbbd	981287
caabbbbbbagbaabaabbbd	981287
caabbbbbbfabaabaabbbd	981287
caabbbbbgaabaabaabbbd	981287
caabbbbgbaabaabaabbbd	981287
caabbbgbbaabaabaabbbd	981287
caabbgbbbaabaabaabbbd	981287
caabgbbbbaabaabaabbbd	981287
caagbbbbbaabaabaabbbd	981287
cafabbbbbaabaabaabbbd	981287
cebabbbbbaabaabaabbbd	981287
cbbabbbbbaabaabaabbbd	981287
cbbabbbbbaabaabaagbbd	1471931
cbbabbbbbaabaabafabbd	1471931
cbbabbbbbaabaabebabbd	1471931
cbbabbbbbaabaafbbabbd	1471931
cbbabbbbbaabaebbbabbd	1471931
cbbabbbbbaabeabbbabbd	1471931
cbbabbbbbaafbabbbabbd	1471931
cbbabbbbbaebbabbbabbd	1471931
cbbabbbbbeabbabbbabbd	1471931
cbbabbbbfbabbabbbabbd	1471931
cbbabbbgababbabbbabbd	1471931
cbbabbgbababbabbbabbd	1471931
cbbabgbbababbabbbabbd	1471931
cbbagbbbababbabbbabbd	1471931
cbbfabbbababbabbbabbd	1471931
cbgaabbbababbabbbabbd	1471931
cgbaabbbababbabbbabbd	1471931
cabbaabbbababbabbbabbd	1471931
cabbaabbbababbabbbfabd	2207897
cabbaabbbababbabbgaabd	2207897
cabbaabbbababbabgbaabd	2207897
cabbaabbbababbagbbaabd	2207897
cabbaabbbababbfabbaabd	2207897
cabbaabbbababgaabbaabd	2207897
cabbaabbbabagbaabbaabd	2207897
cabbaabbbabfabaabbaabd	2207897
cabbaabbbagaabaabbaabd	2207897
cabbaabbbfaaabaabbaabd	2207897
cabbaabbgaaaabaabbaabd	2207897
cabbaabgbaaaabaabbaabd	2207897
cabbaagbbaaaabaabbaabd	2207897
cabbafabbaaaabaabbaabd	2207897
cabbebabbaaaabaabbaabd	2207897
cabfbbabbaaaabaabbaabd	2207897
cagabbabbaaaabaabbaabd	2207897
cfaabbabbaaaabaabbaabd	2207897
caaaabbabbaaaabaabbaabd	2207897
caaaabbabbaaaabaabbebd	1655923
caaaabbabbaaaabaabfbbd	1655923
caaaabbabbaaaabaagabbd	1655923
caaaabbabbaaaabafaabbd	1655923
caaaabbabbaaaabebaabbd	1655923
caaaabbabbaaaafbbaabbd	1655923
caaaabbabbaaaebbbaabbd	1655923
caaaabbabbaaeabbbaabbd	1655923
caaaabbabbaeaabbbaabbd	1655923
caaaabbabbeaaabbbaabbd	1655923
caaaabbabfbaaabbbaabbd	1655923
caaaabbagabaaabbbaabbd	1655923
caaaabbfaabaaabbbaabbd	1655923
caaaabgaaabaaabbbaabbd	1655923
caaaagbaaabaaabbbaabbd	1655923
caaafabaaabaaabbbaabbd	1655923
caaebabaaabaaabbbaabbd	1655923
caeababaaabaaabbbaabbd	1655923
ceaababaaabaaabbbaabbd	1655923
cbaababaaabaaabbbaabbd	1655923
cbaababaaabaaabbbafabd	2483885
cbaababaaabaaabbbebabd	2483885
cbaababaaabaaabbfbbabd	2483885
cbaababaaabaaabgabbabd	2483885
cbaababaaabaaagbabbabd	2483885
cbaababaaabaafababbabd	2483885
cbaababaaabaebababbabd	2483885
cbaababaaabeabababbabd	2483885
cbaababaaafbabababbabd	2483885
cbaababaaebbabababbabd	2483885
cbaababaeabbabababbabd	2483885
cbaababeaabbabababbabd	2483885
cbaabafbaabbabababbabd	2483885
cbaabebbaabbabababbabd	2483885
cbaafbbbaabbabababbabd	2483885
cbaebbbbaabbabababbabd	2483885
cbeabbbbaabbabababbabd	2483885
cfbabbbbaabbabababbabd	2483885
caababbbbaabbabababbabd	2483885
caababbbbaabbabababgd	931457
caababbbbaabbababagbd	931457
caababbbbaabbababfabd	931457
caababbbbaabbabagaabd	931457
caababbbbaabbabfaaabd	931457
caababbbbaabbagaaaabd	931457
caababbbbaabbfaaaaabd	931457
caababbbbaabgaaaaaabd	931457
caababbbbaagbaaaaaabd	931457
caababbbbafabaaaaaabd	931457
caababbbbebabaaaaaabd	931457
caababbbfbbabaaaaaabd	931457
caababbgabbabaaaaaabd	931457
caababgbabbabaaaaaabd	931457
caabagbbabbabaaaaaabd	931457
caabfabbabbabaaaaaabd	931457
caagaabbabbabaaaaaabd	931457
cafaaabbabbabaaaaaabd	931457
cebaaabbabbabaaaaaabd	931457
cbbaaabbabbabaaaaaabd	931457
cbbaaabbabbabaaaaebd	698593
cbbaaabbabbabaaaeabd	698593
cbbaaabbabbabaaeaabd	698593
cbbaaabbabbabaeaaabd	698593
cbbaaabbabbabeaaaabd	698593
cbbaaabbabbafbaaaabd	698593
cbbaaabbabbebbaaaabd	698593
cbbaaabbabfbbbaaaabd	698593
cbbaaabbagabbbaaaabd	698593
cbbaaabbfaabbbaaaabd	698593
cbbaaabgaaabbbaaaabd	698593
cbbaaagbaaabbbaaaabd	698593
cbbaafabaaabbbaaaabd	698593
cbbaebabaaabbbaaaabd	698593
cbbeababaaabbbaaaabd	698593
cbfbababaaabbbaaaabd	698593
cgabababaaabbbaaaabd	698593
cababababaaabbbaaaabd	698593
cababababaaabbbaaebd	523945
cababababaaabbbaeabd	523945
cababababaaabbbeaabd	523945
cababababaaabbfbaabd	523945
cababababaaabgabaabd	523945
cababababaaagbabaabd	523945
cababababaafababaabd	523945
cababababaebababaabd	523945
cababababeabababaabd	523945
cabababafbabababaabd	523945
cabababebbabababaabd	523945
cababafbbbabababaabd	523945
cababebbbbabababaabd	523945
cabafbbbbbabababaabd	523945
cabebbbbbbabababaabd	523945
cafbbbbbbbabababaabd	523945
cebbbbbbbbabababaabd	523945
cbbbbbbbbbabababaabd	523945
cbbbbbbbbbabababebd	392959
cbbbbbbbbbababafbbd	392959
cbbbbbbbbbababebbbd	392959
cbbbbbbbbbabafbbbbd	392959
cbbbbbbbbbabebbbbbd	392959
cbbbbbbbbbafbbbbbbd	392959
cbbbbbbbbbebbbbbbbd	392959
cbbbbbbbbfbbbbbbbbd	392959
cbbbbbbbgabbbbbbbbd	392959
cbbbbbbgbabbbbbbbbd	392959
cbbbbbgbbabbbbbbbbd	392959
cbbbbgbbbabbbbbbbbd	392959
cbbbgbbbbabbbbbbbbd	392959
cbbgbbbbbabbbbbbbbd	392959
cbgbbbbbbabbbbbbbbd	392959
cgbbbbbbbabbbbbbbbd	392959
cabbbbbbbbabbbbbbbbd	392959
cabbbbbbbbabbbbbgbbd	589439
cabbbbbbbbabbbbgbbbd	589439
cabbbbbbbbabbbgbbbbd	589439
cabbbbbbbbabbgbbbbbd	589439
cabbbbbbbbabgbbbbbbd	589439
cabbbbbbbbagbbbbbbbd	589439
cabbbbbbbbfabbbbbbbd	589439
cabbbbbbbgaabbbbbbbd	589439
cabbbbbbgbaabbbbbbbd	589439
cabbbbbgbbaabbbbbbbd	589439
cabbbbgbbbaabbbbbbbd	589439
cabbbgbbbbaabbbbbbbd	589439
cabbgbbbbbaabbbbbbbd	589439
cabgbbbbbbaabbbbbbbd	589439
cagbbbbbbbaabbbbbbbd	589439
cfabbbbbbbaabbbbbbbd	589439
caaabbbbbbbaabbbbbbbd	589439
caaabbbbbbbaabbbbgbbd	884159
caaabbbbbbbaabbbgbbbd	884159
caaabbbbbbbaabbgbbbbd	884159
caaabbbbbbbaabgbbbbbd	884159
caaabbbbbbbaagbbbbbbd	884159
caaabbbbbbbafabbbbbbd	884159
caaabbbbbbbebabbbbbbd	884159
caaabbbbbbfbbabbbbbbd	884159
caaabbbbbgabbabbbbbbd	884159
caaabbbbgbabbabbbbbbd	884159
caaabbbgbbabbabbbbbbd	884159
caaabbgbbbabbabbbbbbd	884159
caaabgbbbbabbabbbbbbd	884159
caaagbbbbbabbabbbbbbd	884159
caafabbbbbabbabbbbbbd	884159
caebabbbbbabbabbbbbbd	884159
ceababbbbbabbabbbbbbd	884159
cbababbbbbabbabbbbbbd	884159
cbababbbbbabbabbbgbbd	1326239
cbababbbbbabbabbgbbbd	1326239
cbababbbbbabbabgbbbbd	1326239
cbababbbbbabbagbbbbbd	1326239
cbababbbbbabbfabbbbbd	1326239
cbababbbbbabgaabbbbbd	1326239
cbababbbbbagbaabbbbbd	1326239
cbababbbbbfabaabbbbbd	1326239
cbababbbbgaabaabbbbbd	1326239
cbababbbgbaabaabbbbbd	1326239
cbababbgbbaabaabbbbbd	1326239
cbababgbbbaabaabbbbbd	1326239
cbabagbbbbaabaabbbbbd	1326239
cbabfabbbbaabaabbbbbd	1326239
cbagaabbbbaabaabbbbbd	1326239
cbfaaabbbbaabaabbbbbd	1326239
cgaaaabbbbaabaabbbbbd	1326239
cabaaaabbbbaabaabbbbbd	1326239
cabaaaabbbbaabaabbgbbd	1989359
cabaaaabbbbaabaabgbbbd	1989359
cabaaaabbbbaabaagbbbbd	1989359
cabaaaabbbbaabafabbbbd	1989359
cabaaaabbbbaabebabbbbd	1989359
cabaaaabbbbaafbbabbbbd	1989359
cabaaaabbbbaebbbabbbbd	1989359
cabaaaabbbbeabbbabbbbd	1989359
cabaaaabbbfbabbbabbbbd	1989359
cabaaaabbgababbbabbbbd	1989359
cabaaaabgbababbbabbbbd	1989359
cabaaaagbbababbbabbbbd	1989359
cabaaafabbababbbabbbbd	1989359
cabaaebabbababbbabbbbd	1989359
cabaeababbababbbabbbbd	1989359
cabeaababbababbbabbbbd	1989359
cafbaababbababbbabbbbd	1989359
cebbaababbababbbabbbbd	1989359
cbbbaababbababbbabbbbd	1989359
cbbbaababbababbbabgbbd	2984039
cbbbaababbababbbagbbbd	2984039
cbbbaababbababbbfabbbd	2984039
cbbbaababbababbgaabbbd	2984039
cbbbaababbababgbaabbbd	2984039
cbbbaababbabagbbaabbbd	2984039
cbbbaababbabfabbaabbbd	2984039
cbbbaababbagaabbaabbbd	2984039
cbbbaababbfaaabbaabbbd	2984039
cbbbaababgaaaabbaabbbd	2984039
cbbbaabagbaaaabbaabbbd	2984039
cbbbaabfabaaaabbaabbbd	2984039
cbbbaagaabaaaabbaabbbd	2984039
cbbbafaaabaaaabbaabbbd	2984039
cbbbebaaabaaaabbaabbbd	2984039
cbbfbbaaabaaaabbaabbbd	2984039
cbgabbaaabaaaabbaabbbd	2984039
cgbabbaaabaaaabbaabbbd	2984039
cabbabbaaabaaaabbaabbbd	2984039
cabbabbaaabaaaabbaagbbd	4476059
cabbabbaaabaaaabbafabbd	4476059
cabbabbaaabaaaabbebabbd	4476059
cabbabbaaabaaaabfbbabbd	4476059
cabbabbaaabaaaagabbabbd	4476059
cabbabbaaabaaafaabbabbd	4476059
cabbabbaaabaaebaabbabbd	4476059
cabbabbaaabaeabaabbabbd	4476059
cabbabbaaabeaabaabbabbd	4476059
cabbabbaaafbaabaabbabbd	4476059
cabbabbaaebbaabaabbabbd	4476059
cabbabbaeabbaabaabbabbd	4476059
cabbabbeaabbaabaabbabbd	4476059
cabbabfbaabbaabaabbabbd	4476059
cabbagabaabbaabaabbabbd	4476059
cabbfaabaabbaabaabbabbd	4476059
cabgaaabaabbaabaabbabbd	4476059
cagbaaabaabbaabaabbabbd	4476059
cfabaaabaabbaabaabbabbd	4476059
caaabaaabaabbaabaabbabbd	4476059
caaabaaabaabbaabaabbfabd	6714089
caaabaaabaabbaabaabgaabd	6714089
caaabaaabaabbaabaagbaabd	6714089
caaabaaabaabbaabafabaabd	6714089
caaabaaabaabbaabebabaabd	6714089
caaabaaabaabbaafbbabaabd	6714089
caaabaaabaabbaebbbabaabd	6714089
caaabaaabaabbeabbbabaabd	6714089
caaabaaabaabfbabbbabaabd	6714089
caaabaaabaagababbbabaabd	6714089
caaabaaabafaababbbabaabd	6714089
caaabaaabebaababbbabaabd	6714089
caaabaaafbbaababbbabaabd	6714089
caaabaaebbbaababbbabaabd	6714089
caaabaeabbbaababbbabaabd	6714089
caaabeaabbbaababbbabaabd	6714089
caaafbaabbbaababbbabaabd	6714089
caaebbaabbbaababbbabaabd	6714089
caeabbaabbbaababbbabaabd	6714089
ceaabbaabbbaababbbabaabd	6714089
cbaabbaabbbaababbbabaabd	6714089
cbaabbaabbbaababbbabebd	5035567
cbaabbaabbbaababbbafbbd	5035567
cbaabbaabbbaababbbebbbd	5035567
cbaabbaabbbaababbfbbbbd	5035567
cbaabbaabbbaababgabbbbd	5035567
cbaabbaabbbaabagbabbbbd	5035567
cbaabbaabbbaabfababbbbd	5035567
cbaabbaabbbaagaababbbbd	5035567
cbaabbaabbbafaaababbbbd	5035567
cbaabbaabbbebaaababbbbd	5035567
cbaabbaabbfbbaaababbbbd	5035567
cbaabbaabgabbaaababbbbd	5035567
cbaabbaagbabbaaababbbbd	5035567
cbaabbafababbaaababbbbd	5035567
cbaabbebababbaaababbbbd	5035567
cbaabfbbababbaaababbbbd	5035567
cbaagabbababbaaababbbbd	5035567
cbafaabbababbaaababbbbd	5035567
cbebaabbababbaaababbbbd	5035567
cfbbaabbababbaaababbbbd	5035567
caabbaabbababbaaababbbbd	5035567
caabbaabbababbaaababgbbd	7553351
caabbaabbababbaaabagbbbd	7553351
caabbaabbababbaaabfabbbd	7553351
caabbaabbababbaaagaabbbd	7553351
caabbaabbababbaafaaabbbd	7553351
caabbaabbababbaebaaabbbd	7553351
caabbaabbababbeabaaabbbd	7553351
caabbaabbababfbabaaabbbd	7553351
caabbaabbabagababaaabbbd	7553351
caabbaabbabfaababaaabbbd	7553351
caabbaabbagaaababaaabbbd	7553351
caabbaabbfaaaababaaabbbd	7553351
caabbaabgaaaaababaaabbbd	7553351
caabbaagbaaaaababaaabbbd	7553351
caabbafabaaaaababaaabbbd	7553351
caabbebabaaaaababaaabbbd	7553351
caabfbbabaaaaababaaabbbd	7553351
caagabbabaaaaababaaabbbd	7553351
cafaabbabaaaaababaaabbbd	7553351
cebaabbabaaaaababaaabbbd	7553351
cbbaabbabaaaaababaaabbbd	7553351
cbbaabbabaaaaababaaagbbd	11330027
cbbaabbabaaaaababaafabbd	11330027
cbbaabbabaaaaababaebabbd	11330027
cbbaabbabaaaaababeababbd	11330027
cbbaabbabaaaaabafbababbd	11330027
cbbaabbabaaaaabebbababbd	11330027
cbbaabbabaaaaafbbbababbd	11330027
cbbaabbabaaaaebbbbababbd	11330027
cbbaabbabaaaeabbbbababbd	11330027
cbbaabbabaaeaabbbbababbd	11330027
cbbaabbabaeaaabbbbababbd	11330027
cbbaabbabeaaaabbbbababbd	11330027
cbbaabbafbaaaabbbbababbd	11330027
cbbaabbebbaaaabbbbababbd	11330027
cbbaabfbbbaaaabbbbababbd	11330027
cbbaagabbbaaaabbbbababbd	11330027
cbbafaabbbaaaabbbbababbd	11330027
cbbebaabbbaaaabbbbababbd	11330027
cbfbbaabbbaaaabbbbababbd	11330027
cgabbaabbbaaaabbbbababbd	11330027
cababbaabbbaaaabbbbababbd	11330027
cababbaabbbaaaabbbbabfabd	16995041
cababbaabbbaaaabbbbagaabd	16995041
cababbaabbbaaaabbbbfaaabd	16995041
cababbaabbbaaaabbbgaaaabd	16995041
cababbaabbbaaaabbgbaaaabd	16995041
cababbaabbbaaaabgbbaaaabd	16995041
cababbaabbbaaaagbbbaaaabd	16995041
cababbaabbbaaafabbbaaaabd	16995041
cababbaabbbaaebabbbaaaabd	16995041
cababbaabbbaeababbbaaaabd	16995041
cababbaabbbeaababbbaaaabd	16995041
cababbaabbfbaababbbaaaabd	16995041
cababbaabgabaababbbaaaabd	16995041
cababbaagbabaababbbaaaabd	16995041
cababbafababaababbbaaaabd	16995041
cababbebababaababbbaaaabd	16995041
cababfbbababaababbbaaaabd	16995041
cabagabbababaababbbaaaabd	16995041
cabfaabbababaababbbaaaabd	16995041
cagaaabbababaababbbaaaabd	16995041
cfaaaabbababaababbbaaaabd	16995041
caaaaaabbababaababbbaaaabd	16995041
caaaaaabbababaababbbaaebd	12746281
caaaaaabbababaababbbaeabd	12746281
caaaaaabbababaababbbeaabd	12746281
caaaaaabbababaababbfbaabd	12746281
caaaaaabbababaababgabaabd	12746281
caaaaaabbababaabagbabaabd	12746281
caaaaaabbababaabfababaabd	12746281
caaaaaabbababaagaababaabd	12746281
caaaaaabbababafaaababaabd	12746281
caaaaaabbababebaaababaabd	12746281
caaaaaabbabafbbaaababaabd	12746281
caaaaaabbabebbbaaababaabd	12746281
caaaaaabbafbbbbaaababaabd	12746281
caaaaaabbebbbbbaaababaabd	12746281
caaaaaabfbbbbbbaaababaabd	12746281
caaaaaagabbbbbbaaababaabd	12746281
caaaaafaabbbbbbaaababaabd	12746281
caaaaebaabbbbbbaaababaabd	12746281
caaaeabaabbbbbbaaababaabd	12746281
caaeaabaabbbbbbaaababaabd	12746281
caeaaabaabbbbbbaaababaabd	12746281
ceaaaabaabbbbbbaaababaabd	12746281
cbaaaabaabbbbbbaaababaabd	12746281
cbaaaabaabbbbbbaaababebd	9559711
cbaaaabaabbbbbbaaabafbbd	9559711
cbaaaabaabbbbbbaaabebbbd	9559711
cbaaaabaabbbbbbaaafbbbbd	9559711
cbaaaabaabbbbbbaaebbbbbd	9559711
cbaaaabaabbbbbbaeabbbbbd	9559711
cbaaaabaabbbbbbeaabbbbbd	9559711
cbaaaabaabbbbbfbaabbbbbd	9559711
cbaaaabaabbbbgabaabbbbbd	9559711
cbaaaabaabbbgbabaabbbbbd	9559711
cbaaaabaabbgbbabaabbbbbd	9559711
cbaaaabaabgbbbabaabbbbbd	9559711
cbaaaabaagbbbbabaabbbbbd	9559711
cbaaaabafabbbbabaabbbbbd	9559711
cbaaaabebabbbbabaabbbbbd	9559711
cbaaaafbbabbbbabaabbbbbd	9559711
cbaaaebbbabbbbabaabbbbbd	9559711
cbaaeabbbabbbbabaabbbbbd	9559711
cbaeaabbbabbbbabaabbbbbd	9559711
cbeaaabbbabbbbabaabbbbbd	9559711
cfbaaabbbabbbbabaabbbbbd	9559711
caabaaabbbabbbbabaabbbbbd	9559711
caabaaabbbabbbbabaabbgbbd	14339567
caabaaabbbabbbbabaabgbbbd	14339567
