"Input number 2911515 with intial rewrite term cabbaaabbabbabaaabbabbd
Generated final number 5 with final rewrite term cabd
Number of steps: 684  Number of array doubles: 0"
Term	Number
cabbaaabbabbabaaabbfabd	4367273
cabbaaabbabbabaaabgaabd	4367273
cabbaaabbabbabaaagbaabd	4367273
cabbaaabbabbabaafabaabd	4367273
cabbaaabbabbabaebabaabd	4367273
cabbaaabbabbabeababaabd	4367273
cabbaaabbabbafbababaabd	4367273
cabbaaabbabbebbababaabd	4367273
cabbaaabbabfbbbababaabd	4367273
cabbaaabbagabbbababaabd	4367273
cabbaaabbfaabbbababaabd	4367273
cabbaaabgaaabbbababaabd	4367273
cabbaaagbaaabbbababaabd	4367273
cabbaafabaaabbbababaabd	4367273
cabbaebabaaabbbababaabd	4367273
cabbeababaaabbbababaabd	4367273
cabfbababaaabbbababaabd	4367273
cagabababaaabbbababaabd	4367273
cfaabababaaabbbababaabd	4367273
caaaabababaaabbbababaabd	4367273
caaaabababaaabbbababebd	3275455
caaaabababaaabbbabafbbd	3275455
caaaabababaaabbbabebbbd	3275455
caaaabababaaabbbafbbbbd	3275455
caaaabababaaabbbebbbbbd	3275455
caaaabababaaabbfbbbbbbd	3275455
caaaabababaaabgabbbbbbd	3275455
caaaabababaaagbabbbbbbd	3275455
caaaabababaafababbbbbbd	3275455
caaaabababaebababbbbbbd	3275455
caaaabababeabababbbbbbd	3275455
caaaababafbabababbbbbbd	3275455
caaaababebbabababbbbbbd	3275455
caaaabafbbbabababbbbbbd	3275455
caaaabebbbbabababbbbbbd	3275455
caaaafbbbbbabababbbbbbd	3275455
caaaebbbbbbabababbbbbbd	3275455
caaeabbbbbbabababbbbbbd	3275455
caeaabbbbbbabababbbbbbd	3275455
ceaaabbbbbbabababbbbbbd	3275455
cbaaabbbbbbabababbbbbbd	3275455
cbaaabbbbbbabababbbgbbd	4913183
cbaaabbbbbbabababbgbbbd	4913183
cbaaabbbbbbabababgbbbbd	4913183
cbaaabbbbbbababagbbbbbd	4913183
cbaaabbbbbbababfabbbbbd	4913183
cbaaabbbbbbabagaabbbbbd	4913183
cbaaabbbbbbabfaaabbbbbd	4913183
cbaaabbbbbbagaaaabbbbbd	4913183
cbaaabbbbbbfaaaaabbbbbd	4913183
cbaaabbbbbgaaaaaabbbbbd	4913183
cbaaabbbbgbaaaaaabbbbbd	4913183
cbaaabbbgbbaaaaaabbbbbd	4913183
cbaaabbgbbbaaaaaabbbbbd	4913183
cbaaabgbbbbaaaaaabbbbbd	4913183
cbaaagbbbbbaaaaaabbbbbd	4913183
cbaafabbbbbaaaaaabbbbbd	4913183
cbaebabbbbbaaaaaabbbbbd	4913183
cbeababbbbbaaaaaabbbbbd	4913183
cfbababbbbbaaaaaabbbbbd	4913183
caabababbbbbaaaaaabbbbbd	4913183
caabababbbbbaaaaaabbgbbd	7369775
caabababbbbbaaaaaabgbbbd	7369775
caabababbbbbaaaaaagbbbbd	7369775
caabababbbbbaaaaafabbbbd	7369775
caabababbbbbaaaaebabbbbd	7369775
caabababbbbbaaaeababbbbd	7369775
caabababbbbbaaeaababbbbd	7369775
caabababbbbbaeaaababbbbd	7369775
caabababbbbbeaaaababbbbd	7369775
caabababbbbfbaaaababbbbd	7369775
caabababbbgabaaaababbbbd	7369775
caabababbgbabaaaababbbbd	7369775
caabababgbbabaaaababbbbd	7369775
caababagbbbabaaaababbbbd	7369775
caababfabbbabaaaababbbbd	7369775
caabagaabbbabaaaababbbbd	7369775
caabfaaabbbabaaaababbbbd	7369775
caagaaaabbbabaaaababbbbd	7369775
cafaaaaabbbabaaaababbbbd	7369775
cebaaaaabbbabaaaababbbbd	7369775
cbbaaaaabbbabaaaababbbbd	7369775
cbbaaaaabbbabaaaababgbbd	11054663
cbbaaaaabbbabaaaabagbbbd	11054663
cbbaaaaabbbabaaaabfabbbd	11054663
cbbaaaaabbbabaaaagaabbbd	11054663
cbbaaaaabbbabaaafaaabbbd	11054663
cbbaaaaabbbabaaebaaabbbd	11054663
cbbaaaaabbbabaeabaaabbbd	11054663
cbbaaaaabbbabeaabaaabbbd	11054663
cbbaaaaabbbafbaabaaabbbd	11054663
cbbaaaaabbbebbaabaaabbbd	11054663
cbbaaaaabbfbbbaabaaabbbd	11054663
cbbaaaaabgabbbaabaaabbbd	11054663
cbbaaaaagbabbbaabaaabbbd	11054663
cbbaaaafababbbaabaaabbbd	11054663
cbbaaaebababbbaabaaabbbd	11054663
cbbaaeabababbbaabaaabbbd	11054663
cbbaeaabababbbaabaaabbbd	11054663
cbbeaaabababbbaabaaabbbd	11054663
cbfbaaabababbbaabaaabbbd	11054663
cgabaaabababbbaabaaabbbd	11054663
cababaaabababbbaabaaabbbd	11054663
cababaaabababbbaabaaagbbd	16581995
cababaaabababbbaabaafabbd	16581995
cababaaabababbbaabaebabbd	16581995
cababaaabababbbaabeababbd	16581995
cababaaabababbbaafbababbd	16581995
cababaaabababbbaebbababbd	16581995
cababaaabababbbeabbababbd	16581995
cababaaabababbfbabbababbd	16581995
cababaaabababgababbababbd	16581995
cababaaababagbababbababbd	16581995
cababaaababfabababbababbd	16581995
cababaaabagaabababbababbd	16581995
cababaaabfaaabababbababbd	16581995
cababaaagaaaabababbababbd	16581995
cababaafaaaaabababbababbd	16581995
cababaebaaaaabababbababbd	16581995
cababeabaaaaabababbababbd	16581995
cabafbabaaaaabababbababbd	16581995
cabebbabaaaaabababbababbd	16581995
cafbbbabaaaaabababbababbd	16581995
cebbbbabaaaaabababbababbd	16581995
cbbbbbabaaaaabababbababbd	16581995
cbbbbbabaaaaabababbabfabd	24872993
cbbbbbabaaaaabababbagaabd	24872993
cbbbbbabaaaaabababbfaaabd	24872993
cbbbbbabaaaaabababgaaaabd	24872993
cbbbbbabaaaaababagbaaaabd	24872993
cbbbbbabaaaaababfabaaaabd	24872993
cbbbbbabaaaaabagaabaaaabd	24872993
cbbbbbabaaaaabfaaabaaaabd	24872993
cbbbbbabaaaaagaaaabaaaabd	24872993
cbbbbbabaaaafaaaaabaaaabd	24872993
cbbbbbabaaaebaaaaabaaaabd	24872993
cbbbbbabaaeabaaaaabaaaabd	24872993
cbbbbbabaeaabaaaaabaaaabd	24872993
cbbbbbabeaaabaaaaabaaaabd	24872993
cbbbbbafbaaabaaaaabaaaabd	24872993
cbbbbbebbaaabaaaaabaaaabd	24872993
cbbbbfbbbaaabaaaaabaaaabd	24872993
cbbbgabbbaaabaaaaabaaaabd	24872993
cbbgbabbbaaabaaaaabaaaabd	24872993
cbgbbabbbaaabaaaaabaaaabd	24872993
cgbbbabbbaaabaaaaabaaaabd	24872993
cabbbbabbbaaabaaaaabaaaabd	24872993
cabbbbabbbaaabaaaaabaaebd	18654745
cabbbbabbbaaabaaaaabaeabd	18654745
cabbbbabbbaaabaaaaabeaabd	18654745
cabbbbabbbaaabaaaaafbaabd	18654745
cabbbbabbbaaabaaaaebbaabd	18654745
cabbbbabbbaaabaaaeabbaabd	18654745
cabbbbabbbaaabaaeaabbaabd	18654745
cabbbbabbbaaabaeaaabbaabd	18654745
cabbbbabbbaaabeaaaabbaabd	18654745
cabbbbabbbaaafbaaaabbaabd	18654745
cabbbbabbbaaebbaaaabbaabd	18654745
cabbbbabbbaeabbaaaabbaabd	18654745
cabbbbabbbeaabbaaaabbaabd	18654745
cabbbbabbfbaabbaaaabbaabd	18654745
cabbbbabgabaabbaaaabbaabd	18654745
cabbbbagbabaabbaaaabbaabd	18654745
cabbbbfababaabbaaaabbaabd	18654745
cabbbgaababaabbaaaabbaabd	18654745
cabbgbaababaabbaaaabbaabd	18654745
cabgbbaababaabbaaaabbaabd	18654745
cagbbbaababaabbaaaabbaabd	18654745
cfabbbaababaabbaaaabbaabd	18654745
caaabbbaababaabbaaaabbaabd	18654745
caaabbbaababaabbaaaabbebd	13991059
caaabbbaababaabbaaaabfbbd	13991059
caaabbbaababaabbaaaagabbd	13991059
caaabbbaababaabbaaafaabbd	13991059
caaabbbaababaabbaaebaabbd	13991059
caaabbbaababaabbaeabaabbd	13991059
caaabbbaababaabbeaabaabbd	13991059
caaabbbaababaabfbaabaabbd	13991059
caaabbbaababaagabaabaabbd	13991059
caaabbbaababafaabaabaabbd	13991059
caaabbbaababebaabaabaabbd	13991059
caaabbbaabafbbaabaabaabbd	13991059
caaabbbaabebbbaabaabaabbd	13991059
