"Input number 379027947 with intial rewrite term cabbabaababbbbaaaaaabbbbababbd
Generated final number 5 with final rewrite term cabd
Number of steps: 7924  Number of array doubles: 1"
Term	Number
cabbabaababbbbaaaaaabbbbabfabd	568541921
cabbabaababbbbaaaaaabbbbagaabd	568541921
cabbabaababbbbaaaaaabbbbfaaabd	568541921
cabbabaababbbbaaaaaabbbgaaaabd	568541921
cabbabaababbbbaaaaaabbgbaaaabd	568541921
cabbabaababbbbaaaaaabgbbaaaabd	568541921
cabbabaababbbbaaaaaagbbbaaaabd	568541921
cabbabaababbbbaaaaafabbbaaaabd	568541921
cabbabaababbbbaaaaebabbbaaaabd	568541921
cabbabaababbbbaaaeababbbaaaabd	568541921
cabbabaababbbbaaeaababbbaaaabd	568541921
cabbabaababbbbaeaaababbbaaaabd	568541921
cabbabaababbbbeaaaababbbaaaabd	568541921
cabbabaababbbfbaaaababbbaaaabd	568541921
cabbabaababbgabaaaababbbaaaabd	568541921
cabbabaababgbabaaaababbbaaaabd	568541921
cabbabaabagbbabaaaababbbaaaabd	568541921
cabbabaabfabbabaaaababbbaaaabd	568541921
cabbabaagaabbabaaaababbbaaaabd	568541921
cabbabafaaabbabaaaababbbaaaabd	568541921
cabbabebaaabbabaaaababbbaaaabd	568541921
cabbafbbaaabbabaaaababbbaaaabd	568541921
cabbebbbaaabbabaaaababbbaaaabd	568541921
cabfbbbbaaabbabaaaababbbaaaabd	568541921
cagabbbbaaabbabaaaababbbaaaabd	568541921
cfaabbbbaaabbabaaaababbbaaaabd	568541921
caaaabbbbaaabbabaaaababbbaaaabd	568541921
caaaabbbbaaabbabaaaababbbaaebd	426406441
caaaabbbbaaabbabaaaababbbaeabd	426406441
caaaabbbbaaabbabaaaababbbeaabd	426406441
caaaabbbbaaabbabaaaababbfbaabd	426406441
caaaabbbbaaabbabaaaababgabaabd	426406441
caaaabbbbaaabbabaaaabagbabaabd	426406441
caaaabbbbaaabbabaaaabfababaabd	426406441
caaaabbbbaaabbabaaaagaababaabd	426406441
caaaabbbbaaabbabaaafaaababaabd	426406441
caaaabbbbaaabbabaaebaaababaabd	426406441
caaaabbbbaaabbabaeabaaababaabd	426406441
caaaabbbbaaabbabeaabaaababaabd	426406441
caaaabbbbaaabbafbaabaaababaabd	426406441
caaaabbbbaaabbebbaabaaababaabd	426406441
caaaabbbbaaabfbbbaabaaababaabd	426406441
caaaabbbbaaagabbbaabaaababaabd	426406441
caaaabbbbaafaabbbaabaaababaabd	426406441
caaaabbbbaebaabbbaabaaababaabd	426406441
caaaabbbbeabaabbbaabaaababaabd	426406441
caaaabbbfbabaabbbaabaaababaabd	426406441
caaaabbgababaabbbaabaaababaabd	426406441
caaaabgbababaabbbaabaaababaabd	426406441
caaaagbbababaabbbaabaaababaabd	426406441
caaafabbababaabbbaabaaababaabd	426406441
caaebabbababaabbbaabaaababaabd	426406441
caeababbababaabbbaabaaababaabd	426406441
ceaababbababaabbbaabaaababaabd	426406441
cbaababbababaabbbaabaaababaabd	426406441
cbaababbababaabbbaabaaababebd	319804831
cbaababbababaabbbaabaaabafbbd	319804831
cbaababbababaabbbaabaaabebbbd	319804831
cbaababbababaabbbaabaaafbbbbd	319804831
cbaababbababaabbbaabaaebbbbbd	319804831
