"Input number 50078847 with intial rewrite term cabbbbbbaaaabaabaaabbbbbbbd
Generated final number 7 with final rewrite term cbbd
Number of steps: 1955  Number of array doubles: 0"
Term	Number
cabbbbbbaaaabaabaaabbbbgbbd	75118271
cabbbbbbaaaabaabaaabbbgbbbd	75118271
cabbbbbbaaaabaabaaabbgbbbbd	75118271
cabbbbbbaaaabaabaaabgbbbbbd	75118271
cabbbbbbaaaabaabaaagbbbbbbd	75118271
cabbbbbbaaaabaabaafabbbbbbd	75118271
cabbbbbbaaaabaabaebabbbbbbd	75118271
cabbbbbbaaaabaabeababbbbbbd	75118271
cabbbbbbaaaabaafbababbbbbbd	75118271
cabbbbbbaaaabaebbababbbbbbd	75118271
cabbbbbbaaaabeabbababbbbbbd	75118271
cabbbbbbaaaafbabbababbbbbbd	75118271
cabbbbbbaaaebbabbababbbbbbd	75118271
cabbbbbbaaeabbabbababbbbbbd	75118271
cabbbbbbaeaabbabbababbbbbbd	75118271
cabbbbbbeaaabbabbababbbbbbd	75118271
cabbbbbfbaaabbabbababbbbbbd	75118271
cabbbbgabaaabbabbababbbbbbd	75118271
cabbbgbabaaabbabbababbbbbbd	75118271
cabbgbbabaaabbabbababbbbbbd	75118271
cabgbbbabaaabbabbababbbbbbd	75118271
cagbbbbabaaabbabbababbbbbbd	75118271
cfabbbbabaaabbabbababbbbbbd	75118271
caaabbbbabaaabbabbababbbbbbd	75118271
caaabbbbabaaabbabbababbbgbbd	112677407
caaabbbbabaaabbabbababbgbbbd	112677407
caaabbbbabaaabbabbababgbbbbd	112677407
caaabbbbabaaabbabbabagbbbbbd	112677407
caaabbbbabaaabbabbabfabbbbbd	112677407
caaabbbbabaaabbabbagaabbbbbd	112677407
caaabbbbabaaabbabbfaaabbbbbd	112677407
caaabbbbabaaabbabgaaaabbbbbd	112677407
caaabbbbabaaabbagbaaaabbbbbd	112677407
caaabbbbabaaabbfabaaaabbbbbd	112677407
caaabbbbabaaabgaabaaaabbbbbd	112677407
caaabbbbabaaagbaabaaaabbbbbd	112677407
caaabbbbabaafabaabaaaabbbbbd	112677407
caaabbbbabaebabaabaaaabbbbbd	112677407
caaabbbbabeababaabaaaabbbbbd	112677407
caaabbbbafbababaabaaaabbbbbd	112677407
caaabbbbebbababaabaaaabbbbbd	112677407
caaabbbfbbbababaabaaaabbbbbd	112677407
caaabbgabbbababaabaaaabbbbbd	112677407
caaabgbabbbababaabaaaabbbbbd	112677407
caaagbbabbbababaabaaaabbbbbd	112677407
caafabbabbbababaabaaaabbbbbd	112677407
caebabbabbbababaabaaaabbbbbd	112677407
ceababbabbbababaabaaaabbbbbd	112677407
cbababbabbbababaabaaaabbbbbd	112677407
cbababbabbbababaabaaaabbgbbd	169016111
cbababbabbbababaabaaaabgbbbd	169016111
cbababbabbbababaabaaaagbbbbd	169016111
cbababbabbbababaabaaafabbbbd	169016111
cbababbabbbababaabaaebabbbbd	169016111
cbababbabbbababaabaeababbbbd	169016111
cbababbabbbababaabeaababbbbd	169016111
cbababbabbbababaafbaababbbbd	169016111
cbababbabbbababaebbaababbbbd	169016111
cbababbabbbababeabbaababbbbd	169016111
cbababbabbbabafbabbaababbbbd	169016111
cbababbabbbabebbabbaababbbbd	169016111
cbababbabbbafbbbabbaababbbbd	169016111
cbababbabbbebbbbabbaababbbbd	169016111
cbababbabbfbbbbbabbaababbbbd	169016111
cbababbabgabbbbbabbaababbbbd	169016111
cbababbagbabbbbbabbaababbbbd	169016111
cbababbfababbbbbabbaababbbbd	169016111
cbababgaababbbbbabbaababbbbd	169016111
cbabagbaababbbbbabbaababbbbd	169016111
cbabfabaababbbbbabbaababbbbd	169016111
cbagaabaababbbbbabbaababbbbd	169016111
cbfaaabaababbbbbabbaababbbbd	169016111
cgaaaabaababbbbbabbaababbbbd	169016111
cabaaaabaababbbbbabbaababbbbd	169016111
cabaaaabaababbbbbabbaababgbbd	253524167
cabaaaabaababbbbbabbaabagbbbd	253524167
cabaaaabaababbbbbabbaabfabbbd	253524167
cabaaaabaababbbbbabbaagaabbbd	253524167
cabaaaabaababbbbbabbafaaabbbd	253524167
cabaaaabaababbbbbabbebaaabbbd	253524167
cabaaaabaababbbbbabfbbaaabbbd	253524167
cabaaaabaababbbbbagabbaaabbbd	253524167
cabaaaabaababbbbbfaabbaaabbbd	253524167
cabaaaabaababbbbgaaabbaaabbbd	253524167
cabaaaabaababbbgbaaabbaaabbbd	253524167
cabaaaabaababbgbbaaabbaaabbbd	253524167
cabaaaabaababgbbbaaabbaaabbbd	253524167
cabaaaabaabagbbbbaaabbaaabbbd	253524167
cabaaaabaabfabbbbaaabbaaabbbd	253524167
cabaaaabaagaabbbbaaabbaaabbbd	253524167
cabaaaabafaaabbbbaaabbaaabbbd	253524167
cabaaaabebaaabbbbaaabbaaabbbd	253524167
cabaaaafbbaaabbbbaaabbaaabbbd	253524167
cabaaaebbbaaabbbbaaabbaaabbbd	253524167
cabaaeabbbaaabbbbaaabbaaabbbd	253524167
cabaeaabbbaaabbbbaaabbaaabbbd	253524167
cabeaaabbbaaabbbbaaabbaaabbbd	253524167
cafbaaabbbaaabbbbaaabbaaabbbd	253524167
cebbaaabbbaaabbbbaaabbaaabbbd	253524167
cbbbaaabbbaaabbbbaaabbaaabbbd	253524167
cbbbaaabbbaaabbbbaaabbaaagbbd	380286251
cbbbaaabbbaaabbbbaaabbaafabbd	380286251
cbbbaaabbbaaabbbbaaabbaebabbd	380286251
cbbbaaabbbaaabbbbaaabbeababbd	380286251
cbbbaaabbbaaabbbbaaabfbababbd	380286251
cbbbaaabbbaaabbbbaaagabababbd	380286251
cbbbaaabbbaaabbbbaafaabababbd	380286251
cbbbaaabbbaaabbbbaebaabababbd	380286251
cbbbaaabbbaaabbbbeabaabababbd	380286251
cbbbaaabbbaaabbbfbabaabababbd	380286251
cbbbaaabbbaaabbgababaabababbd	380286251
cbbbaaabbbaaabgbababaabababbd	380286251
cbbbaaabbbaaagbbababaabababbd	380286251
cbbbaaabbbaafabbababaabababbd	380286251
cbbbaaabbbaebabbababaabababbd	380286251
cbbbaaabbbeababbababaabababbd	380286251
cbbbaaabbfbababbababaabababbd	380286251
cbbbaaabgabababbababaabababbd	380286251
cbbbaaagbabababbababaabababbd	380286251
cbbbaafababababbababaabababbd	380286251
cbbbaebababababbababaabababbd	380286251
cbbbeabababababbababaabababbd	380286251
cbbfbabababababbababaabababbd	380286251
cbgababababababbababaabababbd	380286251
cgbababababababbababaabababbd	380286251
cabbababababababbababaabababbd	380286251
cabbababababababbababaababfabd	570429377
cabbababababababbababaabagaabd	570429377
cabbababababababbababaabfaaabd	570429377
cabbababababababbababaagaaaabd	570429377
cabbababababababbababafaaaaabd	570429377
cabbababababababbababebaaaaabd	570429377
cabbababababababbabafbbaaaaabd	570429377
cabbababababababbabebbbaaaaabd	570429377
cabbababababababbafbbbbaaaaabd	570429377
cabbababababababbebbbbbaaaaabd	570429377
cabbababababababfbbbbbbaaaaabd	570429377
cabbabababababagabbbbbbaaaaabd	570429377
cabbabababababfaabbbbbbaaaaabd	570429377
cabbababababagaaabbbbbbaaaaabd	570429377
cabbababababfaaaabbbbbbaaaaabd	570429377
cabbabababagaaaaabbbbbbaaaaabd	570429377
cabbabababfaaaaaabbbbbbaaaaabd	570429377
cabbababagaaaaaaabbbbbbaaaaabd	570429377
cabbababfaaaaaaaabbbbbbaaaaabd	570429377
cabbabagaaaaaaaaabbbbbbaaaaabd	570429377
cabbabfaaaaaaaaaabbbbbbaaaaabd	570429377
cabbagaaaaaaaaaaabbbbbbaaaaabd	570429377
cabbfaaaaaaaaaaaabbbbbbaaaaabd	570429377
cabgaaaaaaaaaaaaabbbbbbaaaaabd	570429377
cagbaaaaaaaaaaaaabbbbbbaaaaabd	570429377
cfabaaaaaaaaaaaaabbbbbbaaaaabd	570429377
caaabaaaaaaaaaaaaabbbbbbaaaaabd	570429377
caaabaaaaaaaaaaaaabbbbbbaaaebd	427822033
caaabaaaaaaaaaaaaabbbbbbaaeabd	427822033
caaabaaaaaaaaaaaaabbbbbbaeaabd	427822033
caaabaaaaaaaaaaaaabbbbbbeaaabd	427822033
caaabaaaaaaaaaaaaabbbbbfbaaabd	427822033
caaabaaaaaaaaaaaaabbbbgabaaabd	427822033
caaabaaaaaaaaaaaaabbbgbabaaabd	427822033
caaabaaaaaaaaaaaaabbgbbabaaabd	427822033
caaabaaaaaaaaaaaaabgbbbabaaabd	427822033
caaabaaaaaaaaaaaaagbbbbabaaabd	427822033
caaabaaaaaaaaaaaafabbbbabaaabd	427822033
caaabaaaaaaaaaaaebabbbbabaaabd	427822033
caaabaaaaaaaaaaeababbbbabaaabd	427822033
caaabaaaaaaaaaeaababbbbabaaabd	427822033
caaabaaaaaaaaeaaababbbbabaaabd	427822033
caaabaaaaaaaeaaaababbbbabaaabd	427822033
caaabaaaaaaeaaaaababbbbabaaabd	427822033
caaabaaaaaeaaaaaababbbbabaaabd	427822033
caaabaaaaeaaaaaaababbbbabaaabd	427822033
caaabaaaeaaaaaaaababbbbabaaabd	427822033
caaabaaeaaaaaaaaababbbbabaaabd	427822033
caaabaeaaaaaaaaaababbbbabaaabd	427822033
caaabeaaaaaaaaaaababbbbabaaabd	427822033
caaafbaaaaaaaaaaababbbbabaaabd	427822033
caaebbaaaaaaaaaaababbbbabaaabd	427822033
caeabbaaaaaaaaaaababbbbabaaabd	427822033
ceaabbaaaaaaaaaaababbbbabaaabd	427822033
cbaabbaaaaaaaaaaababbbbabaaabd	427822033
cbaabbaaaaaaaaaaababbbbabaebd	320866525
cbaabbaaaaaaaaaaababbbbabeabd	320866525
cbaabbaaaaaaaaaaababbbbafbabd	320866525
cbaabbaaaaaaaaaaababbbbebbabd	320866525
cbaabbaaaaaaaaaaababbbfbbbabd	320866525
cbaabbaaaaaaaaaaababbgabbbabd	320866525
cbaabbaaaaaaaaaaababgbabbbabd	320866525
cbaabbaaaaaaaaaaabagbbabbbabd	320866525
cbaabbaaaaaaaaaaabfabbabbbabd	320866525
cbaabbaaaaaaaaaaagaabbabbbabd	320866525
cbaabbaaaaaaaaaafaaabbabbbabd	320866525
cbaabbaaaaaaaaaebaaabbabbbabd	320866525
cbaabbaaaaaaaaeabaaabbabbbabd	320866525
cbaabbaaaaaaaeaabaaabbabbbabd	320866525
cbaabbaaaaaaeaaabaaabbabbbabd	320866525
cbaabbaaaaaeaaaabaaabbabbbabd	320866525
cbaabbaaaaeaaaaabaaabbabbbabd	320866525
cbaabbaaaeaaaaaabaaabbabbbabd	320866525
cbaabbaaeaaaaaaabaaabbabbbabd	320866525
cbaabbaeaaaaaaaabaaabbabbbabd	320866525
cbaabbeaaaaaaaaabaaabbabbbabd	320866525
cbaabfbaaaaaaaaabaaabbabbbabd	320866525
cbaagabaaaaaaaaabaaabbabbbabd	320866525
cbafaabaaaaaaaaabaaabbabbbabd	320866525
cbebaabaaaaaaaaabaaabbabbbabd	320866525
cfbbaabaaaaaaaaabaaabbabbbabd	320866525
caabbaabaaaaaaaaabaaabbabbbabd	320866525
caabbaabaaaaaaaaabaaabbabbgd	120324947
caabbaabaaaaaaaaabaaabbabgbd	120324947
caabbaabaaaaaaaaabaaabbagbbd	120324947
caabbaabaaaaaaaaabaaabbfabbd	120324947
caabbaabaaaaaaaaabaaabgaabbd	120324947
caabbaabaaaaaaaaabaaagbaabbd	120324947
caabbaabaaaaaaaaabaafabaabbd	120324947
caabbaabaaaaaaaaabaebabaabbd	120324947
caabbaabaaaaaaaaabeababaabbd	120324947
caabbaabaaaaaaaaafbababaabbd	120324947
caabbaabaaaaaaaaebbababaabbd	120324947
caabbaabaaaaaaaeabbababaabbd	120324947
caabbaabaaaaaaeaabbababaabbd	120324947
caabbaabaaaaaeaaabbababaabbd	120324947
caabbaabaaaaeaaaabbababaabbd	120324947
caabbaabaaaeaaaaabbababaabbd	120324947
caabbaabaaeaaaaaabbababaabbd	120324947
caabbaabaeaaaaaaabbababaabbd	120324947
caabbaabeaaaaaaaabbababaabbd	120324947
caabbaafbaaaaaaaabbababaabbd	120324947
caabbaebbaaaaaaaabbababaabbd	120324947
caabbeabbaaaaaaaabbababaabbd	120324947
caabfbabbaaaaaaaabbababaabbd	120324947
caagababbaaaaaaaabbababaabbd	120324947
cafaababbaaaaaaaabbababaabbd	120324947
cebaababbaaaaaaaabbababaabbd	120324947
cbbaababbaaaaaaaabbababaabbd	120324947
cbbaababbaaaaaaaabbababafabd	180487421
cbbaababbaaaaaaaabbababebabd	180487421
cbbaababbaaaaaaaabbabafbbabd	180487421
cbbaababbaaaaaaaabbabebbbabd	180487421
cbbaababbaaaaaaaabbafbbbbabd	180487421
cbbaababbaaaaaaaabbebbbbbabd	180487421
cbbaababbaaaaaaaabfbbbbbbabd	180487421
cbbaababbaaaaaaaagabbbbbbabd	180487421
cbbaababbaaaaaaafaabbbbbbabd	180487421
cbbaababbaaaaaaebaabbbbbbabd	180487421
cbbaababbaaaaaeabaabbbbbbabd	180487421
cbbaababbaaaaeaabaabbbbbbabd	180487421
cbbaababbaaaeaaabaabbbbbbabd	180487421
cbbaababbaaeaaaabaabbbbbbabd	180487421
cbbaababbaeaaaaabaabbbbbbabd	180487421
cbbaababbeaaaaaabaabbbbbbabd	180487421
cbbaababfbaaaaaabaabbbbbbabd	180487421
cbbaabagabaaaaaabaabbbbbbabd	180487421
cbbaabfaabaaaaaabaabbbbbbabd	180487421
cbbaagaaabaaaaaabaabbbbbbabd	180487421
cbbafaaaabaaaaaabaabbbbbbabd	180487421
cbbebaaaabaaaaaabaabbbbbbabd	180487421
cbfbbaaaabaaaaaabaabbbbbbabd	180487421
cgabbaaaabaaaaaabaabbbbbbabd	180487421
cababbaaaabaaaaaabaabbbbbbabd	180487421
cababbaaaabaaaaaabaabbbbbgd	67682783
cababbaaaabaaaaaabaabbbbgbd	67682783
cababbaaaabaaaaaabaabbbgbbd	67682783
cababbaaaabaaaaaabaabbgbbbd	67682783
cababbaaaabaaaaaabaabgbbbbd	67682783
cababbaaaabaaaaaabaagbbbbbd	67682783
cababbaaaabaaaaaabafabbbbbd	67682783
cababbaaaabaaaaaabebabbbbbd	67682783
cababbaaaabaaaaaafbbabbbbbd	67682783
cababbaaaabaaaaaebbbabbbbbd	67682783
cababbaaaabaaaaeabbbabbbbbd	67682783
cababbaaaabaaaeaabbbabbbbbd	67682783
cababbaaaabaaeaaabbbabbbbbd	67682783
cababbaaaabaeaaaabbbabbbbbd	67682783
cababbaaaabeaaaaabbbabbbbbd	67682783
cababbaaaafbaaaaabbbabbbbbd	67682783
cababbaaaebbaaaaabbbabbbbbd	67682783
cababbaaeabbaaaaabbbabbbbbd	67682783
cababbaeaabbaaaaabbbabbbbbd	67682783
cababbeaaabbaaaaabbbabbbbbd	67682783
cababfbaaabbaaaaabbbabbbbbd	67682783
cabagabaaabbaaaaabbbabbbbbd	67682783
cabfaabaaabbaaaaabbbabbbbbd	67682783
cagaaabaaabbaaaaabbbabbbbbd	67682783
cfaaaabaaabbaaaaabbbabbbbbd	67682783
caaaaaabaaabbaaaaabbbabbbbbd	67682783
caaaaaabaaabbaaaaabbbabbgbbd	101524175
caaaaaabaaabbaaaaabbbabgbbbd	101524175
caaaaaabaaabbaaaaabbbagbbbbd	101524175
caaaaaabaaabbaaaaabbbfabbbbd	101524175
caaaaaabaaabbaaaaabbgaabbbbd	101524175
caaaaaabaaabbaaaaabgbaabbbbd	101524175
caaaaaabaaabbaaaaagbbaabbbbd	101524175
caaaaaabaaabbaaaafabbaabbbbd	101524175
caaaaaabaaabbaaaebabbaabbbbd	101524175
caaaaaabaaabbaaeababbaabbbbd	101524175
caaaaaabaaabbaeaababbaabbbbd	101524175
caaaaaabaaabbeaaababbaabbbbd	101524175
caaaaaabaaabfbaaababbaabbbbd	101524175
caaaaaabaaagabaaababbaabbbbd	101524175
caaaaaabaafaabaaababbaabbbbd	101524175
caaaaaabaebaabaaababbaabbbbd	101524175
caaaaaabeabaabaaababbaabbbbd	101524175
caaaaaafbabaabaaababbaabbbbd	101524175
caaaaaebbabaabaaababbaabbbbd	101524175
caaaaeabbabaabaaababbaabbbbd	101524175
caaaeaabbabaabaaababbaabbbbd	101524175
caaeaaabbabaabaaababbaabbbbd	101524175
caeaaaabbabaabaaababbaabbbbd	101524175
ceaaaaabbabaabaaababbaabbbbd	101524175
cbaaaaabbabaabaaababbaabbbbd	101524175
cbaaaaabbabaabaaababbaabgbbd	152286263
cbaaaaabbabaabaaababbaagbbbd	152286263
cbaaaaabbabaabaaababbafabbbd	152286263
cbaaaaabbabaabaaababbebabbbd	152286263
cbaaaaabbabaabaaababfbbabbbd	152286263
cbaaaaabbabaabaaabagabbabbbd	152286263
cbaaaaabbabaabaaabfaabbabbbd	152286263
cbaaaaabbabaabaaagaaabbabbbd	152286263
cbaaaaabbabaabaafaaaabbabbbd	152286263
cbaaaaabbabaabaebaaaabbabbbd	152286263
cbaaaaabbabaabeabaaaabbabbbd	152286263
cbaaaaabbabaafbabaaaabbabbbd	152286263
cbaaaaabbabaebbabaaaabbabbbd	152286263
cbaaaaabbabeabbabaaaabbabbbd	152286263
cbaaaaabbafbabbabaaaabbabbbd	152286263
cbaaaaabbebbabbabaaaabbabbbd	152286263
cbaaaaabfbbbabbabaaaabbabbbd	152286263
cbaaaaagabbbabbabaaaabbabbbd	152286263
cbaaaafaabbbabbabaaaabbabbbd	152286263
cbaaaebaabbbabbabaaaabbabbbd	152286263
cbaaeabaabbbabbabaaaabbabbbd	152286263
cbaeaabaabbbabbabaaaabbabbbd	152286263
cbeaaabaabbbabbabaaaabbabbbd	152286263
cfbaaabaabbbabbabaaaabbabbbd	152286263
caabaaabaabbbabbabaaaabbabbbd	152286263
caabaaabaabbbabbabaaaabbagbbd	228429395
caabaaabaabbbabbabaaaabbfabbd	228429395
caabaaabaabbbabbabaaaabgaabbd	228429395
caabaaabaabbbabbabaaaagbaabbd	228429395
caabaaabaabbbabbabaaafabaabbd	228429395
caabaaabaabbbabbabaaebabaabbd	228429395
caabaaabaabbbabbabaeababaabbd	228429395
caabaaabaabbbabbabeaababaabbd	228429395
caabaaabaabbbabbafbaababaabbd	228429395
caabaaabaabbbabbebbaababaabbd	228429395
caabaaabaabbbabfbbbaababaabbd	228429395
caabaaabaabbbagabbbaababaabbd	228429395
