"Input number 557127 with intial rewrite term caaabaaaaaaaabaaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 1560  Number of array doubles: 1"
Term	Number
caaabaaaaaaaabaaagbbd	835691
caaabaaaaaaaabaafabbd	835691
caaabaaaaaaaabaebabbd	835691
caaabaaaaaaaabeababbd	835691
caaabaaaaaaaafbababbd	835691
caaabaaaaaaaebbababbd	835691
caaabaaaaaaeabbababbd	835691
caaabaaaaaeaabbababbd	835691
caaabaaaaeaaabbababbd	835691
caaabaaaeaaaabbababbd	835691
caaabaaeaaaaabbababbd	835691
caaabaeaaaaaabbababbd	835691
caaabeaaaaaaabbababbd	835691
caaafbaaaaaaabbababbd	835691
caaebbaaaaaaabbababbd	835691
caeabbaaaaaaabbababbd	835691
ceaabbaaaaaaabbababbd	835691
cbaabbaaaaaaabbababbd	835691
cbaabbaaaaaaabbabfabd	1253537
cbaabbaaaaaaabbagaabd	1253537
cbaabbaaaaaaabbfaaabd	1253537
cbaabbaaaaaaabgaaaabd	1253537
cbaabbaaaaaaagbaaaabd	1253537
cbaabbaaaaaafabaaaabd	1253537
cbaabbaaaaaebabaaaabd	1253537
cbaabbaaaaeababaaaabd	1253537
cbaabbaaaeaababaaaabd	1253537
cbaabbaaeaaababaaaabd	1253537
cbaabbaeaaaababaaaabd	1253537
cbaabbeaaaaababaaaabd	1253537
cbaabfbaaaaababaaaabd	1253537
cbaagabaaaaababaaaabd	1253537
cbafaabaaaaababaaaabd	1253537
cbebaabaaaaababaaaabd	1253537
cfbbaabaaaaababaaaabd	1253537
caabbaabaaaaababaaaabd	1253537
caabbaabaaaaababaaebd	940153
caabbaabaaaaababaeabd	940153
caabbaabaaaaababeaabd	940153
caabbaabaaaaabafbaabd	940153
caabbaabaaaaabebbaabd	940153
caabbaabaaaaafbbbaabd	940153
caabbaabaaaaebbbbaabd	940153
caabbaabaaaeabbbbaabd	940153
caabbaabaaeaabbbbaabd	940153
caabbaabaeaaabbbbaabd	940153
caabbaabeaaaabbbbaabd	940153
caabbaafbaaaabbbbaabd	940153
caabbaebbaaaabbbbaabd	940153
caabbeabbaaaabbbbaabd	940153
caabfbabbaaaabbbbaabd	940153
caagababbaaaabbbbaabd	940153
