"Input number 60340335 with intial rewrite term cbbaabbaaababbbaaaabbabbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 1368  Number of array doubles: 0"
Term	Number
cbbaabbaaababbbaaaabbabgbbd	90510503
cbbaabbaaababbbaaaabbagbbbd	90510503
cbbaabbaaababbbaaaabbfabbbd	90510503
cbbaabbaaababbbaaaabgaabbbd	90510503
cbbaabbaaababbbaaaagbaabbbd	90510503
cbbaabbaaababbbaaafabaabbbd	90510503
cbbaabbaaababbbaaebabaabbbd	90510503
cbbaabbaaababbbaeababaabbbd	90510503
cbbaabbaaababbbeaababaabbbd	90510503
cbbaabbaaababbfbaababaabbbd	90510503
cbbaabbaaababgabaababaabbbd	90510503
cbbaabbaaabagbabaababaabbbd	90510503
cbbaabbaaabfababaababaabbbd	90510503
cbbaabbaaagaababaababaabbbd	90510503
cbbaabbaafaaababaababaabbbd	90510503
cbbaabbaebaaababaababaabbbd	90510503
cbbaabbeabaaababaababaabbbd	90510503
cbbaabfbabaaababaababaabbbd	90510503
cbbaagababaaababaababaabbbd	90510503
cbbafaababaaababaababaabbbd	90510503
cbbebaababaaababaababaabbbd	90510503
cbfbbaababaaababaababaabbbd	90510503
cgabbaababaaababaababaabbbd	90510503
cababbaababaaababaababaabbbd	90510503
cababbaababaaababaababaagbbd	135765755
cababbaababaaababaababafabbd	135765755
cababbaababaaababaababebabbd	135765755
cababbaababaaababaabafbbabbd	135765755
cababbaababaaababaabebbbabbd	135765755
cababbaababaaababaafbbbbabbd	135765755
cababbaababaaababaebbbbbabbd	135765755
cababbaababaaababeabbbbbabbd	135765755
cababbaababaaabafbabbbbbabbd	135765755
cababbaababaaabebbabbbbbabbd	135765755
cababbaababaaafbbbabbbbbabbd	135765755
cababbaababaaebbbbabbbbbabbd	135765755
cababbaababaeabbbbabbbbbabbd	135765755
cababbaababeaabbbbabbbbbabbd	135765755
cababbaabafbaabbbbabbbbbabbd	135765755
cababbaabebbaabbbbabbbbbabbd	135765755
cababbaafbbbaabbbbabbbbbabbd	135765755
cababbaebbbbaabbbbabbbbbabbd	135765755
cababbeabbbbaabbbbabbbbbabbd	135765755
cababfbabbbbaabbbbabbbbbabbd	135765755
cabagababbbbaabbbbabbbbbabbd	135765755
cabfaababbbbaabbbbabbbbbabbd	135765755
cagaaababbbbaabbbbabbbbbabbd	135765755
