"Input number 6549279 with intial rewrite term cbaaabbbbbabbbbaaabbbbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 622  Number of array doubles: 0"
Term	Number
cbaaabbbbbabbbbaaabbgbbd	9823919
cbaaabbbbbabbbbaaabgbbbd	9823919
cbaaabbbbbabbbbaaagbbbbd	9823919
cbaaabbbbbabbbbaafabbbbd	9823919
cbaaabbbbbabbbbaebabbbbd	9823919
cbaaabbbbbabbbbeababbbbd	9823919
cbaaabbbbbabbbfbababbbbd	9823919
cbaaabbbbbabbgabababbbbd	9823919
cbaaabbbbbabgbabababbbbd	9823919
cbaaabbbbbagbbabababbbbd	9823919
cbaaabbbbbfabbabababbbbd	9823919
cbaaabbbbgaabbabababbbbd	9823919
cbaaabbbgbaabbabababbbbd	9823919
cbaaabbgbbaabbabababbbbd	9823919
cbaaabgbbbaabbabababbbbd	9823919
cbaaagbbbbaabbabababbbbd	9823919
cbaafabbbbaabbabababbbbd	9823919
cbaebabbbbaabbabababbbbd	9823919
cbeababbbbaabbabababbbbd	9823919
cfbababbbbaabbabababbbbd	9823919
caabababbbbaabbabababbbbd	9823919
caabababbbbaabbabababgbbd	14735879
caabababbbbaabbababagbbbd	14735879
caabababbbbaabbababfabbbd	14735879
caabababbbbaabbabagaabbbd	14735879
caabababbbbaabbabfaaabbbd	14735879
caabababbbbaabbagaaaabbbd	14735879
caabababbbbaabbfaaaaabbbd	14735879
caabababbbbaabgaaaaaabbbd	14735879
caabababbbbaagbaaaaaabbbd	14735879
caabababbbbafabaaaaaabbbd	14735879
caabababbbbebabaaaaaabbbd	14735879
caabababbbfbbabaaaaaabbbd	14735879
caabababbgabbabaaaaaabbbd	14735879
caabababgbabbabaaaaaabbbd	14735879
caababagbbabbabaaaaaabbbd	14735879
caababfabbabbabaaaaaabbbd	14735879
caabagaabbabbabaaaaaabbbd	14735879
caabfaaabbabbabaaaaaabbbd	14735879
caagaaaabbabbabaaaaaabbbd	14735879
cafaaaaabbabbabaaaaaabbbd	14735879
cebaaaaabbabbabaaaaaabbbd	14735879
cbbaaaaabbabbabaaaaaabbbd	14735879
cbbaaaaabbabbabaaaaaagbbd	22103819
cbbaaaaabbabbabaaaaafabbd	22103819
cbbaaaaabbabbabaaaaebabbd	22103819
cbbaaaaabbabbabaaaeababbd	22103819
cbbaaaaabbabbabaaeaababbd	22103819
cbbaaaaabbabbabaeaaababbd	22103819
cbbaaaaabbabbabeaaaababbd	22103819
cbbaaaaabbabbafbaaaababbd	22103819
cbbaaaaabbabbebbaaaababbd	22103819
cbbaaaaabbabfbbbaaaababbd	22103819
cbbaaaaabbagabbbaaaababbd	22103819
cbbaaaaabbfaabbbaaaababbd	22103819
cbbaaaaabgaaabbbaaaababbd	22103819
cbbaaaaagbaaabbbaaaababbd	22103819
cbbaaaafabaaabbbaaaababbd	22103819
cbbaaaebabaaabbbaaaababbd	22103819
cbbaaeababaaabbbaaaababbd	22103819
cbbaeaababaaabbbaaaababbd	22103819
cbbeaaababaaabbbaaaababbd	22103819
cbfbaaababaaabbbaaaababbd	22103819
cgabaaababaaabbbaaaababbd	22103819
cababaaababaaabbbaaaababbd	22103819
cababaaababaaabbbaaaabfabd	33155729
cababaaababaaabbbaaaagaabd	33155729
cababaaababaaabbbaaafaaabd	33155729
cababaaababaaabbbaaebaaabd	33155729
cababaaababaaabbbaeabaaabd	33155729
cababaaababaaabbbeaabaaabd	33155729
cababaaababaaabbfbaabaaabd	33155729
cababaaababaaabgabaabaaabd	33155729
cababaaababaaagbabaabaaabd	33155729
cababaaababaafababaabaaabd	33155729
cababaaababaebababaabaaabd	33155729
cababaaababeabababaabaaabd	33155729
cababaaabafbabababaabaaabd	33155729
cababaaabebbabababaabaaabd	33155729
cababaaafbbbabababaabaaabd	33155729
cababaaebbbbabababaabaaabd	33155729
cababaeabbbbabababaabaaabd	33155729
cababeaabbbbabababaabaaabd	33155729
cabafbaabbbbabababaabaaabd	33155729
cabebbaabbbbabababaabaaabd	33155729
cafbbbaabbbbabababaabaaabd	33155729
cebbbbaabbbbabababaabaaabd	33155729
cbbbbbaabbbbabababaabaaabd	33155729
cbbbbbaabbbbabababaabaebd	24866797
cbbbbbaabbbbabababaabeabd	24866797
cbbbbbaabbbbabababaafbabd	24866797
cbbbbbaabbbbabababaebbabd	24866797
cbbbbbaabbbbabababeabbabd	24866797
cbbbbbaabbbbababafbabbabd	24866797
cbbbbbaabbbbababebbabbabd	24866797
cbbbbbaabbbbabafbbbabbabd	24866797
cbbbbbaabbbbabebbbbabbabd	24866797
cbbbbbaabbbbafbbbbbabbabd	24866797
cbbbbbaabbbbebbbbbbabbabd	24866797
cbbbbbaabbbfbbbbbbbabbabd	24866797
cbbbbbaabbgabbbbbbbabbabd	24866797
cbbbbbaabgbabbbbbbbabbabd	24866797
cbbbbbaagbbabbbbbbbabbabd	24866797
cbbbbbafabbabbbbbbbabbabd	24866797
cbbbbbebabbabbbbbbbabbabd	24866797
cbbbbfbbabbabbbbbbbabbabd	24866797
cbbbgabbabbabbbbbbbabbabd	24866797
cbbgbabbabbabbbbbbbabbabd	24866797
cbgbbabbabbabbbbbbbabbabd	24866797
cgbbbabbabbabbbbbbbabbabd	24866797
cabbbbabbabbabbbbbbbabbabd	24866797
cabbbbabbabbabbbbbbbabgd	9325049
cabbbbabbabbabbbbbbbagbd	9325049
cabbbbabbabbabbbbbbbfabd	9325049
cabbbbabbabbabbbbbbgaabd	9325049
cabbbbabbabbabbbbbgbaabd	9325049
cabbbbabbabbabbbbgbbaabd	9325049
cabbbbabbabbabbbgbbbaabd	9325049
cabbbbabbabbabbgbbbbaabd	9325049
cabbbbabbabbabgbbbbbaabd	9325049
cabbbbabbabbagbbbbbbaabd	9325049
cabbbbabbabbfabbbbbbaabd	9325049
cabbbbabbabgaabbbbbbaabd	9325049
cabbbbabbagbaabbbbbbaabd	9325049
cabbbbabbfabaabbbbbbaabd	9325049
cabbbbabgaabaabbbbbbaabd	9325049
cabbbbagbaabaabbbbbbaabd	9325049
cabbbbfabaabaabbbbbbaabd	9325049
cabbbgaabaabaabbbbbbaabd	9325049
cabbgbaabaabaabbbbbbaabd	9325049
cabgbbaabaabaabbbbbbaabd	9325049
cagbbbaabaabaabbbbbbaabd	9325049
cfabbbaabaabaabbbbbbaabd	9325049
caaabbbaabaabaabbbbbbaabd	9325049
caaabbbaabaabaabbbbbbebd	6993787
caaabbbaabaabaabbbbbfbbd	6993787
caaabbbaabaabaabbbbgabbd	6993787
caaabbbaabaabaabbbgbabbd	6993787
caaabbbaabaabaabbgbbabbd	6993787
caaabbbaabaabaabgbbbabbd	6993787
caaabbbaabaabaagbbbbabbd	6993787
caaabbbaabaabafabbbbabbd	6993787
caaabbbaabaabebabbbbabbd	6993787
caaabbbaabaafbbabbbbabbd	6993787
caaabbbaabaebbbabbbbabbd	6993787
caaabbbaabeabbbabbbbabbd	6993787
caaabbbaafbabbbabbbbabbd	6993787
caaabbbaebbabbbabbbbabbd	6993787
caaabbbeabbabbbabbbbabbd	6993787
caaabbfbabbabbbabbbbabbd	6993787
caaabgababbabbbabbbbabbd	6993787
caaagbababbabbbabbbbabbd	6993787
caafabababbabbbabbbbabbd	6993787
caebabababbabbbabbbbabbd	6993787
ceababababbabbbabbbbabbd	6993787
cbababababbabbbabbbbabbd	6993787
cbababababbabbbabbbbfabd	10490681
cbababababbabbbabbbgaabd	10490681
cbababababbabbbabbgbaabd	10490681
cbababababbabbbabgbbaabd	10490681
