"Input number 6823 with intial rewrite term cbabababaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 423  Number of array doubles: 0"
Term	Number
cbabababaagbbd	10235
cbabababafabbd	10235
cbabababebabbd	10235
cbababafbbabbd	10235
cbababebbbabbd	10235
cbabafbbbbabbd	10235
cbabebbbbbabbd	10235
cbafbbbbbbabbd	10235
cbebbbbbbbabbd	10235
cfbbbbbbbbabbd	10235
caabbbbbbbbabbd	10235
caabbbbbbbbfabd	15353
caabbbbbbbgaabd	15353
caabbbbbbgbaabd	15353
caabbbbbgbbaabd	15353
caabbbbgbbbaabd	15353
caabbbgbbbbaabd	15353
caabbgbbbbbaabd	15353
caabgbbbbbbaabd	15353
caagbbbbbbbaabd	15353
cafabbbbbbbaabd	15353
cebabbbbbbbaabd	15353
cbbabbbbbbbaabd	15353
cbbabbbbbbbebd	11515
cbbabbbbbbfbbd	11515
cbbabbbbbgabbd	11515
cbbabbbbgbabbd	11515
cbbabbbgbbabbd	11515
cbbabbgbbbabbd	11515
cbbabgbbbbabbd	11515
cbbagbbbbbabbd	11515
cbbfabbbbbabbd	11515
cbgaabbbbbabbd	11515
cgbaabbbbbabbd	11515
cabbaabbbbbabbd	11515
cabbaabbbbbfabd	17273
cabbaabbbbgaabd	17273
cabbaabbbgbaabd	17273
cabbaabbgbbaabd	17273
cabbaabgbbbaabd	17273
cabbaagbbbbaabd	17273
cabbafabbbbaabd	17273
cabbebabbbbaabd	17273
cabfbbabbbbaabd	17273
cagabbabbbbaabd	17273
cfaabbabbbbaabd	17273
caaaabbabbbbaabd	17273
caaaabbabbbbebd	12955
caaaabbabbbfbbd	12955
caaaabbabbgabbd	12955
caaaabbabgbabbd	12955
caaaabbagbbabbd	12955
caaaabbfabbabbd	12955
caaaabgaabbabbd	12955
caaaagbaabbabbd	12955
caaafabaabbabbd	12955
caaebabaabbabbd	12955
caeababaabbabbd	12955
ceaababaabbabbd	12955
cbaababaabbabbd	12955
cbaababaabbfabd	19433
cbaababaabgaabd	19433
cbaababaagbaabd	19433
cbaababafabaabd	19433
cbaababebabaabd	19433
cbaabafbbabaabd	19433
cbaabebbbabaabd	19433
cbaafbbbbabaabd	19433
cbaebbbbbabaabd	19433
cbeabbbbbabaabd	19433
cfbabbbbbabaabd	19433
caababbbbbabaabd	19433
caababbbbbabebd	14575
caababbbbbafbbd	14575
caababbbbbebbbd	14575
caababbbbfbbbbd	14575
caababbbgabbbbd	14575
caababbgbabbbbd	14575
caababgbbabbbbd	14575
caabagbbbabbbbd	14575
caabfabbbabbbbd	14575
caagaabbbabbbbd	14575
cafaaabbbabbbbd	14575
cebaaabbbabbbbd	14575
cbbaaabbbabbbbd	14575
cbbaaabbbabgbbd	21863
cbbaaabbbagbbbd	21863
cbbaaabbbfabbbd	21863
cbbaaabbgaabbbd	21863
cbbaaabgbaabbbd	21863
cbbaaagbbaabbbd	21863
cbbaafabbaabbbd	21863
cbbaebabbaabbbd	21863
cbbeababbaabbbd	21863
cbfbababbaabbbd	21863
cgabababbaabbbd	21863
cababababbaabbbd	21863
cababababbaagbbd	32795
cababababbafabbd	32795
cababababbebabbd	32795
cababababfbbabbd	32795
cabababagabbabbd	32795
cabababfaabbabbd	32795
cababagaaabbabbd	32795
cababfaaaabbabbd	32795
cabagaaaaabbabbd	32795
cabfaaaaaabbabbd	32795
cagaaaaaaabbabbd	32795
cfaaaaaaaabbabbd	32795
caaaaaaaaaabbabbd	32795
caaaaaaaaaabbfabd	49193
caaaaaaaaaabgaabd	49193
caaaaaaaaaagbaabd	49193
caaaaaaaaafabaabd	49193
caaaaaaaaebabaabd	49193
caaaaaaaeababaabd	49193
caaaaaaeaababaabd	49193
caaaaaeaaababaabd	49193
caaaaeaaaababaabd	49193
caaaeaaaaababaabd	49193
caaeaaaaaababaabd	49193
caeaaaaaaababaabd	49193
ceaaaaaaaababaabd	49193
cbaaaaaaaababaabd	49193
cbaaaaaaaababebd	36895
cbaaaaaaaabafbbd	36895
cbaaaaaaaabebbbd	36895
cbaaaaaaaafbbbbd	36895
cbaaaaaaaebbbbbd	36895
cbaaaaaaeabbbbbd	36895
cbaaaaaeaabbbbbd	36895
cbaaaaeaaabbbbbd	36895
cbaaaeaaaabbbbbd	36895
cbaaeaaaaabbbbbd	36895
cbaeaaaaaabbbbbd	36895
cbeaaaaaaabbbbbd	36895
cfbaaaaaaabbbbbd	36895
caabaaaaaaabbbbbd	36895
caabaaaaaaabbgbbd	55343
caabaaaaaaabgbbbd	55343
caabaaaaaaagbbbbd	55343
caabaaaaaafabbbbd	55343
caabaaaaaebabbbbd	55343
caabaaaaeababbbbd	55343
caabaaaeaababbbbd	55343
caabaaeaaababbbbd	55343
caabaeaaaababbbbd	55343
caabeaaaaababbbbd	55343
caafbaaaaababbbbd	55343
caebbaaaaababbbbd	55343
ceabbaaaaababbbbd	55343
cbabbaaaaababbbbd	55343
cbabbaaaaababgbbd	83015
cbabbaaaaabagbbbd	83015
cbabbaaaaabfabbbd	83015
cbabbaaaaagaabbbd	83015
cbabbaaaafaaabbbd	83015
cbabbaaaebaaabbbd	83015
cbabbaaeabaaabbbd	83015
cbabbaeaabaaabbbd	83015
cbabbeaaabaaabbbd	83015
cbabfbaaabaaabbbd	83015
cbagabaaabaaabbbd	83015
cbfaabaaabaaabbbd	83015
cgaaabaaabaaabbbd	83015
cabaaabaaabaaabbbd	83015
cabaaabaaabaaagbbd	124523
cabaaabaaabaafabbd	124523
cabaaabaaabaebabbd	124523
cabaaabaaabeababbd	124523
cabaaabaaafbababbd	124523
cabaaabaaebbababbd	124523
cabaaabaeabbababbd	124523
