"Input number 868777 with intial rewrite term cbababaaaaabbababaabd
Generated final number 5 with final rewrite term cabd
Number of steps: 995  Number of array doubles: 0"
Term	Number
cbababaaaaabbababebd	651583
cbababaaaaabbabafbbd	651583
cbababaaaaabbabebbbd	651583
cbababaaaaabbafbbbbd	651583
cbababaaaaabbebbbbbd	651583
cbababaaaaabfbbbbbbd	651583
cbababaaaaagabbbbbbd	651583
cbababaaaafaabbbbbbd	651583
cbababaaaebaabbbbbbd	651583
cbababaaeabaabbbbbbd	651583
cbababaeaabaabbbbbbd	651583
cbababeaaabaabbbbbbd	651583
cbabafbaaabaabbbbbbd	651583
cbabebbaaabaabbbbbbd	651583
cbafbbbaaabaabbbbbbd	651583
cbebbbbaaabaabbbbbbd	651583
cfbbbbbaaabaabbbbbbd	651583
caabbbbbaaabaabbbbbbd	651583
caabbbbbaaabaabbbgbbd	977375
caabbbbbaaabaabbgbbbd	977375
caabbbbbaaabaabgbbbbd	977375
caabbbbbaaabaagbbbbbd	977375
caabbbbbaaabafabbbbbd	977375
caabbbbbaaabebabbbbbd	977375
caabbbbbaaafbbabbbbbd	977375
caabbbbbaaebbbabbbbbd	977375
caabbbbbaeabbbabbbbbd	977375
caabbbbbeaabbbabbbbbd	977375
caabbbbfbaabbbabbbbbd	977375
caabbbgabaabbbabbbbbd	977375
caabbgbabaabbbabbbbbd	977375
caabgbbabaabbbabbbbbd	977375
caagbbbabaabbbabbbbbd	977375
cafabbbabaabbbabbbbbd	977375
cebabbbabaabbbabbbbbd	977375
cbbabbbabaabbbabbbbbd	977375
cbbabbbabaabbbabbgbbd	1466063
cbbabbbabaabbbabgbbbd	1466063
cbbabbbabaabbbagbbbbd	1466063
cbbabbbabaabbbfabbbbd	1466063
cbbabbbabaabbgaabbbbd	1466063
cbbabbbabaabgbaabbbbd	1466063
cbbabbbabaagbbaabbbbd	1466063
cbbabbbabafabbaabbbbd	1466063
cbbabbbabebabbaabbbbd	1466063
cbbabbbafbbabbaabbbbd	1466063
cbbabbbebbbabbaabbbbd	1466063
cbbabbfbbbbabbaabbbbd	1466063
cbbabgabbbbabbaabbbbd	1466063
cbbagbabbbbabbaabbbbd	1466063
cbbfababbbbabbaabbbbd	1466063
cbgaababbbbabbaabbbbd	1466063
cgbaababbbbabbaabbbbd	1466063
cabbaababbbbabbaabbbbd	1466063
cabbaababbbbabbaabgbbd	2199095
cabbaababbbbabbaagbbbd	2199095
cabbaababbbbabbafabbbd	2199095
cabbaababbbbabbebabbbd	2199095
cabbaababbbbabfbbabbbd	2199095
cabbaababbbbagabbabbbd	2199095
cabbaababbbbfaabbabbbd	2199095
cabbaababbbgaaabbabbbd	2199095
cabbaababbgbaaabbabbbd	2199095
cabbaababgbbaaabbabbbd	2199095
cabbaabagbbbaaabbabbbd	2199095
cabbaabfabbbaaabbabbbd	2199095
cabbaagaabbbaaabbabbbd	2199095
cabbafaaabbbaaabbabbbd	2199095
cabbebaaabbbaaabbabbbd	2199095
cabfbbaaabbbaaabbabbbd	2199095
cagabbaaabbbaaabbabbbd	2199095
cfaabbaaabbbaaabbabbbd	2199095
caaaabbaaabbbaaabbabbbd	2199095
caaaabbaaabbbaaabbagbbd	3298643
caaaabbaaabbbaaabbfabbd	3298643
caaaabbaaabbbaaabgaabbd	3298643
caaaabbaaabbbaaagbaabbd	3298643
caaaabbaaabbbaafabaabbd	3298643
caaaabbaaabbbaebabaabbd	3298643
caaaabbaaabbbeababaabbd	3298643
caaaabbaaabbfbababaabbd	3298643
caaaabbaaabgabababaabbd	3298643
caaaabbaaagbabababaabbd	3298643
caaaabbaafababababaabbd	3298643
caaaabbaebababababaabbd	3298643
caaaabbeabababababaabbd	3298643
caaaabfbabababababaabbd	3298643
caaaagababababababaabbd	3298643
caaafaababababababaabbd	3298643
caaebaababababababaabbd	3298643
caeabaababababababaabbd	3298643
ceaabaababababababaabbd	3298643
cbaabaababababababaabbd	3298643
cbaabaababababababafabd	4947965
cbaabaababababababebabd	4947965
cbaabaabababababafbbabd	4947965
cbaabaabababababebbbabd	4947965
cbaabaababababafbbbbabd	4947965
cbaabaababababebbbbbabd	4947965
cbaabaabababafbbbbbbabd	4947965
cbaabaabababebbbbbbbabd	4947965
cbaabaababafbbbbbbbbabd	4947965
cbaabaababebbbbbbbbbabd	4947965
cbaabaabafbbbbbbbbbbabd	4947965
cbaabaabebbbbbbbbbbbabd	4947965
cbaabaafbbbbbbbbbbbbabd	4947965
cbaabaebbbbbbbbbbbbbabd	4947965
cbaabeabbbbbbbbbbbbbabd	4947965
cbaafbabbbbbbbbbbbbbabd	4947965
cbaebbabbbbbbbbbbbbbabd	4947965
cbeabbabbbbbbbbbbbbbabd	4947965
cfbabbabbbbbbbbbbbbbabd	4947965
caababbabbbbbbbbbbbbbabd	4947965
caababbabbbbbbbbbbbbgd	1855487
caababbabbbbbbbbbbbgbd	1855487
caababbabbbbbbbbbbgbbd	1855487
caababbabbbbbbbbbgbbbd	1855487
caababbabbbbbbbbgbbbbd	1855487
caababbabbbbbbbgbbbbbd	1855487
caababbabbbbbbgbbbbbbd	1855487
caababbabbbbbgbbbbbbbd	1855487
caababbabbbbgbbbbbbbbd	1855487
caababbabbbgbbbbbbbbbd	1855487
caababbabbgbbbbbbbbbbd	1855487
caababbabgbbbbbbbbbbbd	1855487
caababbagbbbbbbbbbbbbd	1855487
caababbfabbbbbbbbbbbbd	1855487
caababgaabbbbbbbbbbbbd	1855487
caabagbaabbbbbbbbbbbbd	1855487
caabfabaabbbbbbbbbbbbd	1855487
caagaabaabbbbbbbbbbbbd	1855487
cafaaabaabbbbbbbbbbbbd	1855487
cebaaabaabbbbbbbbbbbbd	1855487
cbbaaabaabbbbbbbbbbbbd	1855487
cbbaaabaabbbbbbbbbgbbd	2783231
cbbaaabaabbbbbbbbgbbbd	2783231
cbbaaabaabbbbbbbgbbbbd	2783231
cbbaaabaabbbbbbgbbbbbd	2783231
cbbaaabaabbbbbgbbbbbbd	2783231
cbbaaabaabbbbgbbbbbbbd	2783231
cbbaaabaabbbgbbbbbbbbd	2783231
cbbaaabaabbgbbbbbbbbbd	2783231
cbbaaabaabgbbbbbbbbbbd	2783231
cbbaaabaagbbbbbbbbbbbd	2783231
cbbaaabafabbbbbbbbbbbd	2783231
cbbaaabebabbbbbbbbbbbd	2783231
cbbaaafbbabbbbbbbbbbbd	2783231
cbbaaebbbabbbbbbbbbbbd	2783231
cbbaeabbbabbbbbbbbbbbd	2783231
cbbeaabbbabbbbbbbbbbbd	2783231
cbfbaabbbabbbbbbbbbbbd	2783231
cgabaabbbabbbbbbbbbbbd	2783231
cababaabbbabbbbbbbbbbbd	2783231
cababaabbbabbbbbbbbgbbd	4174847
cababaabbbabbbbbbbgbbbd	4174847
cababaabbbabbbbbbgbbbbd	4174847
cababaabbbabbbbbgbbbbbd	4174847
cababaabbbabbbbgbbbbbbd	4174847
cababaabbbabbbgbbbbbbbd	4174847
cababaabbbabbgbbbbbbbbd	4174847
cababaabbbabgbbbbbbbbbd	4174847
cababaabbbagbbbbbbbbbbd	4174847
cababaabbbfabbbbbbbbbbd	4174847
cababaabbgaabbbbbbbbbbd	4174847
cababaabgbaabbbbbbbbbbd	4174847
cababaagbbaabbbbbbbbbbd	4174847
cababafabbaabbbbbbbbbbd	4174847
cababebabbaabbbbbbbbbbd	4174847
cabafbbabbaabbbbbbbbbbd	4174847
cabebbbabbaabbbbbbbbbbd	4174847
cafbbbbabbaabbbbbbbbbbd	4174847
cebbbbbabbaabbbbbbbbbbd	4174847
cbbbbbbabbaabbbbbbbbbbd	4174847
cbbbbbbabbaabbbbbbbgbbd	6262271
cbbbbbbabbaabbbbbbgbbbd	6262271
cbbbbbbabbaabbbbbgbbbbd	6262271
cbbbbbbabbaabbbbgbbbbbd	6262271
cbbbbbbabbaabbbgbbbbbbd	6262271
cbbbbbbabbaabbgbbbbbbbd	6262271
cbbbbbbabbaabgbbbbbbbbd	6262271
cbbbbbbabbaagbbbbbbbbbd	6262271
cbbbbbbabbafabbbbbbbbbd	6262271
cbbbbbbabbebabbbbbbbbbd	6262271
cbbbbbbabfbbabbbbbbbbbd	6262271
cbbbbbbagabbabbbbbbbbbd	6262271
cbbbbbbfaabbabbbbbbbbbd	6262271
cbbbbbgaaabbabbbbbbbbbd	6262271
cbbbbgbaaabbabbbbbbbbbd	6262271
cbbbgbbaaabbabbbbbbbbbd	6262271
cbbgbbbaaabbabbbbbbbbbd	6262271
cbgbbbbaaabbabbbbbbbbbd	6262271
cgbbbbbaaabbabbbbbbbbbd	6262271
cabbbbbbaaabbabbbbbbbbbd	6262271
cabbbbbbaaabbabbbbbbgbbd	9393407
cabbbbbbaaabbabbbbbgbbbd	9393407
cabbbbbbaaabbabbbbgbbbbd	9393407
cabbbbbbaaabbabbbgbbbbbd	9393407
cabbbbbbaaabbabbgbbbbbbd	9393407
cabbbbbbaaabbabgbbbbbbbd	9393407
cabbbbbbaaabbagbbbbbbbbd	9393407
cabbbbbbaaabbfabbbbbbbbd	9393407
cabbbbbbaaabgaabbbbbbbbd	9393407
cabbbbbbaaagbaabbbbbbbbd	9393407
cabbbbbbaafabaabbbbbbbbd	9393407
cabbbbbbaebabaabbbbbbbbd	9393407
cabbbbbbeababaabbbbbbbbd	9393407
cabbbbbfbababaabbbbbbbbd	9393407
cabbbbgabababaabbbbbbbbd	9393407
cabbbgbabababaabbbbbbbbd	9393407
cabbgbbabababaabbbbbbbbd	9393407
cabgbbbabababaabbbbbbbbd	9393407
cagbbbbabababaabbbbbbbbd	9393407
cfabbbbabababaabbbbbbbbd	9393407
caaabbbbabababaabbbbbbbbd	9393407
caaabbbbabababaabbbbbgbbd	14090111
caaabbbbabababaabbbbgbbbd	14090111
caaabbbbabababaabbbgbbbbd	14090111
caaabbbbabababaabbgbbbbbd	14090111
caaabbbbabababaabgbbbbbbd	14090111
caaabbbbabababaagbbbbbbbd	14090111
caaabbbbabababafabbbbbbbd	14090111
caaabbbbabababebabbbbbbbd	14090111
caaabbbbababafbbabbbbbbbd	14090111
caaabbbbababebbbabbbbbbbd	14090111
caaabbbbabafbbbbabbbbbbbd	14090111
