"Input number 907 with intial rewrite term cbbaaababbd
Generated final number 5 with final rewrite term cabd
Number of steps: 111  Number of array doubles: 0"
Term	Number
cbbaaabfabd	1361
cbbaaagaabd	1361
cbbaafaaabd	1361
cbbaebaaabd	1361
cbbeabaaabd	1361
cbfbabaaabd	1361
cgababaaabd	1361
cabababaaabd	1361
cabababaebd	1021
cabababeabd	1021
cababafbabd	1021
cababebbabd	1021
cabafbbbabd	1021
cabebbbbabd	1021
cafbbbbbabd	1021
cebbbbbbabd	1021
cbbbbbbbabd	1021
cbbbbbbgd	383
cbbbbbgbd	383
cbbbbgbbd	383
cbbbgbbbd	383
cbbgbbbbd	383
cbgbbbbbd	383
cgbbbbbbd	383
cabbbbbbbd	383
cabbbbgbbd	575
cabbbgbbbd	575
cabbgbbbbd	575
cabgbbbbbd	575
cagbbbbbbd	575
cfabbbbbbd	575
caaabbbbbbd	575
caaabbbgbbd	863
caaabbgbbbd	863
caaabgbbbbd	863
caaagbbbbbd	863
caafabbbbbd	863
caebabbbbbd	863
ceababbbbbd	863
cbababbbbbd	863
cbababbgbbd	1295
cbababgbbbd	1295
cbabagbbbbd	1295
cbabfabbbbd	1295
cbagaabbbbd	1295
cbfaaabbbbd	1295
cgaaaabbbbd	1295
cabaaaabbbbd	1295
cabaaaabgbbd	1943
cabaaaagbbbd	1943
cabaaafabbbd	1943
cabaaebabbbd	1943
cabaeababbbd	1943
cabeaababbbd	1943
cafbaababbbd	1943
cebbaababbbd	1943
cbbbaababbbd	1943
cbbbaabagbbd	2915
cbbbaabfabbd	2915
cbbbaagaabbd	2915
cbbbafaaabbd	2915
cbbbebaaabbd	2915
cbbfbbaaabbd	2915
cbgabbaaabbd	2915
cgbabbaaabbd	2915
cabbabbaaabbd	2915
cabbabbaafabd	4373
cabbabbaebabd	4373
cabbabbeababd	4373
cabbabfbababd	4373
cabbagabababd	4373
cabbfaabababd	4373
cabgaaabababd	4373
cagbaaabababd	4373
cfabaaabababd	4373
caaabaaabababd	4373
caaabaaabagd	1640
caaabaaabfad	1640
caaabaaagaad	1640
caaabaafaaad	1640
caaabaebaaad	1640
caaabeabaaad	1640
caaafbabaaad	1640
caaebbabaaad	1640
caeabbabaaad	1640
ceaabbabaaad	1640
cbaabbabaaad	1640
cbaabbabaad	820
cbaabbabad	410
cbaabbabd	205
cbaabgd	77
cbaagbd	77
cbafabd	77
cbebabd	77
cfbbabd	77
caabbabd	77
caabgd	29
caagbd	29
cafabd	29
cebabd	29
cbbabd	29
cbgd	11
cgbd	11
cabbd	11
cfabd	17
caaabd	17
caebd	13
ceabd	13
cbabd	13
cgd	5
cabd	5
