"Input number 9826215 with intial rewrite term caabababbbbabbbbbabaabbbd
Generated final number 5 with final rewrite term cabd
Number of steps: 610  Number of array doubles: 0"
Term	Number
caabababbbbabbbbbabaagbbd	14739323
caabababbbbabbbbbabafabbd	14739323
caabababbbbabbbbbabebabbd	14739323
caabababbbbabbbbbafbbabbd	14739323
caabababbbbabbbbbebbbabbd	14739323
caabababbbbabbbbfbbbbabbd	14739323
caabababbbbabbbgabbbbabbd	14739323
caabababbbbabbgbabbbbabbd	14739323
caabababbbbabgbbabbbbabbd	14739323
caabababbbbagbbbabbbbabbd	14739323
caabababbbbfabbbabbbbabbd	14739323
caabababbbgaabbbabbbbabbd	14739323
caabababbgbaabbbabbbbabbd	14739323
caabababgbbaabbbabbbbabbd	14739323
caababagbbbaabbbabbbbabbd	14739323
caababfabbbaabbbabbbbabbd	14739323
caabagaabbbaabbbabbbbabbd	14739323
caabfaaabbbaabbbabbbbabbd	14739323
caagaaaabbbaabbbabbbbabbd	14739323
cafaaaaabbbaabbbabbbbabbd	14739323
cebaaaaabbbaabbbabbbbabbd	14739323
cbbaaaaabbbaabbbabbbbabbd	14739323
cbbaaaaabbbaabbbabbbbfabd	22108985
cbbaaaaabbbaabbbabbbgaabd	22108985
cbbaaaaabbbaabbbabbgbaabd	22108985
cbbaaaaabbbaabbbabgbbaabd	22108985
cbbaaaaabbbaabbbagbbbaabd	22108985
cbbaaaaabbbaabbbfabbbaabd	22108985
cbbaaaaabbbaabbgaabbbaabd	22108985
cbbaaaaabbbaabgbaabbbaabd	22108985
cbbaaaaabbbaagbbaabbbaabd	22108985
cbbaaaaabbbafabbaabbbaabd	22108985
cbbaaaaabbbebabbaabbbaabd	22108985
cbbaaaaabbfbbabbaabbbaabd	22108985
cbbaaaaabgabbabbaabbbaabd	22108985
cbbaaaaagbabbabbaabbbaabd	22108985
cbbaaaafababbabbaabbbaabd	22108985
cbbaaaebababbabbaabbbaabd	22108985
cbbaaeabababbabbaabbbaabd	22108985
cbbaeaabababbabbaabbbaabd	22108985
cbbeaaabababbabbaabbbaabd	22108985
cbfbaaabababbabbaabbbaabd	22108985
cgabaaabababbabbaabbbaabd	22108985
cababaaabababbabbaabbbaabd	22108985
cababaaabababbabbaabbbebd	16581739
cababaaabababbabbaabbfbbd	16581739
cababaaabababbabbaabgabbd	16581739
cababaaabababbabbaagbabbd	16581739
cababaaabababbabbafababbd	16581739
cababaaabababbabbebababbd	16581739
cababaaabababbabfbbababbd	16581739
cababaaabababbagabbababbd	16581739
cababaaabababbfaabbababbd	16581739
cababaaabababgaaabbababbd	16581739
cababaaababagbaaabbababbd	16581739
cababaaababfabaaabbababbd	16581739
cababaaabagaabaaabbababbd	16581739
cababaaabfaaabaaabbababbd	16581739
cababaaagaaaabaaabbababbd	16581739
cababaafaaaaabaaabbababbd	16581739
cababaebaaaaabaaabbababbd	16581739
cababeabaaaaabaaabbababbd	16581739
cabafbabaaaaabaaabbababbd	16581739
cabebbabaaaaabaaabbababbd	16581739
cafbbbabaaaaabaaabbababbd	16581739
cebbbbabaaaaabaaabbababbd	16581739
cbbbbbabaaaaabaaabbababbd	16581739
cbbbbbabaaaaabaaabbabfabd	24872609
cbbbbbabaaaaabaaabbagaabd	24872609
cbbbbbabaaaaabaaabbfaaabd	24872609
cbbbbbabaaaaabaaabgaaaabd	24872609
cbbbbbabaaaaabaaagbaaaabd	24872609
cbbbbbabaaaaabaafabaaaabd	24872609
cbbbbbabaaaaabaebabaaaabd	24872609
cbbbbbabaaaaabeababaaaabd	24872609
cbbbbbabaaaaafbababaaaabd	24872609
cbbbbbabaaaaebbababaaaabd	24872609
cbbbbbabaaaeabbababaaaabd	24872609
cbbbbbabaaeaabbababaaaabd	24872609
cbbbbbabaeaaabbababaaaabd	24872609
cbbbbbabeaaaabbababaaaabd	24872609
cbbbbbafbaaaabbababaaaabd	24872609
cbbbbbebbaaaabbababaaaabd	24872609
cbbbbfbbbaaaabbababaaaabd	24872609
cbbbgabbbaaaabbababaaaabd	24872609
cbbgbabbbaaaabbababaaaabd	24872609
cbgbbabbbaaaabbababaaaabd	24872609
cgbbbabbbaaaabbababaaaabd	24872609
cabbbbabbbaaaabbababaaaabd	24872609
cabbbbabbbaaaabbababaaebd	18654457
cabbbbabbbaaaabbababaeabd	18654457
cabbbbabbbaaaabbababeaabd	18654457
cabbbbabbbaaaabbabafbaabd	18654457
cabbbbabbbaaaabbabebbaabd	18654457
cabbbbabbbaaaabbafbbbaabd	18654457
cabbbbabbbaaaabbebbbbaabd	18654457
cabbbbabbbaaaabfbbbbbaabd	18654457
cabbbbabbbaaaagabbbbbaabd	18654457
cabbbbabbbaaafaabbbbbaabd	18654457
cabbbbabbbaaebaabbbbbaabd	18654457
cabbbbabbbaeabaabbbbbaabd	18654457
cabbbbabbbeaabaabbbbbaabd	18654457
cabbbbabbfbaabaabbbbbaabd	18654457
cabbbbabgabaabaabbbbbaabd	18654457
cabbbbagbabaabaabbbbbaabd	18654457
cabbbbfababaabaabbbbbaabd	18654457
cabbbgaababaabaabbbbbaabd	18654457
cabbgbaababaabaabbbbbaabd	18654457
cabgbbaababaabaabbbbbaabd	18654457
cagbbbaababaabaabbbbbaabd	18654457
cfabbbaababaabaabbbbbaabd	18654457
caaabbbaababaabaabbbbbaabd	18654457
caaabbbaababaabaabbbbbebd	13990843
caaabbbaababaabaabbbbfbbd	13990843
caaabbbaababaabaabbbgabbd	13990843
caaabbbaababaabaabbgbabbd	13990843
caaabbbaababaabaabgbbabbd	13990843
caaabbbaababaabaagbbbabbd	13990843
caaabbbaababaabafabbbabbd	13990843
caaabbbaababaabebabbbabbd	13990843
caaabbbaababaafbbabbbabbd	13990843
caaabbbaababaebbbabbbabbd	13990843
caaabbbaababeabbbabbbabbd	13990843
caaabbbaabafbabbbabbbabbd	13990843
caaabbbaabebbabbbabbbabbd	13990843
caaabbbaafbbbabbbabbbabbd	13990843
caaabbbaebbbbabbbabbbabbd	13990843
caaabbbeabbbbabbbabbbabbd	13990843
caaabbfbabbbbabbbabbbabbd	13990843
caaabgababbbbabbbabbbabbd	13990843
caaagbababbbbabbbabbbabbd	13990843
caafabababbbbabbbabbbabbd	13990843
caebabababbbbabbbabbbabbd	13990843
ceababababbbbabbbabbbabbd	13990843
cbababababbbbabbbabbbabbd	13990843
cbababababbbbabbbabbbfabd	20986265
cbababababbbbabbbabbgaabd	20986265
cbababababbbbabbbabgbaabd	20986265
cbababababbbbabbbagbbaabd	20986265
cbababababbbbabbbfabbaabd	20986265
cbababababbbbabbgaabbaabd	20986265
cbababababbbbabgbaabbaabd	20986265
cbababababbbbagbbaabbaabd	20986265
cbababababbbbfabbaabbaabd	20986265
cbababababbbgaabbaabbaabd	20986265
cbababababbgbaabbaabbaabd	20986265
cbababababgbbaabbaabbaabd	20986265
cbabababagbbbaabbaabbaabd	20986265
cbabababfabbbaabbaabbaabd	20986265
cbababagaabbbaabbaabbaabd	20986265
cbababfaaabbbaabbaabbaabd	20986265
cbabagaaaabbbaabbaabbaabd	20986265
cbabfaaaaabbbaabbaabbaabd	20986265
